Question Number,Question Type,Choice,left eye 1,left eye 2,right eye 1,right eye 2,EA,EL,PI,PR,PG,TH,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,SA,SR,SF,HR,BI,Accept_Deny_button.response,Accept_Deny_button.rt,Confidence_Slider.response,Confidence_Slider.rt,Deny_Slider.response,Deny_Slider.rt,Accuracy of AI response,Image authentic?
1,feature,yes,0.415873221,0.534162025,0.415205484,0.509977027,0.973563469,-18103.49755,150162.8742,127295.5151,10117.88926,35.78090556,-0.914809365,-0.414540134,0.346210702,0.997046901,0.632861953,0.120560764,10.82943144,-104.2391304,106.0685619,0,0,1.035025,32.54545455,2036.363636,2,19.0477623,5,21.3566139,1,23.2044564,1,1
1,feature,yes,0.274702651,0.445651572,0.267766599,0.414621205,0.865189239,-17923.53647,150498.4005,127511.7366,10039.11425,35.83196889,-0.902034853,-0.414100536,0.376140751,1.019475168,0.560098516,0.070965229,13.0080429,-104.2600536,106.9383378,0.054914,0.8,1.094328889,34.26666667,2032,1,19.4886692,4,27.2667919,1,28.9291241,0,0
1,feature,yes,0.468831889,0.594278712,0.463203802,0.570233486,0.762250877,-17704.96445,150663,127761.9381,10051.33901,35.83620408,-0.895395062,-0.419128086,0.387092593,0.917968992,0.613596573,0.117924342,13.14506173,-103.962963,107.1064815,0,0,1.057980769,43.23529412,1564.705882,1,17.7540807,5,19.8551223,3,24.1204193,1,0
1,feature,yes,0.582027216,0.669508,0.575078604,0.655894601,0.64268329,-17356.32963,150839.982,127886.7065,10074.44173,35.83452857,-0.891602297,-0.417963388,0.39633094,0.933286638,0.633375273,0.122523485,13.66834171,-104.0617373,107.4206748,0,0,0.284079882,34.54545455,2476.363636,1,24.816359,4,28.4491925,3,53.6796619,1,1
1,feature,yes,0.44528093,0.43911995,0.445786631,0.417174974,0.524196151,-16867.20807,150791.9563,127937.3073,10057.83627,35.84108864,-0.894912207,-0.415285117,0.392102007,0.909400335,0.628810765,0.125373588,13.79765886,-104.2215719,107.3294314,0,0,0.044098611,33.0625,3015,1,37.8073599,4,42.4813626,3,46.0394523,1,0
1,feature,yes,0.463516275,0.342259737,0.459642859,0.309002892,0.459620811,-16495.81629,150882.7727,128025.2699,10053.48488,35.8461107,-0.894345982,-0.417511161,0.391066964,0.912972098,0.644338583,0.131994069,13.77455357,-104.2488839,107.3582589,0,0,0.009684259,36.1,3124,1,30.0496103,4,32.9363222,2,35.7627004,0,0
1,feature,yes,0.462900393,0.490889507,0.458085309,0.453200719,0.403717475,-16071.1316,150793.1155,128071.6447,9969.051041,35.84099333,-0.895736772,-0.416640322,0.388048225,0.91566689,0.632923752,0.128874027,13.80843938,-104.3308774,107.3181514,0,0,0.002028889,37.82758621,2176.551724,2,32.4617767,5,46.8054469,1,57.4560661,0,1
1,feature,yes,0.599604924,0.456285351,0.593703539,0.427630128,0.366911421,-15728.47506,150572.718,128059.4089,9878.871098,35.82046512,-0.904927711,-0.394688755,0.387006024,0.931042169,0.653399798,0.145151547,14.04116466,-104.6807229,107.1797189,0.001067,0.23333325,3.716419835,45.15,2060,1,22.0793385,5,24.2434566,1,34.4422583,1,0
1,feature,yes,0.402586817,0.435082321,0.394124153,0.393570241,0.345932923,-15497.05921,150708.7638,128111.0122,10007.68604,35.81652322,-0.908157796,-0.395920635,0.378336134,0.89751028,0.623874647,0.136193517,14.4379085,-104.9673203,107.1960784,0,0,1.628655039,38.06666667,2637.333333,1,30.2829401,4,36.8069075,3,42.3072456,1,1
1,feature,yes,0.515626285,0.268918138,0.509625051,0.208974842,0.327791555,-15273.73649,150767.5756,128104.4433,9973.105793,35.8042125,-0.908164573,-0.397733668,0.377629397,0.933909434,0.612767383,0.113845745,14.60427136,-104.9698492,107.1432161,0,0,0.4223375,28.25,4070,2,23.5035031,5,29.5697761,1,30.6664896,1,0
1,feature,yes,0.435896955,0.613446197,0.42476155,0.59218705,0.310667205,-15038.02746,148048.1435,126435.8398,9293.510906,35.77042105,-1.018697071,-0.1129866,0.212917155,1.126082077,1.001120805,0.508525022,21.89456067,-114.4669456,105.5389121,0,0,0.11131875,24.66666667,4360,2,37.6116321,5,38.7802159,1,45.6267645,0,1
1,feature,yes,0.457430479,0.324106429,0.452167833,0.277890281,0.296886924,-14829.69002,147787.4935,126152.1683,9290.489209,35.77800476,-1.033497848,-0.085159254,0.1811033,0.893033046,0.649900433,0.120944444,23.06025825,-115.6398852,104.4978479,0,0,0.027414286,21,31560,1,13.8605563,5,17.9715961,1,26.9757176,1,1
1,feature,yes,0.668700579,0.390343692,0.65819118,0.374273615,0.287572628,-14677.16279,148026.0351,126224.7139,9235.306892,35.79329614,-1.035006477,-0.096593264,0.169858808,0.982466321,0.610431907,0.11720436,23.38082902,-115.5466321,103.8018135,0,0,0.009876344,19.5,7620,1,22.973652,4,24.2406113,3,29.2202933,1,1
1,feature,yes,0.398306452,0.427366337,0.390950932,0.376899741,0.277575025,-14501.84359,149204.7253,127094.9392,9487.730403,35.78672155,-0.980305332,-0.321133674,0.173532505,0.816680789,0.51702346,-0.282617103,19.98392988,-112.641344,103.0978817,0.000117667,0.066667,1.932115758,32.90909091,2572.727273,1,45.9483114,5,48.0440702,3,52.9266537,1,0
1,feature,yes,0.252547254,0.502819028,0.248664309,0.438781714,0.269497511,-14351.03022,149474.9953,127584.7062,9566.93128,35.75399609,-0.93520922,-0.477892435,0.191106383,0.896560947,0.618547847,0.110008761,16.98108747,-110.5449173,103.4314421,0,0,1.502931068,40.66666667,1848.888889,1,15.294575,5,29.4238769,3,33.5679782,1,0
1,feature,yes,0.552396487,0.567239099,0.544281829,0.542543424,0.264421127,-14251.47544,149633.9489,127740.8602,9578.711022,35.72301778,-0.93453012,-0.480361446,0.189783133,0.916668005,0.614693136,0.133739628,16.99330656,-110.6492637,103.4002677,0,0,0.482256667,45.72222222,1651.111111,1,25.2845601,5,26.4487568,1,28.3355482,1,1
1,feature,yes,0.381261311,0.43035448,0.375310845,0.379238766,0.260322101,-14168.18462,149711.3764,127785.9986,9629.226389,35.71540826,-0.934300554,-0.479393352,0.192775623,0.909490305,0.603620306,0.125833087,17.06094183,-110.533241,103.4099723,0,0,0.171703448,44.66666667,1890.666667,1,15.5641496,5,18.2132401,3,27.1643328,0,0
1,feature,yes,0.392627371,0.654876479,0.38163603,0.588973917,0.256336247,-14084.61551,149624.7179,127723.4645,9576.708378,35.70252098,-0.934527484,-0.479615222,0.192479915,0.90284778,0.596317073,0.129655793,17.01374207,-110.435518,103.4059197,0.000325,0.1,1.083224561,41,1741.818182,2,31.2248085,4,32.7698405,1,37.4601054,0,1
1,feature,yes,0.440705417,0.451399553,0.430009014,0.414017238,0.248825309,-13919.49841,148304.1901,127209.7197,9126.127418,35.68723825,-0.947331208,-0.488402614,0.071462066,0.897091851,0.637215212,0.127633767,15.79152056,-112.2344597,101.4212624,0.000132591,0.084848636,4.450603562,54.8994709,1322.962963,,,,,,,,
5,text,no,0.736905492,0.357691669,0.719956576,0.333318959,0.247024621,-13878.97826,148140.454,127183.7796,8673.251889,35.72837917,-0.907144382,-0.413895166,0.30798619,0.83593032,0.234472956,0.297121595,17.5304457,-108.0979284,102.3841808,0.000251,0.111111167,7.784672917,63.63793103,1095.862069,1,52.5498137,5,56.3987218,3,62.8561974,1,1
5,text,no,0.65768664,0.352084068,0.645614978,0.321022314,0.248723797,-13917.53416,148447.8079,127378.0195,8593.124055,35.80721206,-0.879015694,-0.377202762,0.452124922,0.899627119,0.607107547,0.122592834,18.51224105,-105.7865662,103.0401758,0.000104286,0.104762,6.791877604,74.4025974,830.1298701,1,51.7185055,3,62.5786608,2,58.2540265,0,1
5,text,no,0.723594783,0.340501969,0.706999868,0.326940097,0.253015996,-14012.98841,149048.8935,127590.12,8636.63255,35.98475069,-0.869727197,-0.377955649,0.470254393,0.918029289,0.595754622,0.117309711,19.05020921,-105.3790795,103.1322176,0.000233571,0.076190714,7.266637931,73.70175439,838.5964912,1,41.6196721,4,42.9545266,3,46.8406005,1,1
