Question Number,Question Type,Choice,left eye 1,left eye 2,right eye 1,right eye 2,EA,EL,PI,PR,PG,TH,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,SA,SR,SF,HR,BI,Accept_Deny_button.response,Accept_Deny_button.rt,Confidence_Slider.response,Confidence_Slider.rt,Deny_Slider.response,Deny_Slider.rt,Accuracy of AI response,Image authentic?
1,converstational,no,0.482162088,0.559872142,0.481296235,0.532488127,0.234875835,-13586.04683,146250.5428,118617.4058,7563.741188,34.08789369,0.161653614,0.844405622,0.407018072,0.942114573,0.626559838,0.102653806,52.20883534,-128.7208835,81.1184739,0,0,0.635120833,0,0,1,26.3205997,5,28.4178758,3,38.588131,1,0
1,converstational,no,0.409980934,0.361471015,0.410505136,0.338896976,0.235383614,-13598.8985,146137.1016,118556.2903,7578.313187,34.27082727,0.161174429,0.843217352,0.40840274,0.949216636,0.612838235,0.101772128,52.2,-128.7086758,81.1086758,0.000421,0.4,0.179520301,0,0,2,33.9274634,2,34.9331465,1,43.3705069,1,0
1,converstational,no,0.283617901,0.418939041,0.286236707,0.387015414,0.233987494,-13563.38396,146032.3786,118574.526,7493.007423,34.45354545,0.159263214,0.842133192,0.410107822,0.947006363,0.634268162,0.093622683,52.29598309,-128.9841438,81.3255814,0,0,1.167559649,16,106080,1,18.536898,5,24.0147641,1,25.8500252,0,1
1,converstational,no,0.471008709,0.45496676,0.474253107,0.424178189,0.232288725,-13519.70998,145740.4148,118537.9929,7445.69682,34.65322897,0.159433803,0.841369014,0.411764085,0.949762174,0.633605996,0.10725182,52.28098592,-128.7619718,81.13732394,0,0,0.242784211,19.76923077,6353.846154,2,34.4534505,3,36.2717456,3,56.107726,0,0
1,converstational,no,0.315099322,0.589655419,0.304137928,0.525680509,0.232622081,-13528.33999,145594.4918,118406.8187,7437.133582,34.87274138,0.156385417,0.842201637,0.411081101,0.948620149,0.609048229,0.103122511,52.3125,-129.0052083,81.20610119,0,0,0.034431481,19.28571429,5565.714286,1,47.6153984,4,49.0230905,1,52.9537529,1,1
1,converstational,no,0.246508436,0.262125623,0.248386959,0.231196358,0.232763286,-13531.99092,145955.2634,118467.7173,7523.319631,35.05222778,0.15210469,0.842139866,0.412521776,0.946084803,0.605338099,0.094369697,52.2479062,-129.3458961,81.34589615,0,0,0.005611034,21.75,11550,1,42.99113,3,44.2748,3,47.4795122,1,0
1,converstational,no,0.30343008,0.308923247,0.302292399,0.285528533,0.233188239,-13542.93646,145919.359,118466.6373,7434.254478,35.20784483,0.152715242,0.84127881,0.413771747,0.945704393,0.62392054,0.106224537,52.27137546,-129.260223,81.39702602,0,0,0.000967901,16,23333.33333,2,27.0850434,1,51.0977112,1,53.1766593,0,1
1,converstational,no,0.247959113,0.504414796,0.250668275,0.47621039,0.234238793,-13569.84557,145801.8119,118415.4043,7410.078387,35.31912593,0.152813616,0.840578125,0.415171875,0.950273236,0.61040226,0.11721347,52.09821429,-128.6796875,81.34263393,0,0,0.000183333,0,0,1,18.8773895,4,22.0491808,3,34.8596448,1,0
1,converstational,no,0.447625707,0.411587434,0.459064764,0.375724265,0.235394613,-13599.1671,145829.6382,118444.6398,7404.879934,35.37439566,0.152547541,0.840220492,0.415731148,0.95219885,0.612282178,0.109725021,52.12868852,-128.7254098,81.33114754,0,0,0.0001,13,81920,2,34.312091,4,27.4006899,1,44.0983445,1,1
1,converstational,no,0.309735843,0.317361232,0.312171248,0.283505929,0.236033713,-13615.26915,145897.2518,118519.8547,7416,35.38230476,0.151762554,0.840401004,0.416371593,0.941279454,0.611412618,0.107272053,52.07747489,-128.7876614,81.52367288,0,0,0,12,25600,2,17.7793412,5,36.5225788,1,38.9177642,0,1
1,converstational,no,0.404699559,0.505755381,0.406806354,0.472255836,0.236512288,-13627.25533,146070.1965,118614.5525,7454.082284,35.37999444,0.151301255,0.840070293,0.417162343,0.943553691,0.607048986,0.108019845,52.041841,-128.6401674,81.61841004,0,0,0,11.16666667,8446.666667,1,20.398932,4,29.5814213,3,44.73901,1,1
1,converstational,no,0.491728563,0.516171897,0.494653163,0.483820698,0.236684238,-13631.55566,146218.3702,118715.1114,7452.693231,35.35392655,0.151503419,0.839942735,0.418071795,0.941799145,0.603430544,0.101394366,52.07008547,-128.8008547,81.65897436,0,0,0,12,5840,1,34.0084791,5,37.9167792,1,41.2101877,1,1
1,converstational,no,0.422510684,0.470858149,0.423264844,0.439830849,0.236680695,-13631.46695,146151.5157,118717.7694,7397.226119,35.32564778,0.150906994,0.839642857,0.418843006,0.94488831,0.60883371,0.101735385,52.04092262,-128.7172619,81.71502976,0,0,0,11.25,19520,2,49.469729,4,50.2993502,1,52.7415359,1,0
