Question Number,Question Type,Choice,left eye 1,left eye 2,right eye 1,right eye 2,EA,EL,PI,PR,PG,TH,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,SA,SR,SF,HR,BI,Accept_Deny_button.response,Accept_Deny_button.rt,Confidence_Slider.response,Confidence_Slider.rt,Deny_Slider.response,Deny_Slider.rt
1,text,no,0.296644997,0.380758147,0.291930039,0.370718392,0.572438535,-17098.26447,147200.7748,114664.2531,6245.539256,34.92861775,0.923420619,0.251220619,-0.057968041,0.872776629,0.591522917,0.094651435,32.24329897,-85.46804124,97.83917526,0,0,0,39,2046.315789,1,23.3773592,5,31.8633379,3,34.5715727
1,text,no,0.478462779,0.49089955,0.479905904,0.45841421,0.559603559,-17042.34347,146770.3333,114405.9073,6228.40457,34.88195111,0.922062918,0.254729585,-0.065289157,0.880257373,0.580561995,0.084404463,32.42302544,-85.15394913,97.92904953,0,0,0,34.25,3385,1,18.553613,5,24.4874339,1,27.1704178
1,text,no,0.377978402,0.469698401,0.379747833,0.464698795,0.549260269,-16995.25309,146802.5067,114225.8599,6207.251863,34.83533498,0.920927083,0.252822917,-0.085900298,0.919616071,0.519526395,0.103003082,32.80357143,-84.91666667,97.60267857,0,0,0,33.16666667,3186.666667,1,16.6697676,5,22.4953928,3,24.7927421
1,text,no,0.47250551,0.527554526,0.472598268,0.524308884,0.535855793,-16931.427,146657.5392,114234.0218,6174.624183,34.79009747,0.923148751,0.246500543,-0.088128122,0.891414581,0.596230011,0.098925056,32.79044517,-85.22149837,97.48099891,0,0,0,32.6,3676,2,24.8879215,5,28.5013985,1,31.5501281
1,text,no,0.370245052,0.448710742,0.368975867,0.433087051,0.519577591,-16849.64786,146347.6615,113679.2703,6104.865934,34.7086586,0.921826881,0.25112637,-0.085329438,0.891983918,0.563232917,0.094217949,32.85902118,-85.07012418,97.66179693,0,0,0,37.6,3270,2,22.4560328,5,28.4632252,3,36.9469726
1,text,no,0.426864352,0.451420648,0.416074231,0.468710348,0.507641253,-16786.4605,146695.0028,114259.3347,6218.95,34.63115596,0.925009695,0.243455679,-0.078295014,0.892751389,0.623351049,0.108191218,33.41966759,-85.30747922,97.63019391,0,0,0,38.28571429,3840,2,22.4294007,5,26.5202157,1,28.1303582
1,text,no,0.49480926,0.349375487,0.479630324,0.365344846,0.479918033,-16625.42843,146935.0571,114556.9783,6275.571375,34.44650898,0.92065029,0.246943957,-0.097166636,0.879195957,0.560770822,0.09988932,33.4177097,-82.73267327,98.53596114,0,0,0,33.79310345,2464.827586,,,,,,
2,converstational,no,0.763564962,0.526974057,0.748830802,0.59104245,0.45806256,-16488.19115,146358.5995,114085.2613,6074.858364,34.26551822,0.92519732,0.235658952,-0.103478685,0.92685049,0.684943489,0.051663761,34.34348356,-81.70767357,99.78806334,0,0,0,32.16666667,2566.666667,1,20.7426322,5,27.6125353,3,32.1012029
2,converstational,no,0.418555495,0.449172944,0.413648972,0.440788266,0.450600797,-16437.57389,145980.5815,113394.5478,5922.55618,34.21012074,0.923129785,0.23552381,-0.12198226,0.964678805,0.57462758,0.092776077,35.38095238,-81.50140056,99.01120448,0,0,0,30.06666667,3032,2,32.9273291,4,33.9143158,1,35.3233562
2,converstational,no,0.32354988,0.338958104,0.318115825,0.318646213,0.445178738,-16399.82794,146107.8793,113317.2757,6013.742176,34.16605419,0.926041605,0.22658841,-0.122172363,0.926092676,0.625591528,0.120647604,35.59732541,-81.78900446,98.97473997,0,0,0,33.21428571,1902.857143,1,14.7011087,5,16.1620725,3,18.4645909
2,converstational,no,0.317051306,0.502731382,0.304751635,0.504413818,0.4432227,-16385.96253,145887.0278,113463.9944,5969.776389,34.13465438,0.925530471,0.228033241,-0.122277008,0.847355062,0.556294854,0.051913229,35.9833795,-82.06094183,99.09972299,0,0,0,29.77777778,3013.333333,2,21.3211114,5,26.7000705,1,27.8813493
2,converstational,no,0.421329862,0.510439536,0.414809329,0.523967215,0.439803583,-16361.42151,145832.6426,113460.8389,5940.149329,34.11383889,0.923772194,0.234626466,-0.119092127,0.849179832,0.648287395,0.063506024,35.8760469,-81.92294807,99.37688442,0,0,0,36.42857143,2668.571429,2,17.9210565,5,21.7262883,1,22.6970732
2,converstational,no,0.314149368,0.363837874,0.30672673,0.353645775,0.436554597,-16337.75411,145815,113763.978,6066.555556,34.08183133,0.929261557,0.234099757,-0.059071864,0.83156691,0.656991443,0.112180348,32.88564477,-82.64720195,99.04379562,0,0,0,36.53333333,2485.333333,2,16.8803166,5,25.9590304,1,31.207571
2,converstational,no,0.354109585,0.359075915,0.340558695,0.350800358,0.433993916,-16318.82295,147506.2459,114800.9389,6190.35514,34.05056667,0.926036585,0.242413917,-0.074284792,0.858621408,0.569205628,0.083329843,32.41319943,-82.28120516,99.05308465,0,0,0,35.28571429,4180,2,26.9840825,4,51.5889891,1,55.3594286
2,converstational,no,0.285459921,0.453069082,0.274177159,0.437576455,0.429125548,-16282.26506,146801.613,114521.2811,6034.420582,34.01898765,0.930681784,0.228295911,-0.077527138,0.875594937,0.603398649,0.12280916,31.74869888,-82.93828996,99.10483271,0,0,0,31.52,2144,1,40.2887876,2,42.4744177,3,52.2413727
2,converstational,no,0.5170577,0.379740036,0.511233678,0.379509764,0.427302551,-16268.36947,145909.0403,113961.3896,5945.794626,34.01251899,0.929627151,0.231399618,-0.077,0.895383877,0.623082852,0.054478261,31.83365201,-82.84321224,99.14531549,0,0,0,35.85714286,2394.285714,1,17.3279324,5,18.4376604,3,20.0699116
2,converstational,no,0.536241477,0.528425925,0.525123637,0.541748888,0.42714598,-16267.16757,145830.6012,113844.6183,5984.509756,33.99988664,0.925019465,0.243743309,-0.083828467,0.906967033,0.559430147,0.031390213,31.41119221,-83.05717762,97.76034063,0,0,0,31.63636364,2712.727273,2,20.2580843,4,30.7106569,1,32.3172482
2,converstational,no,0.450589514,0.525308246,0.441511478,0.546596634,0.426818186,-16264.65411,146866.7986,114378.7944,6097.843056,33.98876606,0.92383518,0.25067313,-0.075397507,0.960083565,0.67213947,0.131213043,31.63019391,-83.20637119,97.50969529,0,0,0,28.5,3860,1,18.2883642,5,23.0251813,3,24.6128818
2,converstational,no,0.375524373,0.651534659,0.38151168,0.630813887,0.425739191,-16256.34622,146630.7417,114340.9806,6007.383333,33.97170183,0.924501385,0.246259003,-0.086703601,0.895315789,0.573912011,0.0921402,31.56094183,-83.1066482,97.15096953,0,0,0,34.875,2010,1,24.6382307,5,25.4923795,3,27.0960006
2,converstational,no,0.478971045,0.694045454,0.470506428,0.686183997,0.42648123,-16262.06444,146619.9907,114198.3715,6004.128483,33.97361224,0.929192901,0.235700617,-0.065843653,0.913505426,0.622262751,0.126232855,31.40123457,-83.88271605,97.46450617,0,0,0,43.25,2855,2,19.0877691,4,20.3432067,1,22.6403506
2,converstational,no,0.307218177,0.406327602,0.302612736,0.397324274,0.426141954,-16259.44298,145996.2486,113888.4694,5951.25,33.97577419,0.929864078,0.231443828,-0.076680999,0.881594444,0.601132497,0.103935989,31.22884882,-83.96393897,97.0554785,0,0,0,39.46153846,2372.307692,2,17.9170374,5,19.1932555,1,27.4128007
2,converstational,no,0.394003272,0.45451181,0.378851736,0.450180639,0.425676159,-16255.85266,145637.4091,113685.626,5940.012397,33.98289761,0.928762101,0.237553038,-0.061157732,0.84529089,0.619672234,0.069334034,30.8661174,-84.30072091,97.24098867,0,0,0,40.09090909,1834.545455,2,13.8505294,5,14.9994131,1,38.3784606
2,converstational,no,0,0,0.430811834,0.178277722,0.42585474,-16257.23355,146813.4756,114122.2256,6016.872126,33.98841905,0.925494978,0.247631277,-0.059231322,0.827864943,0.590369408,0.055256024,29.18077475,-84.19368723,96.29268293,0,0,0,38.66666667,2493.333333,1,23.494463,5,24.2244419,3,26.5222896
2,converstational,no,0.351418031,0.591521819,0.341862111,0.585091704,0.425124095,-16251.58595,147054.0575,114616.7054,6010.93901,34.00187452,0.925954128,0.247674312,-0.054663991,0.885552995,0.614161816,0.106088993,27.94954128,-84.22018349,95.64105505,0,0,0,32.09090909,4123.636364,1,24.7610176,5,26.1154092,3,34.124862
2,converstational,no,0.254176618,0.343552313,0.245169269,0.305676546,0.42705675,-16266.47992,146408.7349,114227.6913,5989.931767,34.01791111,0.926618304,0.245535714,-0.052383929,0.887440223,0.598100559,0.094346868,27.98102679,-84.41852679,95.6484375,0,0,0,29.5,3464,1,30.432978,5,31.3188277,3,32.4243168
2,converstational,no,0.485691318,0.468163963,0.472125985,0.470725547,0.426536645,-16262.48075,145593.4799,113774.6213,5899.901357,34.03831638,0.915550542,0.264868231,-0.105630415,0.890380208,0.59480615,0.075032954,31.20532491,-83.43411552,96.56385379,0,0,0,36.8902439,2198.04878,,,,,,
3,feature,no,0.413586384,0.551491585,0.417708198,0.535220524,0.425405456,-16253.76771,144514.2,113357.0144,5780.854676,34.0661244,0.918424677,0.249338594,-0.12379627,1.027335725,0.598690751,0.14564095,34.52223816,-82.64131994,96.7374462,0,0,0,33.85714286,3914.285714,1,23.378102,5,24.2888253,3,26.6290995
3,feature,no,0.566613705,0.284957536,0.568640835,0.263777647,0.425013373,-16250.73362,145222.5934,113349.3626,5789.43956,34.07964458,0.916832117,0.254684307,-0.12465146,0.886417582,0.586063985,0.080520755,34.68065693,-82.62773723,96.60036496,0,0,0,27.8,3720,1,16.5163903,5,17.3681307,3,18.8902359
3,feature,no,0.484835485,0.507782914,0.486159333,0.497747012,0.423956233,-16242.52318,145849.0573,113675.7152,5822.094427,34.09043077,0.925327666,0.23498609,-0.106137558,0.913967442,0.637901716,0.123334385,34.34003091,-83.7805255,96.48377125,0,0,0,25.85714286,4177.142857,1,21.2987343,5,22.9892412,3,24.714051
3,feature,no,0.503484439,0.597506535,0.503013925,0.607357397,0.423525941,-16239.16892,145229.519,113303.8516,5748.741082,34.09955133,0.926041284,0.230701835,-0.102239679,0.773334483,0.557748558,-0.114368978,31.15481651,-81.16399083,96.28211009,0,0,0,28.16666667,2946.666667,2,13.6078019,4,32.5510089,1,33.5071871
