EA,EL,PI,PR,PG,TH,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,SA,SR,SF,HR,BI,Question Type,left eye 1,left eye 2,right eye 1,right eye 2,Accuracy of AI response,Image authentic?,response
-1.3577026719315666,1.7140591668030725,-2.42798243919091,-2.7538042375631258,-1.2380929905825062,-2.4215969218642748,-0.14470997569468694,-0.8969849677808365,-1.3045812479340697,-5.3232468272980915,4.9501814765192425,-0.2458723558516773,-1.396035895746546,-1.6545641352579077,-1.7357613115264088,-1.8794319964344746,-2.3067158686859113,-1.6857945973947701,-1.8171805091423077,3.180568100409846,converstational,0.679215896,0.67244608,0.683271046,0.645945329,1.0,0.0,1
-1.3577322078070153,1.7141529206621902,-2.464032396396043,-2.489636054785067,-1.0601072093248873,-2.196635812166005,-0.5599857032646548,-1.2222202032633234,-1.5710938991549137,0.060323336384679266,0.16446806302954392,0.075551316666263,-0.3048603838313925,-1.5567383000339776,-1.5187632137660023,-1.8794319964344746,-2.3067158686859113,-1.6857945973947701,-1.923310271285178,3.31775830653317,converstational,0.420269773,0.436990109,0.41220127,0.404913748,1.0,0.0,1
-1.3577222233591308,1.7141214183210518,-2.2551852627647646,-2.109538183464061,-0.236927110890343,-1.9449007775210152,-0.7891023988571175,-1.238843445667983,-1.528503767630076,0.17809286576824707,0.8241252019530673,-0.14114762506465478,-0.5698312368880198,-1.4234194009207486,-1.3375929640971833,-1.8794319964344746,-2.3067158686859113,-1.6857945973947701,-1.6864917937324382,1.171043376743077,converstational,0.341546507,0.532286912,0.329392544,0.515726795,0.0,1.0,1
-1.3577436186045975,1.7141951835424314,-1.9549026627055563,-1.774481826708346,0.2772011659504256,-1.733272175103163,-1.1996825475260413,-1.1073010338722702,-1.2491958871077513,-0.09151019386780211,-0.19058716457822406,0.17975769930158242,-0.7679662357576752,-1.2544895590738032,-0.9450935833509995,-1.8794319964344746,-2.3067158686859113,-1.6857945973947701,-1.5534641303234626,0.52060243743149,converstational,0.639763952,0.52110042,0.630214682,0.533330971,0.0,0.0,0
-1.357764039757587,1.7142625472752795,-1.6800666551601293,-1.519203650514809,0.6851461394128044,-1.5815831740438144,-1.3016092075825458,-1.1375806399122672,-1.2597881563238869,-0.18708409588142363,0.031364307529524155,0.35095085033253093,-0.8250637251088334,-1.3276066839256,-0.9363063893611767,-1.8794319964344746,-2.3067158686859113,-1.6857945973947701,-1.739995227583856,0.982095047283575,converstational,0.365778954,0.455813212,0.350342718,0.419710328,1.0,1.0,1
-1.3569859486029523,1.7115245575988947,-1.3615764937543988,-1.197443129717696,0.9536808540305152,-1.4343235547846882,-1.1575829663240003,-0.7070820861169053,-0.6311894621421801,0.6017693242051946,0.8027091103400672,-1.1827232010611062,-0.9419233268618615,-0.6110529465023027,-0.16941126597594536,-1.2862209797261468,0.8472744790548462,-1.3584057361738802,-1.1675377225312067,0.38531765064711454,converstational,0.40718701,0.319782476,0.407747427,0.294925597,1.0,0.0,1
-1.2888821687402254,1.4877978170116102,-0.9733935919892734,-0.905311324268158,1.1992780545343025,-1.2525657330635904,-1.036064658462098,-0.6009629086902821,-0.48933866883112664,0.02449292916334087,-0.0058411003310053534,0.14961730514908564,-0.7433082979985656,-0.7559151974056171,-0.16543535838647608,-0.9333627025461934,0.5656680077322647,0.31809729789028146,-1.183617989844156,2.2945480190538032,converstational,0.311188318,0.27135082,0.303988214,0.234242393,0.0,1.0,1
-1.1741655590669415,1.1617467592138897,-0.6022546907838896,-0.6281078874528372,1.2751247043794471,-1.0013716907304733,-0.8727651837485777,-0.539755750874572,-0.4074155803472858,0.030482411381097287,-0.052896529807339034,-0.14219523212940544,-0.6912423660409193,-0.6311617100102034,-0.16799124195750847,-0.6111877538166706,0.7563658006140238,1.2705284549869427,-1.3203002591097774,0.1505937823579895,converstational,0.489418894,0.548237932,0.480930355,0.531803632,1.0,0.0,1
-1.0636731014180731,0.89947298256702,-0.3720601246964586,-0.42200397495756437,1.3027030774164543,-0.7499861131408161,-0.8978221308738089,-0.5171868483271725,-0.3467773903573717,-0.032626545407523556,-0.19075646504085655,0.3624216145803174,-0.6852893552751578,-0.6582440331026423,-0.15510885909494723,-0.3222530775751143,1.0838239653981143,1.248270233121907,-1.0485437471168662,0.014904094114139137,converstational,0.385669996,0.36035285,0.38047062,0.338654759,1.0,1.0,1
-0.9735263393811273,0.7151074347730276,-0.19191168589584578,-0.29475825404267003,1.488436827175792,-0.5329725976864816,-1.0524948925941804,-0.6986583547597542,-0.5501093002856896,-0.02418047769428716,-0.3183729613513798,0.24781886701874853,-0.7306399072153469,-0.7778054650683053,-0.34292073381912563,-0.5165808244278424,0.21793807284656608,1.443949005902174,-1.1728978114747202,0.31100628913988704,converstational,0.279603228,0.414150182,0.260716563,0.379591385,0.0,1.0,1
