Accuracy,Precision,Recall,AUC
0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6000000000000001
0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5
0.3,0.3,0.3,0.3
0.5,0.5,0.5,0.5
