EA,EL,PI,PR,PG,TH,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,SA,SR,SF,HR,BI,left eye 1,left eye 2,right eye 1,right eye 2,response
-2.607632645922297,4.195326119433711,-1.794059470907935,-2.907405803780753,0.3770198323653081,-4.085897221499271,-0.05940281321943845,-0.0943310529906192,1.3719835168435561,0.441690582602888,0.5388106667353836,-0.05245560585153486,-1.924582777302348,0.3949067293446348,0.11124200634513842,-0.32299184216278776,1.7173323044014948,0.33585604421904514,-0.5227832256874857,0.20664512960454512,0.63131867,0.499062402,0.55645079,0.430872686,-3.0
-2.4520215773707412,3.5346588055392685,-1.1007708198036823,-2.2126584671708596,1.2402399777538167,-3.600915240839291,-0.028658564337447037,-0.1154627489413142,1.5658799010554134,0.16641239692928123,0.45571657491572254,-0.09796353034785413,-0.3719712362808971,0.17989990402815645,0.5684468319886115,-0.2744018005447396,1.734922695675908,2.0700792703588213,-0.23266998826529403,-0.15346082806646477,0.648093933,0.198355812,0.626307161,0.196481126,-3.0
-2.3225856393015762,3.0715753227625453,-0.875137992927415,-1.960755019367643,1.4470171931076503,-3.180597131783046,-0.029630901669633274,-0.11655849304863791,1.6160654383379962,0.15529886149310548,0.3263281288603328,-0.05623031613946043,0.0615601679877023,0.1445459376037432,0.5673870822294637,-0.2720199357595412,1.07133282895577,2.448070870907303,-0.12613592236961368,-0.5754047783129699,0.734420765,0.260788054,0.710498456,0.271767632,4.0
-2.1525744351404232,2.5643861469831157,-0.5321523560945266,-1.5972016915856317,1.5103332395289348,-2.494185549742873,-0.008068097564709584,-0.134482724984829,1.7284913898266865,0.18912256670790822,0.3414205839179549,-0.06672076639862819,0.5098969304532904,0.15520149597099853,0.6038930743143551,-0.25344139043499336,1.1781169740224848,2.545973655832901,-1.3835009540451024,0.6560710164879514,0.675748518,0.350881465,0.651678909,0.366504757,-4.0
-1.9997856588526368,2.1704988675927708,-0.29798350465756257,-1.2843751545073943,1.619092824757862,-1.9358112746024045,0.008667585416115555,-0.14686508154743264,1.815607763578063,0.18548542748787006,0.9444986261187296,0.20561657254766288,0.7975050032883716,0.1832026153126873,0.6068331516705668,-0.19770575446134994,1.9311353550469876,2.400443466307544,-0.35202759983720305,-0.9574201768784146,0.763394163,0.304517912,0.735865264,0.341484631,4.0
-1.9272250153739277,2.005407122464619,0.05905594685482757,-0.9854750972055564,1.4031506532916407,-1.6931517267113552,-0.10790008147474744,-0.06773377356076113,1.7303463272585242,0.13276187391519312,-0.0385892396516406,-0.12043212866271293,0.9816523761967532,0.13636261021936222,0.611316866930997,-0.21533155387181838,1.4449494415955957,2.0843348611906487,0.003633969805382711,1.1005198731144135,0.616673806,0.710851086,0.605101481,0.728579894,4.0
-1.8442767044381507,1.830033126042214,-0.03633434793426742,-1.1023654460409007,1.6038689491360087,-1.4031184568233277,0.01502847440483494,-0.17387249494475016,1.5981039190989321,-0.20332570319162754,-0.2147743152335323,-0.29803873004801446,0.6195123456343591,0.20541666503782066,0.4913626605620678,-0.20485134881694525,2.067579355139599,1.9514586399527512,-0.9994522207605036,0.3780540736964567,0.482353929,0.275988904,0.471423472,0.286971958,-4.0
-1.7530402401984113,1.6511728465854223,-0.1093447083585952,-1.1220105555638447,1.430291784305081,-1.115519743726602,0.07653870934128769,-0.22392489669214846,1.6640199289717723,0.07419151173775061,-0.029351327617147503,0.05098872792355755,0.33465870039563544,0.30007365836189326,0.287119767543532,-0.21533155387181838,1.656677684199199,1.9863493752675636,-1.1332774210351528,0.058547355215337805,0.435809598,0.344144613,0.409290296,0.34379877,3.0
-1.6549764247541785,1.474286871265432,-0.015398450645469295,-1.0250074342506608,1.6083295115507958,-0.8054682180715168,0.08998768873750411,-0.23676437792097663,1.6143563272358152,0.06758557553150459,0.2812492405577752,0.03368322378259926,0.16612362984524565,0.3141768399475253,0.23414919068650888,-0.199134873332469,1.6147554026158615,2.068379011189807,-0.71010043455293,1.402177714413672,0.308970064,0.364216663,0.284042801,0.353534324,4.0
-1.566078279263445,1.32532707421772,-0.01341496910043749,-1.036623974071282,1.4119767372584129,-0.5565301282967248,0.06535085090172665,-0.23771212615871112,1.3075302680307037,-1.0460197401240396,-0.23862679054201483,-0.5978670068282298,-0.15477392816723562,0.3054734875920712,0.1411546286605667,-0.2343864721534059,0.8351681690724206,2.0238016570012776,-0.44968382748694674,1.4362206055414208,0.58907881,0.530573652,0.568280573,0.569987712,4.0
-1.4995363855084776,1.2206446126650006,0.045001097458101366,-0.9704116073367984,1.3102145995777676,-0.3974876497844688,0.054639134727736106,-0.250772868070806,0.902202786918256,1.2322467540037039,1.3248243519478806,0.865282020088718,-0.099137314321409,0.3094357151328912,-0.03169777186783192,-0.21294968908661996,0.786935938323149,2.0069150552748494,-0.854776326788662,3.805038445804713,0.383990423,0.538047697,0.358057625,0.516074647,4.0
-1.4248090700209348,1.1097511037544863,0.11446048679346049,-0.8998467070088151,1.402316997929025,-0.19910498453755063,0.03829436960804148,-0.2419490814156214,0.9144023592309242,0.07801418642336251,0.03368415614823336,-0.027703325711982554,0.21241587630019507,0.2987270942864227,-0.03897480061413961,-0.16912337703896868,1.3293084999687892,2.0124420187934224,-0.44968382748694674,0.1489737847734205,0.412814242,0.538700212,0.386701264,0.540937166,-4.0
-1.3331069178212094,0.9815623274796935,-0.019687960067995093,-1.0046990853824052,1.2693357063892243,0.020276685385825735,0.14970496217990897,-0.3201145496272893,0.7065819524110463,-0.3566453981708399,0.07861225693336972,-0.15726414785696877,-0.07838273359925442,0.35883924341099077,-0.12383238053003799,-0.18246181983607995,1.332445322965772,1.8791241257677316,1.227033625573858,-0.6936997547287261,0.596976626,0.23076373,0.571201565,0.207650038,3.0
-1.2618486332971948,0.8875302615156546,-0.046713988816193555,-1.0019565432335236,1.2655753978423585,0.14873243822734072,0.22201311957955736,-0.3659259403025585,0.2757632801140007,0.8088202310299916,0.37758312867577726,1.5114910983173606,-0.7295910269634645,0.35325103871921376,-0.2672907968986298,-0.21056782430142149,0.27923735386343296,1.554679912728695,1.34652302704616,-0.2233703369363317,0.511690882,0.914384494,0.498721648,0.972201855,-4.0
-1.1877552328735923,0.795132393007028,0.07826672078368611,-0.8510129958000295,1.2877331704505566,0.28297753595069614,0.13884744809259014,-0.32553395830054516,0.6461922768576286,-0.40739377876543603,-0.45339910932765864,-0.8249334254036369,-0.5176322115629727,0.40224895038262526,-0.3155950513927527,-0.18674917644943712,0.6144325208033978,1.3968301938373784,-1.187530880840566,0.7979163968961315,0.412144305,0.433871772,0.395840358,0.434507099,4.0
-1.1216983100272864,0.7161403255369966,0.03399634465754395,-0.8444644120684518,0.868938075117485,0.42305421101687335,0.1620540789665946,-0.34123770826431954,0.6757284392801118,0.06863661857195971,-0.011632747854195285,-0.33860711721225245,-0.6855222706748367,0.45025628412727314,-0.371710748562773,-0.12577343794835713,1.2067592609497781,1.2498049453103421,-1.0766126961565985,-0.25173941216689555,0.634620787,0.65384531,0.611835885,0.66618304,4.0
-1.0758994546221716,0.6636694123780152,-0.15966992851904593,-1.0186956227921855,0.8876976410535362,0.5181459387425398,0.26868845674886327,-0.41167061695607654,0.49160023527012026,0.13697604137070898,0.4851892302524173,0.3867621092700733,-1.0241812078546588,0.5103092683088909,-0.3772244469780511,-0.21056782430142149,-0.35064966187371294,1.1830665084403738,-0.7845051796769407,-0.21121216092565573,0.489792669,0.513948615,0.463110619,0.518561898,4.0
-1.0203082809265802,0.602071454001907,-0.010613275996140878,-0.8812396654817303,1.2499678465821262,0.5990060197368031,0.31209418151470536,-0.44913629871692273,0.48745493530944195,-0.1335649941456648,0.03166641100632761,-0.2070798705753683,-0.762907773591614,0.5402009953825014,-0.4446256284904381,-0.18674917644943712,0.9212347807135988,1.0115002979849903,0.29298575601295623,1.1572580257032214,0.534293331,0.449799992,0.507196356,0.459196996,-3.0
-0.9731869287090419,0.5514771422392627,0.1613530147468084,-0.7479986931851443,1.2891381723995736,0.7037698641167809,0.255888008248218,-0.40957172666846314,0.4725422107063221,0.8471391613428625,1.0132936428751038,0.2873061016041922,-0.5644998324408818,0.4141556525826284,-0.23382417887021945,-0.21294968908661996,0.46698839795991065,1.0794047647329463,-0.1892672204209635,-0.8134471157747503,0.520160244,0.556140995,0.495502505,0.565231248,-3.0
-0.5947330812338453,0.195247948192067,0.16597791526723493,-0.4693362577483197,0.8350733893878731,0.7837757723762276,0.07612790631797474,-0.2698609534311019,1.3083768874992254,0.20866500046415437,0.31595841144869613,0.15167967656645054,0.05350451763802096,0.438350760899226,0.051664163624164754,-0.19056016010575463,0.19444181111899067,0.2514034817272066,-0.8258411493831813,0.5539423431047051,0.596796383,0.164255738,0.571625038,0.148168112,4.0
-0.5633897405470828,0.16917949747805827,0.3805195012555756,-0.2568888157456056,0.9514387237382894,0.6366005807687636,-0.03623701438259313,-0.1807929572828504,1.390972164056545,0.1414681642412285,-0.5387354798777962,-0.23683197991170726,0.4192675597214249,0.3398371361489938,0.14373962553986755,-0.22104802935629464,-0.6621317931173506,-0.15384717425758687,-0.08638658598080086,-0.5417344121597897,0.518280154,0.405234736,0.492983468,0.417224074,2.0
-0.5244738054350065,0.13743311138792577,0.39852682770133613,-0.17229121357056396,0.7084393478975998,0.5226467173886955,-0.04656791892400471,-0.15570074003491766,1.595995871980453,0.35789111838924087,0.7228305732408188,0.589726566045188,0.1400457315362999,0.49147464499432375,-0.11879316133621222,-0.20532772177398492,-0.747078991545052,-0.3237775244259408,0.2842175201724913,-1.0473630420617925,0.420130423,0.631653591,0.411194128,0.621419962,-3.0
