Accuracy,Precision,Recall,AUC
0.625,0.625,0.625,0.5
0.625,0.625,0.625,0.5
0.625,0.625,0.625,0.5
0.625,0.625,0.625,0.5
0.625,0.625,0.625,0.5
0.625,0.625,0.625,0.5
