EA,EL,PI,PR,PG,TH,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,SA,SR,SF,HR,BI,left eye 1,left eye 2,right eye 1,right eye 2,response
0.274981583,-14453.39839,145560.0937,106212.4728,6173.132898,34.55205376,-0.806583514,0.459081345,0.352792842,0.915996746,0.592585792,0.084069364,61.01735358,-132.2765727,71.0032538,0.00065025,0.23333325,15.75943153,59.85714286,1042.285714,0.427399886,0.466405847,0.438342193,0.473165495,1
0.264168848,-14245.99723,145563.0537,106404.0487,6119.974832,34.71240556,-0.792328308,0.481723618,0.351758794,0.968736134,0.553302521,0.148314387,61.64656616,-132.3869347,70.96482412,0.000923,0.2,13.5483726,60.125,995.0,0.284387685,0.440700724,0.297090962,0.435545187,1
0.24803891,-13897.76323,145714.6326,106616.9054,6109.618605,34.85770256,-0.791012365,0.481621329,0.355166924,0.916891808,0.588758998,0.091533107,61.66460587,-132.7156105,70.9984544,0.0,0.0,7.864217949,58.76,1046.4,0.593645322,0.514163652,0.5989604,0.509953939,0
0.226307435,-13357.93501,145973.8884,106884.7549,6139.180667,34.999,-0.792107798,0.480949541,0.354107798,0.919676606,0.582333333,0.096518564,61.55733945,-132.2396789,70.98738532,0.000241,0.088889,5.571406667,58.94117647,1015.294118,0.509199784,0.525318174,0.519442416,0.524950662,1
0.214124665,-13007.5678,146205.9523,107179.3213,6145.813362,35.1284386,-0.791219873,0.48052537,0.35610148,0.91945666,0.586287686,0.091994376,61.53171247,-131.9122622,71.14270613,0.0,0.0,2.383830702,58.62162162,1028.108108,0.370324134,0.374729115,0.382928433,0.373356117,1
0.206238092,-12758.50064,146508.4217,107436.5209,6203.432558,35.17677041,-0.790905719,0.480511592,0.356717156,0.909394127,0.590003106,0.087093023,61.58268934,-132.0061824,71.15301391,0.0,0.0,0.750902564,59.125,1060.0,0.304538258,0.53869148,0.317208704,0.536728966,1
0.200064101,-12549.19585,146589.5478,107636.0282,6158.193353,35.20314,-0.790359438,0.483379518,0.353266064,0.914299497,0.59734248,0.093354555,61.66967871,-131.8614458,70.90863454,0.0,0.0,0.247330579,58.2972973,1069.189189,0.453728663,0.450099345,0.462858124,0.4521364,1
0.19614442,-12409.75107,146791.2094,107862.2209,6174.233602,35.24064259,-0.791086108,0.481629162,0.354365098,0.912580941,0.590230858,0.096298417,61.60160735,-131.8323766,70.97703789,0.0,0.0,0.065108571,62.41666667,957.7777778,0.35973652,0.453197946,0.361799145,0.435486429,0
0.193193325,-12300.85225,146937.6806,108040.4613,6197.483871,35.24193085,-0.791324238,0.481743178,0.354401284,0.911585875,0.586180645,0.09667517,61.62921348,-131.8908507,70.98876404,0.0,0.0,0.022174667,62.76923077,964.6153846,0.393432885,0.437446996,0.3996754,0.433409161,0
0.190959822,-12216.16986,147076.4158,108177.5036,6207.743885,35.25050711,-0.790902439,0.481393113,0.354802009,0.913835007,0.59309621,0.09377605,61.66140603,-131.7862267,70.94404591,0.0,0.0,0.008864286,62.48275862,973.7931034,0.365473736,0.456858564,0.374761786,0.447120781,1
0.199519789,-12524.18184,146801.0114,108135.8835,6166.355517,35.26964058,-0.415003493,0.729987773,0.349684716,1.349958916,-0.114510168,0.771667281,61.31965066,-119.9117904,66.78777293,0.000443969,0.189583375,23.94458333,62.31111111,1007.111111,0.369064681,0.639248385,0.374356568,0.623419871,0
0.208459035,-12830.80796,147411.0298,108331.3608,6330.229422,35.26510983,-0.206486014,0.857905594,0.357480769,0.899197552,0.616239362,0.090128544,61.48251748,-113.0839161,65.0472028,0.000345533,0.124444533,34.86217246,59.57142857,1074.285714,0.30589521,0.488401726,0.317373446,0.471719133,1
0.226259211,-13332.65214,147478.8333,108359.4945,6317.108059,35.26575758,-0.264240876,0.849385036,0.345094891,0.955522852,0.555234432,-0.192939163,60.10766423,-116.5638686,64.12773723,0.001418529,0.231372706,35.22309701,57.26315789,1168.421053,0.552833569,0.445194124,0.565515128,0.43244089,1
0.240709092,-13730.07234,147319.2698,108412.4284,6227.853254,35.26929297,-0.28925974,0.843220779,0.345623377,0.914913813,0.58299645,0.096761062,59.87839433,-118.1003542,63.86540732,0.0,0.0,23.50542157,64.30555556,936.6666667,0.475834386,0.681557183,0.486508646,0.68264059,1
0.236564069,-13628.49091,147315.7509,108547.9526,6205.963158,35.26956069,-0.286795455,0.843113636,0.346052448,0.904024476,0.574676732,0.103525234,60.02972028,-118.1188811,63.89160839,0.0,0.0,8.424078261,60.82608696,1000.0,0.394418488,0.444565311,0.406993535,0.453846266,0
0.23562912,-13605.06824,147503.5668,108654.0676,6270.755233,35.27788235,-0.28200321,0.844414125,0.345799358,0.915141252,0.583437398,0.097141623,60.04012841,-117.9935795,63.79133226,7.35e-05,0.166667,5.856309333,60.4,996.8,0.60696053,0.984562622,0.612472362,0.999745876,1
0.234413154,-13574.2658,147488.2592,108727.4378,6230.828371,35.27863006,-0.286190559,0.843945804,0.344391608,0.904690559,0.584050967,0.07849353,59.96503497,-118.0052448,63.69055944,0.000192,0.133333,4.291363768,61.17391304,984.3478261,0.32165425,0.397681193,0.335418965,0.395425654,1
0.232500891,-13525.15265,147676.9066,108829.9726,6285.972625,35.29543085,-0.285942215,0.844229535,0.343606742,0.914001605,0.580800971,0.092634975,60.04494382,-118.0288925,63.6388443,0.000121,0.066667,3.519954667,58.28571429,1175.238095,0.372988723,0.31553506,0.386638847,0.309029562,1
0.230314936,-13468.06159,147736.7807,108915.093,6264.380702,35.29736628,-0.283367133,0.844431818,0.344667832,0.908765734,0.580045855,0.096297297,60.17307692,-118.0034965,63.65559441,0.0,0.0,1.540026087,59.91666667,971.6666667,0.445567075,0.560012297,0.454295789,0.569773553,1
0.249895957,-13935.25672,148166.2837,109369.9702,6281.754816,35.35786994,-0.326623581,0.80648559,0.400814847,0.905721154,0.577213908,0.090748811,63.29082969,-123.9371179,64.68558952,0.002042429,0.180952429,10.87644565,64.14583333,940.8333333,0.474180751,0.507482626,0.488027531,0.515201151,1
0.25252699,-14002.29725,148236.7946,109446.0806,6279.581067,35.37346512,-0.328072289,0.804860442,0.402910643,0.903302209,0.583408952,0.091766345,63.29819277,-124.0522088,64.72891566,0.0,0.0,6.74447,64.19047619,940.952381,0.406277956,0.4298518,0.4212557,0.434095499,0
0.249233406,-13929.1326,148272.8054,109518.4577,6265.209396,35.39235111,-0.329095047,0.803986613,0.404148594,0.900207497,0.582155102,0.087792806,63.47925033,-124.1606426,64.84337349,0.0,0.0,1.920005556,65.40625,948.75,0.528058088,0.591775807,0.543445742,0.61627421,1
0.247877431,-13898.45773,148313.6006,109601.232,6246.788136,35.3995193,-0.332530655,0.799588795,0.410305497,0.90454334,0.512543039,0.049774049,64.1384778,-125.9027484,64.94186047,0.000224,0.1,3.71726,63.94444444,1033.333333,0.406703003,0.39463152,0.422728618,0.40285818,0
0.25168741,-13983.73031,148122.3257,109625.6688,6173.271242,35.40014388,-0.333947883,0.797646037,0.413533116,0.910726087,0.570602845,0.092012896,64.60694897,-126.5428882,65.06297503,0.000373071,0.147619071,19.92920541,64.9,934.0,0.465647156,0.601564346,0.480455123,0.619516602,0
0.247804048,-13896.57747,148535.0677,109710.7581,6330.220968,35.39201596,-0.3325,0.803876206,0.401969453,0.929721417,0.570071429,0.087734589,64.9903537,-126.607717,64.37459807,0.000673,0.2,8.540522667,61.80952381,1173.333333,0.310165721,0.471445425,0.323575456,0.478308529,1
0.244857969,-13828.84929,148375.8204,109716.7414,6238.604885,35.40531905,-0.331955587,0.802197708,0.405101719,0.915806313,0.554691412,0.083172519,65.65186246,-127.5071633,64.48853868,5.2e-05,0.066667,5.631385714,64.96666667,929.3333333,0.538190708,0.610852151,0.547438067,0.627500383,0
0.246837859,-13874.19287,148098.7886,109678.3038,6140.66765,35.42395469,-0.332222549,0.801476471,0.406887255,0.898197059,0.585311881,0.095306165,65.74705882,-127.6598039,64.53921569,0.000399455,0.148484864,14.02827642,62.30952381,965.7142857,0.346058659,0.38894083,0.358942821,0.388026222,0
0.274146562,-14418.387,147981.7674,109670.5916,6107.108059,35.47204242,-0.334394161,0.798797445,0.410658759,0.89330292,0.575296296,0.092372816,65.75729927,-127.7043796,64.76277372,0.001434095,0.200000095,42.07170606,62.68181818,983.6363636,0.414168805,0.589925217,0.42440701,0.596303268,0
0.29654496,-14824.19109,148209.0705,109722.7799,6170.811511,35.54139048,-0.336375897,0.797684362,0.411340029,0.897084648,0.591311047,0.096444961,65.54949785,-127.5624103,64.80774749,0.0012005,0.311111,32.43240118,64.53333333,929.3333333,0.510031383,0.49494314,0.522957316,0.513949547,0
0.298551933,-14856.43765,148484.792,109762.3097,6238.120567,35.58842188,-0.340619385,0.796397163,0.410550827,0.896810427,0.58677619,0.075718519,65.39952719,-127.4539007,64.643026,0.0,0.0,16.33380784,65.55555556,960.0,0.363810351,0.948470893,0.359985403,0.959429957,1
0.307115145,-14985.92829,148347.8351,109770.1491,6171.208772,35.63268208,-0.342937173,0.79460733,0.412200698,0.902549738,0.571106383,0.10139924,65.39790576,-127.6579407,64.66841187,0.000813286,0.142857286,23.3664913,64.70833333,933.3333333,0.328582945,0.482644989,0.34072301,0.494105192,0
0.313503189,-15079.62402,148226.2945,109761.1335,6108.436441,35.68526573,-0.344393235,0.793646934,0.413458774,0.893983087,0.581479657,0.090925508,65.32135307,-127.6617336,64.71247357,0.001267,0.25,21.20879825,67.09090909,883.6363636,0.583948093,0.576792329,0.589521581,0.596857049,1
0.30911639,-15016.34679,148376.0953,109797.4617,6173.052349,35.73284889,-0.34352075,0.794274431,0.412709505,0.909219545,0.564815718,0.103710042,65.52074967,-127.6626506,64.63052209,0.0,0.0,10.43606556,67.90909091,893.3333333,0.262036222,0.7315998,0.263692469,0.742745551,0
0.301093667,-14895.74392,148455.2978,109820.0878,6214.635971,35.77712857,-0.338647059,0.799814921,0.403870875,0.991551079,0.514215743,0.123464072,65.54806313,-127.527977,64.1276901,0.0,0.0,3.77042619,66.88888889,937.7777778,0.473166496,0.347152516,0.481186753,0.369276858,1
0.294383438,-14789.8641,148355.4512,109821.4543,6149.696124,35.80646667,-0.323083462,0.811599691,0.392771252,0.880964451,0.562009317,0.10426087,66.23647604,-127.950541,63.68469861,0.0,0.0,1.461269231,63.0,1090.769231,0.379897319,0.35097409,0.391091033,0.367081161,0
0.286578765,-14660.37257,148296.594,109814.3188,6131.624161,35.84070718,-0.324512563,0.809043551,0.397502513,0.887531987,0.575814626,0.095254867,66.12060302,-127.881072,63.93299832,0.0,0.0,0.607515278,65.61538462,906.1538462,0.323241723,0.480231759,0.332266482,0.487650134,1
0.285892722,-14648.38526,148024.5612,109766.2978,6041.948201,35.86998095,-0.325007174,0.80797561,0.398797704,0.902038793,0.559447977,0.10247205,66.0215208,-127.8464849,63.88952654,0.0008233,0.2200001,8.550818824,64.82142857,978.5714286,0.51820376,0.618684424,0.524571012,0.641786631,1
0.288196368,-14688.05822,148254.1982,109829.0193,6132.163158,35.90704046,-0.326547993,0.807390925,0.399827225,0.90065035,0.566444056,0.094890335,66.08551483,-127.9057592,63.94589878,0.0,0.0,8.851514493,67.07692308,898.4615385,0.576527758,0.65071622,0.58157158,0.67700141,0
0.29400178,-14783.46725,148059.7472,109813.9321,6067.308176,36.0053444,-0.364605528,0.786835427,0.410017588,0.857913098,0.412408861,-0.054129117,66.94346734,-133.138191,64.29020101,0.0005255,0.141666625,17.96819271,64.3125,1013.75,0.43543963,0.282258166,0.442031183,0.290057002,1
0.295975822,-14815.64595,148023.3257,109805.8366,6023.234205,36.0201295,-0.38097177,0.769591748,0.431522258,0.897340934,0.575631004,0.103120609,66.65798046,-134.640608,65.04451683,0.0,0.0,8.430970536,63.84615385,946.6666667,0.402960164,0.419204394,0.412431818,0.435339647,1
0.293837844,-14781.23019,147870.028,109774.4694,5964.602452,36.01879651,-0.382635253,0.767537522,0.434340314,0.908619546,0.541469965,0.09413806,66.73123909,-135.2809773,65.2600349,0.0,0.0,2.817434783,62.7826087,960.0,0.532827128,0.455060903,0.537692654,0.51510935,0
0.28912777,-14703.52327,147841.0085,109780.8803,5976.932845,36.03208032,-0.383767357,0.765047503,0.437883069,0.890633374,0.564540541,0.101857702,66.86236297,-135.6236297,65.56394641,0.0,0.0,1.090255556,65.16666667,920.0,0.361101061,0.341786364,0.36611315,0.369705257,0
0.285591762,-14643.77424,147682.0496,109760.5535,5912.139535,36.0436134,-0.385658423,0.76168779,0.442318393,0.893618238,0.543993769,0.100431177,66.89335394,-135.885626,65.73724884,0.000138,0.066667,1.240148718,66.13793103,902.0689655,0.394313668,0.500800843,0.4041729,0.527158996,1
0.283183266,-14602.094,147757.4026,109773.3935,5946.136364,36.03920601,-0.386444301,0.759643782,0.445465026,0.894146373,0.562067708,0.104052632,66.73056995,-135.619171,65.75906736,0.0,0.0,0.946472043,65.84848485,921.2121212,0.382705019,0.482320709,0.397737808,0.496233255,1
