EA,EL,PI,PR,PG,TH,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,SA,SR,SF,HR,BI,left eye 1,left eye 2,right eye 1,right eye 2,Accuracy of AI response,Image authentic?,response
0.119112824,-7796.775448,143235.4206,111772.4301,7234.005924,34.12302745,-0.071553719,0.681840614,0.673583235,0.870639906,0.578387441,0.089156129,71.72373081,-118.2030697,88.13459268,0.000137552,0.174712655,47.83742843,17.0,55760.0,0.530438109,0.581822643,0.525654797,0.600710223,1.0,1.0,1
0.121528909,-8030.328714,143219.0941,111818.7755,7205.810484,34.17901333,-0.074097724,0.682902276,0.672157965,0.869271754,0.60540327,0.093247423,71.86345382,-118.8273092,88.0227577,0.000108043,0.176811609,48.53370222,14.5,8790.0,0.381841421,0.427847659,0.379321425,0.437205934,0.0,0.0,0
0.123926098,-8252.991463,143229.4913,111835.5678,7185.932886,34.25967556,-0.075847185,0.682652815,0.672009383,0.873276139,0.607528533,0.0953207,71.93699732,-119.0281501,87.95978552,0.000155944,0.170370389,44.42527556,21.3,2952.0,0.646725125,0.288554912,0.645112798,0.311042429,1.0,0.0,1
0.126864401,-8514.19252,143298.8076,111854.2517,7210.474273,34.40856089,-0.074470457,0.683453735,0.671272018,0.868552954,0.583061798,0.095713759,71.8483835,-118.9710145,87.92419175,0.000119097,0.135483935,43.87921019,24.6,6416.0,0.530403027,0.36800922,0.529129794,0.384442018,1.0,1.0,0
0.129969093,-8777.830013,143285.7544,111847.3611,7187.971812,34.55287168,-0.073356091,0.684631861,0.670384203,0.879993307,0.579463514,0.094626609,71.90093708,-118.9665328,87.73895582,0.000121267,0.144444533,52.34734,24.8,3376.0,0.503562251,0.436476783,0.497710346,0.456073862,1.0,0.0,1
0.132476136,-8981.77042,143311.002,111842.121,7192.868952,34.67374667,-0.071130522,0.685953815,0.669002008,0.87403012,0.56904829,0.10085,71.97590361,-118.8373494,87.60441767,0.000136579,0.133333368,58.67069508,30.75,2620.0,0.577296204,0.531844705,0.577118131,0.564350324,0.0,0.0,1
0.135144287,-9189.941786,143300.3426,111828.7834,7174.63728,34.79495021,-0.071628141,0.684736181,0.670030151,0.877679648,0.574318066,0.101751009,71.94346734,-118.8668342,87.7701005,0.000111077,0.117948846,54.80158438,33.92307692,2369.230769,0.537204193,0.491108383,0.5409668,0.519796879,0.0,1.0,0
0.138519533,-9442.223617,143249.4025,111809.1447,7122.378616,34.93001255,-0.072642409,0.685080301,0.669091593,0.881895859,0.569959236,0.103989348,71.91217064,-118.8858218,87.61606023,0.0001408,0.15199996,52.19014375,44.22727273,1476.363636,0.276270764,0.339188193,0.272296159,0.355445667,1.0,0.0,1
0.141784227,-9674.864827,143259.3125,111819.5333,7127.831944,35.06861927,-0.072800554,0.684890582,0.668698061,0.878096953,0.577785814,0.100940916,71.94459834,-118.900277,87.51939058,0.000116645,0.122580613,55.36128966,51.09090909,1309.090909,0.502387598,0.545369637,0.501710868,0.563005985,1.0,1.0,0
0.144782443,-9879.263044,143269.0358,111824.4254,7125.502985,35.18300493,-0.073302083,0.685197917,0.668275298,0.871040179,0.583233883,0.101501608,71.95238095,-118.8928571,87.54613095,0.000115333,0.123456815,55.08815062,42.58333333,2270.0,0.285710959,0.352221926,0.292984542,0.366557494,1.0,0.0,0
