LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1660659826.982851,235791.000,22487,1,EL,1,100,26443.800781
1660659827.044338,235851.000,22504,1,EL,1,100,26443.599609
1660659827.110948,235916.000,22519,2,EL,1,100,26443.150391
1660659827.177558,235981.000,22519,2,EL,1,100,26443.199219
1660659827.244680,236046.500,22535,2,EL,1,100,26443.250000
1660659827.311803,236112.000,22535,2,EL,1,100,26443.500000
1660659827.378413,236177.000,22553,1,EL,1,100,26443.199219
1660659827.445023,236242.000,22569,2,EL,1,100,26443.449219
1660659827.511633,236307.000,22569,2,EL,1,100,26443.449219
1660659827.578243,236372.000,22585,1,EL,1,100,26443.599609
1660659827.643316,236435.500,22601,2,EL,1,100,26443.650391
1660659827.708389,236499.000,22601,2,EL,1,100,26443.699219
1660659827.774999,236564.000,22624,2,EL,1,100,26443.699219
1660659827.841609,236629.000,22624,2,EL,1,100,26443.750000
1660659827.909244,236695.000,22640,1,EL,1,100,26443.849609
1660659827.974829,236759.000,22658,2,EL,1,100,26443.900391
1660659828.040415,236823.000,22658,2,EL,1,100,26443.750000
1660659828.108049,236889.000,22674,1,EL,1,100,26443.750000
1660659828.175172,236954.500,22689,2,EL,1,100,26443.800781
1660659828.242295,237020.000,22689,2,EL,1,100,26443.750000
1660659828.308905,237085.000,22706,2,EL,1,100,26443.849609
1660659828.375515,237150.000,22706,2,EL,1,100,26443.599609
1660659828.443150,237216.000,22723,1,EL,1,100,26444.099609
1660659828.510272,237281.500,22739,2,EL,1,100,26443.849609
1660659828.577394,237347.000,22739,2,EL,1,100,26443.849609
1660659828.641955,237410.000,22755,1,EL,1,100,26443.849609
1660659828.709077,237475.500,22772,2,EL,1,100,26443.900391
1660659828.776200,237541.000,22772,2,EL,1,100,26443.650391
1660659828.842810,237606.000,22789,1,EL,1,100,26443.750000
1660659828.908395,237670.000,22805,2,EL,1,100,26443.699219
1660659828.973981,237734.000,22805,2,EL,1,100,26443.650391
1660659829.039566,237798.000,22823,1,EL,1,100,26444.000000
1660659829.106688,237863.500,22837,2,EL,1,100,26443.650391
1660659829.173811,237929.000,22837,2,EL,1,100,26443.800781
1660659829.240933,237994.500,22854,2,EL,1,100,26443.800781
1660659829.308056,238060.000,22854,2,EL,1,100,26443.949219
1660659829.375691,238126.000,22871,1,EL,1,100,26444.050781
1660659829.442301,238191.000,22888,2,EL,1,100,26443.849609
1660659829.508911,238256.000,22888,2,EL,1,100,26443.900391
1660659829.575521,238321.000,22902,1,EL,1,100,26443.900391
1660659829.642131,238386.000,22920,2,EL,1,100,26443.900391
1660659829.708741,238451.000,22920,2,EL,1,100,26443.750000
1660659829.776376,238517.000,22937,1,EL,1,100,26443.900391
1660659829.841961,238581.000,22954,2,EL,1,100,26444.099609
1660659829.907547,238645.000,22954,2,EL,1,100,26443.900391
1660659829.973132,238709.000,22970,1,EL,1,100,26443.900391
1660659830.039230,238773.500,22986,2,EL,1,100,26443.900391
1660659830.105327,238838.000,22986,2,EL,1,100,26443.949219
1660659830.171937,238903.000,23002,2,EL,1,100,26444.150391
1660659830.238548,238968.000,23002,2,EL,1,100,26444.099609
1660659830.307207,239035.000,23019,1,EL,1,100,26444.099609
1660659830.373817,239100.000,23036,2,EL,1,100,26444.199219
1660659830.440428,239165.000,23036,2,EL,1,100,26444.050781
1660659830.507038,239230.000,23052,1,EL,1,100,26444.300781
1660659830.574160,239295.500,23067,2,EL,1,100,26444.099609
1660659830.641283,239361.000,23067,2,EL,1,100,26443.949219
1660659830.707893,239426.000,23085,1,EL,1,100,26444.150391
1660659830.773990,239490.500,23102,2,EL,1,100,26444.050781
1660659830.840088,239555.000,23102,2,EL,1,100,26444.050781
1660659830.905673,239619.000,23119,1,EL,1,100,26444.199219
1660659830.971771,239683.500,23134,2,EL,1,100,26444.199219
1660659831.037869,239748.000,23134,2,EL,1,100,26444.150391
1660659831.103966,239812.500,23151,2,EL,1,100,26444.150391
1660659831.170064,239877.000,23151,2,EL,1,100,26444.150391
1660659831.238724,239944.000,23167,1,EL,1,100,26444.050781
1660659831.304309,240008.000,23185,2,EL,1,100,26444.250000
1660659831.369895,240072.000,23185,2,EL,1,100,26444.400391
1660659831.437529,240138.000,23201,1,EL,1,100,26444.400391
1660659831.504652,240203.500,23216,2,EL,1,100,26444.900391
1660659831.571774,240269.000,23216,2,EL,1,100,26444.699219
1660659831.638384,240334.000,23232,1,EL,1,100,26444.900391
1660659831.704482,240398.500,23251,2,EL,1,100,26444.949219
1660659831.770580,240463.000,23251,2,EL,1,100,26445.050781
1660659831.837702,240528.500,23267,2,EL,1,100,26445.050781
1660659831.904825,240594.000,23267,2,EL,1,100,26445.050781
1660659831.969385,240657.000,23282,1,EL,1,100,26445.000000
1660659832.035995,240722.000,23299,2,EL,1,100,26444.849609
