LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1660659827.044338,235851.000,22499,1,SF,1,100,0.0000
1660659827.378413,236177.000,22548,1,SF,1,100,0.0000
1660659827.708389,236499.000,22596,1,SF,1,100,0.0000
1660659828.040415,236823.000,22653,1,SF,1,100,0.0000
1660659828.375515,237150.000,22701,1,SF,1,100,0.0000
1660659828.776200,237541.000,22767,1,SF,1,100,0.0000
1660659829.039566,237798.000,22818,1,SF,1,100,0.0000
1660659829.375691,238126.000,22866,1,SF,1,100,0.0000
1660659829.708741,238451.000,22915,1,SF,1,100,0.0000
1660659830.105327,238838.000,22981,1,SF,1,100,0.0000
1660659830.440428,239165.000,23031,1,SF,1,100,0.0000
1660659830.707893,239426.000,23080,1,SF,1,100,0.0000
1660659831.037869,239748.000,23129,1,SF,1,100,0.0000
1660659831.369895,240072.000,23180,1,SF,1,100,0.0000
1660659831.770580,240463.000,23246,1,SF,1,100,0.0000
1660659832.102605,240787.000,23294,1,SF,1,100,0.0000
1660659832.366996,241045.000,23345,1,SF,1,100,0.0000
1660659832.702096,241372.000,23393,1,SF,1,100,0.0000
1660659833.035147,241697.000,23448,1,SF,1,100,0.0000
1660659833.369222,242023.000,23498,1,SF,1,100,0.0000
1660659833.701248,242347.000,23547,1,SF,1,100,0.0000
1660659834.100908,242737.000,23615,1,SF,1,100,0.0000
1660659834.368373,242998.000,23665,1,SF,1,100,0.0000
1660659834.699374,243321.000,23714,1,SF,1,100,0.0000
1660659835.032425,243646.000,23763,1,SF,1,100,0.0000
1660659835.431061,244035.000,23828,1,SF,1,100,0.0000
1660659835.764111,244360.000,23880,1,SF,1,100,0.0000
1660659836.029526,244619.000,23928,1,SF,1,100,0.0000
1660659836.363602,244945.000,23977,1,SF,1,100,0.0000
1660659836.695627,245269.000,24027,1,SF,1,100,0.0000
1660659837.028678,245594.000,24077,1,SF,1,100,0.0000
1660659837.428338,245984.000,24142,1,SF,1,100,0.0000
1660659837.693754,246243.000,24193,1,SF,1,100,0.0000
1660659838.025780,246567.000,24242,1,SF,1,100,0.0000
1660659838.426465,246958.000,24297,1,SF,1,100,0.0000
1660659838.692905,247218.000,24346,1,SF,1,100,0.0000
1660659839.022882,247540.000,24395,1,SF,1,100,0.0000
1660659839.356957,247866.000,24446,1,SF,1,100,0.0000
1660659839.757642,248257.000,24512,1,SF,1,100,0.0000
1660659840.088643,248580.000,24560,1,SF,1,100,0.0000
1660659840.357133,248842.000,24609,1,SF,1,100,0.0000
1660659840.689158,249166.000,24661,1,SF,1,100,0.0000
1660659841.021184,249490.000,24711,1,SF,1,100,0.0000
1660659841.421870,249881.000,24776,1,SF,1,100,0.0000
1660659841.753895,250205.000,24827,1,SF,1,100,0.0000
1660659842.021360,250466.000,24876,1,SF,1,100,0.0000
1660659842.351336,250788.000,24924,1,SF,1,100,0.0000
1660659842.685412,251114.000,24975,1,SF,1,100,0.0000
1660659843.086097,251505.000,25041,1,SF,1,100,0.0000
1660659843.415048,251826.000,25091,1,SF,1,100,0.0000
1660659843.682513,252087.000,25148,1,SF,1,100,0.0000
1660659844.016589,252413.000,25198,1,SF,1,100,0.0000
1660659844.347590,252736.000,25247,1,SF,1,100,0.0000
1660659844.747250,253126.000,25313,1,SF,1,100,0.0000
1660659845.081326,253452.000,25365,1,SF,1,100,0.0000
1660659845.412326,253775.000,25414,1,SF,1,100,0.0000
1660659845.744352,254099.000,25465,1,SF,1,100,0.0000
1660659846.078427,254425.000,25514,1,SF,1,100,0.0000
1660659846.411478,254750.000,25564,1,SF,1,100,0.0000
1660659846.675869,255008.000,25613,1,SF,1,100,0.0000
1660659847.009944,255334.000,25662,1,SF,1,100,0.0000
1660659847.344019,255660.000,25713,1,SF,1,100,0.0000
1660659847.741630,256048.000,25781,1,SF,1,100,0.0000
1660659848.074681,256373.000,25829,1,SF,1,100,0.0000
1660659848.341121,256633.000,25879,1,SF,1,100,0.0000
1660659848.674171,256958.000,25928,1,SF,1,100,0.0000
1660659849.004148,257280.000,25985,1,SF,1,100,0.0000
1660659849.404833,257671.000,26050,1,SF,1,100,0.0000
1660659849.739933,257998.000,26101,1,SF,1,100,0.0000
1660659850.005348,258257.000,26150,1,SF,1,100,0.0000
1660659850.337374,258581.000,26198,1,SF,1,100,0.0000
1660659850.670424,258906.000,26251,1,SF,1,100,0.0000
1660659851.069060,259295.000,26317,1,SF,1,100,0.0000
1660659851.401086,259619.000,26365,1,SF,1,100,0.0000
1660659851.667526,259879.000,26417,1,SF,1,100,0.0000
1660659852.002626,260206.000,26465,1,SF,1,100,0.0000
1660659852.331578,260527.000,26514,1,SF,1,100,0.0000
1660659852.734313,260920.000,26580,1,SF,1,100,0.0000
1660659853.069412,261247.000,26630,1,SF,1,100,0.0000
1660659853.398364,261568.000,26679,1,SF,1,100,0.0000
1660659853.666854,261830.000,26727,1,SF,1,100,0.0000
1660659854.065490,262219.000,26784,1,SF,1,100,0.0000
1660659854.397515,262543.000,26835,1,SF,1,100,0.0000
1660659854.661906,262801.000,26884,1,SF,1,100,0.0000
1660659854.997006,263128.000,26935,1,SF,1,100,0.0000
1660659855.330057,263453.000,26985,1,SF,1,100,0.0000
1660659855.660033,263775.000,27034,1,SF,1,100,0.0000
1660659856.062768,264168.000,27100,1,SF,1,100,0.0000
1660659856.328183,264427.000,27150,1,SF,1,100,0.0000
1660659856.661234,264752.000,27199,1,SF,1,100,0.0000
1660659856.994284,265077.000,27248,1,SF,1,100,0.0000
1660659857.392920,265466.000,27313,1,SF,1,100,0.0000
1660659857.725970,265791.000,27365,1,SF,1,100,0.0000
1660659857.991386,266050.000,27413,1,SF,1,100,0.0000
1660659858.324436,266375.000,27462,1,SF,1,100,0.0000
1660659858.658512,266701.000,27512,1,SF,1,100,0.0000
1660659859.056123,267089.000,27580,1,SF,1,100,0.0000
1660659859.389173,267414.000,27634,1,SF,1,100,0.0000
1660659859.655613,267674.000,27685,1,SF,1,100,0.0000
1660659859.988664,267999.000,27734,1,SF,1,100,0.0000
1660659860.320690,268323.000,27782,1,SF,1,100,0.0000
1660659860.654765,268649.000,27833,1,SF,1,100,0.0000
1660659861.053401,269038.000,27899,1,SF,1,100,0.0000
1660659861.384402,269361.000,27947,1,SF,1,100,0.0000
1660659861.650842,269621.000,27999,1,SF,1,100,0.0000
1660659861.984917,269947.000,28049,1,SF,1,100,0.0000
1660659862.313869,270268.000,28098,1,SF,1,100,0.0000
1660659862.714554,270659.000,28164,1,SF,1,100,0.0000
1660659863.048629,270985.000,28214,1,SF,1,100,0.0000
1660659863.311995,271242.000,28263,1,SF,1,100,0.0000
1660659863.646070,271568.000,28311,1,SF,1,100,0.0000
1660659863.979121,271893.000,28363,1,SF,1,100,0.0000
1660659864.377757,272282.000,28428,1,SF,1,100,0.0000
1660659864.711832,272608.000,28482,1,SF,1,100,0.0000
1660659865.044882,272933.000,28535,1,SF,1,100,0.0000
1660659865.312347,273194.000,28583,1,SF,1,100,0.0000
1660659865.642323,273516.000,28632,1,SF,1,100,0.0000
1660659865.977423,273843.000,28683,1,SF,1,100,0.0000
1660659866.376059,274232.000,28750,1,SF,1,100,0.0000
1660659866.641475,274491.000,28800,1,SF,1,100,0.0000
1660659866.973500,274815.000,28848,1,SF,1,100,0.0000
1660659867.306551,275140.000,28899,1,SF,1,100,0.0000
1660659867.707236,275531.000,28965,1,SF,1,100,0.0000
1660659868.039262,275855.000,29013,1,SF,1,100,0.0000
1660659868.372313,276180.000,29066,1,SF,1,100,0.0000
1660659868.639778,276441.000,29114,1,SF,1,100,0.0000
1660659868.968729,276762.000,29164,1,SF,1,100,0.0000
1660659869.304854,277090.000,29214,1,SF,1,100,0.0000
1660659869.704514,277480.000,29285,1,SF,1,100,0.0000
1660659870.033466,277801.000,29334,1,SF,1,100,0.0000
1660659870.368566,278128.000,29386,1,SF,1,100,0.0000
1660659870.637056,278390.000,29436,1,SF,1,100,0.0000
1660659870.967032,278712.000,29484,1,SF,1,100,0.0000
1660659871.300082,279037.000,29537,1,SF,1,100,0.0000
1660659871.701792,279429.000,29603,1,SF,1,100,0.0000
1660659872.033818,279753.000,29651,1,SF,1,100,0.0000
1660659872.297184,280010.000,29702,1,SF,1,100,0.0000
1660659872.633309,280338.000,29750,1,SF,1,100,0.0000
1660659872.965334,280662.000,29800,1,SF,1,100,0.0000
1660659873.362945,281050.000,29865,1,SF,1,100,0.0000
1660659873.697021,281376.000,29916,1,SF,1,100,0.0000
1660659873.964486,281637.000,29967,1,SF,1,100,0.0000
1660659874.294462,281959.000,30015,1,SF,1,100,0.0000
1660659874.627512,282284.000,30066,1,SF,1,100,0.0000
1660659875.027173,282674.000,30121,1,SF,1,100,0.0000
1660659875.360223,282999.000,30169,1,SF,1,100,0.0000
1660659875.692249,283323.000,30221,1,SF,1,100,0.0000
1660659875.958689,283583.000,30269,1,SF,1,100,0.0000
1660659876.291740,283908.000,30318,1,SF,1,100,0.0000
1660659876.623765,284232.000,30368,1,SF,1,100,0.0000
1660659876.955791,284556.000,30420,1,SF,1,100,0.0000
1660659877.356477,284947.000,30485,1,SF,1,100,0.0000
1660659877.689527,285272.000,30536,1,SF,1,100,0.0000
1660659877.953918,285530.000,30585,1,SF,1,100,0.0000
1660659878.287993,285856.000,30635,1,SF,1,100,0.0000
1660659878.622068,286182.000,30686,1,SF,1,100,0.0000
1660659879.018655,286569.000,30752,1,SF,1,100,0.0000
1660659879.285095,286829.000,30800,1,SF,1,100,0.0000
1660659879.618145,287154.000,30849,1,SF,1,100,0.0000
1660659879.951196,287479.000,30902,1,SF,1,100,0.0000
1660659880.284246,287804.000,30940,1,SF,1,100,0.0000
1660659880.749492,288258.000,31006,1,SF,1,100,0.0000
1660659880.948298,288452.000,31038,1,SF,1,100,0.0000
1660659881.281348,288777.000,31088,1,SF,1,100,0.0000
1660659881.681009,289167.000,31154,1,SF,1,100,0.0000
1660659882.012010,289490.000,31203,1,SF,1,100,0.0000
1660659882.346085,289816.000,31253,1,SF,1,100,0.0000
1660659882.612525,290076.000,31305,1,SF,1,100,0.0000
1660659882.945576,290401.000,31353,1,SF,1,100,0.0000
1660659883.279651,290727.000,31404,1,SF,1,100,0.0000
1660659883.612701,291052.000,31452,1,SF,1,100,0.0000
1660659884.012362,291442.000,31518,1,SF,1,100,0.0000
1660659884.345412,291767.000,31569,1,SF,1,100,0.0000
1660659884.609803,292025.000,31617,1,SF,1,100,0.0000
1660659884.942854,292350.000,31667,1,SF,1,100,0.0000
1660659885.277954,292677.000,31717,1,SF,1,100,0.0000
1660659885.673515,293063.000,31790,1,SF,1,100,0.0000
1660659886.007590,293389.000,31839,1,SF,1,100,0.0000
