LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1660659835.026276,243640.000,23777,2,MX,1,100,-13
1660659835.065217,243678.000,23794,3,MX,1,100,-15
1660659835.104159,243716.000,23794,3,MX,1,100,-15
1660659835.143100,243754.000,23794,3,MX,1,100,-14
1660659835.182041,243792.000,23810,3,MX,1,100,-14
1660659835.220983,243830.000,23810,3,MX,1,100,-15
1660659835.259924,243868.000,23810,3,MX,1,100,-16
1660659835.301427,243908.500,23825,2,MX,1,100,-16
1660659835.342930,243949.000,23825,2,MX,1,100,-16
1660659835.381530,243986.667,23842,3,MX,1,100,-16
1660659835.420130,244024.333,23842,3,MX,1,100,-16
1660659835.458729,244062.000,23842,3,MX,1,100,-15
1660659835.497670,244100.000,23859,3,MX,1,100,-14
1660659835.536612,244138.000,23859,3,MX,1,100,-14
1660659835.575553,244176.000,23859,3,MX,1,100,-14
1660659835.616032,244215.500,23875,2,MX,1,100,-14
1660659835.656510,244255.000,23875,2,MX,1,100,-14
1660659835.695793,244293.333,23893,3,MX,1,100,-13
1660659835.735076,244331.667,23893,3,MX,1,100,-14
1660659835.774359,244370.000,23893,3,MX,1,100,-13
1660659835.816374,244411.000,23908,2,MX,1,100,-13
1660659835.858390,244452.000,23908,2,MX,1,100,-13
1660659835.899381,244492.000,23925,2,MX,1,100,-14
1660659835.940372,244532.000,23925,2,MX,1,100,-14
1660659835.978971,244569.667,23942,3,MX,1,100,-13
1660659836.017571,244607.333,23942,3,MX,1,100,-14
1660659836.056170,244645.000,23942,3,MX,1,100,-14
1660659836.101260,244689.000,23959,3,MX,1,100,-13
1660659836.146350,244733.000,23959,3,MX,1,100,-13
1660659836.191440,244777.000,23959,3,MX,1,100,-13
1660659836.224745,244809.500,23973,2,MX,1,100,-14
1660659836.258050,244842.000,23973,2,MX,1,100,-13
1660659836.302457,244885.333,23991,3,MX,1,100,-14
1660659836.346864,244928.667,23991,3,MX,1,100,-14
1660659836.391271,244972.000,23991,3,MX,1,100,-13
1660659836.429870,245009.667,24007,3,MX,1,100,-12
1660659836.468470,245047.333,24007,3,MX,1,100,-11
1660659836.507070,245085.000,24007,3,MX,1,100,-13
1660659836.547548,245124.500,24024,2,MX,1,100,-14
1660659836.588027,245164.000,24024,2,MX,1,100,-13
1660659836.627309,245202.333,24041,3,MX,1,100,-14
1660659836.666592,245240.667,24041,3,MX,1,100,-13
1660659836.705875,245279.000,24041,3,MX,1,100,-11
1660659836.744475,245316.667,24057,3,MX,1,100,-12
1660659836.783074,245354.333,24057,3,MX,1,100,-13
1660659836.821674,245392.000,24057,3,MX,1,100,-12
1660659836.862665,245432.000,24073,2,MX,1,100,-13
1660659836.903656,245472.000,24073,2,MX,1,100,-13
1660659836.942939,245510.333,24091,3,MX,1,100,-13
1660659836.982222,245548.667,24091,3,MX,1,100,-12
1660659837.021504,245587.000,24091,3,MX,1,100,-12
1660659837.064033,245628.500,24107,2,MX,1,100,-12
1660659837.106560,245670.000,24107,2,MX,1,100,-13
1660659837.145160,245707.667,24122,3,MX,1,100,-14
1660659837.183760,245745.333,24122,3,MX,1,100,-13
1660659837.222359,245783.000,24122,3,MX,1,100,-14
1660659837.263863,245823.500,24138,2,MX,1,100,-14
1660659837.305366,245864.000,24138,2,MX,1,100,-14
1660659837.344307,245902.000,24156,3,MX,1,100,-15
1660659837.383249,245940.000,24156,3,MX,1,100,-13
1660659837.422190,245978.000,24156,3,MX,1,100,-13
1660659837.465913,246020.667,24172,3,MX,1,100,-14
1660659837.509637,246063.333,24172,3,MX,1,100,-15
1660659837.553360,246106.000,24172,3,MX,1,100,-15
1660659837.587178,246139.000,24189,2,MX,1,100,-14
1660659837.620995,246172.000,24189,2,MX,1,100,-14
1660659837.665402,246215.333,24205,3,MX,1,100,-14
1660659837.709809,246258.667,24205,3,MX,1,100,-14
1660659837.754215,246302.000,24205,3,MX,1,100,-15
1660659837.794694,246341.500,24222,2,MX,1,100,-14
1660659837.835172,246381.000,24222,2,MX,1,100,-15
1660659837.874114,246419.000,24238,3,MX,1,100,-14
1660659837.913055,246457.000,24238,3,MX,1,100,-14
1660659837.951996,246495.000,24238,3,MX,1,100,-14
1660659837.990937,246533.000,24256,3,MX,1,100,-16
1660659838.029879,246571.000,24256,3,MX,1,100,-16
1660659838.068820,246609.000,24256,3,MX,1,100,-14
1660659838.107420,246646.667,24272,3,MX,1,100,-14
1660659838.146019,246684.333,24272,3,MX,1,100,-15
1660659838.184619,246722.000,24272,3,MX,1,100,-15
1660659838.229709,246766.000,24294,3,MX,1,100,-14
1660659838.274799,246810.000,24294,3,MX,1,100,-15
1660659838.319889,246854.000,24294,3,MX,1,100,-15
1660659838.353194,246886.500,24309,2,MX,1,100,-15
1660659838.386499,246919.000,24309,2,MX,1,100,-15
1660659838.430906,246962.333,24326,3,MX,1,100,-14
1660659838.475312,247005.667,24326,3,MX,1,100,-16
1660659838.519719,247049.000,24326,3,MX,1,100,-14
1660659838.558319,247086.667,24342,3,MX,1,100,-15
1660659838.596919,247124.333,24342,3,MX,1,100,-13
1660659838.635518,247162.000,24342,3,MX,1,100,-13
1660659838.676509,247202.000,24360,2,MX,1,100,-15
1660659838.717500,247242.000,24360,2,MX,1,100,-14
1660659838.756783,247280.333,24377,3,MX,1,100,-14
1660659838.796066,247318.667,24377,3,MX,1,100,-14
1660659838.835348,247357.000,24377,3,MX,1,100,-13
1660659838.876852,247397.500,24392,2,MX,1,100,-13
1660659838.918355,247438.000,24392,2,MX,1,100,-13
1660659838.956613,247475.333,24409,3,MX,1,100,-11
1660659838.994871,247512.667,24409,3,MX,1,100,-12
1660659839.033129,247550.000,24409,3,MX,1,100,-12
1660659839.072412,247588.333,24426,3,MX,1,100,-11
1660659839.111695,247626.667,24426,3,MX,1,100,-10
1660659839.150978,247665.000,24426,3,MX,1,100,-10
1660659839.189919,247703.000,24442,3,MX,1,100,-11
1660659839.228860,247741.000,24442,3,MX,1,100,-10
1660659839.267802,247779.000,24442,3,MX,1,100,-10
1660659839.309305,247819.500,24458,2,MX,1,100,-9
1660659839.350808,247860.000,24458,2,MX,1,100,-8
1660659839.392311,247900.500,24474,2,MX,1,100,-10
1660659839.433815,247941.000,24474,2,MX,1,100,-7
1660659839.473097,247979.333,24491,3,MX,1,100,-10
1660659839.512380,248017.667,24491,3,MX,1,100,-8
1660659839.551663,248056.000,24491,3,MX,1,100,-8
1660659839.593166,248096.500,24507,2,MX,1,100,-9
1660659839.634670,248137.000,24507,2,MX,1,100,-8
1660659839.673269,248174.667,24526,3,MX,1,100,-7
1660659839.711869,248212.333,24526,3,MX,1,100,-9
1660659839.750469,248250.000,24526,3,MX,1,100,-9
1660659839.794875,248293.333,24540,3,MX,1,100,-9
1660659839.839282,248336.667,24540,3,MX,1,100,-9
1660659839.883689,248380.000,24540,3,MX,1,100,-9
1660659839.916481,248412.000,24557,2,MX,1,100,-9
1660659839.949274,248444.000,24557,2,MX,1,100,-11
1660659839.993681,248487.333,24574,3,MX,1,100,-11
1660659840.038088,248530.667,24574,3,MX,1,100,-10
1660659840.082494,248574.000,24574,3,MX,1,100,-11
1660659840.121777,248612.333,24591,3,MX,1,100,-11
1660659840.161060,248650.667,24591,3,MX,1,100,-12
1660659840.200343,248689.000,24591,3,MX,1,100,-12
1660659840.241846,248729.500,24605,2,MX,1,100,-11
1660659840.283349,248770.000,24605,2,MX,1,100,-11
1660659840.322632,248808.333,24623,3,MX,1,100,-13
1660659840.361915,248846.667,24623,3,MX,1,100,-12
1660659840.401198,248885.000,24623,3,MX,1,100,-12
1660659840.442701,248925.500,24639,2,MX,1,100,-11
1660659840.484205,248966.000,24639,2,MX,1,100,-11
1660659840.522463,249003.333,24656,3,MX,1,100,-11
1660659840.560721,249040.667,24656,3,MX,1,100,-11
1660659840.598979,249078.000,24656,3,MX,1,100,-11
1660659840.637578,249115.667,24675,3,MX,1,100,-12
1660659840.676178,249153.333,24675,3,MX,1,100,-11
1660659840.714778,249191.000,24675,3,MX,1,100,-12
1660659840.757306,249232.500,24691,2,MX,1,100,-12
1660659840.799834,249274.000,24691,2,MX,1,100,-10
1660659840.838092,249311.333,24707,3,MX,1,100,-10
1660659840.876350,249348.667,24707,3,MX,1,100,-11
1660659840.914608,249386.000,24707,3,MX,1,100,-11
1660659840.956111,249426.500,24725,2,MX,1,100,-11
1660659840.997615,249467.000,24725,2,MX,1,100,-12
1660659841.042021,249510.333,24741,3,MX,1,100,-13
1660659841.086428,249553.667,24741,3,MX,1,100,-11
1660659841.130835,249597.000,24741,3,MX,1,100,-11
1660659841.164652,249630.000,24756,2,MX,1,100,-10
1660659841.198470,249663.000,24756,2,MX,1,100,-11
1660659841.242876,249706.333,24772,3,MX,1,100,-10
1660659841.287283,249749.667,24772,3,MX,1,100,-10
1660659841.331690,249793.000,24772,3,MX,1,100,-11
1660659841.364995,249825.500,24790,2,MX,1,100,-12
1660659841.398300,249858.000,24790,2,MX,1,100,-12
1660659841.442365,249901.000,24806,3,MX,1,100,-12
1660659841.486430,249944.000,24806,3,MX,1,100,-12
1660659841.530495,249987.000,24806,3,MX,1,100,-12
1660659841.569778,250025.333,24823,3,MX,1,100,-11
1660659841.609061,250063.667,24823,3,MX,1,100,-13
1660659841.648344,250102.000,24823,3,MX,1,100,-13
1660659841.689847,250142.500,24839,2,MX,1,100,-13
1660659841.731350,250183.000,24839,2,MX,1,100,-13
1660659841.769608,250220.333,24856,3,MX,1,100,-11
1660659841.807867,250257.667,24856,3,MX,1,100,-11
1660659841.846125,250295.000,24856,3,MX,1,100,-11
1660659841.885066,250333.000,24872,3,MX,1,100,-12
1660659841.924007,250371.000,24872,3,MX,1,100,-11
1660659841.962949,250409.000,24872,3,MX,1,100,-11
1660659842.004452,250449.500,24890,2,MX,1,100,-11
1660659842.045955,250490.000,24890,2,MX,1,100,-12
1660659842.084896,250528.000,24905,3,MX,1,100,-13
1660659842.123837,250566.000,24905,3,MX,1,100,-12
1660659842.162779,250604.000,24905,3,MX,1,100,-12
1660659842.204282,250644.500,24921,2,MX,1,100,-13
1660659842.245785,250685.000,24921,2,MX,1,100,-13
1660659842.284385,250722.667,24938,3,MX,1,100,-12
1660659842.322984,250760.333,24938,3,MX,1,100,-12
1660659842.361584,250798.000,24938,3,MX,1,100,-12
1660659842.403087,250838.500,24955,2,MX,1,100,-12
1660659842.444591,250879.000,24955,2,MX,1,100,-14
1660659842.483874,250917.333,24971,3,MX,1,100,-11
1660659842.523156,250955.667,24971,3,MX,1,100,-13
1660659842.562439,250994.000,24971,3,MX,1,100,-13
1660659842.603942,251034.500,24987,2,MX,1,100,-12
1660659842.645446,251075.000,24987,2,MX,1,100,-12
1660659842.687205,251115.750,25004,4,MX,1,100,-14
1660659842.728965,251156.500,25004,4,MX,1,100,-15
1660659842.770724,251197.250,25004,4,MX,1,100,-15
1660659842.812483,251238.000,25004,4,MX,1,100,-16
1660659842.854499,251279.000,25021,2,MX,1,100,-16
1660659842.896514,251320.000,25021,2,MX,1,100,-16
1660659842.934772,251357.333,25037,3,MX,1,100,-16
1660659842.973031,251394.667,25037,3,MX,1,100,-16
1660659843.011289,251432.000,25037,3,MX,1,100,-16
1660659843.053304,251473.000,25055,2,MX,1,100,-16
1660659843.095320,251514.000,25055,2,MX,1,100,-15
1660659843.134261,251552.000,25071,3,MX,1,100,-16
1660659843.173203,251590.000,25071,3,MX,1,100,-14
1660659843.212144,251628.000,25071,3,MX,1,100,-14
1660659843.250402,251665.333,25088,3,MX,1,100,-15
1660659843.288660,251702.667,25088,3,MX,1,100,-15
1660659843.326918,251740.000,25088,3,MX,1,100,-15
1660659843.367909,251780.000,25105,2,MX,1,100,-14
1660659843.408900,251820.000,25105,2,MX,1,100,-15
1660659843.448183,251858.333,25127,3,MX,1,100,-16
1660659843.487466,251896.667,25127,3,MX,1,100,-16
1660659843.526748,251935.000,25127,3,MX,1,100,-16
1660659843.568252,251975.500,25143,2,MX,1,100,-16
1660659843.609755,252016.000,25143,2,MX,1,100,-16
1660659843.648696,252054.000,25160,3,MX,1,100,-16
1660659843.687637,252092.000,25160,3,MX,1,100,-16
1660659843.726579,252130.000,25160,3,MX,1,100,-14
1660659843.768594,252171.000,25176,2,MX,1,100,-14
1660659843.810610,252212.000,25176,2,MX,1,100,-14
1660659843.849210,252249.667,25193,3,MX,1,100,-14
1660659843.887809,252287.333,25193,3,MX,1,100,-11
1660659843.926409,252325.000,25193,3,MX,1,100,-12
1660659843.970816,252368.333,25212,3,MX,1,100,-10
1660659844.015223,252411.667,25212,3,MX,1,100,-11
1660659844.059629,252455.000,25212,3,MX,1,100,-10
1660659844.102157,252496.500,25228,2,MX,1,100,-11
1660659844.144685,252538.000,25228,2,MX,1,100,-10
1660659844.182943,252575.333,25243,3,MX,1,100,-9
1660659844.221201,252612.667,25243,3,MX,1,100,-9
1660659844.259459,252650.000,25243,3,MX,1,100,-9
1660659844.300450,252690.000,25261,2,MX,1,100,-10
1660659844.341441,252730.000,25261,2,MX,1,100,-8
1660659844.380041,252767.667,25277,3,MX,1,100,-8
1660659844.418640,252805.333,25277,3,MX,1,100,-9
1660659844.457240,252843.000,25277,3,MX,1,100,-8
1660659844.495498,252880.333,25294,3,MX,1,100,-9
1660659844.533756,252917.667,25294,3,MX,1,100,-8
1660659844.572015,252955.000,25294,3,MX,1,100,-8
1660659844.614030,252996.000,25308,2,MX,1,100,-8
1660659844.656046,253037.000,25308,2,MX,1,100,-8
1660659844.695328,253075.333,25327,3,MX,1,100,-8
1660659844.734612,253113.667,25327,3,MX,1,100,-10
1660659844.773894,253152.000,25327,3,MX,1,100,-8
1660659844.812494,253189.667,25343,3,MX,1,100,-8
1660659844.851094,253227.333,25343,3,MX,1,100,-10
1660659844.889693,253265.000,25343,3,MX,1,100,-8
1660659844.931709,253306.000,25362,2,MX,1,100,-9
1660659844.973725,253347.000,25362,2,MX,1,100,-10
1660659845.013007,253385.333,25378,3,MX,1,100,-10
1660659845.052290,253423.667,25378,3,MX,1,100,-10
1660659845.091573,253462.000,25378,3,MX,1,100,-10
1660659845.132564,253502.000,25394,2,MX,1,100,-8
1660659845.173555,253542.000,25394,2,MX,1,100,-10
1660659845.215314,253582.750,25410,4,MX,1,100,-9
1660659845.257074,253623.500,25410,4,MX,1,100,-10
1660659845.298833,253664.250,25410,4,MX,1,100,-11
1660659845.340592,253705.000,25410,4,MX,1,100,-11
1660659845.381583,253745.000,25428,2,MX,1,100,-10
1660659845.422574,253785.000,25428,2,MX,1,100,-10
1660659845.460832,253822.333,25444,3,MX,1,100,-10
1660659845.499090,253859.667,25444,3,MX,1,100,-9
1660659845.537349,253897.000,25444,3,MX,1,100,-9
1660659845.576290,253935.000,25461,3,MX,1,100,-10
1660659845.615231,253973.000,25461,3,MX,1,100,-11
1660659845.654172,254011.000,25461,3,MX,1,100,-10
1660659845.696188,254052.000,25479,2,MX,1,100,-10
1660659845.738204,254093.000,25479,2,MX,1,100,-10
1660659845.776803,254130.667,25494,3,MX,1,100,-9
1660659845.815403,254168.333,25494,3,MX,1,100,-10
1660659845.854002,254206.000,25494,3,MX,1,100,-10
1660659845.896018,254247.000,25510,2,MX,1,100,-10
1660659845.938034,254288.000,25510,2,MX,1,100,-10
1660659845.976975,254326.000,25528,3,MX,1,100,-9
1660659846.015916,254364.000,25528,3,MX,1,100,-10
1660659846.054857,254402.000,25528,3,MX,1,100,-9
1660659846.099606,254445.667,25544,3,MX,1,100,-9
1660659846.144354,254489.333,25544,3,MX,1,100,-10
1660659846.189103,254533.000,25544,3,MX,1,100,-9
1660659846.227702,254570.667,25561,3,MX,1,100,-9
1660659846.266302,254608.333,25561,3,MX,1,100,-11
1660659846.304902,254646.000,25561,3,MX,1,100,-8
1660659846.346405,254686.500,25576,2,MX,1,100,-10
1660659846.387908,254727.000,25576,2,MX,1,100,-9
1660659846.426166,254764.333,25593,3,MX,1,100,-9
1660659846.464424,254801.667,25593,3,MX,1,100,-8
