LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1660660108.356174,510363,1131,1,SA,1,100,0.000003
1660660108.953615,510946,1215,1,SA,1,100,0.000003
1660660109.950717,511919,1365,1,SA,1,100,0.000002
1660660110.881208,512827,1518,1,SA,1,100,0.000002
1660660111.148674,513088,1625,1,SA,1,100,0.000016
1660660111.748164,513673,1643,1,SA,1,100,0.000011
1660660112.080190,513997,1711,1,SA,1,100,0.000004
1660660112.282070,514194,1765,1,SA,1,100,0.000012
1660660112.812901,514712,1898,1,SA,1,100,0.000047
1660660113.546637,515428,2013,1,SA,1,100,0.000056
1660660114.409494,516270,2101,1,SA,1,100,0.000021
1660660114.875764,516725,2184,1,SA,1,100,0.000032
1660660115.607451,517439,2270,1,SA,1,100,0.000010
1660660115.807281,517634,2306,1,SA,1,100,0.000011
1660660116.006086,517828,2339,1,SA,1,100,0.000017
1660660116.337087,518151,2409,1,SA,1,100,0.000016
1660660116.537942,518347,2433,1,SA,1,100,0.000014
1660660117.734874,519515,2751,1,SA,1,100,0.000072
1660660118.933856,520685,2834,1,SA,1,100,0.000018
1660660119.401152,521141,2902,1,SA,1,100,0.000023
1660660119.597908,521333,2940,1,SA,1,100,0.000021
1660660119.865373,521594,2991,1,SA,1,100,0.000038
1660660120.265033,521984,3042,1,SA,1,100,0.000002
1660660120.730279,522438,3143,1,SA,1,100,0.000027
1660660121.130965,522829,3213,1,SA,1,100,0.000042
1660660121.660771,523346,3284,1,SA,1,100,0.000010
1660660121.856502,523537,3303,1,SA,1,100,0.000013
1660660122.128066,523802,3359,1,SA,1,100,0.000065
1660660122.525677,524190,3393,1,SA,1,100,0.000001
1660660122.726532,524386,3460,1,SA,1,100,0.000011
1660660123.458219,525100,3578,1,SA,1,100,0.000028
1660660123.791269,525425,3629,1,SA,1,100,0.000051
1660660124.523980,526140,3781,1,SA,1,100,0.000059
1660660125.054811,526658,3818,1,SA,1,100,0.000022
1660660125.321252,526918,3851,1,SA,1,100,0.000003
1660660126.054987,527634,3969,1,SA,1,100,0.000007
1660660126.652429,528217,4088,1,SA,1,100,0.000027
1660660126.987529,528544,4181,1,SA,1,100,0.000061
1660660127.651580,529192,4316,1,SA,1,100,0.000077
1660660128.981732,530490,4499,1,SA,1,100,0.000026
1660660129.446978,530944,4584,1,SA,1,100,0.000057
1660660129.980884,531465,4619,1,SA,1,100,0.000023
1660660130.511715,531983,4704,1,SA,1,100,0.000016
1660660130.844765,532308,4773,1,SA,1,100,0.000016
1660660131.246475,532700,4842,1,SA,1,100,0.000036
1660660131.645111,533089,4895,1,SA,1,100,0.000030
1660660132.110357,533543,4963,1,SA,1,100,0.000032
1660660132.443408,533868,5035,1,SA,1,100,0.000014
1660660132.774408,534191,5087,1,SA,1,100,0.000019
1660660133.039824,534450,5124,1,SA,1,100,0.000015
1660660133.707974,535102,5240,1,SA,1,100,0.000036
1660660134.037951,535424,5293,1,SA,1,100,0.000027
1660660134.571856,535945,5362,1,SA,1,100,0.000006
1660660134.969467,536333,5447,1,SA,1,100,0.000002
1660660135.236932,536594,5481,1,SA,1,100,0.000014
1660660135.637618,536985,5533,1,SA,1,100,0.000024
1660660135.836423,537179,5600,1,SA,1,100,0.000045
1660660136.168449,537503,5635,1,SA,1,100,0.000025
1660660136.567085,537892,5720,1,SA,1,100,0.000025
1660660137.102015,538414,5788,1,SA,1,100,0.000016
1660660137.497576,538800,5846,1,SA,1,100,0.000025
1660660137.766066,539062,5915,1,SA,1,100,0.000041
1660660138.297922,539581,6000,1,SA,1,100,0.000038
1660660138.828753,540099,6067,1,SA,1,100,0.000013
1660660139.760270,541008,6234,1,SA,1,100,0.000012
1660660140.226540,541463,6288,1,SA,1,100,0.000025
1660660140.692811,541918,6371,1,SA,1,100,0.000008
1660660140.958227,542177,6424,1,SA,1,100,0.000026
1660660141.291277,542502,6507,1,SA,1,100,0.000044
1660660142.357038,543542,6626,1,SA,1,100,0.000035
1660660142.822284,543996,6751,1,SA,1,100,0.000050
1660660143.355165,544516,6819,1,SA,1,100,0.000041
1660660143.687191,544840,6854,1,SA,1,100,0.000008
1660660144.017167,545162,6923,1,SA,1,100,0.000030
1660660144.284632,545423,7007,1,SA,1,100,0.000057
1660660145.216149,546332,7107,1,SA,1,100,0.000003
