RD,TS_received,TS_sent,AK,RoundTrip,
236596,236639,2022-08-16_10-23-47-826031,236642,43,
241696,241736,2022-08-16_10-23-53-048879,241740,40,
246810,246859,2022-08-16_10-23-58-291293,246863,49,
251914,251939,2022-08-16_10-24-03-503380,251942,25,
257044,257069,2022-08-16_10-24-08-762297,257072,25,
262161,262240,2022-08-16_10-24-14-043300,262245,79,
267287,267320,2022-08-16_10-24-19-263079,267323,33,
272393,272424,2022-08-16_10-24-24-492531,272429,31,
277495,277519,2022-08-16_10-24-29-720417,277523,24,
282611,282708,2022-08-16_10-24-35-033348,282711,97,
287720,287800,2022-08-16_10-24-40-255794,287803,80,
292866,292890,2022-08-16_10-24-45-472049,292893,24,
297971,297994,2022-08-16_10-24-50-702597,297999,23,
303078,303103,2022-08-16_10-24-55-936013,303106,25,
308230,308302,2022-08-16_10-25-01-252626,308307,72,
313339,313385,2022-08-16_10-25-06-472815,313391,46,
318445,318471,2022-08-16_10-25-11-687370,318474,26,
323569,323594,2022-08-16_10-25-16-936758,323597,25,
328710,328734,2022-08-16_10-25-22-209441,328738,24,
333826,333868,2022-08-16_10-25-27-463264,333874,42,
338935,338963,2022-08-16_10-25-32-688235,338966,28,
344038,344064,2022-08-16_10-25-37-916605,344067,26,
349206,349256,2022-08-16_10-25-43-234580,349261,50,
354313,354370,2022-08-16_10-25-48-466051,354376,57,
359419,359448,2022-08-16_10-25-53-679740,359452,29,
364535,364635,2022-08-16_10-25-58-996089,364638,100,
369642,369666,2022-08-16_10-26-04-150726,369669,24,
374779,374819,2022-08-16_10-26-09-423957,374822,40,
379936,379971,2022-08-16_10-26-14-700056,379975,35,
385066,385094,2022-08-16_10-26-19-961873,385098,28,
390185,390217,2022-08-16_10-26-25-210753,390220,32,
395300,395323,2022-08-16_10-26-30-442530,395327,23,
400454,400478,2022-08-16_10-26-35-725808,400481,24,
405575,405608,2022-08-16_10-26-40-982044,405611,33,
410680,410709,2022-08-16_10-26-46-204337,410712,29,
415788,415818,2022-08-16_10-26-51-436041,415824,30,
420898,420923,2022-08-16_10-26-56-677388,420926,25,
426005,
431134,
436242,436292,2022-08-16_10-27-12-424362,436295,50,
441367,441390,2022-08-16_10-27-17-649618,441393,23,
446474,446497,2022-08-16_10-27-22-883762,446500,23,
451635,451688,2022-08-16_10-27-28-190017,451691,53,
456742,456779,2022-08-16_10-27-33-415739,456782,37,
461882,461905,2022-08-16_10-27-38-671780,461909,23,
467027,467078,2022-08-16_10-27-43-966837,467084,51,
472156,472183,2022-08-16_10-27-49-199395,472186,27,
477449,477562,2022-08-16_10-27-54-715209,482580,113,
482600,482657,2022-08-16_10-27-59-937618,482660,57,
487744,487768,2022-08-16_10-28-05-178453,487771,24,
492888,492945,2022-08-16_10-28-10-480930,492949,57,
497998,498046,2022-08-16_10-28-15-707582,498051,48,
503096,503125,2022-08-16_10-28-20-914787,503129,29,
508262,508285,2022-08-16_10-28-26-208744,508289,23,
513371,513394,2022-08-16_10-28-31-444866,513397,23,
518489,518513,2022-08-16_10-28-36-693881,518516,24,
523591,528694,2022-08-16_10-28-42-025017,528704,5103,
528717,528742,2022-08-16_10-28-47-176315,528746,25,
533845,533873,2022-08-16_10-28-52-431193,533877,28,
538965,539007,2022-08-16_10-28-57-691984,539013,42,
544068,544097,2022-08-16_10-29-02-911044,544100,29,
549178,549202,2022-08-16_10-29-08-145010,549206,24,
554288,554312,2022-08-16_10-29-13-383336,554316,24,
559393,559418,2022-08-16_10-29-18-618476,559421,25,
564511,564564,2022-08-16_10-29-23-894368,564567,53,
569619,569684,2022-08-16_10-29-29-132369,569690,65,
574742,574770,2022-08-16_10-29-34-352625,574774,28,
579843,579872,2022-08-16_10-29-39-579245,579875,29,
584952,584975,2022-08-16_10-29-44-812287,584978,23,
590125,590155,2022-08-16_10-29-50-116501,590159,30,
595231,595257,2022-08-16_10-29-55-345007,595261,26,
600372,600397,2022-08-16_10-30-00-613647,600400,25,
605494,605520,2022-08-16_10-30-05-859995,605524,26,
610600,610651,2022-08-16_10-30-11-114982,610654,51,
615711,615739,2022-08-16_10-30-16-331213,615742,28,
620817,620841,2022-08-16_10-30-21-560620,620844,24,
625975,626001,2022-08-16_10-30-26-848482,626004,26,
631082,631105,2022-08-16_10-30-32-082286,631109,23,
636190,636234,2022-08-16_10-30-37-333403,636238,44,
641300,641324,2022-08-16_10-30-42-552179,641327,24,
646448,646473,2022-08-16_10-30-47-824580,646477,25,
651556,651581,2022-08-16_10-30-53-059406,651584,25,
656663,656686,2022-08-16_10-30-58-294940,656690,23,
661772,661796,2022-08-16_10-31-03-528995,661799,24,
666879,666906,2022-08-16_10-31-08-764543,666909,27,
672022,672045,2022-08-16_10-31-14-034349,672048,23,
677184,677208,2022-08-16_10-31-19-324602,677212,24,
682292,682317,2022-08-16_10-31-24-557190,682320,25,
687400,687427,2022-08-16_10-31-29-792871,687430,27,
692516,692539,2022-08-16_10-31-35-036112,692542,23,
697669,697698,2022-08-16_10-31-40-318042,697701,29,
702816,702842,2022-08-16_10-31-45-586220,702845,26,
707922,707948,2022-08-16_10-31-50-820186,707952,26,
713062,713085,2022-08-16_10-31-56-087846,713089,23,
718201,718225,2022-08-16_10-32-01-357298,718228,24,
723331,723354,2022-08-16_10-32-06-608490,723357,23,
728474,728497,2022-08-16_10-32-11-882656,728500,23,
733615,733640,2022-08-16_10-32-17-149983,733644,25,
738745,738769,2022-08-16_10-32-22-406749,738772,24,
743861,743884,2022-08-16_10-32-27-646546,743888,23,
749002,749026,2022-08-16_10-32-32-916380,749029,24,
754140,754165,2022-08-16_10-32-38-182870,754168,25,
759284,759312,2022-08-16_10-32-43-458442,759316,28,
764428,764453,2022-08-16_10-32-48-728211,764456,25,
769549,769580,2022-08-16_10-32-53-979282,769583,31,
774656,774684,2022-08-16_10-32-59-209019,774687,28,
779802,779827,2022-08-16_10-33-04-480430,779830,25,
784952,784977,2022-08-16_10-33-09-758512,784980,25,
790100,790123,2022-08-16_10-33-15-035683,790127,23,
795230,795253,2022-08-16_10-33-20-293276,795257,23,
800374,800399,2022-08-16_10-33-25-565069,800402,25,
805527,805556,2022-08-16_10-33-30-842255,805559,29,
810643,810668,2022-08-16_10-33-36-086281,810672,25,
815769,815794,2022-08-16_10-33-41-344508,815797,25,
820895,820923,2022-08-16_10-33-46-597246,820927,28,
826024,826048,2022-08-16_10-33-51-848872,826051,24,
831157,831183,2022-08-16_10-33-57-112358,831186,26,
836287,836312,2022-08-16_10-34-02-368961,836316,25,
841413,841438,2022-08-16_10-34-07-619369,841441,25,
846520,846545,2022-08-16_10-34-12-854315,846549,25,
851674,851698,2022-08-16_10-34-18-132416,851702,24,
856813,856836,2022-08-16_10-34-23-400006,856839,23,
861970,862004,2022-08-16_10-34-28-689919,862008,34,
867109,867134,2022-08-16_10-34-33-951727,867137,25,
872267,872292,2022-08-16_10-34-39-238930,872295,25,
877421,877450,2022-08-16_10-34-44-523529,877453,29,
882538,882564,2022-08-16_10-34-49-763986,882567,26,
887646,887672,2022-08-16_10-34-54-998955,887676,26,
892793,892845,2022-08-16_10-35-00-301945,892848,52,
897940,897965,2022-08-16_10-35-05-549536,897968,25,
903047,903071,2022-08-16_10-35-10-782527,903074,24,
908187,908211,2022-08-16_10-35-16-050724,908214,24,
913387,913412,2022-08-16_10-35-21-380069,913416,25,
918495,918520,2022-08-16_10-35-26-613207,918523,25,
923617,923642,2022-08-16_10-35-31-859378,923645,25,
928759,928783,2022-08-16_10-35-37-129200,928787,24,
933866,933890,2022-08-16_10-35-42-365659,933893,24,
938974,939000,2022-08-16_10-35-47-597944,939003,26,
944087,944109,2022-08-16_10-35-52-835337,944112,22,
949194,949218,2022-08-16_10-35-58-070772,949222,24,
954341,954366,2022-08-16_10-36-03-347938,954369,25,
959448,959474,2022-08-16_10-36-08-582595,959477,26,
964611,964647,2022-08-16_10-36-13-874224,964652,36,
969722,969751,2022-08-16_10-36-19-111249,969754,29,
974829,974853,2022-08-16_10-36-24-339917,974857,24,
979936,979960,2022-08-16_10-36-29-572985,979963,24,
985045,985072,2022-08-16_10-36-34-809249,985076,27,
990152,990178,2022-08-16_10-36-40-042686,990182,26,
995262,995285,2022-08-16_10-36-45-278158,995288,23,
1000369,1000393,2022-08-16_10-36-50-511349,1000396,24,
1005477,1005501,2022-08-16_10-36-55-747233,1005505,24,
1010586,1010610,2022-08-16_10-37-00-983240,1010613,24,
1015730,1015754,2022-08-16_10-37-06-252978,1015757,24,
1020854,1020877,2022-08-16_10-37-11-503610,1020881,23,
1025965,1025989,2022-08-16_10-37-16-744569,1025993,24,
1031123,1031149,2022-08-16_10-37-22-027473,1031152,26,
1036231,1036255,2022-08-16_10-37-27-261469,1036258,24,
1041339,1041364,2022-08-16_10-37-32-493921,1041369,25,
1046488,1046513,2022-08-16_10-37-37-774072,1046517,25,
1051595,1051623,2022-08-16_10-37-43-005780,1051627,28,
1056704,1056728,2022-08-16_10-37-48-242132,1056731,24,
1061812,1061835,2022-08-16_10-37-53-476251,1061839,23,
1066926,1066952,2022-08-16_10-37-58-720076,1066956,26,
1072033,1072084,2022-08-16_10-38-03-956727,1072087,51,
1077142,1077166,2022-08-16_10-38-09-187794,1077169,24,
1082289,1082312,2022-08-16_10-38-14-464689,1082316,23,
1087419,1087446,2022-08-16_10-38-19-725504,1087449,27,
1092520,1092544,2022-08-16_10-38-24-950933,1092547,24,
1097678,1097702,2022-08-16_10-38-30-234057,1097705,24,
1102817,1102840,2022-08-16_10-38-35-502297,1102851,23,
1107967,1107993,2022-08-16_10-38-40-779046,1107997,26,
1113095,1113124,2022-08-16_10-38-46-034937,1113128,29,
1118286,1118311,2022-08-16_10-38-51-352712,1118314,25,
1123445,1123468,2022-08-16_10-38-56-643101,1123472,23,
1128579,1128605,2022-08-16_10-39-01-904959,1128608,26,
1133712,1133736,2022-08-16_10-39-07-163343,1133739,24,
1138851,1138913,2022-08-16_10-39-12-456220,1138916,62,
1143993,1144019,2022-08-16_10-39-17-701433,1144024,26,
1149117,1149144,2022-08-16_10-39-22-948663,1149147,27,
1154254,1154279,2022-08-16_10-39-28-214585,1154283,25,
1159384,1159412,2022-08-16_10-39-33-469585,1159416,28,
1164546,1164570,2022-08-16_10-39-38-759896,1164573,24,
1169679,1169701,2022-08-16_10-39-44-017959,1169705,22,
1174826,1174850,2022-08-16_10-39-49-296674,1174853,24,
1179934,1179961,2022-08-16_10-39-54-534605,1179965,27,
1185057,1185081,2022-08-16_10-39-59-780758,1185084,24,
1190175,1190202,2022-08-16_10-40-05-025336,1190206,27,
1195321,1195345,2022-08-16_10-40-10-298352,1195348,24,
1200476,1200505,2022-08-16_10-40-15-581765,1200509,29,
1205617,1205642,2022-08-16_10-40-20-848043,1205645,25,
1210748,1210772,2022-08-16_10-40-26-108871,1210776,24,
1215892,1215917,2022-08-16_10-40-31-378795,1215920,25,
1221036,1221064,2022-08-16_10-40-36-651336,1221067,28,
1226177,1226200,2022-08-16_10-40-41-917871,1226203,23,
1231319,1231344,2022-08-16_10-40-47-190322,1231347,25,
1236464,1236494,2022-08-16_10-40-52-465717,1236497,30,
1241570,1246720,2022-08-16_10-40-57-779367,1246735,5150,
1246748,1246771,2022-08-16_10-41-03-000578,1246774,23,
1251832,1251860,2022-08-16_10-41-08-213829,1251863,28,
1256940,1262047,2022-08-16_10-41-13-547454,1262056,5107,
1262078,1262149,2022-08-16_10-41-18-755206,1262152,71,
1267180,1267246,2022-08-16_10-41-23-980077,1267249,66,
1272289,1272315,2022-08-16_10-41-29-172422,1272318,26,
1277447,1277473,2022-08-16_10-41-34-456228,1277475,26,
1282564,1282641,2022-08-16_10-41-39-754836,1282644,77,
1287669,1287744,2022-08-16_10-41-44-985224,1287747,75,
1292758,1292843,2022-08-16_10-41-50-208050,1292849,85,
1297917,1297941,2022-08-16_10-41-55-435280,1297945,24,
1303205,1303232,2022-08-16_10-42-00-857653,1303235,27,
1308354,1308429,2022-08-16_10-42-06-184139,1308433,75,
1313463,1313547,2022-08-16_10-42-11-430612,1313550,84,
1318600,1318624,2022-08-16_10-42-16-630437,1318627,24,
1323704,1323728,2022-08-16_10-42-21-860484,1323733,24,
1328828,1328853,2022-08-16_10-42-27-115433,1328857,25,
1333976,1334004,2022-08-16_10-42-32-389454,1334007,28,
1339201,1339225,2022-08-16_10-42-37-744876,1339228,24,
1344342,1344366,2022-08-16_10-42-43-012258,1344369,24,
1349461,1349515,2022-08-16_10-42-48-271566,1349520,54,
1354576,1354603,2022-08-16_10-42-53-504708,1354606,27,
1359686,1359714,2022-08-16_10-42-58-735946,1359717,28,
1364802,1364882,2022-08-16_10-43-04-036546,1364885,80,
1369911,1369981,2022-08-16_10-43-09-261215,1369984,70,
1375063,1375086,2022-08-16_10-43-14-496091,1375090,23,
1380170,1380269,2022-08-16_10-43-19-800776,1380273,99,
1385278,1385369,2022-08-16_10-43-25-029711,1385374,91,
1390424,1390450,2022-08-16_10-43-30-237673,1390454,26,
1395549,1395581,2022-08-16_10-43-35-491802,1395584,32,
1400714,1400738,2022-08-16_10-43-40-779124,1400741,24,
1405831,1405855,2022-08-16_10-43-46-025095,1405858,24,
1410936,1410959,2022-08-16_10-43-51-258245,1410962,23,
1416037,1416074,2022-08-16_10-43-56-487744,1416078,37,
