LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1660659827.802668,236591.000,22614,1,TL,1,100,2022-08-16_10-23-42-721106
1660659827.851857,236639.000,22617,1,TL,1,100,2022-08-16_10-23-47-826031
1660659833.027973,241690.000,23442,1,TL,1,100,2022-08-16_10-23-47-929758
1660659833.075113,241736.000,23445,1,TL,1,100,2022-08-16_10-23-53-048879
1660659838.267626,246803.000,24276,1,TL,1,100,2022-08-16_10-23-53-151400
1660659838.325013,246859.000,24279,1,TL,1,100,2022-08-16_10-23-58-291293
1660659843.500104,251909.000,25108,1,TL,1,100,2022-08-16_10-23-58-373836
1660659843.530848,251939.000,25111,1,TL,1,100,2022-08-16_10-24-03-503380
1660659848.758203,257040.000,25946,1,TL,1,100,2022-08-16_10-24-03-567746
1660659848.787921,257069.000,25949,1,TL,1,100,2022-08-16_10-24-08-762297
1660659853.999904,262155.000,26779,1,TL,1,100,2022-08-16_10-24-08-922157
1660659854.087010,262240.000,26782,1,TL,1,100,2022-08-16_10-24-14-043300
1660659859.252879,267281.000,27612,1,TL,1,100,2022-08-16_10-24-14-136989
1660659859.292845,267320.000,27615,1,TL,1,100,2022-08-16_10-24-19-263079
1660659864.486382,272388.000,28445,1,TL,1,100,2022-08-16_10-24-19-365756
1660659864.523274,272424.000,28448,1,TL,1,100,2022-08-16_10-24-24-492531
1660659869.715787,277491.000,29280,1,TL,1,100,2022-08-16_10-24-24-592031
1660659869.744480,277519.000,29283,1,TL,1,100,2022-08-16_10-24-29-720417
1660659874.956464,282605.000,30115,1,TL,1,100,2022-08-16_10-24-29-810622
1660659875.062015,282708.000,30118,1,TL,1,100,2022-08-16_10-24-35-033348
1660659880.190992,287713.000,30934,1,TL,1,100,2022-08-16_10-24-35-135222
1660659880.280147,287800.000,30937,1,TL,1,100,2022-08-16_10-24-40-255794
1660659885.464462,292859.000,31749,1,TL,1,100,2022-08-16_10-24-40-358988
1660659885.496230,292890.000,31752,1,TL,1,100,2022-08-16_10-24-45-472049
1660659890.696941,297965.000,32584,1,TL,1,100,2022-08-16_10-24-45-581272
1660659890.726659,297994.000,32587,1,TL,1,100,2022-08-16_10-24-50-702597
1660659895.932494,303074.000,33419,1,TL,1,100,2022-08-16_10-24-50-803152
1660659895.962212,303103.000,33422,1,TL,1,100,2022-08-16_10-24-55-936013
1660659901.210063,308224.000,34256,1,TL,1,100,2022-08-16_10-24-56-128050
1660659901.289995,308302.000,34259,1,TL,1,100,2022-08-16_10-25-01-252626
1660659906.445616,313333.000,35073,1,TL,1,100,2022-08-16_10-25-01-378843
1660659906.498904,313385.000,35076,1,TL,1,100,2022-08-16_10-25-06-472815
1660659911.679119,318440.000,35893,1,TL,1,100,2022-08-16_10-25-06-622142
1660659911.710887,318471.000,35896,1,TL,1,100,2022-08-16_10-25-11-687370
1660659916.931069,323565.000,36711,1,TL,1,100,2022-08-16_10-25-11-899007
1660659916.960787,323594.000,36714,1,TL,1,100,2022-08-16_10-25-16-936758
1660659922.198390,328705.000,37544,1,TL,1,100,2022-08-16_10-25-17-122187
1660659922.228108,328734.000,37547,1,TL,1,100,2022-08-16_10-25-22-209441
1660659927.440092,333820.000,38361,1,TL,1,100,2022-08-16_10-25-22-365372
1660659927.489281,333868.000,38364,1,TL,1,100,2022-08-16_10-25-27-463264
1660659932.673595,338927.000,39183,1,TL,1,100,2022-08-16_10-25-27-620747
1660659932.710487,338963.000,39186,1,TL,1,100,2022-08-16_10-25-32-688235
1660659937.906074,344033.000,40001,1,TL,1,100,2022-08-16_10-25-32-892263
1660659937.937842,344064.000,40004,1,TL,1,100,2022-08-16_10-25-37-916605
1660659943.201064,349200.000,40836,1,TL,1,100,2022-08-16_10-25-38-115039
1660659943.258451,349256.000,40839,1,TL,1,100,2022-08-16_10-25-43-234580
1660659948.434568,354307.000,41658,1,TL,1,100,2022-08-16_10-25-43-436715
1660659948.499128,354370.000,41661,1,TL,1,100,2022-08-16_10-25-48-466051
1660659953.670121,359416.000,42462,1,TL,1,100,2022-08-16_10-25-48-659101
1660659953.702914,359448.000,42465,1,TL,1,100,2022-08-16_10-25-53-679740
1660659958.912848,364532.000,43280,1,TL,1,100,2022-08-16_10-25-53-881697
1660659959.018399,364635.000,43283,1,TL,1,100,2022-08-16_10-25-58-996089
1660659964.146351,369639.000,44099,1,TL,1,100,2022-08-16_10-25-59-103987
1660659964.174020,369666.000,44102,1,TL,1,100,2022-08-16_10-26-04-150726
1660659969.410598,374776.000,44932,1,TL,1,100,2022-08-16_10-26-04-326483
1660659969.454663,374819.000,44935,1,TL,1,100,2022-08-16_10-26-09-423957
1660659974.693290,379931.000,45768,1,TL,1,100,2022-08-16_10-26-09-590128
1660659974.734281,379971.000,45771,1,TL,1,100,2022-08-16_10-26-14-700056
1660659979.951389,385062.000,46599,1,TL,1,100,2022-08-16_10-26-14-877651
1660659979.984181,385094.000,46602,1,TL,1,100,2022-08-16_10-26-19-961873
1660659985.193090,390177.000,47415,1,TL,1,100,2022-08-16_10-26-20-193793
1660659985.234081,390217.000,47418,1,TL,1,100,2022-08-16_10-26-25-210753
1660659990.438891,395296.000,48230,1,TL,1,100,2022-08-16_10-26-25-421295
1660659990.466560,395323.000,48233,1,TL,1,100,2022-08-16_10-26-30-442530
1660659995.720559,400450.000,49064,1,TL,1,100,2022-08-16_10-26-30-645024
1660659995.749253,400478.000,49067,1,TL,1,100,2022-08-16_10-26-35-725808
1660660000.966360,405569.000,49880,1,TL,1,100,2022-08-16_10-26-35-883728
1660660001.006326,405608.000,49883,1,TL,1,100,2022-08-16_10-26-40-982044
1660660006.197814,410674.000,50699,1,TL,1,100,2022-08-16_10-26-41-191340
1660660006.233681,410709.000,50702,1,TL,1,100,2022-08-16_10-26-46-204337
1660660011.434392,415784.000,51515,1,TL,1,100,2022-08-16_10-26-46-416315
1660660011.469234,415818.000,51518,1,TL,1,100,2022-08-16_10-26-51-436041
1660660016.670970,420894.000,52335,1,TL,1,100,2022-08-16_10-26-51-635731
1660660016.700688,420923.000,52338,1,TL,1,100,2022-08-16_10-26-56-677388
1660660021.905498,426002.000,53156,1,TL,1,100,2022-08-16_10-26-56-864742
1660660032.450388,436292.000,54801,1,TL,1,100,2022-08-16_10-27-12-424362
1660660037.647000,441363.000,55619,1,TL,1,100,2022-08-16_10-27-12-628269
1660660037.674669,441390.000,55622,1,TL,1,100,2022-08-16_10-27-17-649618
1660660042.880504,446470.000,56410,1,TL,1,100,2022-08-16_10-27-17-850446
1660660042.908172,446497.000,56413,1,TL,1,100,2022-08-16_10-27-22-883762
1660660048.167295,451629.000,57247,1,TL,1,100,2022-08-16_10-27-23-074554
1660660048.227757,451688.000,57250,1,TL,1,100,2022-08-16_10-27-28-190017
1660660053.399774,456735.000,58068,1,TL,1,100,2022-08-16_10-27-28-328873
1660660053.444864,456779.000,58071,1,TL,1,100,2022-08-16_10-27-33-415739
1660660058.670170,461878.000,58890,1,TL,1,100,2022-08-16_10-27-33-622128
1660660058.697838,461905.000,58893,1,TL,1,100,2022-08-16_10-27-38-671780
1660660063.941590,467022.000,59710,1,TL,1,100,2022-08-16_10-27-38-842830
1660660063.998977,467078.000,59713,1,TL,1,100,2022-08-16_10-27-43-966837
1660660069.199688,472153.000,60533,1,TL,1,100,2022-08-16_10-27-44-168624
1660660069.230431,472183.000,60536,1,TL,1,100,2022-08-16_10-27-49-199395
1660660074.620724,477443.000,61334,1,TL,1,100,2022-08-16_10-27-49-390101
1660660074.742672,477562.000,61337,1,TL,1,100,2022-08-16_10-27-54-715209
1660660079.898293,482593.000,62122,1,TL,1,100,2022-08-16_10-27-54-822421
1660660079.963879,482657.000,62125,1,TL,1,100,2022-08-16_10-27-59-937618
1660660085.171763,487739.000,62953,1,TL,1,100,2022-08-16_10-28-00-061676
1660660085.201481,487768.000,62956,1,TL,1,100,2022-08-16_10-28-05-178453
1660660090.442158,492882.000,63789,1,TL,1,100,2022-08-16_10-28-05-364513
1660660090.506719,492945.000,63792,1,TL,1,100,2022-08-16_10-28-10-480930
1660660095.678736,497992.000,64606,1,TL,1,100,2022-08-16_10-28-10-613120
1660660095.734074,498046.000,64609,1,TL,1,100,2022-08-16_10-28-15-707582
1660660100.906091,503093.000,65426,1,TL,1,100,2022-08-16_10-28-15-907792
1660660100.938884,503125.000,65429,1,TL,1,100,2022-08-16_10-28-20-914787
1660660106.199032,508258.000,727,1,TL,1,100,2022-08-16_10-28-21-134207
1660660106.226700,508285.000,730,1,TL,1,100,2022-08-16_10-28-26-208744
1660660111.433560,513366.000,1571,1,TL,1,100,2022-08-16_10-28-26-356819
1660660111.462254,513394.000,1574,1,TL,1,100,2022-08-16_10-28-31-444866
1660660116.676286,518482.000,2428,1,TL,1,100,2022-08-16_10-28-31-581331
1660660116.708054,518513.000,2431,1,TL,1,100,2022-08-16_10-28-36-693881
1660660121.908765,523588.000,3280,1,TL,1,100,2022-08-16_10-28-36-801538
1660660127.141244,528694.000,4123,1,TL,1,100,2022-08-16_10-28-42-025017
1660660127.160715,528713.000,4125,1,TL,1,100,2022-08-16_10-28-42-121195
1660660127.190433,528742.000,4128,1,TL,1,100,2022-08-16_10-28-47-176315
1660660132.415739,533841.000,4981,1,TL,1,100,2022-08-16_10-28-47-249980
1660660132.448531,533873.000,4984,1,TL,1,100,2022-08-16_10-28-52-431193
1660660137.660515,538959.000,5840,1,TL,1,100,2022-08-16_10-28-52-572010
1660660137.709704,539007.000,5843,1,TL,1,100,2022-08-16_10-28-57-691984
1660660142.891969,544064.000,6695,1,TL,1,100,2022-08-16_10-28-57-788859
1660660142.925786,544097.000,6698,1,TL,1,100,2022-08-16_10-29-02-911044
1660660148.129571,549175.000,7554,1,TL,1,100,2022-08-16_10-29-02-980237
1660660148.157240,549202.000,7557,1,TL,1,100,2022-08-16_10-29-08-145010
1660660153.366149,554285.000,8408,1,TL,1,100,2022-08-16_10-29-08-243136
1660660153.393818,554312.000,8411,1,TL,1,100,2022-08-16_10-29-13-383336
1660660158.597604,559390.000,9265,1,TL,1,100,2022-08-16_10-29-13-461178
1660660158.626297,559418.000,9268,1,TL,1,100,2022-08-16_10-29-18-618476
1660660163.839305,564505.000,10122,1,TL,1,100,2022-08-16_10-29-18-696913
1660660163.899767,564564.000,10125,1,TL,1,100,2022-08-16_10-29-23-894368
1660660169.074858,569614.000,10969,1,TL,1,100,2022-08-16_10-29-23-970233
1660660169.146592,569684.000,10972,1,TL,1,100,2022-08-16_10-29-29-132369
1660660174.326808,574739.000,11825,1,TL,1,100,2022-08-16_10-29-29-227231
1660660174.358576,574770.000,11828,1,TL,1,100,2022-08-16_10-29-34-352625
1660660179.554163,579840.000,12684,1,TL,1,100,2022-08-16_10-29-34-453963
1660660179.586956,579872.000,12687,1,TL,1,100,2022-08-16_10-29-39-579245
1660660184.788691,584948.000,13534,1,TL,1,100,2022-08-16_10-29-39-652468
1660660184.816360,584975.000,13537,1,TL,1,100,2022-08-16_10-29-44-812287
1660660190.090855,590122.000,14405,1,TL,1,100,2022-08-16_10-29-44-881680
1660660190.124672,590155.000,14408,1,TL,1,100,2022-08-16_10-29-50-116501
1660660195.322309,595227.000,15258,1,TL,1,100,2022-08-16_10-29-50-184216
1660660195.353052,595257.000,15261,1,TL,1,100,2022-08-16_10-29-55-345007
1660660200.590655,600368.000,16135,1,TL,1,100,2022-08-16_10-29-55-406046
1660660200.620373,600397.000,16138,1,TL,1,100,2022-08-16_10-30-00-613647
1660660205.839530,605490.000,16988,1,TL,1,100,2022-08-16_10-30-00-687706
1660660205.870273,605520.000,16991,1,TL,1,100,2022-08-16_10-30-05-859995
1660660211.073033,610597.000,17842,1,TL,1,100,2022-08-16_10-30-05-937943
1660660211.128371,610651.000,17845,1,TL,1,100,2022-08-16_10-30-11-114982
1660660216.308587,615706.000,18696,1,TL,1,100,2022-08-16_10-30-11-192992
1660660216.342404,615739.000,18699,1,TL,1,100,2022-08-16_10-30-16-331213
1660660221.542090,620813.000,19557,1,TL,1,100,2022-08-16_10-30-16-388628
1660660221.570784,620841.000,19560,1,TL,1,100,2022-08-16_10-30-21-560620
1660660226.827857,625971.000,20436,1,TL,1,100,2022-08-16_10-30-21-634168
1660660226.858600,626001.000,20439,1,TL,1,100,2022-08-16_10-30-26-848482
1660660232.061361,631078.000,21289,1,TL,1,100,2022-08-16_10-30-26-915056
1660660232.089030,631105.000,21292,1,TL,1,100,2022-08-16_10-30-32-082286
1660660237.295889,636186.000,22149,1,TL,1,100,2022-08-16_10-30-32-150746
1660660237.345078,636234.000,22152,1,TL,1,100,2022-08-16_10-30-37-333403
1660660242.532467,641296.000,22994,1,TL,1,100,2022-08-16_10-30-37-417090
1660660242.561161,641324.000,22997,1,TL,1,100,2022-08-16_10-30-42-552179
1660660247.809011,646445.000,23865,1,TL,1,100,2022-08-16_10-30-42-612863
1660660247.837705,646473.000,23868,1,TL,1,100,2022-08-16_10-30-47-824580
1660660253.042515,651552.000,24720,1,TL,1,100,2022-08-16_10-30-47-882993
1660660253.072233,651581.000,24723,1,TL,1,100,2022-08-16_10-30-53-059406
1660660258.276018,656659.000,25577,1,TL,1,100,2022-08-16_10-30-53-132021
1660660258.303687,656686.000,25580,1,TL,1,100,2022-08-16_10-30-58-294940
1660660263.512596,661769.000,26436,1,TL,1,100,2022-08-16_10-30-58-356370
1660660263.540265,661796.000,26439,1,TL,1,100,2022-08-16_10-31-03-528995
1660660268.746100,666876.000,27295,1,TL,1,100,2022-08-16_10-31-03-597812
1660660268.776843,666906.000,27298,1,TL,1,100,2022-08-16_10-31-08-764543
1660660274.016495,672019.000,28151,1,TL,1,100,2022-08-16_10-31-08-841603
1660660274.043139,672045.000,28154,1,TL,1,100,2022-08-16_10-31-14-034349
1660660279.305336,677180.000,29022,1,TL,1,100,2022-08-16_10-31-14-085625
1660660279.334030,677208.000,29025,1,TL,1,100,2022-08-16_10-31-19-324602
1660660284.539865,682288.000,29872,1,TL,1,100,2022-08-16_10-31-19-388692
1660660284.569583,682317.000,29875,1,TL,1,100,2022-08-16_10-31-24-557190
1660660289.774393,687396.000,30731,1,TL,1,100,2022-08-16_10-31-24-621559
1660660289.806161,687427.000,30734,1,TL,1,100,2022-08-16_10-31-29-792871
1660660295.016095,692511.000,31589,1,TL,1,100,2022-08-16_10-31-29-862990
1660660295.044789,692539.000,31592,1,TL,1,100,2022-08-16_10-31-35-036112
1660660300.298788,697666.000,32460,1,TL,1,100,2022-08-16_10-31-35-100932
1660660300.331580,697698.000,32463,1,TL,1,100,2022-08-16_10-31-40-318042
1660660305.572257,702812.000,33320,1,TL,1,100,2022-08-16_10-31-40-379875
1660660305.603000,702842.000,33323,1,TL,1,100,2022-08-16_10-31-45-586220
1660660310.805761,707919.000,34157,1,TL,1,100,2022-08-16_10-31-45-737111
1660660310.835479,707948.000,34160,1,TL,1,100,2022-08-16_10-31-50-820186
1660660316.073082,713059.000,35018,1,TL,1,100,2022-08-16_10-31-50-974204
1660660316.099726,713085.000,35021,1,TL,1,100,2022-08-16_10-31-56-087846
1660660321.339378,718198.000,35879,1,TL,1,100,2022-08-16_10-31-56-237988
1660660321.367047,718225.000,35882,1,TL,1,100,2022-08-16_10-32-01-357298
1660660326.595427,723327.000,36744,1,TL,1,100,2022-08-16_10-32-01-508612
1660660326.623096,723354.000,36747,1,TL,1,100,2022-08-16_10-32-06-608490
1660660331.865822,728470.000,37605,1,TL,1,100,2022-08-16_10-32-06-756627
1660660331.893491,728497.000,37608,1,TL,1,100,2022-08-16_10-32-11-882656
1660660337.133143,733610.000,38459,1,TL,1,100,2022-08-16_10-32-12-049274
1660660337.163886,733640.000,38462,1,TL,1,100,2022-08-16_10-32-17-149983
1660660342.391241,738741.000,39312,1,TL,1,100,2022-08-16_10-32-17-300582
1660660342.419935,738769.000,39315,1,TL,1,100,2022-08-16_10-32-22-406749
1660660347.633968,743857.000,40155,1,TL,1,100,2022-08-16_10-32-22-565038
1660660347.661637,743884.000,40158,1,TL,1,100,2022-08-16_10-32-27-646546
1660660352.902314,748998.000,41007,1,TL,1,100,2022-08-16_10-32-27-797905
1660660352.931007,749026.000,41010,1,TL,1,100,2022-08-16_10-32-32-916380
1660660358.168610,754137.000,41858,1,TL,1,100,2022-08-16_10-32-33-076637
1660660358.197304,754165.000,41861,1,TL,1,100,2022-08-16_10-32-38-182870
1660660363.439005,759280.000,42715,1,TL,1,100,2022-08-16_10-32-38-336191
1660660363.471798,759312.000,42718,1,TL,1,100,2022-08-16_10-32-43-458442
1660660368.710426,764424.000,43570,1,TL,1,100,2022-08-16_10-32-43-614108
1660660368.740144,764453.000,43573,1,TL,1,100,2022-08-16_10-32-48-728211
1660660373.959301,769546.000,44420,1,TL,1,100,2022-08-16_10-32-48-879807
1660660373.994143,769580.000,44423,1,TL,1,100,2022-08-16_10-32-53-979282
1660660379.191780,774652.000,45238,1,TL,1,100,2022-08-16_10-32-54-130564
1660660379.224572,774684.000,45241,1,TL,1,100,2022-08-16_10-32-59-209019
1660660384.465249,779798.000,46091,1,TL,1,100,2022-08-16_10-32-59-364450
1660660384.494968,779827.000,46094,1,TL,1,100,2022-08-16_10-33-04-480430
1660660389.743843,784949.000,46938,1,TL,1,100,2022-08-16_10-33-04-638649
1660660389.772537,784977.000,46941,1,TL,1,100,2022-08-16_10-33-09-758512
1660660395.018337,790096.000,47796,1,TL,1,100,2022-08-16_10-33-09-908925
1660660395.046006,790123.000,47799,1,TL,1,100,2022-08-16_10-33-15-035683
1660660400.275411,795226.000,48649,1,TL,1,100,2022-08-16_10-33-15-189115
1660660400.303079,795253.000,48652,1,TL,1,100,2022-08-16_10-33-20-293276
1660660405.546831,800370.000,49504,1,TL,1,100,2022-08-16_10-33-20-445786
1660660405.576549,800399.000,49507,1,TL,1,100,2022-08-16_10-33-25-565069
1660660410.828499,805524.000,50358,1,TL,1,100,2022-08-16_10-33-25-712845
1660660410.861291,805556.000,50361,1,TL,1,100,2022-08-16_10-33-30-842255
1660660416.071225,810640.000,51197,1,TL,1,100,2022-08-16_10-33-30-996874
1660660416.099919,810668.000,51200,1,TL,1,100,2022-08-16_10-33-36-086281
1660660421.324199,815766.000,52052,1,TL,1,100,2022-08-16_10-33-36-251890
1660660421.352893,815794.000,52055,1,TL,1,100,2022-08-16_10-33-41-344508
1660660426.576149,820891.000,52903,1,TL,1,100,2022-08-16_10-33-41-500283
1660660426.608942,820923.000,52906,1,TL,1,100,2022-08-16_10-33-46-597246
1660660431.832197,826020.000,53755,1,TL,1,100,2022-08-16_10-33-46-742014
1660660431.860891,826048.000,53758,1,TL,1,100,2022-08-16_10-33-51-848872
1660660437.092345,831153.000,54611,1,TL,1,100,2022-08-16_10-33-52-006105
1660660437.123088,831183.000,54614,1,TL,1,100,2022-08-16_10-33-57-112358
1660660442.349419,836283.000,55465,1,TL,1,100,2022-08-16_10-33-57-258243
1660660442.379137,836312.000,55468,1,TL,1,100,2022-08-16_10-34-02-368961
