LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1660667335.033556,2089539.000,552,1,EL,1,100,-6120.850098
1660667335.139692,2089642.500,567,2,EL,1,100,-6120.350098
1660667335.245827,2089746.000,567,2,EL,1,100,-6119.250000
1660667335.313508,2089812.000,584,1,EL,1,100,-6117.549805
1660667335.379650,2089876.500,600,2,EL,1,100,-6114.049805
1660667335.445793,2089941.000,600,2,EL,1,100,-6110.500000
1660667335.512448,2090006.000,618,1,EL,1,100,-6110.000000
1660667335.580128,2090072.000,635,2,EL,1,100,-6110.299805
1660667335.647809,2090138.000,635,2,EL,1,100,-6109.350098
1660667335.713439,2090202.000,650,1,EL,1,100,-6106.500000
1660667335.779581,2090266.500,667,2,EL,1,100,-6100.250000
1660667335.845724,2090331.000,667,2,EL,1,100,-6100.399902
1660667335.911866,2090395.500,684,2,EL,1,100,-6109.600098
1660667335.978008,2090460.000,684,2,EL,1,100,-6101.850098
1660667336.045689,2090526.000,700,1,EL,1,100,-6097.399902
1660667336.111319,2090590.000,717,2,EL,1,100,-6101.299805
1660667336.176948,2090654.000,717,2,EL,1,100,-6095.200195
1660667336.242578,2090718.000,732,1,EL,1,100,-6095.549805
1660667336.309233,2090783.000,749,2,EL,1,100,-6098.100098
1660667336.375888,2090848.000,749,2,EL,1,100,-6090.500000
1660667336.442543,2090913.000,765,1,EL,1,100,-6087.250000
1660667336.510224,2090979.000,784,2,EL,1,100,-6089.200195
1660667336.577904,2091045.000,784,2,EL,1,100,-6090.399902
1660667336.644047,2091109.500,803,2,EL,1,100,-6088.450195
1660667336.710189,2091174.000,803,2,EL,1,100,-6088.350098
1660667336.777870,2091240.000,820,1,EL,1,100,-6092.399902
1660667336.844012,2091304.500,837,2,EL,1,100,-6081.100098
1660667336.910155,2091369.000,837,2,EL,1,100,-6084.000000
1660667336.977835,2091435.000,854,1,EL,1,100,-6085.200195
1660667337.044490,2091500.000,870,2,EL,1,100,-6085.750000
1660667337.111145,2091565.000,870,2,EL,1,100,-6079.950195
1660667337.177288,2091629.500,886,2,EL,1,100,-6075.700195
1660667337.243430,2091694.000,886,2,EL,1,100,-6079.450195
1660667337.307009,2091756.000,902,1,EL,1,100,-6081.549805
1660667337.375202,2091822.500,919,2,EL,1,100,-6083.100098
1660667337.443396,2091889.000,919,2,EL,1,100,-6075.700195
1660667337.510051,2091954.000,936,1,EL,1,100,-6075.500000
1660667337.576706,2092019.000,954,2,EL,1,100,-6075.100098
1660667337.643361,2092084.000,954,2,EL,1,100,-6067.450195
1660667337.710016,2092149.000,968,1,EL,1,100,-6064.100098
1660667337.777184,2092214.500,986,2,EL,1,100,-6062.700195
1660667337.844352,2092280.000,986,2,EL,1,100,-6058.149902
1660667337.909982,2092344.000,1002,1,EL,1,100,-6057.049805
1660667337.977149,2092409.500,1019,2,EL,1,100,-6058.200195
1660667338.044317,2092475.000,1019,2,EL,1,100,-6059.000000
1660667338.110460,2092539.500,1034,2,EL,1,100,-6058.700195
1660667338.176602,2092604.000,1034,2,EL,1,100,-6048.100098
1660667338.241206,2092667.000,1051,1,EL,1,100,-6053.299805
1660667338.308374,2092732.500,1067,2,EL,1,100,-6055.350098
1660667338.375542,2092798.000,1067,2,EL,1,100,-6049.799805
1660667338.443223,2092864.000,1084,1,EL,1,100,-6051.299805
1660667338.509365,2092928.500,1101,2,EL,1,100,-6047.600098
1660667338.575507,2092993.000,1101,2,EL,1,100,-6044.149902
1660667338.643188,2093059.000,1117,1,EL,1,100,-6039.600098
1660667338.709331,2093123.500,1133,2,EL,1,100,-6039.899902
1660667338.775473,2093188.000,1133,2,EL,1,100,-6039.799805
1660667338.841103,2093252.000,1151,1,EL,1,100,-6040.899902
1660667338.908270,2093317.500,1167,2,EL,1,100,-6038.750000
1660667338.975438,2093383.000,1167,2,EL,1,100,-6034.250000
1660667339.042094,2093448.000,1182,2,EL,1,100,-6034.000000
1660667339.108748,2093513.000,1182,2,EL,1,100,-6032.649902
