LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1660667335.502193,2089996.000,630,1,B%,1,100,59
1660667336.499969,2090969.000,777,1,B%,1,100,59
1660667337.500822,2091945.000,948,1,B%,1,100,59
1660667338.498598,2092918.000,1111,1,B%,1,100,58
1660667339.496374,2093891.000,1260,1,B%,1,100,58
1660667340.495175,2094865.000,1425,1,B%,1,100,59
1660667341.496028,2095841.000,1572,1,B%,1,100,59
1660667342.492778,2096813.000,1742,1,B%,1,100,58
1660667343.493631,2097789.000,1891,1,B%,1,100,58
1660667344.493458,2098764.000,2039,1,B%,1,100,59
1660667345.491234,2099737.000,2204,1,B%,1,100,58
1660667346.489010,2100710.000,2352,1,B%,1,100,58
1660667347.486786,2101683.000,2522,1,B%,1,100,58
1660667348.485587,2102657.000,2686,1,B%,1,100,59
1660667349.485414,2103632.000,2834,1,B%,1,100,58
1660667350.481139,2104603.000,2999,1,B%,1,100,58
1660667351.480966,2105578.000,3148,1,B%,1,100,58
1660667352.482844,2106555.000,3303,1,B%,1,100,58
1660667353.481645,2107529.000,3467,1,B%,1,100,58
1660667354.478396,2108501.000,3631,1,B%,1,100,58
1660667355.477197,2109475.000,3780,1,B%,1,100,58
1660667356.474973,2110448.000,3945,1,B%,1,100,58
1660667357.474800,2111423.000,4092,1,B%,1,100,57
1660667358.471551,2112395.000,4263,1,B%,1,100,58
1660667359.470352,2113369.000,4414,1,B%,1,100,58
1660667360.468128,2114342.000,4579,1,B%,1,100,58
1660667361.468981,2115318.000,4726,1,B%,1,100,59
1660667362.464706,2116289.000,4894,1,B%,1,100,58
1660667363.465558,2117265.000,5047,1,B%,1,100,58
1660667364.465385,2118240.000,5213,1,B%,1,100,58
1660667365.461110,2119211.000,5378,1,B%,1,100,58
1660667366.458886,2120184.000,5526,1,B%,1,100,58
1660667367.458713,2121159.000,5690,1,B%,1,100,58
1660667368.456489,2122132.000,5843,1,B%,1,100,58
1660667369.456316,2123107.000,6008,1,B%,1,100,58
1660667370.453067,2124079.000,6156,1,B%,1,100,58
1660667371.452894,2125054.000,6321,1,B%,1,100,58
1660667372.452721,2126029.000,6472,1,B%,1,100,58
1660667373.451522,2127003.000,6642,1,B%,1,100,58
1660667374.449298,2127976.000,6790,1,B%,1,100,58
1660667375.449125,2128951.000,6955,1,B%,1,100,59
1660667376.446901,2129924.000,7103,1,B%,1,100,59
1660667377.442626,2130895.000,7271,1,B%,1,100,59
1660667378.441428,2131869.000,7418,1,B%,1,100,58
1660667379.441255,2132844.000,7574,1,B%,1,100,57
1660667380.439031,2133817.000,7724,1,B%,1,100,57
1660667381.439883,2134793.000,7889,1,B%,1,100,58
1660667382.436634,2135765.000,8038,1,B%,1,100,58
1660667383.436460,2136740.000,8203,1,B%,1,100,58
1660667384.434237,2137713.000,8356,1,B%,1,100,57
1660667385.430987,2138685.000,8523,1,B%,1,100,57
1660667386.428763,2139658.000,8672,1,B%,1,100,58
1660667387.430641,2140635.000,8839,1,B%,1,100,58
1660667388.426366,2141606.000,8987,1,B%,1,100,58
1660667389.424142,2142579.000,9125,1,B%,1,100,58
1660667390.421918,2143552.000,9291,1,B%,1,100,58
1660667391.421745,2144527.000,9458,1,B%,1,100,57
1660667392.420547,2145501.000,9607,1,B%,1,100,57
1660667393.420373,2146476.000,9772,1,B%,1,100,57
1660667394.419175,2147450.000,9925,1,B%,1,100,57
1660667395.416951,2148423.000,10074,1,B%,1,100,58
1660667396.414727,2149396.000,10177,1,B%,1,100,57
1660667397.412503,2150369.000,10327,1,B%,1,100,58
