LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1660667336.689680,2091154.000,794,1,TL,1,100,2022-08-16_12-28-51-670546
1660667336.723520,2091187.000,797,1,TL,1,100,2022-08-16_12-28-56-693116
1660667341.926722,2096261.000,1623,1,TL,1,100,2022-08-16_12-28-56-789963
1660667341.957486,2096291.000,1626,1,TL,1,100,2022-08-16_12-29-01-929907
1660667347.196579,2101400.000,2450,1,TL,1,100,2022-08-16_12-29-02-011502
1660667347.227343,2101430.000,2453,1,TL,1,100,2022-08-16_12-29-07-197791
1660667352.439775,2106513.000,3281,1,TL,1,100,2022-08-16_12-29-07-339350
1660667352.488997,2106561.000,3284,1,TL,1,100,2022-08-16_12-29-12-451760
1660667357.679893,2111623.000,4111,1,TL,1,100,2022-08-16_12-29-12-561161
1660667357.708606,2111651.000,4114,1,TL,1,100,2022-08-16_12-29-17-679006
1660667362.911808,2116725.000,4944,1,TL,1,100,2022-08-16_12-29-17-782562
1660667362.942572,2116755.000,4947,1,TL,1,100,2022-08-16_12-29-22-910872
1660667368.165258,2121848.000,5772,1,TL,1,100,2022-08-16_12-29-22-976072
1660667368.193971,2121876.000,5775,1,TL,1,100,2022-08-16_12-29-28-164271
1660667373.404351,2126957.000,6603,1,TL,1,100,2022-08-16_12-29-28-326284
1660667373.435115,2126987.000,6606,1,TL,1,100,2022-08-16_12-29-33-402295
1660667378.649597,2132072.000,7435,1,TL,1,100,2022-08-16_12-29-33-553114
1660667378.705997,2132127.000,7438,1,TL,1,100,2022-08-16_12-29-38-673455
1660667383.890741,2137183.000,8252,1,TL,1,100,2022-08-16_12-29-38-761144
1660667383.926632,2137218.000,8255,1,TL,1,100,2022-08-16_12-29-43-897909
1660667389.174954,2142336.000,9087,1,TL,1,100,2022-08-16_12-29-43-997071
1660667389.287755,2142446.000,9090,1,TL,1,100,2022-08-16_12-29-49-259778
1660667394.409946,2147441.000,9903,1,TL,1,100,2022-08-16_12-29-49-428001
1660667394.474550,2147504.000,9906,1,TL,1,100,2022-08-16_12-29-54-442419
1660667399.675701,2152576.000,10677,1,TL,1,100,2022-08-16_12-29-54-514665
1660667399.706465,2152606.000,10680,1,TL,1,100,2022-08-16_12-29-59-677301
1660667404.913769,2157684.000,11507,1,TL,1,100,2022-08-16_12-29-59-775424
1660667404.944533,2157714.000,11510,1,TL,1,100,2022-08-16_12-30-04-914323
1660667410.206186,2162845.000,12354,1,TL,1,100,2022-08-16_12-30-04-988339
1660667410.242077,2162880.000,12357,1,TL,1,100,2022-08-16_12-30-10-214370
1660667415.439126,2167948.000,13184,1,TL,1,100,2022-08-16_12-30-10-313302
1660667415.473992,2167982.000,13187,1,TL,1,100,2022-08-16_12-30-15-444782
1660667420.704881,2173083.000,14017,1,TL,1,100,2022-08-16_12-30-15-535523
1660667420.793071,2173169.000,14020,1,TL,1,100,2022-08-16_12-30-20-758973
1660667425.957306,2178205.000,14848,1,TL,1,100,2022-08-16_12-30-20-855024
1660667426.006528,2178253.000,14851,1,TL,1,100,2022-08-16_12-30-25-982991
1660667431.200501,2183318.000,15678,1,TL,1,100,2022-08-16_12-30-26-050045
1660667431.245621,2183362.000,15681,1,TL,1,100,2022-08-16_12-30-31-212156
1660667436.452925,2188440.000,16508,1,TL,1,100,2022-08-16_12-30-31-297645
1660667436.483689,2188470.000,16511,1,TL,1,100,2022-08-16_12-30-36-453666
1660667441.689967,2193547.000,17344,1,TL,1,100,2022-08-16_12-30-36-532272
1660667441.782259,2193637.000,17347,1,TL,1,100,2022-08-16_12-30-41-753584
1660667446.954697,2198681.000,18183,1,TL,1,100,2022-08-16_12-30-41-831857
1660667447.001868,2198727.000,18186,1,TL,1,100,2022-08-16_12-30-46-975540
1660667452.204045,2203800.000,19018,1,TL,1,100,2022-08-16_12-30-47-077137
1660667452.230707,2203826.000,19021,1,TL,1,100,2022-08-16_12-30-52-207828
1660667457.438011,2208904.000,19856,1,TL,1,100,2022-08-16_12-30-52-298212
1660667457.488258,2208953.000,19859,1,TL,1,100,2022-08-16_12-30-57-444425
1660667462.676078,2214012.000,20694,1,TL,1,100,2022-08-16_12-30-57-623123
1660667462.766319,2214100.000,20697,1,TL,1,100,2022-08-16_12-31-02-744739
1660667467.916197,2219122.000,21533,1,TL,1,100,2022-08-16_12-31-02-846346
1660667467.949012,2219154.000,21536,1,TL,1,100,2022-08-16_12-31-07-926509
1660667473.195283,2224270.000,22368,1,TL,1,100,2022-08-16_12-31-07-997622
1660667473.225022,2224299.000,22371,1,TL,1,100,2022-08-16_12-31-13-200562
1660667478.430274,2229375.000,23205,1,TL,1,100,2022-08-16_12-31-13-308245
1660667478.458987,2229403.000,23208,1,TL,1,100,2022-08-16_12-31-18-437647
1660667483.681673,2234496.000,24039,1,TL,1,100,2022-08-16_12-31-18-514677
1660667483.715513,2234529.000,24042,1,TL,1,100,2022-08-16_12-31-23-689424
1660667488.926919,2239611.000,24872,1,TL,1,100,2022-08-16_12-31-23-839063
1660667488.980243,2239663.000,24875,1,TL,1,100,2022-08-16_12-31-28-960594
1660667494.157809,2244712.000,25705,1,TL,1,100,2022-08-16_12-31-29-065466
1660667494.185496,2244739.000,25708,1,TL,1,100,2022-08-16_12-31-34-167113
1660667499.448175,2249871.000,26555,1,TL,1,100,2022-08-16_12-31-34-282556
1660667499.487143,2249909.000,26558,1,TL,1,100,2022-08-16_12-31-39-462660
1660667504.696497,2254989.000,27390,1,TL,1,100,2022-08-16_12-31-39-606846
1660667504.726236,2255018.000,27393,1,TL,1,100,2022-08-16_12-31-44-703591
1660667509.940718,2260103.000,28226,1,TL,1,100,2022-08-16_12-31-44-829336
1660667509.988914,2260150.000,28229,1,TL,1,100,2022-08-16_12-31-49-954927
1660667515.178786,2265211.000,29061,1,TL,1,100,2022-08-16_12-31-50-044232
1660667520.468126,2270369.000,29897,1,TL,1,100,2022-08-16_12-31-55-376710
1660667520.523501,2270423.000,29900,1,TL,1,100,2022-08-16_12-32-00-499899
1660667525.705169,2275476.000,30716,1,TL,1,100,2022-08-16_12-32-00-600096
1660667525.745162,2275515.000,30719,1,TL,1,100,2022-08-16_12-32-05-724483
1660667530.939134,2280580.000,31550,1,TL,1,100,2022-08-16_12-32-05-818868
1660667530.969898,2280610.000,31553,1,TL,1,100,2022-08-16_12-32-10-947984
1660667536.175151,2285686.000,32383,1,TL,1,100,2022-08-16_12-32-11-044790
1660667536.219246,2285729.000,32386,1,TL,1,100,2022-08-16_12-32-16-185142
1660667541.413219,2290794.000,33219,1,TL,1,100,2022-08-16_12-32-16-270538
1660667541.512689,2290891.000,33222,1,TL,1,100,2022-08-16_12-32-21-490273
1660667546.709738,2295959.000,34056,1,TL,1,100,2022-08-16_12-32-21-591186
1660667546.743578,2295992.000,34059,1,TL,1,100,2022-08-16_12-32-26-721942
1660667551.989850,2301108.000,34893,1,TL,1,100,2022-08-16_12-32-26-919948
1660667552.019588,2301137.000,34896,1,TL,1,100,2022-08-16_12-32-31-999509
1660667557.262783,2306250.000,35713,1,TL,1,100,2022-08-16_12-32-32-158898
1660667557.290471,2306277.000,35716,1,TL,1,100,2022-08-16_12-32-37-272181
1660667562.499825,2311357.000,36533,1,TL,1,100,2022-08-16_12-32-37-465820
1660667562.606474,2311461.000,36536,1,TL,1,100,2022-08-16_12-32-42-587523
1660667567.745071,2316472.000,37352,1,TL,1,100,2022-08-16_12-32-42-693987
1660667567.820956,2316546.000,37355,1,TL,1,100,2022-08-16_12-32-47-801053
1660667573.024158,2321620.000,38188,1,TL,1,100,2022-08-16_12-32-47-918406
1660667573.054922,2321650.000,38191,1,TL,1,100,2022-08-16_12-32-53-033709
1660667578.260175,2326726.000,39011,1,TL,1,100,2022-08-16_12-32-53-185345
1660667578.290938,2326756.000,39014,1,TL,1,100,2022-08-16_12-32-58-271091
1660667583.504395,2331840.000,39830,1,TL,1,100,2022-08-16_12-32-58-448866
1660667583.593610,2331927.000,39833,1,TL,1,100,2022-08-16_12-33-03-569468
1660667588.742463,2336948.000,40649,1,TL,1,100,2022-08-16_12-33-03-682201
1660667593.991811,2342067.000,41466,1,TL,1,100,2022-08-16_12-33-13-971056
1660667599.241158,2347186.000,42300,1,TL,1,100,2022-08-16_12-33-14-118833
1660667599.269871,2347214.000,42303,1,TL,1,100,2022-08-16_12-33-19-255492
1660667604.493582,2352308.000,43128,1,TL,1,100,2022-08-16_12-33-19-404282
1660667604.525372,2352339.000,43131,1,TL,1,100,2022-08-16_12-33-24-510271
1660667609.788051,2357471.000,43965,1,TL,1,100,2022-08-16_12-33-24-656400
1660667609.818815,2357501.000,43968,1,TL,1,100,2022-08-16_12-33-29-800247
1660667615.065086,2362617.000,44796,1,TL,1,100,2022-08-16_12-33-29-955497
1660667615.094824,2362646.000,44799,1,TL,1,100,2022-08-16_12-33-35-079547
1660667620.335968,2367757.000,45630,1,TL,1,100,2022-08-16_12-33-35-238917
1660667620.366732,2367787.000,45633,1,TL,1,100,2022-08-16_12-33-40-352756
1660667625.607877,2372898.000,46467,1,TL,1,100,2022-08-16_12-33-40-505830
1660667625.639666,2372929.000,46470,1,TL,1,100,2022-08-16_12-33-45-626717
1660667630.858250,2378018.000,47286,1,TL,1,100,2022-08-16_12-33-45-774708
1660667630.882861,2378042.000,47289,1,TL,1,100,2022-08-16_12-33-50-872861
1660667636.131183,2383160.000,48121,1,TL,1,100,2022-08-16_12-33-51-050778
1660667636.160922,2383189.000,48124,1,TL,1,100,2022-08-16_12-33-56-148640
1660667641.368226,2388267.000,48940,1,TL,1,100,2022-08-16_12-33-56-305347
1660667641.400015,2388298.000,48943,1,TL,1,100,2022-08-16_12-34-01-387620
1660667646.642184,2393410.000,49773,1,TL,1,100,2022-08-16_12-34-01-543708
