RD,TS_received,TS_sent,AK,RoundTrip,
2567673,2567697,2022-08-16_12-37-05-371464,2567701,24,
2572844,2572868,2022-08-16_12-37-10-675425,2572871,24,
2577965,2577991,2022-08-16_12-37-15-930353,2577994,26,
2583088,2583114,2022-08-16_12-37-21-183821,2583118,26,
2588196,2588219,2022-08-16_12-37-26-420184,2588222,23,
2593303,2593332,2022-08-16_12-37-31-658561,2593335,29,
2598476,2598500,2022-08-16_12-37-36-963347,2598503,24,
2603584,2603617,2022-08-16_12-37-42-212941,2603621,33,
2608694,2608730,2022-08-16_12-37-47-450931,2608733,36,
2613817,2613856,2022-08-16_12-37-52-708266,2613859,39,
2618930,2618999,2022-08-16_12-37-57-981097,2619003,69,
2624049,2624089,2022-08-16_12-38-03-203762,2624093,40,
2629154,2629182,2022-08-16_12-38-08-426682,2629185,28,
2634253,2634277,2022-08-16_12-38-13-649891,2634280,24,
2639413,2639436,2022-08-16_12-38-18-943004,2639439,23,
2644561,2644667,2022-08-16_12-38-24-295549,2649713,106,
2649731,2649757,2022-08-16_12-38-29-524562,2649760,26,
2654820,2654845,2022-08-16_12-38-34-743041,2654849,25,
2659931,2659957,2022-08-16_12-38-39-983199,2659960,26,
2665032,2665056,2022-08-16_12-38-45-216539,2665059,24,
2670141,2670166,2022-08-16_12-38-50-455758,2670170,25,
2675249,2675276,2022-08-16_12-38-55-691343,2675279,27,
2680356,2680397,2022-08-16_12-39-00-928084,2680400,41,
2685467,2685491,2022-08-16_12-39-06-169704,2685494,24,
2690574,2690598,2022-08-16_12-39-11-404768,2690601,24,
2695683,2695721,2022-08-16_12-39-16-655438,2695724,38,
2700803,2700836,2022-08-16_12-39-21-901890,2700839,33,
2705941,2705966,2022-08-16_12-39-27-161995,2705970,25,
2711049,2711075,2022-08-16_12-39-32-399864,2711078,26,
2716193,2716235,2022-08-16_12-39-37-684400,2716239,42,
2721301,2721325,2022-08-16_12-39-42-918057,2721328,24,
2726453,2726476,2022-08-16_12-39-48-196679,2726480,23,
2731585,2731610,2022-08-16_12-39-53-461837,2731614,25,
2736741,2736766,2022-08-16_12-39-58-748261,2736769,25,
2741901,2741924,2022-08-16_12-40-04-038719,2741928,23,
2747028,2747052,2022-08-16_12-40-09-296184,2747055,24,
2752163,2752189,2022-08-16_12-40-14-563674,2752193,26,
2757288,2757312,2022-08-16_12-40-19-818191,2757315,24,
2762438,2762459,2022-08-16_12-40-25-097981,2762462,21,
2767566,2767593,2022-08-16_12-40-30-359120,2767597,27,
2772710,2772739,2022-08-16_12-40-35-636022,2772742,29,
2777843,2777875,2022-08-16_12-40-40-906090,2777878,32,
2782964,2782989,2022-08-16_12-40-46-152419,2782992,25,
2788113,2788138,2022-08-16_12-40-51-428557,2788142,25,
2793247,2793270,2022-08-16_12-40-56-696750,2793273,23,
2798383,2798409,2022-08-16_12-41-01-966851,2798413,26,
2803540,2803563,2022-08-16_12-41-07-250897,2803566,23,
2808691,2808714,2022-08-16_12-41-12-531813,2808718,23,
2813825,2813848,2022-08-16_12-41-17-795373,2813851,23,
2818955,2818979,2022-08-16_12-41-23-060491,2818983,24,
2824084,2824108,2022-08-16_12-41-28-317015,2824111,24,
2829223,2829264,2022-08-16_12-41-33-593972,2829268,41,
2834366,2834391,2022-08-16_12-41-38-860394,2834394,25,
2839518,2839558,2022-08-16_12-41-44-163484,2839561,40,
2844655,2844685,2022-08-16_12-41-49-414797,2844689,30,
2849786,2849810,2022-08-16_12-41-54-677686,2849814,24,
2854896,2854920,2022-08-16_12-41-59-917028,2854923,24,
2860054,2860080,2022-08-16_12-42-05-206956,2860084,26,
2865195,2865218,2022-08-16_12-42-10-480925,2865221,23,
2870350,2870374,2022-08-16_12-42-15-769490,2870378,24,
2875473,2875511,2022-08-16_12-42-21-034886,2875514,38,
2880581,2880608,2022-08-16_12-42-26-261522,2880611,27,
2885732,2885756,2022-08-16_12-42-31-545259,2885760,24,
