LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1659621758.430805,66200.000,1814,2,AK,1,100,987
1659621758.430805,66200.000,1814,2,AK,1,100,RD
1659621758.437469,66206.500,1816,2,AK,1,100,987
1659621758.444134,66213.000,1816,2,AK,1,100,RD
1659621758.459002,66227.500,1819,2,AK,1,100,1817
1659621758.473869,66242.000,1819,2,AK,1,100,RD
1659621761.072620,68776.500,2645,2,AK,1,100,1817
1659621763.671371,71311.000,2645,2,AK,1,100,RD
1659621763.685725,71325.000,2648,2,AK,1,100,2646
1659621763.700080,71339.000,2648,2,AK,1,100,RD
1659621766.309084,73883.500,3475,2,AK,1,100,2646
1659621768.918088,76428.000,3475,2,AK,1,100,RD
1659621768.961666,76470.500,3478,2,AK,1,100,3476
1659621769.005243,76513.000,3478,2,AK,1,100,RD
1659621771.590664,79034.500,4309,2,AK,1,100,3476
1659621774.176085,81556.000,4309,2,AK,1,100,RD
1659621774.222226,81601.000,4312,2,AK,1,100,4310
1659621774.268367,81646.000,4312,2,AK,1,100,RD
1659621776.846611,84160.500,5140,2,AK,1,100,4310
1659621779.424854,86675.000,5140,2,AK,1,100,RD
1659621779.440234,86690.000,5143,2,AK,1,100,5141
1659621779.455615,86705.000,5143,2,AK,1,100,RD
1659621782.065644,89250.500,5969,2,AK,1,100,5141
1659621784.675673,91796.000,5969,2,AK,1,100,RD
1659621784.690541,91810.500,5972,2,AK,1,100,5970
1659621784.705409,91825.000,5972,2,AK,1,100,RD
1659621787.308773,94364.000,6805,2,AK,1,100,5970
1659621789.912138,96903.000,6805,2,AK,1,100,RD
1659621789.927518,96918.000,6808,2,AK,1,100,6806
1659621789.942899,96933.000,6808,2,AK,1,100,RD
1659621792.546776,99472.500,7650,2,AK,1,100,6806
1659621795.150653,102012.000,7650,2,AK,1,100,RD
1659621795.165008,102026.000,7653,2,AK,1,100,7651
1659621795.179363,102040.000,7653,2,AK,1,100,RD
1659621797.805798,104601.500,8500,2,AK,1,100,8498
1659621800.432233,107163.000,8500,2,AK,1,100,RD
1659621803.036110,109702.500,9348,2,AK,1,100,8498
1659621805.639988,112242.000,9348,2,AK,1,100,RD
1659621805.653317,112255.000,9351,2,AK,1,100,9349
1659621805.666647,112268.000,9351,2,AK,1,100,RD
1659621808.265910,114803.000,10195,2,AK,1,100,9349
1659621810.865173,117338.000,10195,2,AK,1,100,RD
1659621810.880041,117352.500,10198,2,AK,1,100,10196
1659621810.894909,117367.000,10198,2,AK,1,100,RD
1659621813.498786,119906.500,11028,2,AK,1,100,10196
1659621816.102663,122446.000,11028,2,AK,1,100,RD
1659621816.153418,122495.500,11031,2,AK,1,100,11029
1659621816.204173,122545.000,11031,2,AK,1,100,RD
1659621818.796259,125073.000,11838,2,AK,1,100,11029
1659621821.388345,127601.000,11838,2,AK,1,100,RD
1659621821.411415,127623.500,11841,2,AK,1,100,11839
1659621821.434485,127646.000,11841,2,AK,1,100,RD
1659621824.055794,130202.500,12672,2,AK,1,100,12670
1659621826.677102,132759.000,12672,2,AK,1,100,RD
1659621829.302512,135319.500,13527,2,AK,1,100,12670
1659621831.927921,137880.000,13527,2,AK,1,100,RD
1659621831.955093,137906.500,13530,2,AK,1,100,13528
1659621831.982265,137933.000,13530,2,AK,1,100,RD
1659621834.592807,140479.000,14325,2,AK,1,100,13528
1659621837.203349,143025.000,14325,2,AK,1,100,RD
1659621837.217191,143038.500,14328,2,AK,1,100,14326
1659621837.231034,143052.000,14328,2,AK,1,100,RD
1659621839.839525,145596.000,15160,2,AK,1,100,14326
1659621842.448016,148140.000,15160,2,AK,1,100,RD
1659621842.485442,148176.500,15163,2,AK,1,100,15161
1659621842.522867,148213.000,15163,2,AK,1,100,RD
1659621845.100085,150726.500,15999,2,AK,1,100,15161
1659621847.677304,153240.000,15999,2,AK,1,100,RD
1659621847.691658,153254.000,16002,2,AK,1,100,16000
1659621847.706013,153268.000,16002,2,AK,1,100,RD
1659621850.315017,155812.500,16856,2,AK,1,100,16000
1659621852.924021,158357.000,16856,2,AK,1,100,RD
1659621852.952731,158385.000,16859,2,AK,1,100,16857
1659621852.981441,158413.000,16859,2,AK,1,100,RD
1659621855.582755,160950.000,17707,2,AK,1,100,16857
1659621858.184069,163487.000,17707,2,AK,1,100,RD
1659621858.198424,163501.000,17710,2,AK,1,100,17708
1659621858.212779,163515.000,17710,2,AK,1,100,RD
1659621860.865873,166102.500,18573,2,AK,1,100,18571
1659621863.518967,168690.000,18573,2,AK,1,100,RD
1659621866.125408,171232.000,19409,2,AK,1,100,18571
1659621868.731849,173774.000,19409,2,AK,1,100,RD
1659621868.745691,173787.500,19412,2,AK,1,100,19410
1659621868.759533,173801.000,19412,2,AK,1,100,RD
1659621871.360847,176338.000,20265,2,AK,1,100,19410
1659621873.962161,178875.000,20265,2,AK,1,100,RD
1659621873.977029,178889.500,20268,2,AK,1,100,20266
1659621873.991896,178904.000,20268,2,AK,1,100,RD
1659621876.628072,181475.000,21144,2,AK,1,100,20266
1659621879.264248,184046.000,21144,2,AK,1,100,RD
1659621879.278603,184060.000,21147,2,AK,1,100,21145
1659621879.292958,184074.000,21147,2,AK,1,100,RD
1659621881.903500,186620.000,21990,2,AK,1,100,21988
1659621884.514042,189166.000,21990,2,AK,1,100,RD
1659621887.129198,191716.500,22824,2,AK,1,100,21988
1659621889.744354,194267.000,22824,2,AK,1,100,RD
1659621889.758197,194280.500,22827,2,AK,1,100,22825
1659621889.772039,194294.000,22827,2,AK,1,100,RD
1659621892.376429,196834.000,23650,2,AK,1,100,22825
1659621894.980819,199374.000,23650,2,AK,1,100,RD
1659621895.021833,199414.000,23653,2,AK,1,100,23651
1659621895.062847,199454.000,23653,2,AK,1,100,RD
1659621897.645705,201973.000,24475,2,AK,1,100,23651
1659621900.228562,204492.000,24475,2,AK,1,100,RD
1659621900.253683,204516.500,24478,2,AK,1,100,24476
1659621900.278804,204541.000,24478,2,AK,1,100,RD
1659621902.872428,207070.500,25318,2,AK,1,100,24476
1659621905.466052,209600.000,25318,2,AK,1,100,RD
1659621905.482458,209616.000,25321,2,AK,1,100,25319
1659621905.498863,209632.000,25321,2,AK,1,100,RD
1659621908.096589,212165.500,26163,2,AK,1,100,25319
1659621910.694314,214699.000,26163,2,AK,1,100,RD
1659621910.710207,214714.500,26166,2,AK,1,100,26164
1659621910.726099,214730.000,26166,2,AK,1,100,RD
1659621913.328439,217268.000,27002,2,AK,1,100,26164
1659621915.930778,219806.000,27002,2,AK,1,100,RD
1659621918.552087,222362.500,27836,2,AK,1,100,27003
1659621921.173395,224919.000,27836,2,AK,1,100,RD
1659621921.218510,224963.000,27839,2,AK,1,100,27837
1659621921.263626,225007.000,27839,2,AK,1,100,RD
1659621923.842382,227522.000,28657,2,AK,1,100,27837
1659621926.421138,230037.000,28657,2,AK,1,100,RD
1659621926.435493,230051.000,28660,2,AK,1,100,28658
1659621926.449848,230065.000,28660,2,AK,1,100,RD
1659621929.057827,232608.500,29507,2,AK,1,100,28658
1659621931.665806,235152.000,29507,2,AK,1,100,RD
1659621934.285063,237706.500,30331,2,AK,1,100,29508
1659621936.904321,240261.000,30331,2,AK,1,100,RD
1659621936.928929,240285.000,30334,2,AK,1,100,30332
1659621936.953537,240309.000,30334,2,AK,1,100,RD
1659621939.548187,242839.500,31170,2,AK,1,100,30332
1659621942.142836,245370.000,31170,2,AK,1,100,RD
1659621942.157191,245384.000,31173,2,AK,1,100,31171
1659621942.171546,245398.000,31173,2,AK,1,100,RD
1659621944.783113,247945.000,32007,2,AK,1,100,31171
1659621947.394681,250492.000,32007,2,AK,1,100,RD
1659621947.409035,250506.000,32010,2,AK,1,100,32008
1659621947.423390,250520.000,32010,2,AK,1,100,RD
1659621950.031369,253063.500,32857,2,AK,1,100,32008
1659621952.639348,255607.000,32857,2,AK,1,100,RD
1659621952.677286,255644.000,32860,2,AK,1,100,32858
1659621952.715224,255681.000,32860,2,AK,1,100,RD
1659621955.297569,258199.500,33683,2,AK,1,100,32858
1659621957.879914,260718.000,33683,2,AK,1,100,RD
1659621957.911700,260749.000,33686,2,AK,1,100,33684
1659621957.943485,260780.000,33686,2,AK,1,100,RD
1659621960.526856,263299.500,34504,2,AK,1,100,33684
1659621963.110226,265819.000,34504,2,AK,1,100,RD
1659621963.124068,265832.500,34507,2,AK,1,100,34505
1659621963.137911,265846.000,34507,2,AK,1,100,RD
1659621965.771010,268414.000,35353,2,AK,1,100,34505
1659621968.404110,270982.000,35353,2,AK,1,100,RD
1659621968.447175,271024.000,35356,2,AK,1,100,35354
1659621968.490240,271066.000,35356,2,AK,1,100,RD
1659621971.086427,273598.000,36197,2,AK,1,100,35354
1659621973.682614,276130.000,36197,2,AK,1,100,RD
1659621973.700045,276147.000,36200,2,AK,1,100,36198
1659621973.717476,276164.000,36200,2,AK,1,100,RD
1659621976.345449,278727.000,37036,2,AK,1,100,36198
1659621978.973422,281290.000,37036,2,AK,1,100,RD
1659621979.003157,281319.000,37039,2,AK,1,100,37037
1659621979.032892,281348.000,37039,2,AK,1,100,RD
1659621981.621902,283873.000,37864,2,AK,1,100,37037
1659621984.210912,286398.000,37864,2,AK,1,100,RD
1659621984.225267,286412.000,37867,2,AK,1,100,37865
1659621984.239622,286426.000,37867,2,AK,1,100,RD
1659621986.842987,288965.000,38683,2,AK,1,100,37865
1659621989.446351,291504.000,38683,2,AK,1,100,RD
1659621989.460706,291518.000,38686,2,AK,1,100,38684
1659621989.475061,291532.000,38686,2,AK,1,100,RD
1659621992.075862,294068.500,39511,2,AK,1,100,38684
1659621994.676664,296605.000,39511,2,AK,1,100,RD
1659621994.691019,296619.000,39514,2,AK,1,100,39512
1659621994.705374,296633.000,39514,2,AK,1,100,RD
1659621997.327707,299190.500,40340,2,AK,1,100,39512
1659621999.950041,301748.000,40340,2,AK,1,100,RD
1659621999.985928,301783.000,40343,2,AK,1,100,40341
1659622000.021815,301818.000,40343,2,AK,1,100,RD
1659622002.638510,304370.000,41165,2,AK,1,100,40341
1659622005.255204,306922.000,41165,2,AK,1,100,RD
1659622007.872411,309474.500,41984,2,AK,1,100,41166
1659622010.489618,312027.000,41984,2,AK,1,100,RD
1659622010.496282,312033.500,41986,2,AK,1,100,41166
1659622010.502947,312040.000,41986,2,AK,1,100,RD
