RD,TS_received,TS_sent,AK,RoundTrip,
61043,61157,2022-08-04_10-02-33-234469,66200,114,
66214,66239,2022-08-04_10-02-38-455073,66242,25,
71312,71335,2022-08-04_10-02-43-680524,71339,23,
76429,76509,2022-08-04_10-02-48-984262,76513,80,
81556,81643,2022-08-04_10-02-54-248802,81646,87,
86675,86702,2022-08-04_10-02-59-435142,86705,27,
91796,91821,2022-08-04_10-03-04-688406,91825,25,
96903,96930,2022-08-04_10-03-09-919889,96933,27,
102013,102036,2022-08-04_10-03-15-159132,102040,23,
107107,107160,2022-08-04_10-03-20-414705,107163,53,
112242,112265,2022-08-04_10-03-25-648275,112268,23,
117338,117363,2022-08-04_10-03-30-872941,117367,25,
122447,122541,2022-08-04_10-03-36-185327,122545,94,
127602,127640,2022-08-04_10-03-41-412689,127646,38,
132720,132756,2022-08-04_10-03-46-656022,132759,36,
137880,137930,2022-08-04_10-03-51-963810,137933,50,
143026,143049,2022-08-04_10-03-57-214193,143052,23,
148140,148209,2022-08-04_10-04-02-507957,148213,69,
153241,153265,2022-08-04_10-04-07-686045,153268,24,
158358,158410,2022-08-04_10-04-12-953204,158413,52,
163488,163512,2022-08-04_10-04-18-195169,163515,24,
168641,168686,2022-08-04_10-04-23-502193,168690,45,
173774,173798,2022-08-04_10-04-28-742451,173801,24,
178875,178902,2022-08-04_10-04-33-973435,178904,27,
184046,184071,2022-08-04_10-04-39-276100,184074,25,
189138,189163,2022-08-04_10-04-44-495880,189166,25,
194267,194291,2022-08-04_10-04-49-753057,194294,24,
199374,199450,2022-08-04_10-04-55-040572,199454,76,
204493,204538,2022-08-04_10-05-00-262107,204541,45,
209600,209628,2022-08-04_10-05-05-480383,209632,28,
214699,214727,2022-08-04_10-05-10-705868,214730,28,
219806,224914,2022-08-04_10-05-16-137490,224919,5108,
224920,225004,2022-08-04_10-05-21-247767,225007,84,
230037,230061,2022-08-04_10-05-26-429845,230065,24,
235153,240256,2022-08-04_10-05-31-903392,240261,5103,
240262,240303,2022-08-04_10-05-36-920513,240309,41,
245371,245395,2022-08-04_10-05-42-157287,245398,24,
250492,250517,2022-08-04_10-05-47-406142,250520,25,
255607,255678,2022-08-04_10-05-52-694039,255681,71,
260718,260774,2022-08-04_10-05-57-916495,260780,56,
265820,265843,2022-08-04_10-06-03-121362,265846,23,
270982,271061,2022-08-04_10-06-08-462038,271066,79,
276130,276160,2022-08-04_10-06-13-694354,276164,30,
281291,281343,2022-08-04_10-06-19-011745,281348,52,
286399,286423,2022-08-04_10-06-24-224336,286426,24,
291504,291529,2022-08-04_10-06-29-456034,291532,25,
296605,296629,2022-08-04_10-06-34-687877,296633,24,
301748,301815,2022-08-04_10-06-40-002788,301818,67,
306923,312017,2022-08-04_10-06-45-324050,312027,5094,
