LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1659621753.865945,61748.000,1104,1,B%,1,100,90
1659621754.862585,62720.000,1269,1,B%,1,100,89
1659621755.862302,63695.000,1417,1,B%,1,100,89
1659621756.858943,64667.000,1583,1,B%,1,100,88
1659621757.858659,65642.000,1748,1,B%,1,100,88
1659621758.855300,66614.000,1902,1,B%,1,100,88
1659621759.856042,67590.000,2067,1,B%,1,100,87
1659621760.853708,68563.000,2216,1,B%,1,100,86
1659621761.851374,69536.000,2380,1,B%,1,100,88
1659621762.848014,70508.000,2544,1,B%,1,100,88
1659621763.843629,71479.000,2699,1,B%,1,100,87
1659621764.843346,72454.000,2847,1,B%,1,100,87
1659621765.843063,73429.000,3011,1,B%,1,100,88
1659621766.839703,74401.000,3176,1,B%,1,100,88
1659621767.840445,75377.000,3326,1,B%,1,100,88
1659621768.839137,76351.000,3497,1,B%,1,100,88
1659621769.837828,77325.000,3630,1,B%,1,100,87
1659621770.833443,78296.000,3796,1,B%,1,100,86
1659621771.832134,79270.000,3961,1,B%,1,100,86
1659621772.829800,80243.000,4111,1,B%,1,100,87
1659621773.828492,81217.000,4276,1,B%,1,100,88
1659621774.826158,82190.000,4430,1,B%,1,100,88
1659621775.825874,83165.000,4577,1,B%,1,100,87
1659621776.822515,84137.000,4743,1,B%,1,100,87
1659621777.822232,85112.000,4908,1,B%,1,100,88
1659621778.817847,86083.000,5057,1,B%,1,100,88
1659621779.819614,87060.000,5227,1,B%,1,100,87
1659621780.818305,88034.000,5374,1,B%,1,100,88
1659621781.813920,89005.000,5538,1,B%,1,100,88
1659621782.811586,89978.000,5703,1,B%,1,100,86
1659621783.809253,90951.000,5854,1,B%,1,100,87
1659621784.805893,91923.000,6007,1,B%,1,100,87
1659621785.805610,92898.000,6171,1,B%,1,100,87
1659621786.803276,93871.000,6335,1,B%,1,100,87
1659621787.804018,94847.000,6486,1,B%,1,100,87
1659621788.802709,95821.000,6653,1,B%,1,100,87
1659621789.801400,96795.000,6802,1,B%,1,100,88
1659621790.798041,97767.000,6975,1,B%,1,100,88
1659621791.796732,98741.000,7126,1,B%,1,100,88
1659621792.795423,99715.000,7291,1,B%,1,100,88
1659621793.792064,100687.000,7441,1,B%,1,100,88
1659621794.790755,101661.000,7612,1,B%,1,100,87
1659621795.791497,102637.000,7769,1,B%,1,100,87
1659621796.787112,103608.000,7939,1,B%,1,100,87
1659621797.786829,104583.000,8086,1,B%,1,100,88
1659621798.784495,105556.000,8258,1,B%,1,100,88
1659621799.785237,106532.000,8427,1,B%,1,100,87
1659621800.781878,107504.000,8583,1,B%,1,100,86
1659621801.779544,108477.000,8735,1,B%,1,100,87
1659621802.778235,109451.000,8906,1,B%,1,100,87
1659621803.776926,110425.000,9071,1,B%,1,100,87
1659621804.773567,111397.000,9226,1,B%,1,100,87
1659621805.772258,112371.000,9384,1,B%,1,100,88
1659621806.769924,113344.000,9556,1,B%,1,100,88
1659621807.769641,114319.000,9706,1,B%,1,100,89
1659621808.768332,115293.000,9874,1,B%,1,100,88
1659621809.768049,116268.000,10041,1,B%,1,100,88
1659621810.764689,117240.000,10193,1,B%,1,100,87
