LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1659621753.143073,61043.000,987,2,RD,1,100,TL
1659621753.143073,61043.000,987,2,RD,1,100,TU
1659621755.794116,63628.500,1817,2,RD,1,100,TL
1659621758.445160,66214.000,1817,2,RD,1,100,TU
1659621761.058778,68763.000,2646,2,RD,1,100,TL
1659621763.672396,71312.000,2646,2,RD,1,100,TU
1659621766.295755,73870.500,3476,2,RD,1,100,TL
1659621768.919114,76429.000,3476,2,RD,1,100,TU
1659621771.547600,78992.500,4310,2,RD,1,100,TL
1659621774.176085,81556.000,4310,2,RD,1,100,TU
1659621776.800470,84115.500,5141,2,RD,1,100,TL
1659621779.424854,86675.000,5141,2,RD,1,100,TU
1659621782.050264,89235.500,5970,2,RD,1,100,TL
1659621784.675673,91796.000,5970,2,RD,1,100,TU
1659621787.293906,94349.500,6806,2,RD,1,100,TL
1659621789.912138,96903.000,6806,2,RD,1,100,TU
1659621792.531908,99458.000,7651,2,RD,1,100,TL
1659621795.151679,102013.000,7651,2,RD,1,100,TU
1659621797.763246,104560.000,8498,2,RD,1,100,TL
1659621800.374814,107107.000,8498,2,RD,1,100,TU
1659621803.007401,109674.500,9349,2,RD,1,100,TL
1659621805.639988,112242.000,9349,2,RD,1,100,TU
1659621808.252581,114790.000,10196,2,RD,1,100,TL
1659621810.865173,117338.000,10196,2,RD,1,100,TU
1659621813.484431,119892.500,11029,2,RD,1,100,TL
1659621816.103689,122447.000,11029,2,RD,1,100,TU
1659621818.746529,125024.500,11839,2,RD,1,100,TL
1659621821.389370,127602.000,11839,2,RD,1,100,TU
1659621824.013242,130161.000,12670,2,RD,1,100,TL
1659621826.637113,132720.000,12670,2,RD,1,100,TU
1659621829.282517,135300.000,13528,2,RD,1,100,TL
1659621831.927921,137880.000,13528,2,RD,1,100,TU
1659621834.566148,140453.000,14326,2,RD,1,100,TL
1659621837.204375,143026.000,14326,2,RD,1,100,TU
1659621839.826195,145583.000,15161,2,RD,1,100,TL
1659621842.448016,148140.000,15161,2,RD,1,100,TU
1659621845.063173,150690.500,16000,2,RD,1,100,TL
1659621847.678329,153241.000,16000,2,RD,1,100,TU
1659621850.301688,155799.500,16857,2,RD,1,100,TL
1659621852.925047,158358.000,16857,2,RD,1,100,TU
1659621855.555071,160923.000,17708,2,RD,1,100,TL
1659621858.185094,163488.000,17708,2,RD,1,100,TU
1659621860.826910,166064.500,18571,2,RD,1,100,TL
1659621863.468725,168641.000,18571,2,RD,1,100,TU
1659621866.100287,171207.500,19410,2,RD,1,100,TL
1659621868.731849,173774.000,19410,2,RD,1,100,TU
1659621871.347005,176324.500,20266,2,RD,1,100,TL
1659621873.962161,178875.000,20266,2,RD,1,100,TU
1659621876.613204,181460.500,21145,2,RD,1,100,TL
1659621879.264248,184046.000,21145,2,RD,1,100,TU
1659621881.874790,186592.000,21988,2,RD,1,100,TL
1659621884.485332,189138.000,21988,2,RD,1,100,TU
1659621887.114843,191702.500,22825,2,RD,1,100,TL
1659621889.744354,194267.000,22825,2,RD,1,100,TU
1659621892.362586,196820.500,23651,2,RD,1,100,TL
1659621894.980819,199374.000,23651,2,RD,1,100,TU
1659621897.605203,201933.500,24476,2,RD,1,100,TL
1659621900.229588,204493.000,24476,2,RD,1,100,TU
1659621902.847820,207046.500,25319,2,RD,1,100,TL
1659621905.466052,209600.000,25319,2,RD,1,100,TU
1659621908.080183,212149.500,26164,2,RD,1,100,TL
