LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1659621753.126667,61027.000,995,1,T1,1,100,27.149
1659621753.259963,61157.000,1012,1,T1,1,100,27.135
1659621753.390182,61284.000,1027,1,T1,1,100,27.236
1659621753.525528,61416.000,1045,1,T1,1,100,27.208
1659621753.657799,61545.000,1061,1,T1,1,100,27.197
1659621753.791094,61675.000,1094,1,T1,1,100,27.333
1659621753.924390,61805.000,1111,1,T1,1,100,27.286
1659621754.057685,61935.000,1127,1,T1,1,100,27.230
1659621754.190981,62065.000,1144,1,T1,1,100,27.277
1659621754.324276,62195.000,1176,1,T1,1,100,27.191
1659621754.458597,62326.000,1192,1,T1,1,100,27.153
1659621754.590868,62455.000,1210,1,T1,1,100,27.102
1659621754.724163,62585.000,1242,1,T1,1,100,27.221
1659621754.856433,62714.000,1258,1,T1,1,100,27.131
1659621754.989729,62844.000,1276,1,T1,1,100,27.163
1659621755.121999,62973.000,1292,1,T1,1,100,27.248
1659621755.255295,63103.000,1324,1,T1,1,100,27.285
1659621755.389615,63234.000,1341,1,T1,1,100,27.229
1659621755.520860,63362.000,1358,1,T1,1,100,27.206
1659621755.656206,63494.000,1390,1,T1,1,100,27.231
1659621755.788477,63623.000,1406,1,T1,1,100,27.242
1659621755.920747,63752.000,1424,1,T1,1,100,27.246
1659621756.054042,63882.000,1441,1,T1,1,100,27.284
1659621756.186313,64011.000,1473,1,T1,1,100,27.265
1659621756.320634,64142.000,1489,1,T1,1,100,27.221
1659621756.453929,64272.000,1506,1,T1,1,100,27.344
1659621756.588250,64403.000,1523,1,T1,1,100,27.255
1659621756.718469,64530.000,1554,1,T1,1,100,27.181
1659621756.852790,64661.000,1572,1,T1,1,100,27.291
1659621756.985061,64790.000,1589,1,T1,1,100,27.303
1659621757.117331,64919.000,1621,1,T1,1,100,27.273
1659621757.251652,65050.000,1638,1,T1,1,100,27.295
1659621757.383922,65179.000,1654,1,T1,1,100,27.234
1659621757.519268,65311.000,1671,1,T1,1,100,27.243
1659621757.650513,65439.000,1703,1,T1,1,100,27.282
1659621757.784834,65570.000,1719,1,T1,1,100,27.335
1659621757.917104,65699.000,1737,1,T1,1,100,27.287
1659621758.048349,65827.000,1754,1,T1,1,100,27.301
1659621758.181644,65957.000,1786,1,T1,1,100,27.308
1659621758.314940,66087.000,1803,1,T1,1,100,27.204
1659621758.448236,66217.000,1825,1,T1,1,100,27.195
1659621758.582556,66348.000,1858,1,T1,1,100,27.262
1659621758.716877,66479.000,1874,1,T1,1,100,27.290
1659621758.848122,66607.000,1891,1,T1,1,100,27.232
1659621758.982443,66738.000,1909,1,T1,1,100,27.278
