LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1658855203.239175,156768,23453,1,BI,1,100,23840
1658855231.741006,184568,27943,1,BI,1,100,28320
1658855233.318859,186107,28163,1,BI,1,100,1560
1658855238.628607,191286,29018,1,BI,1,100,5280
1658855240.566321,193176,29319,1,BI,1,100,1920
1658855244.957449,197459,30034,1,BI,1,100,4360
1658855260.536058,212654,32497,1,BI,1,100,15480
1658855263.191444,215244,32919,1,BI,1,100,2640
1658855263.998312,216031,33055,1,BI,1,100,800
1658855266.019072,218002,33372,1,BI,1,100,2000
1658855267.350866,219301,33593,1,BI,1,100,1320
1658855268.383288,220308,33760,1,BI,1,100,1040
1658855270.087247,221970,34027,1,BI,1,100,1680
1658855274.310234,226089,34698,1,BI,1,100,4200
1658855276.276655,228007,35012,1,BI,1,100,1960
1658855281.924734,233516,35895,1,BI,1,100,5600
1658855288.087486,239527,36874,1,BI,1,100,6120
1658855304.182819,255226,39406,1,BI,1,100,16000
1658855316.511399,267251,41349,1,BI,1,100,12240
1658855326.819219,277305,42962,1,BI,1,100,10240
1658855330.413731,280811,43531,1,BI,1,100,3560
1658855341.839069,291955,45220,1,BI,1,100,11360
1658855344.386805,294440,45618,1,BI,1,100,2520
1658855346.274282,296281,45924,1,BI,1,100,1880
1658855348.050008,298013,46196,1,BI,1,100,1760
1658855349.782673,299703,46463,1,BI,1,100,1720
1658855353.646824,303472,47067,1,BI,1,100,3840
1658855355.341555,305125,47333,1,BI,1,100,1680
1658855357.000403,306743,47589,1,BI,1,100,1640
1658855360.249407,309912,48105,1,BI,1,100,3240
1658855361.547368,311178,48309,1,BI,1,100,1280
1658855362.753057,312354,48503,1,BI,1,100,1200
1658855376.962963,326214,50763,1,BI,1,100,14120
1658855379.341533,328534,51134,1,BI,1,100,2360
1658855381.676017,330811,51499,1,BI,1,100,2320
1658855382.483911,331599,51635,1,BI,1,100,800
1658855383.365622,332459,51776,1,BI,1,100,880
1658855384.336530,333406,51924,1,BI,1,100,960
1658855385.953342,334983,52191,1,BI,1,100,1600
1658855387.556827,336547,52440,1,BI,1,100,1600
1658855402.342921,350969,54754,1,BI,1,100,14680
1658855407.057000,355567,55504,1,BI,1,100,4680
1658855417.807727,366053,57198,1,BI,1,100,10680
1658855428.276511,376264,58851,1,BI,1,100,10400
1658855442.788864,390419,61132,1,BI,1,100,14400
1658855444.688645,392272,61447,1,BI,1,100,1880
1658855445.778481,393335,61614,1,BI,1,100,1080
1658855447.093871,394618,61820,1,BI,1,100,1320
1658855448.263677,395759,62004,1,BI,1,100,1160
1658855451.210233,398633,62486,1,BI,1,100,2920
1658855453.776423,401136,62872,1,BI,1,100,2560
1658855457.370934,404642,63429,1,BI,1,100,3560
1658855458.464872,405709,63618,1,BI,1,100,1080
1658855460.908032,408092,64002,1,BI,1,100,2440
1658855461.473968,408644,64105,1,BI,1,100,560
1658855465.109489,412190,64656,1,BI,1,100,3600
1658855488.095499,434610,2741,1,BI,1,100,22840
1658855490.761137,437210,3161,1,BI,1,100,2640
1658855514.159295,460032,6831,1,BI,1,100,23240
1658855521.976794,467657,8047,1,BI,1,100,7760
1658855526.766742,472329,8799,1,BI,1,100,4760
1658855582.638533,526825,17619,1,BI,1,100,55480
1658855623.990794,567159,24184,1,BI,1,100,41080
1658855625.081656,568223,24356,1,BI,1,100,1080
1658855628.108181,571175,24836,1,BI,1,100,3000
1658855651.154680,593654,28498,1,BI,1,100,22880
1658855686.528733,628157,34088,1,BI,1,100,35120
1658855793.348061,732346,50757,1,BI,1,100,106080
1658855826.425563,764609,55902,1,BI,1,100,32840
1658855829.704299,767807,56416,1,BI,1,100,3240
1658855831.468747,769528,56684,1,BI,1,100,1760
1658855833.773499,771776,57051,1,BI,1,100,2280
1658855835.491812,773452,57323,1,BI,1,100,1720
1658855838.354297,776244,57770,1,BI,1,100,2840
1658855842.997635,780773,58427,1,BI,1,100,4600
1658855844.004427,781755,58594,1,BI,1,100,1000
1658855847.222673,784894,59098,1,BI,1,100,3200
1658855850.560873,788150,59628,1,BI,1,100,3320
1658855855.035045,792514,60343,1,BI,1,100,4440
1658855861.157813,798486,61308,1,BI,1,100,6080
1658855876.546751,813496,63706,1,BI,1,100,15280
1658855881.138827,817975,64439,1,BI,1,100,4560
1658855886.266081,822976,65254,1,BI,1,100,5080
1658855887.960812,824629,65508,1,BI,1,100,1680
1658855891.005792,827599,467,1,BI,1,100,3040
1658855893.234676,829773,820,1,BI,1,100,2200
1658855914.863260,850869,4256,1,BI,1,100,21480
1658855915.787006,851770,4406,1,BI,1,100,920
1658855937.759048,873201,7891,1,BI,1,100,21800
1658855939.168760,874576,8123,1,BI,1,100,1400
1658855953.379691,888437,10382,1,BI,1,100,14120
1658855962.337263,897174,11813,1,BI,1,100,8880
1658855993.229968,927306,16725,1,BI,1,100,30680
1658856014.396166,947951,20075,1,BI,1,100,21000
1658856032.836235,965937,22967,1,BI,1,100,18320
1658856115.369542,1046438,35925,1,BI,1,100,81920
1658856164.443954,1094304,43559,1,BI,1,100,48720
1658856166.937351,1096736,43947,1,BI,1,100,2480
1658856179.663727,1109149,45940,1,BI,1,100,12640
1658856189.097013,1118350,47418,1,BI,1,100,9360
1658856200.502871,1129475,49209,1,BI,1,100,11320
1658856206.593856,1135416,50187,1,BI,1,100,6040
1658856215.701114,1144299,51601,1,BI,1,100,9040
1658856217.988437,1146530,51968,1,BI,1,100,2280
1658856227.417622,1155727,53433,1,BI,1,100,9360
1658856229.754157,1158006,53772,1,BI,1,100,2320
1658856287.173044,1214011,62591,1,BI,1,100,57000
1658856293.341948,1220028,63560,1,BI,1,100,6120
1658856301.440364,1227927,64838,1,BI,1,100,8040
1658856308.423312,1234738,387,1,BI,1,100,6920
1658856332.196710,1257926,4152,1,BI,1,100,23600
1658856338.311276,1263890,5114,1,BI,1,100,6080
1658856343.476464,1268928,5931,1,BI,1,100,5120
1658856352.015735,1277257,7278,1,BI,1,100,8480
1658856354.031368,1279223,7610,1,BI,1,100,2000
1658856355.517975,1280673,7847,1,BI,1,100,1480
1658856356.974849,1282094,8081,1,BI,1,100,1440
1658856358.379436,1283464,8297,1,BI,1,100,1400
1658856378.012891,1302614,11405,1,BI,1,100,19480
1658856385.658149,1310071,12612,1,BI,1,100,7600
1658856393.729908,1317944,13894,1,BI,1,100,8000
1658856430.714623,1354018,19706,1,BI,1,100,36720
1658856444.818928,1367775,21915,1,BI,1,100,14000
1658856446.673598,1369584,22197,1,BI,1,100,1840
1658856482.729439,1404752,27909,1,BI,1,100,35800
1658856485.103909,1407068,28272,1,BI,1,100,2360
1658856496.030977,1417726,30014,1,BI,1,100,10840
1658856510.978035,1432305,32343,1,BI,1,100,14840
1658856519.358394,1440479,33646,1,BI,1,100,8320
1658856521.370951,1442442,33961,1,BI,1,100,2000
1658856534.837554,1455577,36057,1,BI,1,100,13360
1658856536.558941,1457256,36339,1,BI,1,100,1720
1658856538.018891,1458680,36557,1,BI,1,100,1440
1658856541.886118,1462452,37159,1,BI,1,100,3840
1658856552.678880,1472979,38854,1,BI,1,100,10720
1658856569.402688,1489291,41465,1,BI,1,100,16600
1658856580.462014,1500078,43193,1,BI,1,100,10960
1658856613.851191,1532645,48368,1,BI,1,100,33160
1658856634.073138,1552369,51521,1,BI,1,100,20080
1658856640.555767,1558692,52536,1,BI,1,100,6440
1658856709.019626,1625470,63111,1,BI,1,100,67960
1658856729.657823,1645600,755,1,BI,1,100,20480
1658856766.236540,1681278,6474,1,BI,1,100,36320
1658856772.606391,1687491,7486,1,BI,1,100,6320
1658856784.686862,1699274,9413,1,BI,1,100,12000
1658856785.461947,1700030,9548,1,BI,1,100,760
1658856791.381716,1705804,10468,1,BI,1,100,5880
1658856801.239454,1715419,12029,1,BI,1,100,9800
1658856821.585455,1735264,15268,1,BI,1,100,20200
1658856864.539150,1777160,22098,1,BI,1,100,42640
1658856868.933354,1781446,22798,1,BI,1,100,4360
1658856880.414055,1792644,24628,1,BI,1,100,11400
1658856894.922308,1806795,26918,1,BI,1,100,14400
1658856901.654071,1813361,27984,1,BI,1,100,6680
1658856911.473875,1822939,29564,1,BI,1,100,9760
1658856929.935474,1840946,32462,1,BI,1,100,18320
1658856970.376292,1880391,38817,1,BI,1,100,40160
1658856972.673868,1882632,39183,1,BI,1,100,2280
1658856984.771768,1894432,41073,1,BI,1,100,12000
1658856991.017565,1900524,42064,1,BI,1,100,6200
1658857006.000505,1915138,44423,1,BI,1,100,14880
1658857009.028056,1918091,44890,1,BI,1,100,3000
1658857010.435719,1919464,45122,1,BI,1,100,1400
1658857017.577580,1926430,46226,1,BI,1,100,7080
1658857028.772238,1937349,48001,1,BI,1,100,11120
1658857029.530920,1938089,48119,1,BI,1,100,760
1658857030.835033,1939361,48319,1,BI,1,100,1280
1658857034.528993,1942964,48889,1,BI,1,100,3680
