LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1658855193.553679,147321.000,21910,2,AK,1,100,21098
1658855193.553679,147321.000,21910,2,AK,1,100,RD
1658855193.567519,147334.500,21913,2,AK,1,100,21911
1658855193.581360,147348.000,21913,2,AK,1,100,RD
1658855196.193174,149895.500,22742,2,AK,1,100,21911
1658855198.804987,152443.000,22742,2,AK,1,100,RD
1658855198.818828,152456.500,22745,2,AK,1,100,22743
1658855198.832669,152470.000,22745,2,AK,1,100,RD
1658855201.469088,155041.500,23589,2,AK,1,100,22743
1658855204.105508,157613.000,23589,2,AK,1,100,RD
1658855204.121912,157629.000,23592,2,AK,1,100,23590
1658855204.138315,157645.000,23592,2,AK,1,100,RD
1658855206.743978,160186.500,24418,2,AK,1,100,23590
1658855209.349639,162728.000,24418,2,AK,1,100,RD
1658855209.363480,162741.500,24421,2,AK,1,100,24419
1658855209.377321,162755.000,24421,2,AK,1,100,RD
1658855211.981445,165295.000,25247,2,AK,1,100,24419
1658855214.585569,167835.000,25247,2,AK,1,100,RD
1658855214.599923,167849.000,25250,2,AK,1,100,25248
1658855214.614276,167863.000,25250,2,AK,1,100,RD
1658855217.224039,170408.500,26063,2,AK,1,100,25248
1658855219.833802,172954.000,26063,2,AK,1,100,RD
1658855219.847643,172967.500,26066,2,AK,1,100,26064
1658855219.861484,172981.000,26066,2,AK,1,100,RD
1658855222.467146,175522.500,26891,2,AK,1,100,26064
1658855225.072808,178064.000,26891,2,AK,1,100,RD
1658855225.088699,178079.500,26894,2,AK,1,100,26892
1658855225.104591,178095.000,26894,2,AK,1,100,RD
1658855227.737422,180663.000,27722,2,AK,1,100,26892
1658855230.370253,183231.000,27722,2,AK,1,100,RD
1658855230.384606,183245.000,27725,2,AK,1,100,27723
1658855230.398959,183259.000,27725,2,AK,1,100,RD
1658855233.017437,185813.000,28533,2,AK,1,100,27723
1658855235.635915,188367.000,28533,2,AK,1,100,RD
1658855235.662571,188393.000,28536,2,AK,1,100,28534
1658855235.689227,188419.000,28536,2,AK,1,100,RD
1658855238.281049,190947.000,29371,2,AK,1,100,28534
1658855240.872870,193475.000,29371,2,AK,1,100,RD
1658855240.887223,193489.000,29374,2,AK,1,100,29372
1658855240.901577,193503.000,29374,2,AK,1,100,RD
1658855243.505188,196042.500,30202,2,AK,1,100,29372
1658855246.108800,198582.000,30202,2,AK,1,100,RD
1658855246.123153,198596.000,30205,2,AK,1,100,30203
1658855246.137507,198610.000,30205,2,AK,1,100,RD
1658855248.741118,201149.500,31032,2,AK,1,100,30203
1658855251.344730,203689.000,31032,2,AK,1,100,RD
1658855251.359083,203703.000,31035,2,AK,1,100,31033
1658855251.373437,203717.000,31035,2,AK,1,100,RD
1658855253.988326,206267.500,31865,2,AK,1,100,31033
1658855256.603215,208818.000,31865,2,AK,1,100,RD
