LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1658855192.330560,146128.000,21719,1,TH,1,100,31.563
1658855192.432060,146227.000,21736,1,TH,1,100,31.563
1658855192.640185,146430.000,21768,1,TH,1,100,31.676
1658855192.742709,146530.000,21785,1,TH,1,100,31.682
1658855192.846259,146631.000,21802,1,TH,1,100,31.567
1658855192.952884,146735.000,21817,1,TH,1,100,31.567
1658855193.156909,146934.000,21850,1,TH,1,100,31.549
1658855193.260458,147035.000,21867,1,TH,1,100,31.549
1658855193.364008,147136.000,21884,1,TH,1,100,31.589
1658855193.588537,147355.000,21920,1,TH,1,100,31.596
1658855193.691061,147455.000,21938,1,TH,1,100,31.643
1658855193.794611,147556.000,21955,1,TH,1,100,31.643
1658855193.898161,147657.000,21972,1,TH,1,100,31.598
1658855194.114488,147868.000,22004,1,TH,1,100,31.598
1658855194.219063,147970.000,22020,1,TH,1,100,31.660
1658855194.321588,148070.000,22038,1,TH,1,100,31.667
1658855194.425137,148171.000,22054,1,TH,1,100,31.627
1658855194.632237,148373.000,22086,1,TH,1,100,31.627
1658855194.737837,148476.000,22104,1,TH,1,100,31.617
1658855194.839337,148575.000,22120,1,TH,1,100,31.617
1658855194.949038,148682.000,22136,1,TH,1,100,31.612
1658855195.151011,148879.000,22169,1,TH,1,100,31.612
1658855195.253536,148979.000,22185,1,TH,1,100,31.561
1658855195.357086,149080.000,22203,1,TH,1,100,31.568
1658855195.564185,149282.000,22234,1,TH,1,100,31.631
1658855195.668761,149384.000,22251,1,TH,1,100,31.631
1658855195.771285,149484.000,22269,1,TH,1,100,31.603
1658855195.884062,149594.000,22285,1,TH,1,100,31.603
1658855196.089111,149794.000,22317,1,TH,1,100,31.595
1658855196.192661,149895.000,22334,1,TH,1,100,31.602
1658855196.296211,149996.000,22351,1,TH,1,100,31.625
1658855196.503310,150198.000,22382,1,TH,1,100,31.625
1658855196.606860,150299.000,22399,1,TH,1,100,31.637
1658855196.710410,150400.000,22416,1,TH,1,100,31.637
1658855196.814985,150502.000,22434,1,TH,1,100,31.688
1658855197.034388,150716.000,22466,1,TH,1,100,31.694
1658855197.136912,150816.000,22482,1,TH,1,100,31.651
1658855197.240462,150917.000,22499,1,TH,1,100,31.651
1658855197.345037,151019.000,22516,1,TH,1,100,31.633
1658855197.552137,151221.000,22547,1,TH,1,100,31.633
1658855197.654661,151321.000,22565,1,TH,1,100,31.669
1658855197.759237,151423.000,22582,1,TH,1,100,31.675
1658855197.965311,151624.000,22614,1,TH,1,100,31.580
1658855198.068861,151725.000,22631,1,TH,1,100,31.580
1658855198.172410,151826.000,22647,1,TH,1,100,31.653
1658855198.276986,151928.000,22664,1,TH,1,100,31.659
1658855198.483060,152129.000,22696,1,TH,1,100,31.547
1658855198.586610,152230.000,22712,1,TH,1,100,31.547
1658855198.691185,152332.000,22730,1,TH,1,100,31.586
1658855198.838820,152476.000,22752,1,TH,1,100,31.586
1658855198.944421,152579.000,22769,1,TH,1,100,31.574
1658855199.149470,152779.000,22801,1,TH,1,100,31.581
