LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1658855232.289513,185103,28060,1,SR,1,100,0.133333
1658855234.352307,187115,28464,1,SR,1,100,0.800000
1658855235.817383,188544,28668,1,SR,1,100,0.600000
1658855238.810076,191463,29168,1,SR,1,100,0.666667
1658855239.610792,192244,29186,1,SR,1,100,0.066667
1658855255.113533,207365,31731,1,SR,1,100,0.533333
1658855259.638968,211779,32397,1,SR,1,100,0.200000
1658855262.033942,214115,32868,1,SR,1,100,0.800000
1658855263.365736,215414,32989,1,SR,1,100,0.200000
1658855263.834273,215871,33092,1,SR,1,100,0.333333
1658855265.427505,217425,33474,1,SR,1,100,1.066667
1658855270.287170,222165,34243,1,SR,1,100,1.066667
1658855271.616914,223462,34360,1,SR,1,100,0.466667
1658855293.443370,244751,37845,1,SR,1,100,0.800000
1658855344.819458,294862,45769,1,SR,1,100,0.466667
1658855346.084612,296096,45945,1,SR,1,100,0.400000
1658855346.748971,296744,46012,1,SR,1,100,0.133333
1658855348.613893,298563,46430,1,SR,1,100,0.866667
1658855349.610432,299535,46516,1,SR,1,100,0.400000
1658855359.194429,308883,48021,1,SR,1,100,0.400000
1658855360.126377,309792,48124,1,SR,1,100,0.133333
1658855361.522762,311154,48360,1,SR,1,100,0.266667
1658855361.922608,311544,48402,1,SR,1,100,0.133333
1658855362.187121,311802,48539,1,SR,1,100,0.666667
1658855363.652197,313231,48754,1,SR,1,100,0.600000
1658855364.383198,313944,48806,1,SR,1,100,0.133333
1658855364.650787,314205,48856,1,SR,1,100,0.200000
1658855365.112147,314655,48976,1,SR,1,100,0.533333
1658855368.844042,318295,49529,1,SR,1,100,0.266667
1658855369.642708,319074,49613,1,SR,1,100,0.066667
1658855371.836734,321214,50214,1,SR,1,100,1.600000
1658855373.571450,322906,50234,1,SR,1,100,0.066667
1658855373.903629,323230,50482,1,SR,1,100,1.200000
1658855380.487757,329652,51399,1,SR,1,100,0.466667
1658855381.086501,330236,51519,1,SR,1,100,0.600000
1658855397.861572,346598,54273,1,SR,1,100,1.400000
1658855399.390213,348089,54325,1,SR,1,100,0.133333
1658855403.114931,351722,55107,1,SR,1,100,1.333333
1658855418.624848,366850,57431,1,SR,1,100,0.600000
1658855424.344694,372429,58516,1,SR,1,100,1.733333
1658855426.872950,374895,58668,1,SR,1,100,0.200000
1658855431.927411,379825,59583,1,SR,1,100,0.933333
1658855433.128999,380997,59684,1,SR,1,100,0.333333
1658855438.786305,386515,60712,1,SR,1,100,1.200000
1658855448.838840,396320,62286,1,SR,1,100,1.066667
1658855454.495120,401837,63040,1,SR,1,100,0.266667
1658855454.891890,402224,63157,1,SR,1,100,0.600000
1658855457.023376,404303,63448,1,SR,1,100,0.400000
1658855457.688761,404952,63499,1,SR,1,100,0.066667
1658855457.890734,405149,63534,1,SR,1,100,0.066667
1658855458.089632,405343,63569,1,SR,1,100,0.066667
1658855460.218042,407419,63984,1,SR,1,100,0.533333
1658855461.018759,408200,64071,1,SR,1,100,0.266667
1658855489.038724,435530,3095,1,SR,1,100,1.266667
1658855567.222939,511789,15224,1,SR,1,100,0.200000
1658855567.556143,512114,15276,1,SR,1,100,0.266667
1658855567.953939,512502,15344,1,SR,1,100,0.200000
1658855568.287143,512827,15394,1,SR,1,100,0.200000
1658855568.887938,513413,15465,1,SR,1,100,0.066667
1658855611.532008,555007,22251,1,SR,1,100,0.200000
1658855611.866238,555333,22304,1,SR,1,100,0.133333
1658855620.183032,563445,23634,1,SR,1,100,0.266667
1658855620.583903,563836,23653,1,SR,1,100,0.066667
1658855623.377697,566561,24134,1,SR,1,100,0.266667
1658855629.632722,572662,25142,1,SR,1,100,0.266667
1658855630.161748,573178,25209,1,SR,1,100,0.200000
1658855630.495979,573504,25259,1,SR,1,100,0.133333
1658855784.831344,724039,49506,1,SR,1,100,0.400000
1658856594.384851,1513658,45372,1,SR,1,100,0.066667
1658856693.552769,1610384,60716,1,SR,1,100,0.066667
1658856783.530385,1698146,9247,1,SR,1,100,0.066667
1658856784.795538,1699380,9466,1,SR,1,100,0.066667
1658856785.326615,1699898,9551,1,SR,1,100,0.133333
1658856798.106303,1712363,11582,1,SR,1,100,0.200000
1658856798.838329,1713077,11881,1,SR,1,100,1.400000
1658856801.033380,1715218,12033,1,SR,1,100,0.133333
1658856801.831021,1715996,12238,1,SR,1,100,0.533333
1658856802.498456,1716647,12272,1,SR,1,100,0.066667
1658856802.697353,1716841,12291,1,SR,1,100,0.066667
1658856804.224970,1718331,12556,1,SR,1,100,0.200000
1658856813.277889,1727161,13972,1,SR,1,100,0.066667
1658856813.477812,1727356,14022,1,SR,1,100,0.133333
1658856813.744376,1727616,14090,1,SR,1,100,0.333333
1658856821.527016,1735207,15302,1,SR,1,100,0.133333
1658856821.795631,1735469,15339,1,SR,1,100,0.066667
1658856831.047448,1744493,16818,1,SR,1,100,0.133333
1658856831.312987,1744752,16853,1,SR,1,100,0.066667
1658856831.513935,1744948,16887,1,SR,1,100,0.133333
1658856831.912756,1745337,16939,1,SR,1,100,0.066667
1658856880.965637,1793182,24846,1,SR,1,100,0.800000
1658856882.827484,1794998,25029,1,SR,1,100,0.066667
1658856908.853347,1820383,29163,1,SR,1,100,0.066667
1658856909.050194,1820575,29199,1,SR,1,100,0.066667
1658856909.982142,1821484,29398,1,SR,1,100,0.400000
1658856911.314962,1822784,29600,1,SR,1,100,0.333333
1658856926.684420,1837775,32024,1,SR,1,100,0.266667
1658856927.351855,1838426,32110,1,SR,1,100,0.266667
1658856986.786375,1896397,41444,1,SR,1,100,0.266667
1658856987.317453,1896915,41529,1,SR,1,100,0.266667
1658856987.718324,1897306,41680,1,SR,1,100,0.800000
1658856991.709605,1901199,42232,1,SR,1,100,0.266667
1658857074.363891,1981818,55253,1,SR,1,100,0.533333
1658857075.160507,1982595,55328,1,SR,1,100,0.266667
1658857075.562403,1982987,55362,1,SR,1,100,0.133333
1658857075.963274,1983378,55445,1,SR,1,100,0.266667
1658857161.075073,2066394,3150,1,SR,1,100,0.133333
1658857161.341637,2066654,3185,1,SR,1,100,0.066667
1658857161.541560,2066849,3236,1,SR,1,100,0.200000
1658857162.206945,2067498,3340,1,SR,1,100,0.133333
1658857168.993046,2074117,4475,1,SR,1,100,0.533333
1658857214.705678,2118704,11654,1,SR,1,100,0.400000
1658857215.369011,2119351,11721,1,SR,1,100,0.200000
1658857244.052311,2147328,16286,1,SR,1,100,0.133333
1658857244.317850,2147587,16337,1,SR,1,100,0.200000
1658857244.783311,2148041,16389,1,SR,1,100,0.066667
1658857244.983234,2148236,16441,1,SR,1,100,0.133333
1658857283.783659,2186081,22594,1,SR,1,100,0.133333
1658857284.515684,2186795,22696,1,SR,1,100,0.066667
