LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1658856702.997333,1619596.000,62181,1,B%,1,100,65
1658856703.993871,1620568.000,62346,1,B%,1,100,65
1658856704.992461,1621542.000,62510,1,B%,1,100,65
1658856705.994126,1622519.000,62659,1,B%,1,100,65
1658856706.993741,1623494.000,62824,1,B%,1,100,65
1658856707.992330,1624468.000,62963,1,B%,1,100,65
1658856708.989894,1625441.000,63130,1,B%,1,100,65
1658856709.987458,1626414.000,63295,1,B%,1,100,65
1658856710.985022,1627387.000,63444,1,B%,1,100,64
1658856711.981561,1628359.000,63609,1,B%,1,100,64
1658856712.982201,1629335.000,63748,1,B%,1,100,65
1658856713.980790,1630309.000,63896,1,B%,1,100,64
1658856714.976304,1631280.000,64045,1,B%,1,100,65
1658856715.975918,1632255.000,64209,1,B%,1,100,65
1658856716.974508,1633229.000,64374,1,B%,1,100,65
1658856717.975147,1634205.000,64513,1,B%,1,100,65
1658856718.972712,1635178.000,64661,1,B%,1,100,65
1658856719.970276,1636151.000,64826,1,B%,1,100,65
1658856720.968865,1637125.000,64975,1,B%,1,100,65
1658856721.967454,1638099.000,65140,1,B%,1,100,65
1658856722.965019,1639072.000,65288,1,B%,1,100,65
1658856723.962583,1640045.000,65442,1,B%,1,100,65
1658856724.961172,1641019.000,55,1,B%,1,100,65
1658856725.960786,1641994.000,203,1,B%,1,100,65
1658856726.958350,1642967.000,368,1,B%,1,100,65
1658856727.957965,1643942.000,517,1,B%,1,100,65
1658856728.954504,1644914.000,671,1,B%,1,100,64
1658856729.952068,1645887.000,792,1,B%,1,100,65
1658856730.950657,1646861.000,926,1,B%,1,100,65
1658856731.947196,1647833.000,1091,1,B%,1,100,65
1658856732.947836,1648809.000,1240,1,B%,1,100,65
1658856733.946425,1649783.000,1410,1,B%,1,100,64
1658856734.940914,1650753.000,1558,1,B%,1,100,64
1658856735.940528,1651728.000,1721,1,B%,1,100,65
1658856736.940143,1652703.000,1886,1,B%,1,100,65
1658856737.940783,1653679.000,2035,1,B%,1,100,65
1658856738.936296,1654650.000,2190,1,B%,1,100,64
1658856739.934886,1655624.000,2338,1,B%,1,100,64
1658856740.934500,1656599.000,2503,1,B%,1,100,64
1658856741.933090,1657573.000,2652,1,B%,1,100,65
1658856742.930654,1658546.000,2817,1,B%,1,100,64
1658856743.929243,1659520.000,2982,1,B%,1,100,64
1658856744.926807,1660493.000,3122,1,B%,1,100,64
1658856745.926422,1661468.000,3287,1,B%,1,100,64
1658856746.922961,1662440.000,3436,1,B%,1,100,64
1658856747.923600,1663416.000,3601,1,B%,1,100,65
1658856748.921165,1664389.000,3749,1,B%,1,100,65
1658856749.919754,1665363.000,3903,1,B%,1,100,64
1658856750.917318,1666336.000,4068,1,B%,1,100,63
1658856751.913857,1667308.000,4233,1,B%,1,100,63
1658856752.913471,1668283.000,4381,1,B%,1,100,62
1658856753.913086,1669258.000,4546,1,B%,1,100,62
1658856754.907574,1670228.000,4699,1,B%,1,100,63
1658856755.908214,1671204.000,4846,1,B%,1,100,62
1658856756.907829,1672179.000,5012,1,B%,1,100,62
1658856757.908468,1673155.000,5177,1,B%,1,100,62
1658856758.903982,1674126.000,5326,1,B%,1,100,62
1658856759.901546,1675099.000,5496,1,B%,1,100,62
1658856760.901161,1676074.000,5644,1,B%,1,100,62
1658856761.899750,1677048.000,5807,1,B%,1,100,62
1658856762.897314,1678021.000,5957,1,B%,1,100,62
1658856763.894878,1678994.000,6122,1,B%,1,100,62
1658856764.892442,1679967.000,6286,1,B%,1,100,62
1658856765.892057,1680942.000,6439,1,B%,1,100,62
1658856766.887571,1681913.000,6606,1,B%,1,100,62
1658856767.888211,1682889.000,6755,1,B%,1,100,62
1658856768.886800,1683863.000,6920,1,B%,1,100,62
1658856769.884364,1684836.000,7068,1,B%,1,100,62
1658856770.881928,1685809.000,7238,1,B%,1,100,62
1658856771.878467,1686781.000,7387,1,B%,1,100,62
1658856772.877056,1687755.000,7554,1,B%,1,100,62
1658856773.875646,1688729.000,7701,1,B%,1,100,62
1658856774.873210,1689702.000,7867,1,B%,1,100,62
1658856775.872824,1690677.000,8037,1,B%,1,100,62
