LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1658855232.289513,185103,28059,1,SA,1,100,0.000528
1658855234.352307,187115,28463,1,SA,1,100,0.005489
1658855235.817383,188544,28667,1,SA,1,100,0.009649
1658855238.810076,191463,29167,1,SA,1,100,0.001680
1658855239.610792,192244,29185,1,SA,1,100,0.000163
1658855255.113533,207365,31730,1,SA,1,100,0.001591
1658855259.638968,211779,32396,1,SA,1,100,0.001227
1658855262.033942,214115,32867,1,SA,1,100,0.000664
1658855263.365736,215414,32988,1,SA,1,100,0.000214
1658855263.834273,215871,33091,1,SA,1,100,0.000345
1658855265.427505,217425,33473,1,SA,1,100,0.010914
1658855270.287170,222165,34242,1,SA,1,100,0.012398
1658855271.616914,223462,34359,1,SA,1,100,0.028275
1658855293.443370,244751,37844,1,SA,1,100,0.010156
1658855344.819458,294862,45768,1,SA,1,100,0.000693
1658855346.084612,296096,45944,1,SA,1,100,0.005186
1658855346.748971,296744,46011,1,SA,1,100,0.001222
1658855348.613893,298563,46429,1,SA,1,100,0.007015
1658855349.610432,299535,46515,1,SA,1,100,0.008457
1658855359.194429,308883,48020,1,SA,1,100,0.005154
1658855360.126377,309792,48123,1,SA,1,100,0.000583
1658855361.522762,311154,48359,1,SA,1,100,0.000257
1658855361.922608,311544,48401,1,SA,1,100,0.000238
1658855362.187121,311802,48538,1,SA,1,100,0.000785
1658855363.652197,313231,48753,1,SA,1,100,0.000673
1658855364.383198,313944,48805,1,SA,1,100,0.000257
1658855364.650787,314205,48855,1,SA,1,100,0.000262
1658855365.112147,314655,48975,1,SA,1,100,0.007474
1658855368.844042,318295,49528,1,SA,1,100,0.000579
1658855369.642708,319074,49612,1,SA,1,100,0.000200
1658855371.836734,321214,50213,1,SA,1,100,0.005093
1658855373.571450,322906,50233,1,SA,1,100,0.000457
1658855373.903629,323230,50481,1,SA,1,100,0.022093
1658855380.487757,329652,51398,1,SA,1,100,0.001294
1658855381.086501,330236,51518,1,SA,1,100,0.002450
1658855397.861572,346598,54272,1,SA,1,100,0.007136
1658855399.390213,348089,54324,1,SA,1,100,0.000879
1658855403.114931,351722,55106,1,SA,1,100,0.016627
1658855418.624848,366850,57430,1,SA,1,100,0.000834
1658855424.344694,372429,58515,1,SA,1,100,0.014833
1658855426.872950,374895,58667,1,SA,1,100,0.002856
1658855431.927411,379825,59582,1,SA,1,100,0.005463
1658855433.128999,380997,59683,1,SA,1,100,0.007053
1658855438.786305,386515,60711,1,SA,1,100,0.015815
1658855448.838840,396320,62285,1,SA,1,100,0.014889
1658855454.495120,401837,63039,1,SA,1,100,0.000148
1658855454.891890,402224,63156,1,SA,1,100,0.001220
1658855457.023376,404303,63447,1,SA,1,100,0.005713
1658855457.688761,404952,63498,1,SA,1,100,0.000678
1658855457.890734,405149,63533,1,SA,1,100,0.000896
1658855458.089632,405343,63568,1,SA,1,100,0.000742
1658855460.218042,407419,63983,1,SA,1,100,0.017023
1658855461.018759,408200,64070,1,SA,1,100,0.005477
1658855489.038724,435530,3094,1,SA,1,100,0.005531
1658855567.222939,511789,15223,1,SA,1,100,0.000142
1658855567.556143,512114,15275,1,SA,1,100,0.000454
1658855567.953939,512502,15343,1,SA,1,100,0.000439
1658855568.287143,512827,15393,1,SA,1,100,0.000432
1658855568.887938,513413,15464,1,SA,1,100,0.000081
1658855611.532008,555007,22250,1,SA,1,100,0.000194
1658855611.866238,555333,22303,1,SA,1,100,0.000118
1658855620.183032,563445,23633,1,SA,1,100,0.000507
1658855620.583903,563836,23652,1,SA,1,100,0.000256
1658855623.377697,566561,24133,1,SA,1,100,0.000713
1658855629.632722,572662,25141,1,SA,1,100,0.000060
1658855630.161748,573178,25208,1,SA,1,100,0.000118
1658855630.495979,573504,25258,1,SA,1,100,0.000270
1658855784.831344,724039,49505,1,SA,1,100,0.000421
1658856594.384851,1513658,45371,1,SA,1,100,0.000014
1658856693.552769,1610384,60715,1,SA,1,100,0.000050
1658856783.530385,1698146,9246,1,SA,1,100,0.000079
1658856784.795538,1699380,9465,1,SA,1,100,0.000180
1658856785.326615,1699898,9550,1,SA,1,100,0.000295
1658856798.106303,1712363,11581,1,SA,1,100,0.000439
1658856798.838329,1713077,11880,1,SA,1,100,0.004204
1658856801.033380,1715218,12032,1,SA,1,100,0.000423
1658856801.831021,1715996,12237,1,SA,1,100,0.003096
1658856802.498456,1716647,12271,1,SA,1,100,0.000261
1658856802.697353,1716841,12290,1,SA,1,100,0.000335
1658856804.224970,1718331,12555,1,SA,1,100,0.000597
1658856813.277889,1727161,13971,1,SA,1,100,0.000090
1658856813.477812,1727356,14021,1,SA,1,100,0.000340
1658856813.744376,1727616,14089,1,SA,1,100,0.001201
1658856821.527016,1735207,15301,1,SA,1,100,0.000084
1658856821.795631,1735469,15338,1,SA,1,100,0.000187
1658856831.047448,1744493,16817,1,SA,1,100,0.000007
1658856831.312987,1744752,16852,1,SA,1,100,0.000279
1658856831.513935,1744948,16886,1,SA,1,100,0.000282
1658856831.912756,1745337,16938,1,SA,1,100,0.000002
1658856880.965637,1793182,24845,1,SA,1,100,0.002074
1658856882.827484,1794998,25028,1,SA,1,100,0.000074
1658856908.853347,1820383,29162,1,SA,1,100,0.000043
1658856909.050194,1820575,29198,1,SA,1,100,0.000139
1658856909.982142,1821484,29397,1,SA,1,100,0.001193
1658856911.314962,1822784,29599,1,SA,1,100,0.000420
1658856926.684420,1837775,32023,1,SA,1,100,0.000419
1658856927.351855,1838426,32109,1,SA,1,100,0.000663
1658856986.786375,1896397,41443,1,SA,1,100,0.000324
1658856987.317453,1896915,41528,1,SA,1,100,0.000501
1658856987.718324,1897306,41679,1,SA,1,100,0.007070
1658856991.709605,1901199,42231,1,SA,1,100,0.001788
1658857074.363891,1981818,55252,1,SA,1,100,0.000706
1658857075.160507,1982595,55327,1,SA,1,100,0.000571
1658857075.562403,1982987,55361,1,SA,1,100,0.000231
1658857075.963274,1983378,55444,1,SA,1,100,0.000824
1658857161.075073,2066394,3149,1,SA,1,100,0.000170
1658857161.341637,2066654,3184,1,SA,1,100,0.000121
1658857161.541560,2066849,3235,1,SA,1,100,0.000252
1658857162.206945,2067498,3339,1,SA,1,100,0.000002
1658857168.993046,2074117,4474,1,SA,1,100,0.009112
1658857214.705678,2118704,11653,1,SA,1,100,0.000415
1658857215.369011,2119351,11720,1,SA,1,100,0.000401
1658857244.052311,2147328,16285,1,SA,1,100,0.000064
1658857244.317850,2147587,16336,1,SA,1,100,0.000325
1658857244.783311,2148041,16388,1,SA,1,100,0.000054
1658857244.983234,2148236,16440,1,SA,1,100,0.000315
1658857283.783659,2186081,22593,1,SA,1,100,0.000026
1658857284.515684,2186795,22695,1,SA,1,100,0.000036
1658857303.414039,2205228,25738,1,SA,1,100,0.000325
1658857303.812859,2205617,25756,1,SA,1,100,0.000339
1658857304.146064,2205942,25842,1,SA,1,100,0.000392
1658857304.613576,2206398,25909,1,SA,1,100,0.000557
1658857308.269603,2209964,26492,1,SA,1,100,0.000761
1658857308.871422,2210551,26628,1,SA,1,100,0.005962
1658857336.215751,2237222,31043,1,SA,1,100,0.001584
1658857337.215365,2238197,31079,1,SA,1,100,0.000131
1658857337.683903,2238654,31168,1,SA,1,100,0.000268
1658857378.878276,2278834,37720,1,SA,1,100,0.001862
1658857379.806123,2279739,37771,1,SA,1,100,0.000479
1658857380.273635,2280195,37938,1,SA,1,100,0.005332
1658857381.803302,2281687,38089,1,SA,1,100,0.000408
1658857400.040373,2299475,41052,1,SA,1,100,0.001368
1658857400.838014,2300253,41104,1,SA,1,100,0.000458
1658857401.105603,2300514,41123,1,SA,1,100,0.000351
1658857423.463137,2322321,44675,1,SA,1,100,0.000507
1658857424.128521,2322970,44757,1,SA,1,100,0.000102
1658857429.918084,2328617,45825,1,SA,1,100,0.002826
1658857431.249878,2329916,45959,1,SA,1,100,0.005786
1658857472.850249,2370492,52480,1,SA,1,100,0.001480
1658857473.581249,2371205,52584,1,SA,1,100,0.005866
1658857507.393853,2404185,57918,1,SA,1,100,0.001622
1658857508.124853,2404898,57970,1,SA,1,100,0.000493
1658857509.188033,2405935,58136,1,SA,1,100,0.000278
1658857525.296694,2421647,60794,1,SA,1,100,0.007668
1658857542.002048,2437941,63293,1,SA,1,100,0.000185
1658857542.797638,2438717,63401,1,SA,1,100,0.000052
1658857543.131869,2439043,63483,1,SA,1,100,0.000251
1658857543.464048,2439367,63536,1,SA,1,100,0.000460
1658857544.196074,2440081,63652,1,SA,1,100,0.000659
1658857544.526203,2440403,63721,1,SA,1,100,0.001883
1658857592.848084,2487535,5724,1,SA,1,100,0.000137
1658857593.247930,2487925,5791,1,SA,1,100,0.000483
1658857597.704674,2492272,6643,1,SA,1,100,0.006949
1658857599.433238,2493958,6776,1,SA,1,100,0.000402
1658857600.098622,2494607,6861,1,SA,1,100,0.000440
1658857602.166543,2496624,7281,1,SA,1,100,0.001328
1658857602.897543,2497337,7318,1,SA,1,100,0.000235
1658857639.301968,2532845,13166,1,SA,1,100,0.000701
1658857639.968378,2533495,13217,1,SA,1,100,0.000498
1658857702.198743,2594193,23134,1,SA,1,100,0.007471
1658857703.396230,2595361,23167,1,SA,1,100,0.000633
1658857703.862717,2595816,23268,1,SA,1,100,0.001919
1658857707.588460,2599450,23904,1,SA,1,100,0.004082
1658857708.322536,2600166,23940,1,SA,1,100,0.000453
1658857724.295865,2615746,26696,1,SA,1,100,0.008748
1658857726.025454,2617433,26746,1,SA,1,100,0.000509
1658857726.358659,2617758,26800,1,SA,1,100,0.000515
1658857726.688788,2618080,26855,1,SA,1,100,0.000629
1658857729.618940,2620938,27321,1,SA,1,100,0.000172
1658857748.187166,2639049,30283,1,SA,1,100,0.000780
1658857749.453344,2640284,30434,1,SA,1,100,0.000089
1658857750.784113,2641582,30949,1,SA,1,100,0.015105
1658857760.366060,2650928,32233,1,SA,1,100,0.001055
1658857775.877002,2666057,34625,1,SA,1,100,0.000244
1658857776.605952,2666768,34744,1,SA,1,100,0.000498
1658857777.140105,2667289,34828,1,SA,1,100,0.000615
1658857779.133183,2669233,35117,1,SA,1,100,0.000133
1658857783.194181,2673194,35796,1,SA,1,100,0.000419
1658857783.659643,2673648,35829,1,SA,1,100,0.000206
1658857783.991822,2673972,35899,1,SA,1,100,0.000351
1658857802.829687,2692346,38878,1,SA,1,100,0.001405
1658857803.360765,2692864,38914,1,SA,1,100,0.000559
1658857825.124681,2714092,42515,1,SA,1,100,0.011987
1658857847.023930,2735452,45825,1,SA,1,100,0.005257
1658857847.955878,2736361,45876,1,SA,1,100,0.000960
1658857848.355724,2736751,45927,1,SA,1,100,0.000304
1658857849.084674,2737462,46045,1,SA,1,100,0.000389
1658857849.287672,2737660,46179,1,SA,1,100,0.011524
1658857870.048898,2757910,49517,1,SA,1,100,0.010502
1658857877.837690,2765507,50669,1,SA,1,100,0.010018
1658857895.939429,2783163,53504,1,SA,1,100,0.005774
