RD,TS_received,TS_sent,AK,RoundTrip,
147321,147345,2022-07-26_13-06-33-534372,147348,24,
152443,152467,2022-07-26_13-06-38-785757,152470,24,
157613,157641,2022-07-26_13-06-44-087733,157645,28,
162729,162752,2022-07-26_13-06-49-329629,162755,23,
167836,167860,2022-07-26_13-06-54-568494,167863,24,
172954,172978,2022-07-26_13-06-59-816584,172981,24,
178064,178092,2022-07-26_13-07-05-053542,178095,28,
183231,183255,2022-07-26_13-07-10-350763,183259,24,
188367,188416,2022-07-26_13-07-15-632687,188419,49,
193476,193500,2022-07-26_13-07-20-857996,193503,24,
198583,198607,2022-07-26_13-07-26-093673,198610,24,
203690,203713,2022-07-26_13-07-31-329049,203717,23,
208818,208842,2022-07-26_13-07-36-590043,208845,24,
213927,213951,2022-07-26_13-07-41-828033,213954,24,
219079,219102,2022-07-26_13-07-47-106625,219106,23,
224213,224239,2022-07-26_13-07-52-372379,224241,26,
229357,229380,2022-07-26_13-07-57-646598,229383,23,
234501,234529,2022-07-26_13-08-02-922643,234532,28,
239719,239744,2022-07-26_13-08-08-271724,239747,25,
244860,244885,2022-07-26_13-08-13-543399,244889,25,
249996,250028,2022-07-26_13-08-18-811355,250031,32,
255130,255154,2022-07-26_13-08-24-077358,255157,24,
260260,260285,2022-07-26_13-08-29-334214,260288,25,
265412,265435,2022-07-26_13-08-34-612992,265439,23,
270550,270578,2022-07-26_13-08-39-882863,270581,28,
275705,275729,2022-07-26_13-08-45-169040,275733,24,
280833,280861,2022-07-26_13-08-50-432782,280864,28,
285976,286001,2022-07-26_13-08-55-699798,286004,25,
291228,291251,2022-07-26_13-09-01-085046,291255,23,
296343,296375,2022-07-26_13-09-06-335834,296378,32,
301457,301495,2022-07-26_13-09-11-573050,301501,38,
306550,306601,2022-07-26_13-09-16-808698,306604,51,
311662,311693,2022-07-26_13-09-22-041487,311696,31,
316770,316823,2022-07-26_13-09-27-298355,316827,53,
321921,321948,2022-07-26_13-09-32-555558,321951,27,
327073,327099,2022-07-26_13-09-37-838422,327103,26,
332221,332248,2022-07-26_13-09-43-120528,332251,27,
337376,337400,2022-07-26_13-09-48-404779,337403,24,
342523,342547,2022-07-26_13-09-53-679340,342550,24,
347631,347654,2022-07-26_13-09-58-914541,347657,23,
352773,352802,2022-07-26_13-10-04-190258,352806,29,
357907,357931,2022-07-26_13-10-09-450797,357935,24,
363041,363068,2022-07-26_13-10-14-716715,363071,27,
368185,368210,2022-07-26_13-10-19-989835,368213,25,
373341,373364,2022-07-26_13-10-25-278806,373367,23,
378478,378506,2022-07-26_13-10-30-546947,378509,28,
383584,383609,2022-07-26_13-10-35-778762,383612,25,
388724,388749,2022-07-26_13-10-41-045476,388752,25,
393863,393887,2022-07-26_13-10-46-312720,393890,24,
399015,399061,2022-07-26_13-10-51-619515,399064,46,
404131,404154,2022-07-26_13-10-56-840499,404158,23,
409243,409361,2022-07-26_13-11-02-176668,414370,118,
414393,414430,2022-07-26_13-11-07-372897,414433,37,
