left eye 1,left eye 2,right eye 1,right eye 2,current time
nan, nan,nan, nan,41:19.2
nan, nan,nan, nan,41:19.3
nan, nan,nan, nan,41:19.3
nan, nan,nan, nan,41:19.4
nan, nan,nan, nan,41:19.4
0.544586957,0.56561625,0.511796236,0.615190744,41:19.4
0.522103727,0.572519243,0.490139127,0.608797014,41:19.5
0.511258125,0.54841435,0.484154791,0.592523277,41:19.5
0.517509282,0.522533298,0.490035951,0.555131197,41:19.6
0.511324465,0.525370955,0.490340143,0.548444748,41:19.6
0.506701052,0.521084309,0.491498441,0.553364217,41:19.7
0.514683127,0.522009015,0.492687374,0.555696607,41:19.7
0.520104945,0.518925667,0.494501114,0.55282402,41:19.8
0.513010025,0.515866399,0.495135754,0.549631596,41:19.8
0.509572029,0.509738028,0.497500688,0.551481783,41:19.8
0.51002568,0.518115759,0.496401429,0.550187945,41:19.9
0.510701895,0.519105732,0.49415499,0.545668483,41:20.0
0.512067378,0.509640932,0.493523657,0.551268101,41:20.0
0.510911465,0.511999905,0.495458812,0.55224812,41:20.1
0.51025933,0.513564765,0.495481372,0.553312063,41:20.1
0.508530736,0.512365997,0.500165582,0.557885289,41:20.2
0.507075787,0.510796666,0.501302421,0.5509758,41:20.2
0.50750649,0.508021772,0.498770267,0.545781016,41:20.3
0.507061601,0.513180137,0.497840822,0.548233211,41:20.3
0.507458806,0.512475729,0.497539997,0.546554029,41:20.4
0.507736325,0.511025548,0.498306543,0.544908404,41:20.4
0.507678747,0.510632515,0.498559922,0.545746624,41:20.5
0.507994115,0.508721232,0.497639865,0.547002554,41:20.5
0.50491643,0.511423647,0.497740448,0.547711551,41:20.6
0.501463532,0.51063782,0.497481883,0.547179282,41:20.6
0.502463162,0.515673637,0.495362401,0.543888748,41:20.6
0.503179431,0.52089572,0.494792581,0.542117953,41:20.7
0.506168962,0.522642493,0.496476889,0.543315053,41:20.7
0.509918571,0.520493627,0.498251766,0.544620633,41:20.8
0.504334271,0.519242704,0.49917534,0.546911299,41:20.8
0.501403928,0.518878043,0.498432308,0.549338579,41:20.9
0.503102958,0.514016151,0.492741495,0.551708639,41:20.9
0.502016723,0.513694763,0.492353171,0.55106777,41:21.0
0.483691335,0.55281651,0.463799089,0.58330828,41:21.0
0.455697626,0.618922651,0.439818919,0.623755991,41:21.1
0.435566485,0.670742154,0.422619343,0.673033655,41:21.1
0.43418932,0.675335646,0.423480898,0.675631046,41:21.2
0.434984326,0.670597196,0.423823416,0.678503513,41:21.2
0.434620529,0.670500696,0.425268084,0.667910814,41:21.2
0.435636461,0.66775471,0.426098317,0.65962404,41:21.3
0.434502155,0.661207736,0.422612578,0.65739131,41:21.3
0.433313459,0.657781541,0.420265257,0.658255816,41:21.4
0.436707973,0.656768978,0.420752823,0.659307241,41:21.4
0.437980533,0.659621537,0.419668585,0.657607138,41:21.5
0.439688355,0.659615517,0.419497967,0.661646008,41:21.5
0.439591825,0.662097752,0.418036729,0.661321163,41:21.6
0.434564352,0.656089664,0.419441104,0.664513886,41:21.6
0.436199397,0.65552938,0.420788854,0.664957106,41:21.7
0.439698786,0.652361393,0.420836002,0.663660884,41:21.7
0.43925789,0.652168989,0.420320928,0.660807788,41:21.8
0.437034786,0.659711421,0.421432048,0.657734454,41:21.8
0.434072018,0.651404738,0.421262592,0.653954923,41:21.9
0.434789658,0.649653971,0.421944886,0.652007401,41:21.9
0.434640735,0.649445772,0.426399738,0.647365391,41:22.0
0.438898981,0.654946804,0.427864373,0.646764576,41:22.0
0.440233141,0.654356778,0.425103873,0.651118696,41:22.1
0.43694973,0.661144674,0.42402184,0.655391872,41:22.1
0.438583553,0.661372721,0.423141271,0.65452534,41:22.2
0.435575724,0.661372304,0.420370191,0.654383838,41:22.2
0.433830559,0.66305697,0.421591729,0.653260648,41:22.2
0.433567673,0.662103355,0.420768678,0.647272468,41:22.3
0.432246387,0.665947676,0.419720948,0.639686167,41:22.3
0.436298341,0.655587196,0.419018805,0.640333772,41:22.4
0.435915977,0.653388679,0.420306981,0.644913554,41:22.4
0.433712929,0.648079216,0.424170256,0.642235637,41:22.5
0.423351109,0.645619571,0.410004199,0.640808284,41:22.5
0.390994281,0.657492101,0.386189163,0.651733279,41:22.6
0.361683369,0.666097164,0.348506659,0.659062862,41:22.6
0.359279245,0.664681077,0.348008364,0.659313381,41:22.6
0.360910356,0.660046995,0.347292155,0.65930891,41:22.7
0.358994573,0.670407295,0.347940534,0.656520903,41:22.7
0.359786659,0.669649243,0.346195877,0.657218575,41:22.8
0.361016184,0.668395042,0.34715125,0.664429486,41:22.8
0.362813175,0.672513843,0.34780708,0.665343702,41:22.9
0.362152129,0.672000766,0.346120149,0.661233485,41:22.9
0.362648368,0.671883345,0.345590085,0.66342932,41:23.0
0.363086492,0.667966545,0.347929806,0.663811147,41:23.0
0.361907452,0.666307569,0.347568691,0.664041042,41:23.0
0.365881294,0.662253797,0.349227756,0.662177086,41:23.1
0.363524735,0.666933179,0.351721495,0.663417041,41:23.1
0.361713171,0.667487562,0.351696461,0.667067349,41:23.2
0.363111645,0.671474576,0.351398379,0.666761756,41:23.2
0.361509472,0.67003876,0.348903507,0.664639473,41:23.3
0.360979468,0.668525934,0.345759124,0.665895998,41:23.3
0.357719719,0.667669833,0.345525056,0.667563021,41:23.3
0.355617404,0.667773187,0.34836936,0.670391679,41:23.4
0.352229178,0.669893146,0.350310862,0.673656583,41:23.4
0.350918293,0.671746612,0.347758502,0.675058067,41:23.4
0.359373391,0.672973573,0.346912414,0.671452105,41:23.5
0.388906389,0.673381865,0.391561776,0.66941756,41:23.5
0.414202869,0.670925438,0.408935905,0.665116191,41:23.6
0.413944572,0.671974301,0.408640176,0.658213377,41:23.6
0.408607632,0.667508185,0.411753297,0.657477379,41:23.7
0.409004867,0.66397661,0.414788097,0.660094321,41:23.7
0.41258052,0.668871701,0.411630958,0.665111005,41:23.8
0.410595834,0.667182863,0.408194512,0.664589465,41:23.8
0.406101763,0.670171797,0.407124102,0.663612783,41:23.9
0.406385988,0.668359756,0.41079706,0.665746212,41:23.9
0.406811923,0.666189313,0.415706575,0.670305133,41:24.0
0.407114297,0.670318663,0.415683359,0.670125484,41:24.0
0.407371193,0.667080104,0.410524189,0.66527915,41:24.1
0.404747397,0.665206909,0.407102317,0.662991226,41:24.1
0.407311738,0.664740801,0.408691227,0.655226052,41:24.2
0.406499386,0.662574291,0.41130361,0.659444749,41:24.2
0.409917235,0.664785504,0.412607044,0.663822472,41:24.3
0.410316974,0.663737416,0.413359165,0.659862161,41:24.3
0.405771106,0.662712753,0.412626982,0.661582112,41:24.4
0.404775143,0.666143835,0.412100315,0.662117422,41:24.4
0.400582463,0.668758631,0.410757005,0.660834074,41:24.5
0.400611728,0.66546458,0.407791615,0.65842402,41:24.5
0.399612814,0.664797366,0.408029407,0.665321231,41:24.6
0.399408191,0.666957736,0.408707798,0.667270243,41:24.6
0.398797005,0.667360902,0.409454703,0.66626817,41:24.7
0.399728388,0.667968333,0.405721843,0.669727147,41:24.7
0.39901334,0.670371473,0.403980911,0.671098173,41:24.8
0.398154587,0.672482729,0.407444119,0.67286998,41:24.8
0.399405032,0.671224773,0.407311171,0.675976038,41:24.8
0.399341017,0.668293893,0.406205744,0.675605059,41:24.9
0.401723802,0.668908,0.406499863,0.674238324,41:25.0
0.400894165,0.673315585,0.408073753,0.676596701,41:25.1
0.402116448,0.677270651,0.405195773,0.677295566,41:25.1
0.402677327,0.680567145,0.402955055,0.685541153,41:25.2
0.397657365,0.679650784,0.414555728,0.622683823,41:25.2
0.435660511,0.361877263,0.438536108,0.420827329,41:25.2
0.444786221,0.377818346,0.447001398,0.395735323,41:25.3
0.443172663,0.393735319,0.448622137,0.41393742,41:25.3
0.439951748,0.391016275,0.448643684,0.416251034,41:25.4
0.437794358,0.390155494,0.448252082,0.417277604,41:25.4
0.436853796,0.390392631,0.448992789,0.417617857,41:25.5
0.438388884,0.388251334,0.449938595,0.410984129,41:25.5
0.437189579,0.384820133,0.449091941,0.41354531,41:25.6
0.437930971,0.384227484,0.446903408,0.407712668,41:25.6
0.436769336,0.381499738,0.445516169,0.407459408,41:25.7
0.437097311,0.378166944,0.450878233,0.40730679,41:25.7
0.436444163,0.37957716,0.451518029,0.402689636,41:25.8
0.436057299,0.379267752,0.450894892,0.403409779,41:25.8
0.437874198,0.377616376,0.449932635,0.402454734,41:25.9
0.439805955,0.380837888,0.4515194,0.408562601,41:25.9
0.442742616,0.382856369,0.451384783,0.409703553,41:26.0
0.44319275,0.37749064,0.453916669,0.409891278,41:26.0
0.424177617,0.371998072,0.452199191,0.406578332,41:26.1
0.389858991,0.363424003,0.404882461,0.39344728,41:26.2
0.379615068,0.362397283,0.385342598,0.390029192,41:26.2
0.377365142,0.364652961,0.387854844,0.388956308,41:26.2
0.371773839,0.36634317,0.391947508,0.397568256,41:26.3
0.377359003,0.369615912,0.389122427,0.404590249,41:26.3
0.37129426,0.364512146,0.38880536,0.403929353,41:26.4
0.37182644,0.363636196,0.394274592,0.393787742,41:26.5
0.376969784,0.363397896,0.394823909,0.386918515,41:26.5
0.377441913,0.364671141,0.392882973,0.393465251,41:26.6
0.377748549,0.36381644,0.390907377,0.394894421,41:26.6
0.377258062,0.362475872,0.388185352,0.397591919,41:26.7
0.376042962,0.364075094,0.387417167,0.395945281,41:26.7
0.376093328,0.363458663,0.387830794,0.392286569,41:26.8
0.37721622,0.365775168,0.386824101,0.397178262,41:26.8
0.375910968,0.370647132,0.385296434,0.40176025,41:26.9
0.372836739,0.370404214,0.381222308,0.397215635,41:26.9
0.374980152,0.365706474,0.384254664,0.38981992,41:27.0
0.374363124,0.366598576,0.385632753,0.387589872,41:27.0
0.377802461,0.362953573,0.395809948,0.389717221,41:27.1
0.402513504,0.373927057,0.419991672,0.400069088,41:27.1
0.423509508,0.388365477,0.442752272,0.417023718,41:27.1
0.43524611,0.389120549,0.439435571,0.415648669,41:27.2
0.431182712,0.38966918,0.440151572,0.42151463,41:27.3
0.422042102,0.38379845,0.434364557,0.428855836,41:27.3
0.424048245,0.389968455,0.425532073,0.426786959,41:27.4
0.427570134,0.397385448,0.431778312,0.422549814,41:27.5
0.427770048,0.388441592,0.435652882,0.425087661,41:27.5
0.425374597,0.384869963,0.435507536,0.428962827,41:27.5
0.420591176,0.382406056,0.439373225,0.430487752,41:27.6
0.419727117,0.387547404,0.434921354,0.42852962,41:27.6
0.423100024,0.389514029,0.430869341,0.421400905,41:27.7
0.420480371,0.396854967,0.429436028,0.420320332,41:27.7
0.42185697,0.393321931,0.42723456,0.423031211,41:27.7
0.426855832,0.393172145,0.429959238,0.422146112,41:27.8
0.424593031,0.39605841,0.429190904,0.427203417,41:27.8
0.427321196,0.389057577,0.430528283,0.428213358,41:27.9
0.413619876,0.374408424,0.416890651,0.396759957,41:27.9
0.388790369,0.359386057,0.400769413,0.38162151,41:28.0
0.378985494,0.355893433,0.383608699,0.375563771,41:28.0
0.377031296,0.354054153,0.384203076,0.375039041,41:28.1
0.375789732,0.349211097,0.385843724,0.375047237,41:28.1
0.377796024,0.349301696,0.383630067,0.377959996,41:28.2
0.378238976,0.353429079,0.383655369,0.385702461,41:28.2
0.38036409,0.352516055,0.384590328,0.382556885,41:28.3
0.379383266,0.349164456,0.384543866,0.385147572,41:28.3
0.379330218,0.345024854,0.384245902,0.382085472,41:28.4
0.378855675,0.349043965,0.383243769,0.375791669,41:28.4
0.378837675,0.354791671,0.382238328,0.381721526,41:28.4
0.379400581,0.357562244,0.384481639,0.374096483,41:28.5
0.37375325,0.351669848,0.38508895,0.369400889,41:28.5
0.375139117,0.341852099,0.382590532,0.359127253,41:28.6
0.362651587,0.335467845,0.367888987,0.346100777,41:28.6
0.350090802,0.32416907,0.352332979,0.335436225,41:28.7
0.352697164,0.310212761,0.355698079,0.338843554,41:28.7
0.352359027,0.312117219,0.355325133,0.33620289,41:28.8
0.353850156,0.309280455,0.355216235,0.336445659,41:28.8
0.351890832,0.309610575,0.35406816,0.338825941,41:28.9
0.352102607,0.31168586,0.351320207,0.339310735,41:28.9
0.353137463,0.311721891,0.349791378,0.344759196,41:29.0
0.354483455,0.313219309,0.353838533,0.342110723,41:29.0
0.353816152,0.317036062,0.353419244,0.332571805,41:29.1
0.349537164,0.324292392,0.352319628,0.332444668,41:29.1
0.346300691,0.321828425,0.350430161,0.337514669,41:29.2
0.343404144,0.329943478,0.347875506,0.34121576,41:29.2
0.345293015,0.330131561,0.347813815,0.34005475,41:29.3
0.347770512,0.328242123,0.348362684,0.33871752,41:29.3
0.347516567,0.328842312,0.349378347,0.339755863,41:29.4
0.344927818,0.324942678,0.350765169,0.340762585,41:29.4
0.344245702,0.325600803,0.351257622,0.34082219,41:29.5
0.342362165,0.326893479,0.350237012,0.339948118,41:29.5
0.340955466,0.329107583,0.349066466,0.347818017,41:29.6
0.343050718,0.324035913,0.348023623,0.350549668,41:29.6
0.344694108,0.322949439,0.347107619,0.351682454,41:29.7
0.3421112,0.319914371,0.347125411,0.350993335,41:29.8
0.344039917,0.318617582,0.347180188,0.349988908,41:29.9
0.345131308,0.318182975,0.348832607,0.347357452,41:29.9
0.346564591,0.323275179,0.349668771,0.338007748,41:29.9
0.349526674,0.325809985,0.350716472,0.340694249,41:30.0
0.349581361,0.320741177,0.350341886,0.349093705,41:30.0
0.3529827,0.331598222,0.349516422,0.346054792,41:30.1
0.350479841,0.330826968,0.349012941,0.341810018,41:30.1
0.347547144,0.331341773,0.351501465,0.349445343,41:30.2
0.351244181,0.334709227,0.350493073,0.355153352,41:30.2
0.348916262,0.327758044,0.346701413,0.355358332,41:30.3
0.34730038,0.330906421,0.347676784,0.357445091,41:30.3
0.347749412,0.330305666,0.348881155,0.355245799,41:30.4
0.346940815,0.330252379,0.350025773,0.351329237,41:30.4
0.349568784,0.324949175,0.348430693,0.351817012,41:30.5
0.345358491,0.322122812,0.349104285,0.355467081,41:30.6
0.347953379,0.32601732,0.35109064,0.358455032,41:30.6
0.349351704,0.327254325,0.350521058,0.35542205,41:30.7
0.345154494,0.328296423,0.349809438,0.354483992,41:30.7
0.346830219,0.326950192,0.353010982,0.350933969,41:30.8
0.347010434,0.336610764,0.356675595,0.345194072,41:30.8
0.348849267,0.331919879,0.350804359,0.343880415,41:30.8
0.348261505,0.332691014,0.347878337,0.343654692,41:30.9
0.346201122,0.332582086,0.349338681,0.339419544,41:30.9
0.346444666,0.329394162,0.348156273,0.337888986,41:31.0
0.346035719,0.326763183,0.346978724,0.343011022,41:31.0
0.341885656,0.31253913,0.335113585,0.361256003,41:31.1
0.308539897,0.381744027,0.308750242,0.401776522,41:31.2
0.251739979,0.512764871,nan, nan,41:31.2
nan, nan,nan, nan,41:31.3
nan, nan,nan, nan,41:31.3
nan, nan,nan, nan,41:31.4
nan, nan,nan, nan,41:31.4
0.226451859,0.546854138,nan, nan,41:31.5
0.226451859,0.546854138,nan, nan,41:31.5
0.371197432,0.320538789,0.376111418,0.441166103,41:31.6
0.368562222,0.34209314,0.373679221,0.401320368,41:31.6
0.369485408,0.348785341,0.373976856,0.346226186,41:31.7
0.372155339,0.331774771,0.377679318,0.363508016,41:31.7
0.375131458,0.338125795,0.379130363,0.36456573,41:31.8
0.378072619,0.334775567,0.373564303,0.362343729,41:31.8
0.373039156,0.337139994,0.369713217,0.362185955,41:31.8
0.36890018,0.345530659,0.371382385,0.351994187,41:31.9
0.368227363,0.330792189,0.36974296,0.33899349,41:31.9
0.373683393,0.337491304,0.369612843,0.344560862,41:32.0
0.374242306,0.335187227,0.367419988,0.353639066,41:32.1
0.369897962,0.330884278,0.368350178,0.355098456,41:32.1
0.367587954,0.328855067,0.368538082,0.345671803,41:32.2
0.361081332,0.330396414,0.365511507,0.332973391,41:32.2
0.36162734,0.323735684,0.364128888,0.316497296,41:32.3
