RD,TS_received,TS_sent,AK,RoundTrip,
97921,97946,2022-07-28_18-08-57-150614,97949,25,
103030,103053,2022-07-28_18-09-02-384511,103056,23,
108148,108237,2022-07-28_18-09-07-678658,108240,89,
113301,113324,2022-07-28_18-09-12-904816,113327,23,
118410,118434,2022-07-28_18-09-18-136105,118437,24,
123517,123543,2022-07-28_18-09-23-368441,123547,26,
128626,128654,2022-07-28_18-09-28-605137,128664,28,
133734,133758,2022-07-28_18-09-33-835494,133761,24,
138842,138869,2022-07-28_18-09-39-066250,138873,27,
143950,143973,2022-07-28_18-09-44-299706,143976,23,
149057,149080,2022-07-28_18-09-49-529793,149083,23,
154166,154189,2022-07-28_18-09-54-763657,154192,23,
159276,159300,2022-07-28_18-09-59-996705,159303,24,
164381,164405,2022-07-28_18-10-05-229157,164409,24,
169490,169522,2022-07-28_18-10-10-464782,169525,32,
174598,174623,2022-07-28_18-10-15-686434,174627,25,
179752,179776,2022-07-28_18-10-20-966467,179780,24,
184860,184884,2022-07-28_18-10-26-196603,184887,24,
189968,189997,2022-07-28_18-10-31-429769,190000,29,
195076,195099,2022-07-28_18-10-36-659247,195102,23,
200235,200283,2022-07-28_18-10-41-955271,200286,48,
205383,205407,2022-07-28_18-10-47-217905,205411,24,
210490,210514,2022-07-28_18-10-52-451268,210517,24,
215598,215624,2022-07-28_18-10-57-683061,215627,26,
220769,220793,2022-07-28_18-11-02-976339,220797,24,
225929,225955,2022-07-28_18-11-08-258502,225958,26,
231037,231060,2022-07-28_18-11-13-490077,231063,23,
236182,236206,2022-07-28_18-11-18-760910,236211,24,
241311,241335,2022-07-28_18-11-24-013578,241338,24,
246470,246493,2022-07-28_18-11-29-298520,246497,23,
251577,251600,2022-07-28_18-11-34-527673,251605,23,
256728,256755,2022-07-28_18-11-39-801803,256758,27,
261855,261880,2022-07-28_18-11-45-052961,261884,25,
266963,266986,2022-07-28_18-11-50-282646,266989,23,
272070,272097,2022-07-28_18-11-55-512560,272100,27,
277215,277237,2022-07-28_18-12-00-786786,277240,22,
282361,282387,2022-07-28_18-12-06-059668,282389,26,
287512,287540,2022-07-28_18-12-11-332670,287543,28,
292654,292681,2022-07-28_18-12-16-598367,292684,27,
297789,297814,2022-07-28_18-12-21-856301,297819,25,
302940,302964,2022-07-28_18-12-27-133699,302967,24,
308084,308111,2022-07-28_18-12-32-406292,308114,27,
313192,313217,2022-07-28_18-12-37-632580,313220,25,
318348,318374,2022-07-28_18-12-42-917801,318377,26,
323501,323526,2022-07-28_18-12-48-193207,323529,25,
328639,328666,2022-07-28_18-12-53-458315,328670,27,
333763,333786,2022-07-28_18-12-58-699895,333790,23,
338871,338890,2022-07-28_18-13-03-931746,338899,19,
344032,344077,2022-07-28_18-13-09-236754,344081,45,
349140,349168,2022-07-28_18-13-14-448245,349171,28,
354284,354307,2022-07-28_18-13-19-714854,354311,23,
359421,359446,2022-07-28_18-13-24-978207,359449,25,
364572,364597,2022-07-28_18-13-30-251951,364600,25,
369717,369745,2022-07-28_18-13-35-522510,369748,28,
374862,374888,2022-07-28_18-13-40-784905,374891,26,
380017,380044,2022-07-28_18-13-46-069655,380048,27,
385123,385149,2022-07-28_18-13-51-300054,385153,26,
390246,395374,2022-07-28_18-13-56-546259,395383,5128,
395398,395425,2022-07-28_18-14-01-822423,395429,27,
400488,400511,2022-07-28_18-14-07-039032,400514,23,
405622,405649,2022-07-28_18-14-12-296179,405653,27,
410759,410782,2022-07-28_18-14-17-556965,410785,23,
415865,415889,2022-07-28_18-14-22-786980,415892,24,
420973,420996,2022-07-28_18-14-28-017866,421000,23,
426130,426155,2022-07-28_18-14-33-299186,426158,25,
431290,431315,2022-07-28_18-14-38-583279,431318,25,
436426,436456,2022-07-28_18-14-43-846763,436459,30,
441534,441562,2022-07-28_18-14-49-075485,441565,28,
446686,446710,2022-07-28_18-14-54-354254,446714,24,
451793,451818,2022-07-28_18-14-59-582168,451821,25,
456903,456926,2022-07-28_18-15-04-813273,456935,23,
462009,462031,2022-07-28_18-15-10-043387,462034,22,
467118,467142,2022-07-28_18-15-15-275510,467146,24,
472228,472254,2022-07-28_18-15-20-512468,472257,26,
477340,477370,2022-07-28_18-15-25-756206,477373,30,
482509,482533,2022-07-28_18-15-31-042355,482536,24,
487622,487648,2022-07-28_18-15-36-278417,487652,26,
492730,492753,2022-07-28_18-15-41-509404,492758,23,
497890,497921,2022-07-28_18-15-46-798770,497924,31,
503002,503027,2022-07-28_18-15-52-029931,503030,25,
508109,508135,2022-07-28_18-15-57-261459,508138,26,
513269,513295,2022-07-28_18-16-02-544438,513298,26,
518378,518401,2022-07-28_18-16-07-781679,518404,23,
523535,523578,2022-07-28_18-16-13-061586,523581,43,
528642,528666,2022-07-28_18-16-18-292903,528669,24,
533751,533775,2022-07-28_18-16-23-525821,533779,24,
538901,538926,2022-07-28_18-16-28-799988,538929,25,
544008,544034,2022-07-28_18-16-34-028306,544037,26,
