LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1659046137.141714,97917.000,11432,1,TL,1,100,2022-07-28_18-08-51-864848
1659046137.171416,97946.000,11435,1,TL,1,100,2022-07-28_18-08-57-150614
1659046142.373222,103025.000,12261,1,TL,1,100,2022-07-28_18-08-57-216202
1659046142.401899,103053.000,12264,1,TL,1,100,2022-07-28_18-09-02-384511
1659046147.613947,108142.000,13099,1,TL,1,100,2022-07-28_18-09-02-549623
1659046147.711244,108237.000,13102,1,TL,1,100,2022-07-28_18-09-07-678658
1659046152.893590,113297.000,13900,1,TL,1,100,2022-07-28_18-09-07-775689
1659046152.921243,113324.000,13903,1,TL,1,100,2022-07-28_18-09-12-904816
1659046158.126122,118406.000,14709,1,TL,1,100,2022-07-28_18-09-12-989905
1659046158.154799,118434.000,14712,1,TL,1,100,2022-07-28_18-09-18-136105
1659046163.357629,123514.000,15549,1,TL,1,100,2022-07-28_18-09-18-213514
1659046163.387330,123543.000,15552,1,TL,1,100,2022-07-28_18-09-23-368441
1659046168.588112,128621.000,16385,1,TL,1,100,2022-07-28_18-09-23-442157
1659046168.621910,128654.000,16388,1,TL,1,100,2022-07-28_18-09-28-605137
1659046173.820644,133730.000,17220,1,TL,1,100,2022-07-28_18-09-28-759227
1659046173.849321,133758.000,17223,1,TL,1,100,2022-07-28_18-09-33-835494
1659046179.052151,138838.000,18039,1,TL,1,100,2022-07-28_18-09-33-896078
1659046179.083900,138869.000,18042,1,TL,1,100,2022-07-28_18-09-39-066250
1659046184.283658,143946.000,18876,1,TL,1,100,2022-07-28_18-09-39-131531
1659046184.311311,143973.000,18879,1,TL,1,100,2022-07-28_18-09-44-299706
1659046189.514141,149053.000,19698,1,TL,1,100,2022-07-28_18-09-44-358935
1659046189.541794,149080.000,19701,1,TL,1,100,2022-07-28_18-09-49-529793
1659046194.746673,154162.000,20490,1,TL,1,100,2022-07-28_18-09-49-600034
1659046194.774326,154189.000,20493,1,TL,1,100,2022-07-28_18-09-54-763657
1659046199.980228,159272.000,21336,1,TL,1,100,2022-07-28_18-09-54-828463
1659046200.008905,159300.000,21339,1,TL,1,100,2022-07-28_18-09-59-996705
1659046205.209687,164378.000,22179,1,TL,1,100,2022-07-28_18-10-00-101910
1659046205.237340,164405.000,22182,1,TL,1,100,2022-07-28_18-10-05-229157
1659046210.442219,169487.000,23019,1,TL,1,100,2022-07-28_18-10-05-293675
1659046210.478065,169522.000,23022,1,TL,1,100,2022-07-28_18-10-10-464782
1659046215.672702,174594.000,23861,1,TL,1,100,2022-07-28_18-10-10-535615
1659046215.702403,174623.000,23864,1,TL,1,100,2022-07-28_18-10-15-686434
1659046220.951322,179748.000,24722,1,TL,1,100,2022-07-28_18-10-15-760337
1659046220.979999,179776.000,24725,1,TL,1,100,2022-07-28_18-10-20-966467
1659046226.183853,184857.000,25560,1,TL,1,100,2022-07-28_18-10-21-029441
1659046226.211506,184884.000,25563,1,TL,1,100,2022-07-28_18-10-26-196603
1659046231.413312,189963.000,26396,1,TL,1,100,2022-07-28_18-10-26-255703
1659046231.448134,189997.000,26399,1,TL,1,100,2022-07-28_18-10-31-429769
1659046236.645844,195072.000,27226,1,TL,1,100,2022-07-28_18-10-31-500446
