LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1659046137.067973,97845.000,11422,1,TH,1,100,32.143
1659046137.181657,97956.000,11446,1,TH,1,100,32.197
1659046137.297390,98069.000,11462,1,TH,1,100,32.197
1659046137.524757,98291.000,11495,1,TH,1,100,32.204
1659046137.628200,98392.000,11512,1,TH,1,100,32.204
1659046137.732666,98494.000,11531,1,TH,1,100,32.234
1659046137.836108,98595.000,11548,1,TH,1,100,32.234
1659046138.051185,98805.000,11581,1,TH,1,100,32.169
1659046138.154628,98906.000,11599,1,TH,1,100,32.170
1659046138.257046,99006.000,11615,1,TH,1,100,32.217
1659046138.361512,99108.000,11631,1,TH,1,100,32.217
1659046138.573517,99315.000,11665,1,TH,1,100,32.247
1659046138.677983,99417.000,11681,1,TH,1,100,32.247
1659046138.781425,99518.000,11699,1,TH,1,100,32.267
1659046138.987285,99719.000,11730,1,TH,1,100,32.267
1659046139.106090,99835.000,11746,1,TH,1,100,32.247
1659046139.209532,99936.000,11764,1,TH,1,100,32.247
1659046139.315023,100039.000,11780,1,TH,1,100,32.327
1659046139.519858,100239.000,11812,1,TH,1,100,32.327
1659046139.628422,100345.000,11830,1,TH,1,100,32.272
1659046139.732888,100447.000,11846,1,TH,1,100,32.272
1659046139.834281,100546.000,11864,1,TH,1,100,32.240
1659046140.041166,100748.000,11895,1,TH,1,100,32.240
1659046140.144608,100849.000,11912,1,TH,1,100,32.297
1659046140.261364,100963.000,11929,1,TH,1,100,32.297
1659046140.364806,101064.000,11945,1,TH,1,100,32.234
1659046140.570666,101265.000,11980,1,TH,1,100,32.234
1659046140.674108,101366.000,11997,1,TH,1,100,32.255
1659046140.778575,101468.000,12014,1,TH,1,100,32.255
1659046140.984435,101669.000,12045,1,TH,1,100,32.267
1659046141.087877,101770.000,12062,1,TH,1,100,32.267
1659046141.191319,101871.000,12079,1,TH,1,100,32.319
1659046141.335728,102012.000,12096,1,TH,1,100,32.319
1659046141.452485,102126.000,12113,1,TH,1,100,32.294
1659046141.558999,102230.000,12130,1,TH,1,100,32.301
