RD,TS_received,TS_sent,AK,RoundTrip,
360660,360716,2022-08-04_12-13-53-637090,360719,56,
365790,365815,2022-08-04_12-13-58-859221,365818,25,
370897,370922,2022-08-04_12-14-04-096540,370925,25,
376023,376083,2022-08-04_12-14-09-387509,376086,60,
381121,386274,2022-08-04_12-14-14-574146,386283,5153,
386297,386381,2022-08-04_12-14-19-938687,386385,84,
391400,391473,2022-08-04_12-14-25-156385,391476,73,
396507,396531,2022-08-04_12-14-30-344689,396534,24,
401631,401680,2022-08-04_12-14-35-609555,401686,49,
406737,406762,2022-08-04_12-14-40-830227,406765,25,
411855,411956,2022-08-04_12-14-46-153528,411959,101,
416953,416989,2022-08-04_12-14-51-304870,416992,36,
422071,422147,2022-08-04_12-14-56-594078,422151,76,
427222,432325,2022-08-04_12-15-02-025882,432329,5103,
432329,437456,2022-08-04_12-15-07-247420,437459,5127,
437460,437484,2022-08-04_12-15-12-314972,437487,24,
442578,442638,2022-08-04_12-15-17-596331,442641,60,
447685,447728,2022-08-04_12-15-22-816664,447731,43,
452793,452824,2022-08-04_12-15-28-037896,452827,31,
457894,457919,2022-08-04_12-15-33-261523,457922,25,
463003,463027,2022-08-04_12-15-38-495149,463030,24,
468110,468201,2022-08-04_12-15-43-799225,468206,91,
473226,473301,2022-08-04_12-15-49-023006,473305,75,
478356,483459,2022-08-04_12-15-54-253252,483471,5103,
483488,483582,2022-08-04_12-15-59-560649,483585,94,
488570,488595,2022-08-04_12-16-04-698644,488598,25,
493673,493696,2022-08-04_12-16-09-927290,493700,23,
498780,498880,2022-08-04_12-16-15-236440,498883,100,
503907,503933,2022-08-04_12-16-20-415072,503937,26,
509023,509074,2022-08-04_12-16-25-691577,509077,51,
514124,514174,2022-08-04_12-16-30-910569,514180,50,
519239,519264,2022-08-04_12-16-36-127420,519267,25,
524339,524364,2022-08-04_12-16-41-357598,524367,25,
529456,529558,2022-08-04_12-16-46-679363,529564,102,
534556,534650,2022-08-04_12-16-51-896448,534653,94,
539663,539747,2022-08-04_12-16-57-125150,539751,84,
544778,544847,2022-08-04_12-17-02-350211,544850,69,
549955,549980,2022-08-04_12-17-07-609236,549983,25,
555108,555140,2022-08-04_12-17-12-899628,555143,32,
560211,560246,2022-08-04_12-17-18-123399,560251,35,
565315,565341,2022-08-04_12-17-23-357519,565345,26,
570421,575596,2022-08-04_12-17-28-761482,575599,5175,
575600,575624,2022-08-04_12-17-33-894733,575627,24,
