LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1659629632.492594,359574.000,56388,1,T1,1,100,30.893
1659629632.625832,359704.000,56405,1,T1,1,100,30.918
1659629632.758046,359833.000,56422,1,T1,1,100,31.000
1659629632.892309,359964.000,56453,1,T1,1,100,30.929
1659629633.026573,360095.000,56471,1,T1,1,100,30.792
1659629633.160836,360226.000,56487,1,T1,1,100,30.875
1659629633.293050,360355.000,56504,1,T1,1,100,30.839
1659629633.427314,360486.000,56539,1,T1,1,100,30.895
1659629633.559015,360614.500,56564,2,T1,1,100,30.884
1659629633.690716,360743.000,56564,2,T1,1,100,30.879
1659629633.824979,360874.000,56580,1,T1,1,100,30.912
1659629633.957193,361003.000,56597,1,T1,1,100,30.891
1659629634.092481,361135.000,56631,1,T1,1,100,30.811
1659629634.224695,361264.000,56647,1,T1,1,100,30.776
1659629634.358958,361395.000,56667,1,T1,1,100,30.691
1659629634.492197,361525.000,56699,1,T1,1,100,30.760
1659629634.624411,361654.000,56715,1,T1,1,100,30.790
1659629634.757649,361784.000,56733,1,T1,1,100,30.944
1659629634.888838,361912.000,56749,1,T1,1,100,30.905
1659629635.023101,362043.000,56781,1,T1,1,100,30.923
1659629635.156340,362173.000,56798,1,T1,1,100,30.825
1659629635.290603,362304.000,56814,1,T1,1,100,30.889
1659629635.422817,362433.000,56848,1,T1,1,100,30.916
1659629635.555031,362562.000,56864,1,T1,1,100,30.857
1659629635.689294,362693.000,56881,1,T1,1,100,30.867
1659629635.820483,362821.000,56898,1,T1,1,100,30.943
1659629635.954746,362952.000,56930,1,T1,1,100,30.975
1659629636.086960,363081.000,56946,1,T1,1,100,30.883
1659629636.221223,363212.000,56963,1,T1,1,100,30.949
1659629636.354462,363342.000,56996,1,T1,1,100,30.907
1659629636.487700,363472.000,57012,1,T1,1,100,30.853
1659629636.620939,363602.000,57029,1,T1,1,100,30.901
1659629636.753153,363731.000,57046,1,T1,1,100,30.851
1659629636.886391,363861.000,57079,1,T1,1,100,30.865
1659629637.018605,363990.000,57097,1,T1,1,100,30.906
1659629637.152868,364121.000,57113,1,T1,1,100,30.853
1659629637.286107,364251.000,57146,2,T1,1,100,30.936
1659629637.419345,364381.000,57146,2,T1,1,100,30.866
1659629637.552584,364511.000,57178,1,T1,1,100,30.907
1659629637.684798,364640.000,57196,1,T1,1,100,30.889
1659629637.819061,364771.000,57212,1,T1,1,100,30.881
1659629637.951275,364900.000,57229,1,T1,1,100,30.948
1659629638.085538,365031.000,57261,1,T1,1,100,30.942
1659629638.216727,365159.000,57281,1,T1,1,100,31.010
1659629638.349965,365289.000,57299,1,T1,1,100,31.040
1659629638.483204,365419.000,57334,1,T1,1,100,30.840
1659629638.616442,365549.000,57349,1,T1,1,100,30.860
1659629638.750706,365680.000,57367,1,T1,1,100,30.904
1659629638.882920,365809.000,57389,1,T1,1,100,30.888
1659629639.018208,365941.000,57406,1,T1,1,100,31.022
1659629639.150422,366070.000,57423,1,T1,1,100,31.010
1659629639.283660,366200.000,57439,1,T1,1,100,30.969
1659629639.415874,366329.000,57472,1,T1,1,100,30.916
1659629639.548088,366458.000,57493,1,T1,1,100,30.857
1659629639.682351,366589.000,57510,1,T1,1,100,30.867
1659629639.815589,366719.000,57542,1,T1,1,100,30.801
1659629639.949853,366850.000,57558,1,T1,1,100,30.878
1659629640.083091,366980.000,57575,1,T1,1,100,30.947
1659629640.216330,367110.000,57592,1,T1,1,100,30.906
1659629640.348544,367239.000,57624,1,T1,1,100,30.959
1659629640.481782,367369.000,57641,1,T1,1,100,31.018
1659629640.615021,367499.000,57658,1,T1,1,100,30.972
1659629640.747234,367628.000,57675,1,T1,1,100,30.988
1659629640.882523,367760.000,57706,1,T1,1,100,30.959
1659629641.013711,367888.000,57724,1,T1,1,100,30.876
1659629641.147975,368019.000,57740,1,T1,1,100,30.875
1659629641.281214,368149.000,57757,1,T1,1,100,30.840
1659629641.413427,368278.000,57792,1,T1,1,100,30.895
1659629641.545641,368407.000,57808,1,T1,1,100,30.955
1659629641.678879,368537.000,57826,1,T1,1,100,30.874
1659629641.813143,368668.000,57858,1,T1,1,100,30.875
1659629641.946381,368798.000,57873,1,T1,1,100,30.875
1659629642.080645,368929.000,57891,1,T1,1,100,30.981
1659629642.211833,369057.000,57907,1,T1,1,100,30.992
1659629642.346097,369188.000,57939,1,T1,1,100,31.032
1659629642.478311,369317.000,57957,1,T1,1,100,31.049
1659629642.610524,369446.000,57973,1,T1,1,100,31.057
1659629642.744788,369577.000,57991,1,T1,1,100,31.060
1659629642.877001,369706.000,58022,1,T1,1,100,30.920
1659629643.012290,369838.000,58041,1,T1,1,100,30.930
1659629643.144503,369967.000,58058,1,T1,1,100,30.970
1659629643.277742,370097.000,58090,1,T1,1,100,30.951
1659629643.410980,370227.000,58107,1,T1,1,100,30.944
1659629643.542169,370355.000,58124,1,T1,1,100,31.046
1659629643.675408,370485.000,58141,1,T1,1,100,31.020
1659629643.808646,370615.000,58174,1,T1,1,100,31.009
1659629643.942910,370746.000,58191,1,T1,1,100,31.004
1659629644.076148,370876.000,58216,2,T1,1,100,31.002
1659629644.209387,371006.000,58216,2,T1,1,100,30.965
1659629644.340576,371134.000,58248,1,T1,1,100,31.056
1659629644.473814,371264.000,58265,1,T1,1,100,30.989
1659629644.608078,371395.000,58284,1,T1,1,100,31.031
1659629644.739266,371523.000,58301,1,T1,1,100,31.084
1659629644.873530,371654.000,58332,1,T1,1,100,31.107
1659629645.005744,371783.000,58352,1,T1,1,100,31.117
1659629645.140007,371914.000,58368,1,T1,1,100,30.909
1659629645.272221,372043.000,58385,1,T1,1,100,30.996
1659629645.405459,372173.000,58420,1,T1,1,100,30.998
1659629645.538698,372303.000,58438,1,T1,1,100,30.928
1659629645.671936,372433.000,58455,1,T1,1,100,30.934
1659629645.805175,372563.000,58487,1,T1,1,100,30.900
1659629645.938413,372693.000,58503,1,T1,1,100,30.921
1659629646.072677,372824.000,58523,1,T1,1,100,31.001
1659629646.204890,372953.000,58539,1,T1,1,100,31.036
1659629646.339154,373084.000,58571,1,T1,1,100,31.051
1659629646.470343,373212.000,58589,1,T1,1,100,30.987
1659629646.602556,373341.000,58605,1,T1,1,100,31.065
1659629646.737844,373473.000,58639,1,T1,1,100,31.099
1659629646.869033,373601.000,58656,1,T1,1,100,31.007
1659629647.003297,373732.000,58675,1,T1,1,100,30.968
1659629647.135510,373861.000,58692,1,T1,1,100,30.986
1659629647.268749,373991.000,58723,1,T1,1,100,30.959
1659629647.401988,374121.000,58743,1,T1,1,100,30.982
1659629647.535226,374251.000,58760,1,T1,1,100,31.063
1659629647.668465,374381.000,58792,1,T1,1,100,30.956
1659629647.799653,374509.000,58808,1,T1,1,100,30.946
1659629647.934942,374641.000,58825,1,T1,1,100,30.976
1659629648.066130,374769.000,58842,1,T1,1,100,31.061
1659629648.199369,374899.000,58873,1,T1,1,100,31.062
1659629648.331583,375028.000,58891,1,T1,1,100,31.027
1659629648.465846,375159.000,58908,1,T1,1,100,31.047
1659629648.599085,375289.000,58925,1,T1,1,100,30.985
1659629648.732323,375419.000,58957,1,T1,1,100,30.958
1659629648.866587,375550.000,58973,1,T1,1,100,30.946
1659629648.998800,375679.000,58991,1,T1,1,100,30.977
1659629649.131014,375808.000,59023,1,T1,1,100,30.955
1659629649.263740,375937.500,59047,2,T1,1,100,30.980
1659629649.396466,376067.000,59047,2,T1,1,100,30.956
1659629649.529705,376197.000,59064,1,T1,1,100,30.981
1659629649.663968,376328.000,59082,1,T1,1,100,31.063
1659629649.798232,376459.000,59118,1,T1,1,100,31.098
1659629649.929420,376587.000,59133,1,T1,1,100,31.007
1659629650.064709,376719.000,59151,1,T1,1,100,31.038
1659629650.195897,376847.000,59167,1,T1,1,100,31.123
1659629650.329136,376977.000,59201,1,T1,1,100,31.018
1659629650.462374,377107.000,59219,1,T1,1,100,31.008
1659629650.595613,377237.000,59235,1,T1,1,100,31.074
1659629650.729877,377368.000,59270,1,T1,1,100,30.926
1659629650.863115,377498.000,59288,1,T1,1,100,30.932
1659629650.997379,377629.000,59307,1,T1,1,100,31.006
1659629651.127542,377756.000,59324,1,T1,1,100,31.003
1659629651.261806,377887.000,59355,1,T1,1,100,31.001
1659629651.394019,378016.000,59373,1,T1,1,100,31.001
1659629651.527258,378146.000,59390,1,T1,1,100,31.107
1659629651.661521,378277.000,59425,1,T1,1,100,31.117
1659629651.794760,378407.000,59442,1,T1,1,100,30.980
1659629651.929024,378538.000,59459,1,T1,1,100,31.062
1659629652.061237,378667.000,59476,1,T1,1,100,30.991
1659629652.195501,378798.000,59508,1,T1,1,100,30.996
1659629652.327714,378927.000,59525,1,T1,1,100,31.069
1659629652.459928,379056.000,59542,1,T1,1,100,30.995
1659629652.593166,379186.000,59559,1,T1,1,100,31.069
1659629652.726405,379316.000,59595,1,T1,1,100,31.101
1659629652.860668,379447.000,59611,1,T1,1,100,31.079
1659629652.993907,379577.000,59629,1,T1,1,100,31.034
1659629653.127146,379707.000,59663,1,T1,1,100,31.015
1659629653.258334,379835.000,59678,1,T1,1,100,31.077
1659629653.392598,379966.000,59697,1,T1,1,100,31.069
1659629653.524811,380095.000,59713,1,T1,1,100,31.101
1659629653.657025,380224.000,59745,1,T1,1,100,31.115
1659629653.792313,380356.000,59762,1,T1,1,100,31.014
1659629653.924527,380485.000,59778,1,T1,1,100,31.077
1659629654.058790,380616.000,59815,1,T1,1,100,31.033
1659629654.191004,380745.000,59831,1,T1,1,100,31.014
1659629654.325268,380876.000,59848,1,T1,1,100,31.042
1659629654.457481,381005.000,59866,1,T1,1,100,31.089
1659629654.590720,381135.000,59887,1,T1,1,100,31.145
1659629654.723958,381265.000,59903,1,T1,1,100,31.134
1659629654.856172,381394.000,59920,1,T1,1,100,31.022
1659629654.990435,381525.000,59936,1,T1,1,100,31.045
1659629655.122649,381654.000,59968,1,T1,1,100,31.020
1659629655.256912,381785.000,59985,1,T1,1,100,31.115
1659629655.389126,381914.000,60002,1,T1,1,100,31.156
1659629655.523390,382045.000,60035,1,T1,1,100,31.103
1659629655.657653,382176.000,60052,1,T1,1,100,31.151
1659629655.788842,382304.000,60070,1,T1,1,100,31.172
1659629655.922080,382434.000,60087,1,T1,1,100,31.216
1659629656.054294,382563.000,60119,1,T1,1,100,31.058
1659629656.187532,382693.000,60135,1,T1,1,100,31.061
1659629656.320771,382823.000,60153,1,T1,1,100,31.097
1659629656.455034,382954.000,60186,1,T1,1,100,31.113
1659629656.587248,383083.000,60201,1,T1,1,100,31.049
1659629656.721512,383214.000,60219,1,T1,1,100,31.092
1659629656.854750,383344.000,60235,1,T1,1,100,31.075
1659629656.985939,383472.000,60267,1,T1,1,100,31.139
1659629657.120202,383603.000,60284,1,T1,1,100,31.166
1659629657.252416,383732.000,60300,1,T1,1,100,31.143
1659629657.386679,383863.000,60334,1,T1,1,100,31.026
1659629657.519918,383993.000,60350,1,T1,1,100,31.082
1659629657.653157,384123.000,60367,1,T1,1,100,31.107
1659629657.786395,384253.000,60384,1,T1,1,100,31.117
1659629657.918609,384382.000,60416,1,T1,1,100,31.051
1659629658.051847,384512.000,60432,1,T1,1,100,31.093
1659629658.183036,384640.000,60449,1,T1,1,100,31.005
1659629658.317299,384771.000,60466,1,T1,1,100,31.002
1659629658.450538,384901.000,60498,1,T1,1,100,31.072
1659629658.584801,385032.000,60515,1,T1,1,100,31.102
1659629658.718040,385162.000,60532,1,T1,1,100,31.115
1659629658.850254,385291.000,60549,1,T1,1,100,31.050
1659629658.985542,385423.000,60581,1,T1,1,100,31.163
1659629659.116731,385551.000,60597,1,T1,1,100,31.248
1659629659.249969,385681.000,60614,1,T1,1,100,31.143
1659629659.382183,385810.000,60647,1,T1,1,100,31.097
1659629659.516446,385941.000,60663,1,T1,1,100,31.113
1659629659.650710,386072.000,60681,1,T1,1,100,31.155
1659629659.783948,386202.000,60697,1,T1,1,100,31.174
1659629659.917187,386332.000,60721,1,T1,1,100,31.146
1659629660.049401,386461.000,60738,1,T1,1,100,31.205
1659629660.181614,386590.000,60757,1,T1,1,100,31.160
1659629660.313828,386719.000,60790,1,T1,1,100,31.069
1659629660.448091,386850.000,60806,1,T1,1,100,31.065
1659629660.581330,386980.000,60823,1,T1,1,100,31.099
1659629660.714568,387110.000,60840,1,T1,1,100,31.078
1659629660.848832,387241.000,60871,1,T1,1,100,31.140
1659629660.980021,387369.000,60889,1,T1,1,100,31.167
1659629661.114284,387500.000,60905,1,T1,1,100,31.214
1659629661.246498,387629.000,60937,1,T1,1,100,31.128
1659629661.378711,387758.000,60955,1,T1,1,100,31.126
1659629661.510925,387887.000,60971,1,T1,1,100,31.232
1659629661.644163,388017.000,60988,1,T1,1,100,31.171
1659629661.777402,388147.000,61020,1,T1,1,100,31.039
1659629661.910640,388277.000,61036,1,T1,1,100,31.088
1659629662.043879,388407.000,61054,1,T1,1,100,31.038
1659629662.175068,388535.000,61070,1,T1,1,100,31.158
1659629662.310356,388667.000,61102,1,T1,1,100,31.139
1659629662.442570,388796.000,61120,1,T1,1,100,31.131
1659629662.575809,388926.000,61136,1,T1,1,100,31.163
1659629662.709047,389056.000,61168,1,T1,1,100,31.142
1659629662.841261,389185.000,61185,1,T1,1,100,31.132
1659629662.975524,389316.000,61202,1,T1,1,100,31.057
1659629663.107738,389445.000,61219,1,T1,1,100,31.096
1659629663.242001,389576.000,61250,1,T1,1,100,31.148
1659629663.375240,389706.000,61268,1,T1,1,100,31.170
1659629663.508478,389836.000,61285,1,T1,1,100,31.180
