LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1659629632.775470,359850,56516,1,SR,1,100,0.533333
1659629633.569776,360625,56557,1,SR,1,100,0.066667
1659629633.907997,360955,56609,1,SR,1,100,0.066667
1659629637.635602,364592,57275,1,SR,1,100,0.466667
1659629638.367389,365306,57328,1,SR,1,100,0.066667
1659629638.566222,365500,57487,1,SR,1,100,0.933333
1659629640.764658,367645,57786,1,SR,1,100,0.600000
1659629642.827806,369658,58034,1,SR,1,100,0.133333
1659629643.624162,370435,58168,1,SR,1,100,0.200000
1659629643.960333,370763,58210,1,SR,1,100,0.133333
1659629644.357999,371151,58278,1,SR,1,100,0.133333
1659629644.756690,371540,58345,1,SR,1,100,0.200000
1659629645.089786,371865,58397,1,SR,1,100,0.133333
1659629645.355238,372124,58432,1,SR,1,100,0.133333
1659629645.889218,372645,58517,1,SR,1,100,0.133333
1659629646.487766,373229,58618,1,SR,1,100,0.066667
1659629646.688649,373425,58668,1,SR,1,100,0.266667
1659629649.082843,375761,59040,1,SR,1,100,0.133333
1659629649.346245,376018,59096,1,SR,1,100,0.333333
1659629650.080082,376734,59180,1,SR,1,100,0.066667
1659629650.412154,377058,59248,1,SR,1,100,0.200000
1659629650.880538,377515,59300,1,SR,1,100,0.066667
1659629651.341749,377965,59402,1,SR,1,100,0.200000
1659629651.677920,378293,59436,1,SR,1,100,0.066667
1659629652.279543,378880,59589,1,SR,1,100,0.400000
1659629652.943686,379528,59641,1,SR,1,100,0.066667
1659629653.874306,380436,59809,1,SR,1,100,0.200000
1659629675.504047,401540,63183,1,SR,1,100,0.200000
1659629675.967308,401992,63251,1,SR,1,100,0.200000
1659629676.504361,402516,63320,1,SR,1,100,0.066667
1659629676.702169,402709,63370,1,SR,1,100,0.200000
1659629677.167479,403163,63438,1,SR,1,100,0.066667
1659629677.369387,403360,63474,1,SR,1,100,0.066667
1659629677.966911,403943,63573,1,SR,1,100,0.133333
1659629678.364577,404331,63659,1,SR,1,100,0.266667
1659629678.763267,404720,63759,1,SR,1,100,0.466667
1659629679.361816,405304,63794,1,SR,1,100,0.066667
1659629679.562699,405500,63846,1,SR,1,100,0.200000
1659629679.894770,405824,63897,1,SR,1,100,0.133333
1659629680.560963,406474,64020,1,SR,1,100,0.333333
1659629681.291725,407187,64090,1,SR,1,100,0.066667
1659629681.623796,407511,64174,1,SR,1,100,0.266667
1659629682.026587,407904,64308,1,SR,1,100,0.733333
1659629684.953735,410760,64692,1,SR,1,100,0.133333
