LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1659629633.605648,360660.000,56552,2,RD,1,100,TL
1659629633.605648,360660.000,56552,2,RD,1,100,TU
1659629636.234547,363225.000,57380,2,RD,1,100,TL
1659629638.863446,365790.000,57380,2,RD,1,100,TU
1659629641.480559,368343.500,58204,2,RD,1,100,TL
1659629644.097672,370897.000,58204,2,RD,1,100,TU
1659629646.724521,373460.000,59035,2,RD,1,100,TL
1659629649.351370,376023.000,59035,2,RD,1,100,TU
1659629651.963871,378572.000,59879,2,RD,1,100,TL
1659629654.576371,381121.000,59879,2,RD,1,100,TU
1659629657.228843,383709.000,60712,2,RD,1,100,TL
1659629659.881315,386297.000,60712,2,RD,1,100,TU
1659629662.496378,388848.500,61529,2,RD,1,100,TL
1659629665.111440,391400.000,61529,2,RD,1,100,TU
1659629667.728553,393953.500,62343,2,RD,1,100,TL
1659629670.345666,396507.000,62343,2,RD,1,100,TU
1659629672.971490,399069.000,63159,2,RD,1,100,TL
1659629675.597314,401631.000,63159,2,RD,1,100,TU
1659629678.213914,404184.000,63999,2,RD,1,100,TL
1659629680.830515,406737.000,63999,2,RD,1,100,TU
1659629683.453264,409296.000,64827,2,RD,1,100,TL
1659629686.076014,411855.000,64827,2,RD,1,100,TU
1659629688.688514,414404.000,117,2,RD,1,100,TL
1659629691.301015,416953.000,117,2,RD,1,100,TU
1659629693.923764,419512.000,965,2,RD,1,100,TL
1659629696.546514,422071.000,965,2,RD,1,100,TU
1659629699.186175,424646.500,1804,2,RD,1,100,TL
1659629701.825835,427222.000,1804,2,RD,1,100,TU
1659629704.442948,429775.500,2635,2,RD,1,100,TL
1659629707.060060,432329.000,2635,2,RD,1,100,TU
1659629709.689472,434894.500,3475,2,RD,1,100,TL
1659629712.318883,437460.000,3475,2,RD,1,100,TU
1659629714.941633,440019.000,4329,2,RD,1,100,TL
1659629717.564383,442578.000,4329,2,RD,1,100,TU
1659629720.181495,445131.500,5178,2,RD,1,100,TL
1659629722.798608,447685.000,5178,2,RD,1,100,TU
1659629725.416233,450239.000,6027,2,RD,1,100,TL
1659629728.033858,452793.000,6027,2,RD,1,100,TU
1659629730.647896,455343.500,6867,2,RD,1,100,TL
1659629733.261934,457894.000,6867,2,RD,1,100,TU
1659629735.880071,460448.500,7708,2,RD,1,100,TL
1659629738.498209,463003.000,7708,2,RD,1,100,TU
1659629741.115321,465556.500,8550,2,RD,1,100,TL
1659629743.732434,468110.000,8550,2,RD,1,100,TU
1659629746.354158,470668.000,9365,2,RD,1,100,TL
1659629748.975883,473226.000,9365,2,RD,1,100,TU
1659629751.604782,475791.000,10210,2,RD,1,100,TL
1659629754.233681,478356.000,10210,2,RD,1,100,TU
