RD,TS_received,TS_sent,AK,RoundTrip,
192082,192150,2022-07-26_18-34-43-469673,192153,68,
197229,197253,2022-07-26_18-34-48-702129,197256,24,
202337,202361,2022-07-26_18-34-53-940002,202364,24,
207442,207532,2022-07-26_18-34-59-236293,207535,90,
212557,212625,2022-07-26_18-35-04-460503,212628,68,
217681,217706,2022-07-26_18-35-09-667952,217709,25,
222843,222869,2022-07-26_18-35-14-956963,222872,26,
227960,228038,2022-07-26_18-35-20-236562,228044,78,
233088,233113,2022-07-26_18-35-25-460562,233117,25,
238192,238288,2022-07-26_18-35-30-769575,238291,96,
243301,243325,2022-07-26_18-35-35-934109,243329,24,
248448,248482,2022-07-26_18-35-41-222853,248487,34,
253553,253579,2022-07-26_18-35-46-446321,253583,26,
258661,258690,2022-07-26_18-35-51-680740,258693,29,
263814,263890,2022-07-26_18-35-56-987875,263894,76,
268920,268948,2022-07-26_18-36-02-199855,268951,28,
274029,274053,2022-07-26_18-36-07-439250,274057,24,
279131,279243,2022-07-26_18-36-12-760546,284238,112,
284262,284340,2022-07-26_18-36-17-983550,284343,78,
289342,289368,2022-07-26_18-36-23-138009,289372,26,
294505,294533,2022-07-26_18-36-28-432720,294537,28,
299609,299726,2022-07-26_18-36-33-752830,304709,117,
304722,304746,2022-07-26_18-36-38-905038,304749,24,
309875,309913,2022-07-26_18-36-44-200771,309917,38,
315013,315039,2022-07-26_18-36-49-454816,315042,26,
320141,320164,2022-07-26_18-36-54-712987,320167,23,
325273,325312,2022-07-26_18-36-59-972871,325318,39,
330374,330397,2022-07-26_18-37-05-204957,330401,23,
335481,335506,2022-07-26_18-37-10-440790,335509,25,
340591,340682,2022-07-26_18-37-15-746945,340686,91,
345948,346071,2022-07-26_18-37-21-268995,351096,123,
351109,351162,2022-07-26_18-37-26-489385,351165,53,
356209,356232,2022-07-26_18-37-31-690537,356235,23,
361327,361351,2022-07-26_18-37-36-935888,361355,24,
366441,366465,2022-07-26_18-37-42-175819,366469,24,
371601,371657,2022-07-26_18-37-47-487606,371663,56,
376699,376726,2022-07-26_18-37-52-703569,376729,27,
381840,381868,2022-07-26_18-37-57-969502,381871,28,
386950,386974,2022-07-26_18-38-03-200405,386978,24,
392099,392130,2022-07-26_18-38-08-481781,392133,31,
397259,397318,2022-07-26_18-38-13-802198,397325,59,
402404,402428,2022-07-26_18-38-19-041884,402431,24,
407521,407601,2022-07-26_18-38-24-342596,407605,80,
412620,412697,2022-07-26_18-38-29-569613,412701,77,
417768,417796,2022-07-26_18-38-34-798898,417799,28,
422915,422939,2022-07-26_18-38-40-067333,422943,24,
428030,428079,2022-07-26_18-38-45-340857,428083,49,
433148,433178,2022-07-26_18-38-50-565518,433183,30,
438269,438293,2022-07-26_18-38-55-815780,438296,24,
443384,443453,2022-07-26_18-39-01-099649,443456,69,
448495,448520,2022-07-26_18-39-06-295667,448523,25,
453612,453636,2022-07-26_18-39-11-542838,453640,24,
458723,458749,2022-07-26_18-39-16-783722,458760,26,
