LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1658874882.106203,190810.000,29063,4,EM,1,100,RS
1658874882.106203,190810.000,29063,4,EM,1,100,RE
1658874882.106203,190810.000,29063,4,EM,1,100,PS
1658874882.106203,190810.000,29063,4,EM,1,100,MN
1658874882.157719,190860.250,29081,4,EM,1,100,RS
1658874882.209236,190910.500,29081,4,EM,1,100,RB
1658874882.260752,190960.750,29081,4,EM,1,100,2022-07-26_18-34-42-117413.csv
1658874882.312268,191011.000,29081,4,EM,1,100,PS
1658874882.366604,191064.000,29115,4,EM,1,100,RS
1658874882.420939,191117.000,29115,4,EM,1,100,RB
1658874882.475275,191170.000,29115,4,EM,1,100,2022-07-26_18-34-42-117413.csv
1658874882.529611,191223.000,29115,4,EM,1,100,PS
1658874882.596761,191288.500,29148,4,EM,1,100,RS
1658874882.663912,191354.000,29148,4,EM,1,100,RB
1658874882.731062,191419.500,29148,4,EM,1,100,2022-07-26_18-34-42-117413.csv
1658874882.798213,191485.000,29148,4,EM,1,100,PS
1658874882.849729,191535.250,29181,4,EM,1,100,RS
1658874882.901245,191585.500,29181,4,EM,1,100,RB
1658874882.952762,191635.750,29181,4,EM,1,100,2022-07-26_18-34-42-117413.csv
1658874883.004278,191686.000,29181,4,EM,1,100,PS
1658874883.055794,191736.250,29214,4,EM,1,100,RS
1658874883.107311,191786.500,29214,4,EM,1,100,RB
1658874883.158827,191836.750,29214,4,EM,1,100,2022-07-26_18-34-42-117413.csv
1658874883.210343,191887.000,29214,4,EM,1,100,PS
1658874883.278775,191953.750,29236,4,EM,1,100,RS
1658874883.347207,192020.500,29236,4,EM,1,100,RB
1658874883.415639,192087.250,29236,4,EM,1,100,2022-07-26_18-34-42-117413.csv
1658874883.484071,192154.000,29236,4,EM,1,100,PS
1658874883.535588,192204.250,29270,4,EM,1,100,RS
1658874883.587104,192254.500,29270,4,EM,1,100,RB
1658874883.638620,192304.750,29270,4,EM,1,100,2022-07-26_18-34-42-117413.csv
1658874883.690137,192355.000,29270,4,EM,1,100,PS
1658874883.741909,192405.500,29304,4,EM,1,100,RS
1658874883.793682,192456.000,29304,4,EM,1,100,RB
1658874883.845454,192506.500,29304,4,EM,1,100,2022-07-26_18-34-42-117413.csv
1658874883.897227,192557.000,29304,4,EM,1,100,PS
1658874883.948743,192607.250,29337,4,EM,1,100,RS
1658874884.000260,192657.500,29337,4,EM,1,100,RB
1658874884.051776,192707.750,29337,4,EM,1,100,2022-07-26_18-34-42-117413.csv
1658874884.103292,192758.000,29337,4,EM,1,100,PS
1658874884.154809,192808.250,29370,4,EM,1,100,RS
1658874884.206325,192858.500,29370,4,EM,1,100,RB
1658874884.257841,192908.750,29370,4,EM,1,100,2022-07-26_18-34-42-117413.csv
1658874884.309357,192959.000,29370,4,EM,1,100,PS
1658874884.379071,193027.000,29402,4,EM,1,100,RS
1658874884.448785,193095.000,29402,4,EM,1,100,RB
1658874884.518498,193163.000,29402,4,EM,1,100,2022-07-26_18-34-42-117413.csv
1658874884.588212,193231.000,29402,4,EM,1,100,PS
1658874884.639728,193281.250,29436,4,EM,1,100,RS
1658874884.691244,193331.500,29436,4,EM,1,100,RB
1658874884.742761,193381.750,29436,4,EM,1,100,2022-07-26_18-34-42-117413.csv
