LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1658874882.093901,190798.000,29068,1,EA,1,100,0.425286
1658874882.226151,190927.000,29087,2,EA,1,100,0.426193
1658874882.358402,191056.000,29087,2,EA,1,100,0.425603
1658874882.426065,191122.000,29103,1,EA,1,100,0.424750
1658874882.492191,191186.500,29119,2,EA,1,100,0.424828
1658874882.558316,191251.000,29119,2,EA,1,100,0.424976
1658874882.625467,191316.500,29135,2,EA,1,100,0.424750
1658874882.692617,191382.000,29135,2,EA,1,100,0.424505
1658874882.757205,191445.000,29152,1,EA,1,100,0.424248
1658874882.822818,191509.000,29168,2,EA,1,100,0.423503
1658874882.888430,191573.000,29168,2,EA,1,100,0.424209
1658874882.957119,191640.000,29185,1,EA,1,100,0.424074
1658874883.023757,191705.000,29203,2,EA,1,100,0.423869
1658874883.090395,191770.000,29203,2,EA,1,100,0.423606
1658874883.156008,191834.000,29218,1,EA,1,100,0.423490
1658874883.223158,191899.500,29241,4,EA,1,100,0.422882
1658874883.290309,191965.000,29241,4,EA,1,100,0.422161
1658874883.357459,192030.500,29241,4,EA,1,100,0.421436
1658874883.424610,192096.000,29241,4,EA,1,100,0.422097
1658874883.491248,192161.000,29257,2,EA,1,100,0.421652
1658874883.557886,192226.000,29257,2,EA,1,100,0.421303
1658874883.624011,192290.500,29275,2,EA,1,100,0.421900
1658874883.690137,192355.000,29275,2,EA,1,100,0.422633
1658874883.755749,192419.000,29291,2,EA,1,100,0.422180
1658874883.821362,192483.000,29291,2,EA,1,100,0.421932
1658874883.889025,192549.000,29308,1,EA,1,100,0.421894
1658874883.955663,192614.000,29324,2,EA,1,100,0.422607
1658874884.022301,192679.000,29324,2,EA,1,100,0.422161
1658874884.085864,192741.000,29341,1,EA,1,100,0.422155
1658874884.153014,192806.500,29357,2,EA,1,100,0.422174
1658874884.220165,192872.000,29357,2,EA,1,100,0.421881
1658874884.287828,192938.000,29374,1,EA,1,100,0.421989
1658874884.354466,193003.000,29391,2,EA,1,100,0.422053
1658874884.421104,193068.000,29391,2,EA,1,100,0.421487
1658874884.488255,193133.500,29406,2,EA,1,100,0.422104
1658874884.555405,193199.000,29406,2,EA,1,100,0.421468
1658874884.621531,193263.500,29423,2,EA,1,100,0.421341
1658874884.687656,193328.000,29423,2,EA,1,100,0.421938
1658874884.754294,193393.000,29440,1,EA,1,100,0.421716
1658874884.820932,193458.000,29456,2,EA,1,100,0.421627
1658874884.887570,193523.000,29456,2,EA,1,100,0.421202
1658874884.956259,193590.000,29473,1,EA,1,100,0.421360
1658874885.021871,193654.000,29491,3,EA,1,100,0.421265
1658874885.087484,193718.000,29491,3,EA,1,100,0.420562
1658874885.153097,193782.000,29491,3,EA,1,100,0.420063
1658874885.219222,193846.500,29508,2,EA,1,100,0.421056
1658874885.285348,193911.000,29508,2,EA,1,100,0.420872
1658874885.353011,193977.000,29525,1,EA,1,100,0.420670
1658874885.420674,194043.000,29540,2,EA,1,100,0.420657
1658874885.488337,194109.000,29540,2,EA,1,100,0.420038
1658874885.554975,194174.000,29556,1,EA,1,100,0.419811
1658874885.621272,194238.667,29574,3,EA,1,100,0.419352
1658874885.687568,194303.333,29574,3,EA,1,100,0.419126
1658874885.753864,194368.000,29574,3,EA,1,100,0.419409
1658874885.821527,194434.000,29590,1,EA,1,100,0.419189
1658874885.887140,194498.000,29607,2,EA,1,100,0.418944
1658874885.952753,194562.000,29607,2,EA,1,100,0.419270
1658874886.021441,194629.000,29624,1,EA,1,100,0.419157
1658874886.088079,194694.000,29642,2,EA,1,100,0.419314
1658874886.154717,194759.000,29642,2,EA,1,100,0.419365
1658874886.220843,194823.500,29658,2,EA,1,100,0.419214
1658874886.286968,194888.000,29658,2,EA,1,100,0.419189
1658874886.353606,194953.000,29676,2,EA,1,100,0.418774
1658874886.420244,195018.000,29676,2,EA,1,100,0.418143
1658874886.485857,195082.000,29692,1,EA,1,100,0.419635
1658874886.552495,195147.000,29709,2,EA,1,100,0.419207
1658874886.619133,195212.000,29709,2,EA,1,100,0.419226
1658874886.686796,195278.000,29726,1,EA,1,100,0.419465
1658874886.752921,195342.500,29743,2,EA,1,100,0.420278
1658874886.819047,195407.000,29743,2,EA,1,100,0.419320
1658874886.885480,195471.800,29760,5,EA,1,100,0.419402
1658874886.951913,195536.600,29760,5,EA,1,100,0.419207
1658874887.018346,195601.400,29760,5,EA,1,100,0.418267
1658874887.084779,195666.200,29760,5,EA,1,100,0.418249
1658874887.151212,195731.000,29760,5,EA,1,100,0.417974
1658874887.217593,195795.750,29781,4,EA,1,100,0.418342
1658874887.283975,195860.500,29781,4,EA,1,100,0.418599
1658874887.350357,195925.250,29781,4,EA,1,100,0.418461
1658874887.416738,195990.000,29781,4,EA,1,100,0.418887
1658874887.483376,196055.000,29798,3,EA,1,100,0.419075
1658874887.550014,196120.000,29798,3,EA,1,100,0.418436
1658874887.616652,196185.000,29798,3,EA,1,100,0.418536
1658874887.683290,196250.000,29815,2,EA,1,100,0.418274
1658874887.749928,196315.000,29815,2,EA,1,100,0.418011
1658874887.816566,196380.000,29832,2,EA,1,100,0.417961
1658874887.883204,196445.000,29832,2,EA,1,100,0.418881
1658874887.950867,196511.000,29848,1,EA,1,100,0.418468
1658874888.016993,196575.500,29866,2,EA,1,100,0.419295
1658874888.083118,196640.000,29866,2,EA,1,100,0.418706
1658874888.149756,196705.000,29883,1,EA,1,100,0.418280
1658874888.217419,196771.000,29900,2,EA,1,100,0.417656
1658874888.285083,196837.000,29900,2,EA,1,100,0.417706
1658874888.348645,196899.000,29915,1,EA,1,100,0.417743
1658874888.414770,196963.500,29932,2,EA,1,100,0.418530
1658874888.480896,197028.000,29932,2,EA,1,100,0.418605
1658874888.547534,197093.000,29948,2,EA,1,100,0.418624
1658874888.614172,197158.000,29948,2,EA,1,100,0.418280
1658874888.680810,197223.000,29971,1,EA,1,100,0.418555
1658874888.747960,197288.500,29985,2,EA,1,100,0.419226
1658874888.815111,197354.000,29985,2,EA,1,100,0.418618
1658874888.881749,197419.000,30004,1,EA,1,100,0.418693
1658874888.948387,197484.000,30021,2,EA,1,100,0.419195
1658874889.015025,197549.000,30021,2,EA,1,100,0.418818
1658874889.081663,197614.000,30039,1,EA,1,100,0.418718
1658874889.149326,197680.000,30055,2,EA,1,100,0.418806
1658874889.216989,197746.000,30055,2,EA,1,100,0.418856
1658874889.281577,197809.000,30070,1,EA,1,100,0.419283
1658874889.347702,197873.500,30087,2,EA,1,100,0.419320
1658874889.413827,197938.000,30087,2,EA,1,100,0.418549
1658874889.479440,198002.000,30104,2,EA,1,100,0.418436
1658874889.545053,198066.000,30104,2,EA,1,100,0.418593
1658874889.612716,198132.000,30120,1,EA,1,100,0.417843
1658874889.678842,198196.500,30136,2,EA,1,100,0.417905
1658874889.744967,198261.000,30136,2,EA,1,100,0.418211
1658874889.811605,198326.000,30152,1,EA,1,100,0.417942
1658874889.878243,198391.000,30169,2,EA,1,100,0.418086
1658874889.944881,198456.000,30169,2,EA,1,100,0.418424
1658874890.012544,198522.000,30186,1,EA,1,100,0.418480
1658874890.079695,198587.500,30204,2,EA,1,100,0.418574
1658874890.146845,198653.000,30204,2,EA,1,100,0.418099
1658874890.213483,198718.000,30218,1,EA,1,100,0.418468
1658874890.279609,198782.500,30236,2,EA,1,100,0.418111
1658874890.345734,198847.000,30236,2,EA,1,100,0.417824
1658874890.411860,198911.500,30252,2,EA,1,100,0.418161
1658874890.477985,198976.000,30252,2,EA,1,100,0.417811
1658874890.545648,199042.000,30269,1,EA,1,100,0.417855
1658874890.612286,199107.000,30284,2,EA,1,100,0.418267
1658874890.678924,199172.000,30284,2,EA,1,100,0.417880
1658874890.743512,199235.000,30301,1,EA,1,100,0.417811
1658874890.809124,199299.000,30317,2,EA,1,100,0.417762
1658874890.874737,199363.000,30317,2,EA,1,100,0.418155
1658874890.943426,199430.000,30334,1,EA,1,100,0.418317
1658874891.010576,199495.500,30352,2,EA,1,100,0.417643
1658874891.077727,199561.000,30352,2,EA,1,100,0.417568
1658874891.144365,199626.000,30367,1,EA,1,100,0.417706
1658874891.211515,199691.500,30383,2,EA,1,100,0.417481
1658874891.278666,199757.000,30383,2,EA,1,100,0.417276
1658874891.345304,199822.000,30401,2,EA,1,100,0.417350
1658874891.411942,199887.000,30401,2,EA,1,100,0.417170
1658874891.477555,199951.000,30417,1,EA,1,100,0.416983
1658874891.544705,200016.500,30432,2,EA,1,100,0.417500
1658874891.611856,200082.000,30432,2,EA,1,100,0.417543
1658874891.676444,200145.000,30449,1,EA,1,100,0.417450
1658874891.742569,200209.500,30466,2,EA,1,100,0.417649
1658874891.808694,200274.000,30466,2,EA,1,100,0.417027
1658874891.877383,200341.000,30482,1,EA,1,100,0.416971
1658874891.943508,200405.500,30500,2,EA,1,100,0.416276
1658874892.009634,200470.000,30500,2,EA,1,100,0.416338
1658874892.076272,200535.000,30515,1,EA,1,100,0.416301
1658874892.143422,200600.500,30532,2,EA,1,100,0.416766
1658874892.210573,200666.000,30532,2,EA,1,100,0.416146
1658874892.277211,200731.000,30549,2,EA,1,100,0.416035
1658874892.343849,200796.000,30549,2,EA,1,100,0.416673
1658874892.409461,200860.000,30566,1,EA,1,100,0.417083
1658874892.477125,200926.000,30581,2,EA,1,100,0.416338
1658874892.544788,200992.000,30581,2,EA,1,100,0.416053
1658874892.609375,201055.000,30597,1,EA,1,100,0.416227
1658874892.674988,201119.000,30614,2,EA,1,100,0.416654
1658874892.740601,201183.000,30614,2,EA,1,100,0.416258
1658874892.809289,201250.000,30631,1,EA,1,100,0.416884
1658874892.875415,201314.500,30647,2,EA,1,100,0.416630
1658874892.941540,201379.000,30647,2,EA,1,100,0.417207
1658874893.007666,201443.500,30663,2,EA,1,100,0.417537
1658874893.073791,201508.000,30663,2,EA,1,100,0.417905
1658874893.140429,201573.000,30680,1,EA,1,100,0.418887
