LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1658874883.410257,192082.000,29233,2,RD,1,100,TL
1658874883.410257,192082.000,29233,2,RD,1,100,TU
1658874886.048609,194655.500,29963,2,RD,1,100,TL
1658874888.686961,197229.000,29963,2,RD,1,100,TU
1658874891.305321,199783.000,30795,2,RD,1,100,TL
1658874893.923682,202337.000,30795,2,RD,1,100,TU
1658874896.540504,204889.500,31631,2,RD,1,100,TL
1658874899.157327,207442.000,31631,2,RD,1,100,TU
1658874901.779275,209999.500,32445,2,RD,1,100,TL
1658874904.401224,212557.000,32445,2,RD,1,100,TU
1658874907.027786,215119.000,33274,2,RD,1,100,TL
1658874909.654348,217681.000,33274,2,RD,1,100,TU
1658874912.300389,220262.000,34104,2,RD,1,100,TL
1658874914.946430,222843.000,34104,2,RD,1,100,TU
1658874917.569404,225401.500,34920,2,RD,1,100,TL
1658874920.192378,227960.000,34920,2,RD,1,100,TU
1658874922.820990,230524.000,35743,2,RD,1,100,TL
1658874925.449602,233088.000,35743,2,RD,1,100,TU
1658874928.065912,235640.000,36563,2,RD,1,100,TL
1658874930.682222,238192.000,36563,2,RD,1,100,TU
1658874933.301095,240746.500,37384,2,RD,1,100,TL
1658874935.919968,243301.000,37384,2,RD,1,100,TU
1658874938.558320,245874.500,38220,2,RD,1,100,TL
1658874941.196672,248448.000,38220,2,RD,1,100,TU
1658874943.813495,251000.500,39037,2,RD,1,100,TL
1658874946.430317,253553.000,39037,2,RD,1,100,TU
1658874949.048678,256107.000,39855,2,RD,1,100,TL
1658874951.667038,258661.000,39855,2,RD,1,100,TU
1658874954.308465,261237.500,40672,2,RD,1,100,TL
1658874956.949893,263814.000,40672,2,RD,1,100,TU
1658874959.567228,266367.000,41492,2,RD,1,100,TL
1658874962.184563,268920.000,41492,2,RD,1,100,TU
1658874964.803436,271474.500,42309,2,RD,1,100,TL
1658874967.422309,274029.000,42309,2,RD,1,100,TU
1658874970.037594,276580.000,43122,2,RD,1,100,TL
1658874972.652879,279131.000,43122,2,RD,1,100,TU
1658874975.283029,281696.500,43937,2,RD,1,100,TL
1658874977.913179,284262.000,43937,2,RD,1,100,TU
1658874980.517187,286802.000,44755,2,RD,1,100,TL
1658874983.121195,289342.000,44755,2,RD,1,100,TU
1658874985.767748,291923.500,45587,2,RD,1,100,TL
1658874988.414302,294505.000,45587,2,RD,1,100,TU
1658874991.030612,297057.000,46402,2,RD,1,100,TL
1658874993.646922,299609.000,46402,2,RD,1,100,TU
1658874996.267845,302165.500,47218,2,RD,1,100,TL
1658874998.888768,304722.000,47218,2,RD,1,100,TU
1658875001.530196,307298.500,48052,2,RD,1,100,TL
1658875004.171623,309875.000,48052,2,RD,1,100,TU
1658875006.805362,312444.000,48889,2,RD,1,100,TL
1658875009.439100,315013.000,48889,2,RD,1,100,TU
1658875012.067713,317577.000,49724,2,RD,1,100,TL
1658875014.696325,320141.000,49724,2,RD,1,100,TU
1658875017.326988,322707.000,50556,2,RD,1,100,TL
1658875019.957651,325273.000,50556,2,RD,1,100,TU
1658875022.572423,327823.500,51370,2,RD,1,100,TL
1658875025.187195,330374.000,51370,2,RD,1,100,TU
1658875027.805043,332927.500,52172,2,RD,1,100,TL
1658875030.422891,335481.000,52172,2,RD,1,100,TU
1658875033.042276,338036.000,52993,2,RD,1,100,TL
1658875035.661662,340591.000,52993,2,RD,1,100,TU
1658875038.407660,343269.500,53823,2,RD,1,100,TL
1658875041.153657,345948.000,53823,2,RD,1,100,TU
1658875043.799186,348528.500,54622,2,RD,1,100,TL
1658875046.444714,351109.000,54622,2,RD,1,100,TU
1658875049.058974,353659.000,55447,2,RD,1,100,TL
1658875051.673233,356209.000,55447,2,RD,1,100,TU
1658875054.296720,358768.000,56283,2,RD,1,100,TL
1658875056.920206,361327.000,56283,2,RD,1,100,TU
1658875059.541642,363884.000,57126,2,RD,1,100,TL
1658875062.163078,366441.000,57126,2,RD,1,100,TU
1658875064.808094,369021.000,57985,2,RD,1,100,TL
