LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1658874882.358402,191056.000,29082,1,SF,1,100,3.4721
1658874882.692617,191382.000,29131,1,SF,1,100,3.4319
1658874883.090395,191770.000,29199,1,SF,1,100,3.3922
1658874883.424610,192096.000,29237,1,SF,1,100,3.3530
1658874883.690137,192355.000,29271,1,SF,1,100,3.3142
1658874884.022301,192679.000,29320,1,SF,1,100,3.2759
1658874884.421104,193068.000,29387,1,SF,1,100,3.2380
1658874884.687656,193328.000,29419,1,SF,1,100,3.2005
1658874885.153097,193782.000,29487,1,SF,1,100,3.1635
1658874885.353011,193977.000,29521,1,SF,1,100,3.1269
1658874885.753864,194368.000,29570,1,SF,1,100,3.0907
1658874886.021441,194629.000,29620,1,SF,1,100,3.0550
1658874886.420244,195018.000,29672,1,SF,1,100,3.0196
1658874886.686796,195278.000,29722,1,SF,1,100,2.9847
1658874887.151212,195731.000,29756,1,SF,1,100,2.9502
1658874887.416738,195990.000,29777,1,SF,1,100,2.9160
1658874887.749928,196315.000,29811,1,SF,1,100,2.8823
1658874888.083118,196640.000,29862,1,SF,1,100,2.8490
1658874888.348645,196899.000,29911,1,SF,1,100,2.8160
1658874888.680810,197223.000,29967,1,SF,1,100,2.7834
1658874889.015025,197549.000,30017,1,SF,1,100,2.7512
1658874889.413827,197938.000,30083,1,SF,1,100,2.7194
1658874889.744967,198261.000,30132,1,SF,1,100,2.6879
1658874890.012544,198522.000,30182,1,SF,1,100,2.6568
1658874890.345734,198847.000,30232,1,SF,1,100,2.6261
1658874890.678924,199172.000,30280,1,SF,1,100,2.5957
1658874891.077727,199561.000,30348,1,SF,1,100,2.5657
1658874891.411942,199887.000,30397,1,SF,1,100,2.5360
1658874891.676444,200145.000,30445,1,SF,1,100,2.5067
1658874892.009634,200470.000,30496,1,SF,1,100,2.4777
1658874892.343849,200796.000,30545,1,SF,1,100,2.4490
1658874892.740601,201183.000,30610,1,SF,1,100,2.4207
1658874893.073791,201508.000,30659,1,SF,1,100,2.3927
1658874893.408006,201834.000,30710,1,SF,1,100,2.3650
1658874893.672508,202092.000,30759,1,SF,1,100,2.3377
1658874894.005698,202417.000,30814,1,SF,1,100,2.3106
1658874894.337862,202741.000,30864,1,SF,1,100,2.2839
1658874894.672078,203067.000,30918,1,SF,1,100,6.4220
1658874895.071906,203457.000,30984,1,SF,1,100,6.3477
1658874895.402020,203779.000,31033,1,SF,1,100,6.2742
1658874895.668572,204039.000,31081,1,SF,1,100,6.2017
1658874896.003812,204366.000,31132,1,SF,1,100,6.1299
1658874896.331876,204686.000,31181,1,SF,1,100,6.0590
1658874896.733754,205078.000,31248,1,SF,1,100,5.9889
1658874897.068995,205405.000,31297,1,SF,1,100,5.9196
1658874897.333496,205663.000,31348,1,SF,1,100,5.8512
1658874897.665661,205987.000,31397,1,SF,1,100,5.7835
1658874897.999876,206313.000,31445,1,SF,1,100,5.7166
1658874898.399704,206703.000,31513,1,SF,1,100,5.6504
1658874898.730844,207026.000,31562,1,SF,1,100,5.5851
1658874898.998421,207287.000,31610,1,SF,1,100,5.5205
1658874899.331611,207612.000,31651,1,SF,1,100,5.4566
1658874899.660700,207933.000,31699,1,SF,1,100,5.3935
1658874899.995940,208260.000,31748,1,SF,1,100,5.3311
1658874900.396794,208651.000,31816,1,SF,1,100,5.2694
1658874900.726908,208973.000,31864,1,SF,1,100,5.2085
1658874900.994485,209234.000,31913,1,SF,1,100,5.1482
