LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1658874883.403081,192075.000,29231,1,TL,1,100,2022-07-26_18-34-38-243781
1658874883.479971,192150.000,29234,1,TL,1,100,2022-07-26_18-34-43-469673
1658874888.682860,197225.000,29961,1,TL,1,100,2022-07-26_18-34-43-568536
1658874888.711566,197253.000,29964,1,TL,1,100,2022-07-26_18-34-48-702129
1658874893.918556,202332.000,30793,1,TL,1,100,2022-07-26_18-34-48-759517
1658874893.948287,202361.000,30796,1,TL,1,100,2022-07-26_18-34-53-940002
1658874899.154251,207439.000,31629,1,TL,1,100,2022-07-26_18-34-54-015408
1658874899.249595,207532.000,31632,1,TL,1,100,2022-07-26_18-34-59-236293
1658874904.395073,212551.000,32443,1,TL,1,100,2022-07-26_18-34-59-342019
1658874904.470938,212625.000,32446,1,TL,1,100,2022-07-26_18-35-04-460503
1658874909.649222,217676.000,33272,1,TL,1,100,2022-07-26_18-35-04-534549
1658874909.679978,217706.000,33275,1,TL,1,100,2022-07-26_18-35-09-667952
1658874914.942329,222839.000,34102,1,TL,1,100,2022-07-26_18-35-09-886487
1658874914.973085,222869.000,34105,1,TL,1,100,2022-07-26_18-35-14-956963
1658874920.186226,227954.000,34918,1,TL,1,100,2022-07-26_18-35-15-116144
1658874920.272343,228038.000,34921,1,TL,1,100,2022-07-26_18-35-20-236562
1658874925.445502,233084.000,35741,1,TL,1,100,2022-07-26_18-35-20-369199
1658874925.475232,233113.000,35744,1,TL,1,100,2022-07-26_18-35-25-460562
1658874930.679147,238189.000,36561,1,TL,1,100,2022-07-26_18-35-25-655592
1658874930.780642,238288.000,36564,1,TL,1,100,2022-07-26_18-35-30-769575
1658874935.915868,243297.000,37382,1,TL,1,100,2022-07-26_18-35-30-877969
1658874935.944573,243325.000,37385,1,TL,1,100,2022-07-26_18-35-35-934109
1658874941.190521,248442.000,38218,1,TL,1,100,2022-07-26_18-35-36-103650
1658874941.231529,248482.000,38221,1,TL,1,100,2022-07-26_18-35-41-222853
1658874946.423141,253546.000,39035,1,TL,1,100,2022-07-26_18-35-41-425373
1658874946.456972,253579.000,39038,1,TL,1,100,2022-07-26_18-35-46-446321
1658874951.655761,258650.000,39853,1,TL,1,100,2022-07-26_18-35-46-651057
1658874951.696769,258690.000,39856,1,TL,1,100,2022-07-26_18-35-51-680740
1658874956.943742,263808.000,40670,1,TL,1,100,2022-07-26_18-35-51-870171
1658874957.027808,263890.000,40673,1,TL,1,100,2022-07-26_18-35-56-987875
1658874962.178412,268914.000,41490,1,TL,1,100,2022-07-26_18-35-57-128985
1658874962.213269,268948.000,41493,1,TL,1,100,2022-07-26_18-36-02-199855
1658874967.415133,274022.000,42307,1,TL,1,100,2022-07-26_18-36-02-370937
1658874967.446914,274053.000,42310,1,TL,1,100,2022-07-26_18-36-07-439250
1658874972.647753,279126.000,43120,1,TL,1,100,2022-07-26_18-36-07-640297
1658874972.767701,279243.000,43123,1,TL,1,100,2022-07-26_18-36-12-760546
1658874977.904978,284254.000,43935,1,TL,1,100,2022-07-26_18-36-12-863078
1658874977.993145,284340.000,43938,1,TL,1,100,2022-07-26_18-36-17-983550
1658874983.117094,289338.000,44753,1,TL,1,100,2022-07-26_18-36-18-088759
1658874983.147850,289368.000,44756,1,TL,1,100,2022-07-26_18-36-23-138009
1658874988.408150,294499.000,45585,1,TL,1,100,2022-07-26_18-36-23-307557
1658874988.443007,294533.000,45588,1,TL,1,100,2022-07-26_18-36-28-432720
1658874993.639745,299602.000,46400,1,TL,1,100,2022-07-26_18-36-28-636517
1658874993.766870,299726.000,46403,1,TL,1,100,2022-07-26_18-36-33-752830
1658874998.884668,304718.000,47216,1,TL,1,100,2022-07-26_18-36-33-854564
