LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1660673729.234661,8324863.000,22623,1,TH,1,100,33.954
1660673729.338287,8324964.000,22640,1,TH,1,100,33.892
1660673729.441914,8325065.000,22658,1,TH,1,100,33.892
1660673729.649167,8325267.000,22690,1,TH,1,100,33.951
1660673729.752793,8325368.000,22706,1,TH,1,100,33.951
1660673729.856420,8325469.000,22723,1,TH,1,100,33.882
1660673729.961072,8325571.000,22739,1,TH,1,100,33.882
1660673730.167299,8325772.000,22771,1,TH,1,100,33.909
1660673730.270926,8325873.000,22788,1,TH,1,100,33.909
1660673730.375578,8325975.000,22805,1,TH,1,100,33.899
1660673730.581805,8326176.000,22837,1,TH,1,100,33.899
1660673730.692613,8326284.000,22855,1,TH,1,100,33.884
1660673730.796240,8326385.000,22871,1,TH,1,100,33.884
1660673730.898840,8326485.000,22888,1,TH,1,100,33.919
1660673731.106093,8326687.000,22920,1,TH,1,100,33.919
1660673731.210746,8326789.000,22936,1,TH,1,100,33.929
1660673731.314372,8326890.000,22954,1,TH,1,100,33.929
1660673731.424155,8326997.000,22972,1,TH,1,100,34.000
1660673731.625252,8327193.000,23004,1,TH,1,100,34.000
1660673731.727852,8327293.000,23022,1,TH,1,100,33.821
1660673731.832505,8327395.000,23038,1,TH,1,100,33.821
1660673732.038732,8327596.000,23070,1,TH,1,100,33.865
1660673732.143384,8327698.000,23087,1,TH,1,100,33.865
1660673732.245985,8327798.000,23103,1,TH,1,100,33.850
1660673732.354741,8327904.000,23120,1,TH,1,100,33.850
1660673732.558916,8328103.000,23153,1,TH,1,100,33.919
1660673732.660491,8328202.000,23170,1,TH,1,100,33.919
1660673732.764117,8328303.000,23187,1,TH,1,100,33.894
1660673732.971370,8328505.000,23219,1,TH,1,100,33.901
1660673733.077048,8328608.000,23235,1,TH,1,100,33.889
1660673733.178623,8328707.000,23252,1,TH,1,100,33.882
1660673733.286353,8328812.000,23267,1,TH,1,100,33.924
1660673733.489502,8329010.000,23301,1,TH,1,100,33.924
1660673733.613649,8329131.000,23318,1,TH,1,100,33.860
1660673733.717275,8329232.000,23335,1,TH,1,100,33.860
1660673733.820902,8329333.000,23352,1,TH,1,100,33.948
1660673734.028155,8329535.000,23384,1,TH,1,100,33.948
1660673734.143067,8329647.000,23405,1,TH,1,100,33.894
1660673734.251824,8329753.000,23422,1,TH,1,100,33.894
1660673734.357502,8329856.000,23439,1,TH,1,100,33.907
1660673734.562703,8330056.000,23473,1,TH,1,100,33.907
1660673734.666330,8330157.000,23491,1,TH,1,100,33.941
1660673734.770982,8330259.000,23507,1,TH,1,100,33.941
1660673734.977209,8330460.000,23539,1,TH,1,100,33.894
1660673735.080836,8330561.000,23556,1,TH,1,100,33.894
1660673735.184462,8330662.000,23572,1,TH,1,100,33.879
1660673735.289115,8330764.000,23589,1,TH,1,100,33.879
1660673735.495342,8330965.000,23622,1,TH,1,100,33.953
1660673735.598968,8331066.000,23638,1,TH,1,100,33.953
1660673735.703620,8331168.000,23656,1,TH,1,100,33.833
