LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1660673729.294169,8324921.000,22650,1,B%,1,100,25
1660673730.292472,8325894.000,22815,1,B%,1,100,25
1660673731.291800,8326868.000,22964,1,B%,1,100,25
1660673732.291129,8327842.000,23130,1,B%,1,100,25
1660673733.287379,8328813.000,23294,1,B%,1,100,25
1660673734.290812,8329791.000,23449,1,B%,1,100,25
1660673735.288089,8330763.000,23599,1,B%,1,100,24
1660673736.285365,8331735.000,23763,1,B%,1,100,24
1660673737.283668,8332708.000,23930,1,B%,1,100,23
1660673738.284023,8333683.000,24077,1,B%,1,100,23
1660673739.282325,8334656.000,24243,1,B%,1,100,22
1660673740.279602,8335628.000,24396,1,B%,1,100,22
1660673741.277904,8336601.000,24562,1,B%,1,100,22
1660673742.279285,8337577.000,24727,1,B%,1,100,22
1660673743.277588,8338550.000,24875,1,B%,1,100,22
1660673744.277942,8339525.000,25042,1,B%,1,100,22
1660673745.275219,8340497.000,25196,1,B%,1,100,22
1660673746.273521,8341470.000,25361,1,B%,1,100,22
1660673747.270798,8342442.000,25510,1,B%,1,100,22
1660673748.269101,8343415.000,25674,1,B%,1,100,22
1660673749.270481,8344391.000,25841,1,B%,1,100,22
1660673750.268784,8345364.000,25996,1,B%,1,100,22
1660673751.267087,8346337.000,26162,1,B%,1,100,22
1660673752.268467,8347313.000,26310,1,B%,1,100,22
1660673753.268822,8348288.000,26475,1,B%,1,100,22
1660673754.268150,8349262.000,26624,1,B%,1,100,22
1660673755.263375,8350232.000,26794,1,B%,1,100,21
1660673756.263730,8351207.000,26942,1,B%,1,100,21
1660673757.262032,8352180.000,27107,1,B%,1,100,21
1660673758.262387,8353155.000,27255,1,B%,1,100,21
1660673759.260689,8354128.000,27421,1,B%,1,100,21
1660673760.261044,8355103.000,27591,1,B%,1,100,21
1660673761.258321,8356075.000,27739,1,B%,1,100,21
1660673762.259701,8357051.000,27887,1,B%,1,100,21
1660673763.256978,8358023.000,28053,1,B%,1,100,21
1660673764.258358,8358999.000,28218,1,B%,1,100,21
1660673765.255635,8359971.000,28366,1,B%,1,100,21
1660673766.253938,8360944.000,28519,1,B%,1,100,21
1660673767.252240,8361917.000,28685,1,B%,1,100,21
1660673768.252595,8362892.000,28850,1,B%,1,100,21
1660673769.250898,8363865.000,29000,1,B%,1,100,21
1660673770.248174,8364837.000,29165,1,B%,1,100,21
1660673771.246477,8365810.000,29319,1,B%,1,100,20
1660673772.246831,8366785.000,29486,1,B%,1,100,21
1660673773.244108,8367757.000,29634,1,B%,1,100,20
1660673774.246515,8368734.000,29801,1,B%,1,100,21
1660673775.246869,8369709.000,29949,1,B%,1,100,21
1660673776.244146,8370681.000,30120,1,B%,1,100,21
1660673777.241422,8371653.000,30268,1,B%,1,100,20
1660673778.239725,8372626.000,30418,1,B%,1,100,21
1660673779.239054,8373600.000,30586,1,B%,1,100,20
1660673780.238382,8374574.000,30753,1,B%,1,100,20
1660673781.234633,8375545.000,30900,1,B%,1,100,20
1660673782.236014,8376521.000,31071,1,B%,1,100,21
1660673783.234316,8377494.000,31223,1,B%,1,100,21
1660673784.235697,8378470.000,31387,1,B%,1,100,20
1660673785.232974,8379442.000,31552,1,B%,1,100,20
1660673786.233328,8380417.000,31700,1,B%,1,100,20
1660673787.229579,8381388.000,31870,1,B%,1,100,20
1660673788.226855,8382360.000,32019,1,B%,1,100,20
1660673789.227210,8383335.000,32186,1,B%,1,100,20
1660673790.226539,8384309.000,32335,1,B%,1,100,20
1660673791.222789,8385280.000,32501,1,B%,1,100,20
1660673792.223144,8386255.000,32671,1,B%,1,100,20
1660673793.222472,8387229.000,32820,1,B%,1,100,20
1660673794.223853,8388205.000,32985,1,B%,1,100,20
1660673795.220104,8389176.000,33132,1,B%,1,100,20
1660673796.218406,8390149.000,33296,1,B%,1,100,20
1660673797.216709,8391122.000,33435,1,B%,1,100,20
1660673798.217063,8392097.000,33600,1,B%,1,100,21
1660673799.215366,8393070.000,33765,1,B%,1,100,21
1660673800.213669,8394043.000,33913,1,B%,1,100,20
1660673801.211971,8395016.000,34078,1,B%,1,100,21
1660673802.212326,8395991.000,34226,1,B%,1,100,20
1660673803.209603,8396963.000,34382,1,B%,1,100,20
1660673804.213035,8397941.000,34547,1,B%,1,100,20
1660673805.212364,8398915.000,34696,1,B%,1,100,19
1660673806.208614,8399886.000,34859,1,B%,1,100,19
1660673807.205891,8400858.000,35024,1,B%,1,100,20
1660673808.206246,8401833.000,35179,1,B%,1,100,20
1660673809.205574,8402807.000,35328,1,B%,1,100,20
1660673810.202851,8403779.000,35493,1,B%,1,100,20
1660673811.201154,8404752.000,35642,1,B%,1,100,20
1660673812.202534,8405728.000,35808,1,B%,1,100,20
1660673813.201863,8406702.000,35964,1,B%,1,100,20
1660673814.201191,8407676.000,36111,1,B%,1,100,19
1660673815.198468,8408648.000,36279,1,B%,1,100,20
1660673816.195745,8409620.000,36444,1,B%,1,100,20
1660673817.194047,8410593.000,36593,1,B%,1,100,20
1660673818.192350,8411566.000,36763,1,B%,1,100,20
1660673819.193730,8412542.000,36913,1,B%,1,100,20
1660673820.193059,8413516.000,37062,1,B%,1,100,20
1660673821.188284,8414486.000,37227,1,B%,1,100,20
1660673822.189664,8415462.000,37374,1,B%,1,100,20
1660673823.188993,8416436.000,37540,1,B%,1,100,20
1660673824.188322,8417410.000,37692,1,B%,1,100,19
1660673825.185598,8418382.000,37857,1,B%,1,100,19
