LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1660673731.390297,8326964,22965,1,BI,1,100,2520
1660673734.436505,8329933,23451,1,BI,1,100,3040
1660673737.049739,8332480,23880,1,BI,1,100,2600
1660673747.234888,8342407,25492,1,BI,1,100,10120
1660673748.336817,8343481,25676,1,BI,1,100,1080
1660673750.991091,8346068,26095,1,BI,1,100,2640
1660673768.907186,8363530,28933,1,BI,1,100,17800
1660673771.611735,8366166,29369,1,BI,1,100,2680
1660673774.191110,8368680,29766,1,BI,1,100,2560
1660673777.281437,8371692,30270,1,BI,1,100,3080
1660673778.736311,8373110,30485,1,BI,1,100,1440
1660673779.945971,8374289,30684,1,BI,1,100,1200
1660673782.398122,8376679,31073,1,BI,1,100,2440
1660673783.199432,8377460,31205,1,BI,1,100,800
1660673788.441290,8382569,32037,1,BI,1,100,5200
1660673789.447801,8383550,32204,1,BI,1,100,1000
1660673810.702515,8404266,35559,1,BI,1,100,21120
1660673811.835224,8405370,35741,1,BI,1,100,1120
1660673815.094841,8408547,36244,1,BI,1,100,3240
1660673818.724846,8412085,36813,1,BI,1,100,3600
1660673831.568374,8424603,38836,1,BI,1,100,12760
1660673858.884724,8451227,43121,1,BI,1,100,27120
1660673860.612516,8452911,43376,1,BI,1,100,1720
1660673866.252464,8458408,44275,1,BI,1,100,5600
1660673868.830814,8460921,44687,1,BI,1,100,2560
1660673876.164696,8468069,45833,1,BI,1,100,7280
1660673879.658242,8471474,46384,1,BI,1,100,3480
1660673880.590880,8472383,46534,1,BI,1,100,920
1660673882.321750,8474070,46806,1,BI,1,100,1720
1660673888.369022,8479964,47754,1,BI,1,100,6000
1660673906.285117,8497426,50560,1,BI,1,100,17800
1660673907.904152,8499004,50795,1,BI,1,100,1600
1660673908.820375,8499897,50946,1,BI,1,100,920
1660673916.557477,8507438,52162,1,BI,1,100,7680
1660673917.530129,8508386,52313,1,BI,1,100,960
1660673919.335897,8510146,52584,1,BI,1,100,1800
1660673920.302394,8511088,52751,1,BI,1,100,960
1660673930.656834,8521180,54349,1,BI,1,100,10280
1660673933.998531,8524437,54898,1,BI,1,100,3320
1660673941.451430,8531701,56059,1,BI,1,100,7400
1660673945.563657,8535709,56706,1,BI,1,100,4080
1660673946.654299,8536772,56873,1,BI,1,100,1080
1660673949.470683,8539517,57337,1,BI,1,100,2800
1660673951.716607,8541706,57673,1,BI,1,100,2240
1660673955.146541,8545049,58210,1,BI,1,100,3400
1660673960.092910,8549870,58972,1,BI,1,100,4920
1660673969.205884,8558752,60402,1,BI,1,100,9040
1660673970.254461,8559774,60567,1,BI,1,100,1040
1660673972.062281,8561536,60857,1,BI,1,100,1800
1660673972.960035,8562411,60990,1,BI,1,100,880
1660673974.688853,8564096,61272,1,BI,1,100,1720
1660673975.646116,8565029,61423,1,BI,1,100,960
1660673978.276792,8567593,61828,1,BI,1,100,2600
1660673980.730995,8569985,62209,1,BI,1,100,2440
1660673985.473189,8574607,62958,1,BI,1,100,4720
1660673986.562806,8575669,63142,1,BI,1,100,1080
1660673989.102168,8578144,63545,1,BI,1,100,2520
1660673991.716428,8580692,63940,1,BI,1,100,2600
1660673992.965076,8581909,64132,1,BI,1,100,1240
1660673994.628229,8583530,64397,1,BI,1,100,1640
1660673995.635766,8584512,64564,1,BI,1,100,1000
1660673997.320466,8586154,64832,1,BI,1,100,1680
1660673999.774669,8588546,65213,1,BI,1,100,2440
1660674001.555813,8590282,65495,1,BI,1,100,1760
1660674005.104764,8593741,530,1,BI,1,100,3520
1660674007.358896,8595938,893,1,BI,1,100,2240
1660674009.166717,8597700,1178,1,BI,1,100,1800
1660674013.407194,8601833,1844,1,BI,1,100,4200
1660674015.127804,8603510,2110,1,BI,1,100,1720
1660674017.711284,8606028,2521,1,BI,1,100,2560
1660674020.408650,8608657,2961,1,BI,1,100,2680
1660674021.855317,8610067,3193,1,BI,1,100,1440
1660674024.086878,8612242,3547,1,BI,1,100,2200
1660674030.109525,8618112,4511,1,BI,1,100,6000
1660674038.051828,8625853,5755,1,BI,1,100,7880
1660674049.906287,8637407,7635,1,BI,1,100,11760
1660674055.741176,8643094,8565,1,BI,1,100,5800
1660674058.280538,8645569,8963,1,BI,1,100,2520
1660674062.477923,8649660,9631,1,BI,1,100,4160
1660674063.594216,8650748,9814,1,BI,1,100,1120
1660674065.689318,8652790,10150,1,BI,1,100,2080
1660674068.887375,8655907,10647,1,BI,1,100,3160
1660674080.090320,8666826,12425,1,BI,1,100,11120
1660674086.766533,8673333,13490,1,BI,1,100,6640
1660674088.823673,8675338,13822,1,BI,1,100,2040
1660674090.804888,8677269,14136,1,BI,1,100,1960
1660674094.993039,8681351,14804,1,BI,1,100,4160
1660674096.773157,8683086,15068,1,BI,1,100,1760
1660674097.778642,8684066,15226,1,BI,1,100,1000
1660674100.952075,8687159,15722,1,BI,1,100,3160
1660674102.778363,8688939,16010,1,BI,1,100,1800
1660674105.140226,8691241,16392,1,BI,1,100,2360
1660674106.147763,8692223,16559,1,BI,1,100,1000
1660674108.448066,8694465,16913,1,BI,1,100,2280
1660674109.501772,8695492,17080,1,BI,1,100,1040
1660674111.102340,8697052,17331,1,BI,1,100,1600
1660674117.026491,8702826,18216,1,BI,1,100,5880
1660674122.227309,8707895,19048,1,BI,1,100,5160
1660674124.165432,8709784,19351,1,BI,1,100,1920
1660674126.663754,8712219,19749,1,BI,1,100,2480
1660674132.592009,8717997,20678,1,BI,1,100,5880
1660674133.547220,8718928,20828,1,BI,1,100,960
1660674135.193957,8720533,21100,1,BI,1,100,1640
1660674136.327692,8721638,21284,1,BI,1,100,1120
1660674137.893375,8723164,21533,1,BI,1,100,1560
1660674142.330846,8727489,22234,1,BI,1,100,4400
1660674143.912945,8729031,22482,1,BI,1,100,1560
1660674149.825811,8734794,23417,1,BI,1,100,5880
1660674154.171967,8739030,24095,1,BI,1,100,4320
1660674156.921659,8741710,24548,1,BI,1,100,2720
1660674161.676165,8746344,25297,1,BI,1,100,4720
1660674163.006894,8747641,25514,1,BI,1,100,1320
1660674164.772648,8749362,25794,1,BI,1,100,1760
1660674166.458374,8751005,26065,1,BI,1,100,1680
1660674168.078435,8752584,26331,1,BI,1,100,1600
1660674169.807253,8754269,26595,1,BI,1,100,1720
1660674171.549409,8755967,26885,1,BI,1,100,1720
1660674172.682118,8757071,27066,1,BI,1,100,1120
1660674173.437258,8757807,27185,1,BI,1,100,760
1660674175.094255,8759422,27450,1,BI,1,100,1640
1660674177.300166,8761572,27804,1,BI,1,100,2200
1660674206.432544,8789966,32352,1,BI,1,100,28920
1660674208.165466,8791655,32624,1,BI,1,100,1720
1660674210.626852,8794054,33006,1,BI,1,100,2440
1660674212.477764,8795858,33304,1,BI,1,100,1840
1660674228.121258,8811105,35654,1,BI,1,100,15520
1660674230.416431,8813342,36010,1,BI,1,100,2280
1660674232.062143,8814946,36275,1,BI,1,100,1640
1660674235.566975,8818362,36812,1,BI,1,100,3480
1660674237.948332,8820683,37193,1,BI,1,100,2360
1660674248.992247,8831447,38919,1,BI,1,100,10960
1660674251.571623,8833961,39307,1,BI,1,100,2560
1660674252.247760,8834620,39426,1,BI,1,100,680
1660674253.746753,8836081,39658,1,BI,1,100,1480
1660674257.414720,8839656,40227,1,BI,1,100,3640
1660674261.281732,8843425,40830,1,BI,1,100,3840
1660674262.173330,8844294,40981,1,BI,1,100,880
1660674263.735935,8845817,41229,1,BI,1,100,1560
1660674265.385751,8847425,41485,1,BI,1,100,1640
1660674266.349169,8848364,41636,1,BI,1,100,960
1660674268.089273,8850060,41920,1,BI,1,100,1720
1660674269.047562,8850994,42069,1,BI,1,100,960
1660674269.935056,8851859,42203,1,BI,1,100,880
1660674272.632422,8854488,42625,1,BI,1,100,2680
