RD,TS_received,TS_sent,AK,RoundTrip,
8329613,8329638,2022-08-16_14-15-34-113027,8329641,25,
8334768,8334794,2022-08-16_14-15-39-406227,8334798,26,
8339874,8339899,2022-08-16_14-15-44-648399,8339902,25,
8344983,8345008,2022-08-16_14-15-49-891031,8345013,25,
8350091,8350114,2022-08-16_14-15-55-130222,8350117,23,
8355199,8355222,2022-08-16_14-16-00-371666,8355226,23,
8360307,8360329,2022-08-16_14-16-05-611945,8360332,22,
8365417,8365442,2022-08-16_14-16-10-856957,8365446,25,
8370523,8370554,2022-08-16_14-16-16-095724,8370558,31,
8375631,8375669,2022-08-16_14-16-21-341588,8375673,38,
8380740,8380764,2022-08-16_14-16-26-579739,8380767,24,
8385894,8385939,2022-08-16_14-16-31-888266,8385942,45,
8391002,8391029,2022-08-16_14-16-37-117847,8391032,27,
8396164,8396189,2022-08-16_14-16-42-407194,8396192,25,
8401311,8401335,2022-08-16_14-16-47-686845,8401338,24,
8406440,8406472,2022-08-16_14-16-52-951859,8406476,32,
8411594,8411622,2022-08-16_14-16-58-243092,8411627,28,
8416725,8416751,2022-08-16_14-17-03-505210,8416754,26,
8421899,8421923,2022-08-16_14-17-08-814021,8421926,24,
8427040,8427066,2022-08-16_14-17-14-087984,8427069,26,
8432151,8432176,2022-08-16_14-17-19-332967,8432180,25,
8437300,8437325,2022-08-16_14-17-24-613853,8437328,25,
8442417,8442442,2022-08-16_14-17-29-864886,8442445,25,
8447565,8447592,2022-08-16_14-17-35-144277,8447596,27,
8452704,8452728,2022-08-16_14-17-40-419675,8452732,24,
8457852,8457877,2022-08-16_14-17-45-701449,8457880,25,
8462985,8463009,2022-08-16_14-17-50-962095,8463012,24,
8468140,8468166,2022-08-16_14-17-56-252801,8468169,26,
8473277,8473304,2022-08-16_14-18-01-525325,8473307,27,
8478397,8478421,2022-08-16_14-18-06-775680,8478425,24,
8483497,8483521,2022-08-16_14-18-12-007077,8483526,24,
8488605,8493749,2022-08-16_14-18-17-365456,8493764,5144,
8493780,
8498840,8504004,2022-08-16_14-18-27-844808,8504020,5164,
8504044,8504085,2022-08-16_14-18-33-102200,8504088,41,
8509139,8509174,2022-08-16_14-18-38-325570,8509177,35,
8514238,8514307,2022-08-16_14-18-43-588267,8514312,69,
8519345,8519405,2022-08-16_14-18-48-821165,8519408,60,
8524486,8524517,2022-08-16_14-18-54-063916,8524520,31,
8529607,8529671,2022-08-16_14-18-59-359341,8529675,64,
8534752,8539896,2022-08-16_14-19-04-673105,8539906,5144,
8539919,8540036,2022-08-16_14-19-09-981435,8545107,117,
8545120,8545187,2022-08-16_14-19-15-249146,8545191,67,
8550217,8550244,2022-08-16_14-19-20-467324,8550248,27,
8555354,8555386,2022-08-16_14-19-25-739514,8555389,32,
8560498,8560522,2022-08-16_14-19-31-008295,8560526,24,
8565606,8565632,2022-08-16_14-19-36-252254,8565635,26,
8570765,8570794,2022-08-16_14-19-41-544795,8570797,29,
8575899,8575925,2022-08-16_14-19-46-814233,8575934,26,
8581007,8581033,2022-08-16_14-19-52-054419,8581037,26,
8586131,8591260,2022-08-16_14-19-57-698192,8591270,5129,
8591285,8591313,2022-08-16_14-20-02-597775,8591316,28,
8596359,8596392,2022-08-16_14-20-07-808874,8596395,33,
8601480,8606611,2022-08-16_14-20-13-518530,8606622,5131,
8606635,8606659,2022-08-16_14-20-18-334177,8606662,24,
8611722,8611747,2022-08-16_14-20-23-556320,8611750,25,
8616852,8616880,2022-08-16_14-20-28-821387,8616883,28,
8621959,8621983,2022-08-16_14-20-34-060869,8621987,24,
8627068,8627093,2022-08-16_14-20-39-298238,8627097,25,
8632195,8632222,2022-08-16_14-20-44-561083,8632225,27,
8637294,8637320,2022-08-16_14-20-49-787793,8637323,26,
8642401,8642426,2022-08-16_14-20-55-025333,8642430,25,
8647518,8647547,2022-08-16_14-21-00-277683,8647550,29,
8652647,8652669,2022-08-16_14-21-05-534613,8652673,22,
8657755,8657777,2022-08-16_14-21-10-773164,8657781,22,
8662865,8662889,2022-08-16_14-21-16-011040,8662892,24,
8667972,8667999,2022-08-16_14-21-21-251471,8668002,27,
8673116,8673167,2022-08-16_14-21-26-548172,8673170,51,
8678229,8678256,2022-08-16_14-21-31-770565,8678259,27,
8683333,8683358,2022-08-16_14-21-37-005619,8683361,25,
8688441,8688470,2022-08-16_14-21-42-242980,8688473,29,
8693547,8693571,2022-08-16_14-21-47-479205,8693575,24,
8698661,8698740,2022-08-16_14-21-52-770774,8698743,79,
8703786,8703829,2022-08-16_14-21-57-997312,8703836,43,
8708891,8708926,2022-08-16_14-22-03-223723,8708931,35,
8713979,8714010,2022-08-16_14-22-08-444658,8714016,31,
8719141,8719166,2022-08-16_14-22-13-736146,8719169,25,
8724259,8724306,2022-08-16_14-22-18-995754,8724311,47,
8729363,8734510,2022-08-16_14-22-24-413766,8734515,5147,
8734516,8734576,2022-08-16_14-22-29-535646,8734582,60,
8739636,8739672,2022-08-16_14-22-34-766495,8739676,36,
8744736,8744760,2022-08-16_14-22-39-992530,8744763,24,
8749906,8749931,2022-08-16_14-22-45-294318,8749934,25,
8755075,8755100,2022-08-16_14-22-50-593859,8755104,25,
8760193,8760225,2022-08-16_14-22-55-849950,8760228,32,
8765297,8765410,2022-08-16_14-23-01-174839,8770412,113,
8770427,8770450,2022-08-16_14-23-06-346911,8770453,23,
8775532,8775593,2022-08-16_14-23-11-619812,8775598,61,
8780641,8780689,2022-08-16_14-23-16-842247,8780694,48,
8785753,8785784,2022-08-16_14-23-22-065970,8785789,31,
8790852,8790878,2022-08-16_14-23-27-297425,8790881,26,
8795969,8795994,2022-08-16_14-23-32-541811,8795998,25,
8801231,8801260,2022-08-16_14-23-37-938631,8801263,29,
8806342,8806442,2022-08-16_14-23-43-256736,8806445,100,
8811460,8811525,2022-08-16_14-23-48-477383,8811529,65,
8816619,8816645,2022-08-16_14-23-53-726175,8816648,26,
8821727,8826837,2022-08-16_14-23-59-133368,8826843,5110,
8826843,8826902,2022-08-16_14-24-04-246412,8826907,59,
8831946,8831972,2022-08-16_14-24-09-445120,8831975,26,
8837103,8837128,2022-08-16_14-24-14-730849,8837131,25,
8842221,8842290,2022-08-16_14-24-20-023691,8842296,69,
8847367,8847392,2022-08-16_14-24-25-261099,8847396,25,
8852466,8852491,2022-08-16_14-24-30-492876,8852495,25,
8857615,8857660,2022-08-16_14-24-35-794411,8857663,45,
8862768,8862852,2022-08-16_14-24-41-118228,8862856,84,
8867916,8867968,2022-08-16_14-24-46-357792,8867971,52,
8873017,8873051,2022-08-16_14-24-51-580206,8873054,34,
8878122,8878150,2022-08-16_14-24-56-807862,8878153,28,
8883241,8883315,2022-08-16_14-25-02-104090,8883318,74,
8888349,8888402,2022-08-16_14-25-07-327014,8888405,53,
8893458,8893511,2022-08-16_14-25-12-556341,8893517,53,
8898557,8903698,2022-08-16_14-25-17-931198,8903714,5141,
8903737,8903811,2022-08-16_14-25-23-142036,8903815,74,
8908803,8908887,2022-08-16_14-25-28-350299,8908890,84,
8913945,0,,8919080,-8913945,
8919094,8924234,2022-08-16_14-25-39-008550,8924243,5140,
8924260,8924285,2022-08-16_14-25-44-142972,8924289,25,
8929399,8934512,2022-08-16_14-25-49-614089,8934516,5113,
8934517,8934542,2022-08-16_14-25-54-662410,8934545,25,
8939605,8944742,2022-08-16_14-25-59-896400,8944752,5137,
8944767,8949895,2022-08-16_14-26-05-310410,8949905,5128,
8949919,8955002,2022-08-16_14-26-10-483205,8955012,5083,
8955027,8955079,2022-08-16_14-26-15-730002,8955082,52,
8960137,8965252,2022-08-16_14-26-21-135023,8965262,5115,
8965277,
8970394,8975532,2022-08-16_14-26-31-626368,8975535,5138,
8975537,8975561,2022-08-16_14-26-36-747756,8975565,24,
8980688,8980738,2022-08-16_14-26-42-058034,8980741,50,
8985797,8990891,2022-08-16_14-26-47-378408,8990906,5094,
8990929,8991035,2022-08-16_14-26-52-620748,8995999,106,
8996014,9001131,2022-08-16_14-26-57-838780,9001141,5117,
9001161,9001196,2022-08-16_14-27-03-048058,9001199,35,
9006244,9011353,2022-08-16_14-27-10-034352,9011358,5109,
9011358,9011381,2022-08-16_14-27-13-494052,9011385,23,
9016516,9016573,2022-08-16_14-27-18-819099,9016576,57,
9021624,9021660,2022-08-16_14-27-24-040894,9021663,36,
9026730,9026768,2022-08-16_14-27-29-266362,9026771,38,
9031831,9031854,2022-08-16_14-27-34-498135,9031858,23,
9036940,9036966,2022-08-16_14-27-39-744002,9036969,26,
9042046,9042072,2022-08-16_14-27-44-979075,9042076,26,
9047154,9047229,2022-08-16_14-27-50-253301,9047232,75,
9052273,9052311,2022-08-16_14-27-55-476982,9052314,38,
9057379,9057404,2022-08-16_14-28-00-700316,9057407,25,
9062481,9062505,2022-08-16_14-28-05-931860,9062509,24,
9067620,9067713,2022-08-16_14-28-11-259460,9067719,93,
9072770,9072802,2022-08-16_14-28-16-490634,9072806,32,
9077874,9077897,2022-08-16_14-28-21-720205,9077901,23,
9083026,9083062,2022-08-16_14-28-27-019703,9083065,36,
9088125,9088176,2022-08-16_14-28-32-255128,9088179,51,
9093233,9093259,2022-08-16_14-28-37-476261,9093263,26,
9098358,9098426,2022-08-16_14-28-42-779543,9098431,68,
9103462,9103526,2022-08-16_14-28-48-008538,9103530,64,
9108592,9108634,2022-08-16_14-28-53-241711,9108639,42,
9113706,9113804,2022-08-16_14-28-58-557208,9113808,98,
9118837,9118891,2022-08-16_14-29-03-776962,9118894,54,
9123947,9123981,2022-08-16_14-29-08-999363,9123984,34,
9129052,9129085,2022-08-16_14-29-14-228265,9129091,33,
9134156,9134180,2022-08-16_14-29-19-466146,9134184,24,
9139305,9139328,2022-08-16_14-29-24-745122,9139332,23,
9144422,9149563,2022-08-16_14-29-30-094105,9149579,5141,
9149604,9149631,2022-08-16_14-29-35-316976,9149634,27,
9154687,9154727,2022-08-16_14-29-40-543043,9154730,40,
9159792,9159817,2022-08-16_14-29-45-765520,9159820,25,
9164892,9164916,2022-08-16_14-29-50-996992,9164920,24,
9170000,9170034,2022-08-16_14-29-56-247402,9170038,34,
9175105,9175131,2022-08-16_14-30-01-477234,9175134,26,
9180214,9180281,2022-08-16_14-30-06-763697,9180285,67,
9185325,9185364,2022-08-16_14-30-11-976555,9185368,39,
9190437,9190466,2022-08-16_14-30-17-210258,9190469,29,
9195545,9195570,2022-08-16_14-30-22-444299,9195574,25,
9200679,9205821,2022-08-16_14-30-27-711632,9205837,5142,
9205859,9205919,2022-08-16_14-30-33-064695,9205922,60,
9210962,9211008,2022-08-16_14-30-38-287921,9211011,46,
9216070,9216104,2022-08-16_14-30-43-516267,9216107,34,
9221177,9221296,2022-08-16_14-30-48-840541,9226276,119,
9226290,9226326,2022-08-16_14-30-54-001164,9226329,36,
9231441,9231470,2022-08-16_14-30-59-281131,9231473,29,
9236556,9236580,2022-08-16_14-31-04-525114,9236584,24,
9241681,9241704,2022-08-16_14-31-09-782508,9241707,23,
9246835,9246861,2022-08-16_14-31-15-069618,9246865,26,
9251973,9251997,2022-08-16_14-31-20-341196,9252001,24,
9257128,9257154,2022-08-16_14-31-25-631272,9257157,26,
9262277,9262322,2022-08-16_14-31-30-932095,9262325,45,
9267434,9267520,2022-08-16_14-31-36-256057,9267524,86,
9272532,9272558,2022-08-16_14-31-41-434601,9272561,26,
9277779,9277816,2022-08-16_14-31-46-832015,9277819,37,
9282910,9282937,2022-08-16_14-31-52-082834,9282941,27,
9288027,9288064,2022-08-16_14-31-57-347368,9288068,37,
9293198,9293296,2022-08-16_14-32-02-709185,9293299,98,
9298305,9298375,2022-08-16_14-32-07-924378,9298380,70,
9303412,9303444,2022-08-16_14-32-13-122469,9303447,32,
9308513,9308543,2022-08-16_14-32-18-351483,9308546,30,
9313619,0,,9318781,-9313619,
9318795,9318820,2022-08-16_14-32-28-901210,9318824,25,
9323893,9323926,2022-08-16_14-32-34-136820,9323929,33,
9329061,9329088,2022-08-16_14-32-39-435424,9329091,27,
9334204,9334230,2022-08-16_14-32-44-710044,9334234,26,
9339322,9339381,2022-08-16_14-32-49-981656,9339385,59,
9344420,9344444,2022-08-16_14-32-55-188501,9344447,24,
9349587,9349655,2022-08-16_14-33-00-528237,9349659,68,
9354694,9354739,2022-08-16_14-33-05-751350,9354742,45,
9359800,9359822,2022-08-16_14-33-10-967991,9359826,22,
9364967,9364994,2022-08-16_14-33-16-271918,9364997,27,
9370131,9370206,2022-08-16_14-33-21-623974,9370216,75,
9375239,9375295,2022-08-16_14-33-26-846996,9375300,56,
9380338,9380360,2022-08-16_14-33-32-047853,9380363,22,
9385493,9385580,2022-08-16_14-33-37-394408,9385584,87,
9390646,9390670,2022-08-16_14-33-42-623609,9390673,24,
9395786,9395811,2022-08-16_14-33-47-898324,9395814,25,
9400929,9400955,2022-08-16_14-33-53-176945,9400959,26,
9406029,9406051,2022-08-16_14-33-58-409129,9406054,22,
9411166,9411190,2022-08-16_14-34-03-680094,9411194,24,
9416275,9416301,2022-08-16_14-34-08-923561,9416304,26,
9421385,9421409,2022-08-16_14-34-14-165826,9421412,24,
9426537,9426561,2022-08-16_14-34-19-453834,9426564,24,
9431669,9431693,2022-08-16_14-34-24-718316,9431697,24,
9436816,9436894,2022-08-16_14-34-30-037868,9436900,78,
9441924,9441964,2022-08-16_14-34-35-249362,9441969,40,
9447034,9447058,2022-08-16_14-34-40-482384,9447061,24,
9452139,9452169,2022-08-16_14-34-45-728701,9452173,30,
9457248,9457272,2022-08-16_14-34-50-962684,9457276,24,
