LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1660673729.153606,8324784.000,22622,1,T1,1,100,32.920
1660673729.286987,8324914.000,22639,1,T1,1,100,32.965
1660673729.421393,8325045.000,22657,1,T1,1,100,33.020
1660673729.553748,8325174.000,22689,1,T1,1,100,33.044
1660673729.687129,8325304.000,22705,1,T1,1,100,33.019
1660673729.820509,8325434.000,22722,1,T1,1,100,33.008
1660673729.950812,8325561.000,22738,1,T1,1,100,32.933
1660673730.086245,8325693.000,22770,1,T1,1,100,32.900
1660673730.218599,8325822.000,22787,1,T1,1,100,32.957
1660673730.351980,8325952.000,22804,1,T1,1,100,32.804
1660673730.485360,8326082.000,22836,1,T1,1,100,32.844
1660673730.618741,8326212.000,22854,1,T1,1,100,32.897
1660673730.752122,8326342.000,22870,1,T1,1,100,32.991
1660673730.885502,8326472.000,22887,1,T1,1,100,33.032
1660673731.019909,8326603.000,22919,1,T1,1,100,32.943
1660673731.152263,8326732.000,22935,1,T1,1,100,32.940
1660673731.285644,8326862.000,22953,1,T1,1,100,33.009
1660673731.417999,8326991.000,22988,1,T1,1,100,32.969
1660673731.551379,8327121.000,23003,1,T1,1,100,33.022
1660673731.684760,8327251.000,23021,1,T1,1,100,32.832
1660673731.818141,8327381.000,23037,1,T1,1,100,32.963
1660673731.952547,8327512.000,23069,1,T1,1,100,32.913
1660673732.082850,8327639.000,23086,1,T1,1,100,32.927
1660673732.218282,8327771.000,23102,1,T1,1,100,32.827
1660673732.349611,8327899.000,23136,1,T1,1,100,32.854
1660673732.481966,8328028.000,23152,1,T1,1,100,32.901
1660673732.615346,8328158.000,23169,1,T1,1,100,32.851
1660673732.748727,8328288.000,23186,1,T1,1,100,32.936
1660673732.882107,8328418.000,23218,1,T1,1,100,33.008
1660673733.015488,8328548.000,23234,1,T1,1,100,33.003
1660673733.149895,8328679.000,23251,1,T1,1,100,33.001
1660673733.280197,8328806.000,23284,1,T1,1,100,32.930
1660673733.414604,8328937.000,23300,1,T1,1,100,32.863
1660673733.546959,8329066.000,23317,1,T1,1,100,32.799
1660673733.680339,8329196.000,23334,1,T1,1,100,32.984
1660673733.814746,8329327.000,23351,1,T1,1,100,32.922
1660673733.948126,8329457.000,23383,1,T1,1,100,33.002
1660673734.082533,8329588.000,23404,1,T1,1,100,33.036
1660673734.214888,8329717.000,23421,1,T1,1,100,32.945
1660673734.349294,8329848.000,23438,1,T1,1,100,32.941
1660673734.481649,8329977.000,23472,1,T1,1,100,32.974
1660673734.614003,8330106.000,23490,1,T1,1,100,32.918
1660673734.747384,8330236.000,23506,1,T1,1,100,32.965
1660673734.880765,8330366.000,23538,1,T1,1,100,32.914
1660673735.014145,8330496.000,23555,1,T1,1,100,32.998
1660673735.147526,8330626.000,23571,1,T1,1,100,32.964
1660673735.280907,8330756.000,23588,1,T1,1,100,33.020
1660673735.411209,8330883.000,23621,1,T1,1,100,32.973
1660673735.546642,8331015.000,23637,1,T1,1,100,32.917
1660673735.678996,8331144.000,23655,1,T1,1,100,32.822
1660673735.811351,8331273.000,23686,1,T1,1,100,32.817
1660673735.945758,8331404.000,23703,1,T1,1,100,32.885
1660673736.078112,8331533.000,23720,1,T1,1,100,32.915
1660673736.211493,8331663.000,23736,1,T1,1,100,32.963
1660673736.344873,8331793.000,23769,1,T1,1,100,32.913
1660673736.479280,8331924.000,23786,1,T1,1,100,32.962
1660673736.610609,8332052.000,23803,1,T1,1,100,32.984
1660673736.745015,8332183.000,23834,1,T1,1,100,32.993
1660673736.877370,8332312.000,23851,1,T1,1,100,32.926
1660673737.009725,8332441.000,23868,1,T1,1,100,32.897
1660673737.144131,8332572.000,23887,1,T1,1,100,32.920
1660673737.276486,8332701.000,23919,1,T1,1,100,32.894
1660673737.411918,8332833.000,23936,1,T1,1,100,32.883
1660673737.544273,8332962.000,23953,1,T1,1,100,32.914
1660673737.678680,8333093.000,23985,1,T1,1,100,32.892
1660673737.811034,8333222.000,24001,1,T1,1,100,32.918
1660673737.942363,8333350.000,24019,1,T1,1,100,32.964
1660673738.075743,8333480.000,24035,1,T1,1,100,32.985
1660673738.209124,8333610.000,24066,1,T1,1,100,32.958
1660673738.343531,8333741.000,24085,1,T1,1,100,32.911
1660673738.476911,8333871.000,24101,1,T1,1,100,33.032
1660673738.611318,8334002.000,24134,1,T1,1,100,32.943
1660673738.741621,8334129.000,24150,1,T1,1,100,32.940
1660673738.876027,8334260.000,24166,1,T1,1,100,32.939
1660673739.008382,8334389.000,24184,1,T1,1,100,32.973
1660673739.139710,8334517.000,24215,1,T1,1,100,32.988
1660673739.275143,8334649.000,24232,1,T1,1,100,32.924
1660673739.407498,8334778.000,24255,1,T1,1,100,32.967
1660673739.541904,8334909.000,24271,1,T1,1,100,32.950
1660673739.674259,8335038.000,24303,1,T1,1,100,33.014
1660673739.807640,8335168.000,24320,1,T1,1,100,32.935
1660673739.939994,8335297.000,24337,1,T1,1,100,33.043
1660673740.073375,8335427.000,24369,1,T1,1,100,32.983
1660673740.206755,8335557.000,24385,1,T1,1,100,32.922
1660673740.339110,8335686.000,24403,1,T1,1,100,32.966
1660673740.473517,8335817.000,24420,1,T1,1,100,32.950
1660673740.605871,8335946.000,24452,1,T1,1,100,32.978
1660673740.740278,8336077.000,24468,1,T1,1,100,32.991
1660673740.872633,8336206.000,24485,1,T1,1,100,32.925
1660673741.007039,8336337.000,24518,1,T1,1,100,32.932
1660673741.140420,8336467.000,24533,1,T1,1,100,32.829
1660673741.271748,8336595.000,24551,1,T1,1,100,32.855
1660673741.405129,8336725.000,24568,1,T1,1,100,33.008
1660673741.537483,8336854.000,24600,1,T1,1,100,33.074
1660673741.671890,8336985.000,24617,1,T1,1,100,33.032
1660673741.805271,8337115.000,24633,1,T1,1,100,33.014
1660673741.939677,8337246.000,24650,1,T1,1,100,33.041
1660673742.071006,8337374.000,24682,1,T1,1,100,32.947
1660673742.205413,8337505.000,24698,1,T1,1,100,32.977
1660673742.337767,8337634.000,24716,1,T1,1,100,32.919
1660673742.469096,8337762.000,24749,1,T1,1,100,32.894
1660673742.603503,8337893.000,24765,1,T1,1,100,32.848
1660673742.735857,8338022.000,24782,1,T1,1,100,32.934
1660673742.871290,8338154.000,24798,1,T1,1,100,32.936
1660673743.003644,8338283.000,24830,1,T1,1,100,32.866
1660673743.137025,8338413.000,24847,1,T1,1,100,32.871
1660673743.270406,8338543.000,24864,1,T1,1,100,32.980
1660673743.402760,8338672.000,24882,1,T1,1,100,32.956
1660673743.536141,8338802.000,24916,1,T1,1,100,33.052
1660673743.668495,8338931.000,24932,1,T1,1,100,33.058
1660673743.802902,8339062.000,24949,1,T1,1,100,32.954
1660673743.936283,8339192.000,24982,1,T1,1,100,32.945
1660673744.070689,8339323.000,24997,1,T1,1,100,32.905
1660673744.203044,8339452.000,25014,1,T1,1,100,32.853
1660673744.336424,8339582.000,25031,1,T1,1,100,32.901
1660673744.469805,8339712.000,25063,1,T1,1,100,32.957
1660673744.601134,8339840.000,25086,1,T1,1,100,33.052
1660673744.735540,8339971.000,25102,1,T1,1,100,32.987
1660673744.867895,8340100.000,25119,1,T1,1,100,33.030
1660673745.001276,8340230.000,25151,1,T1,1,100,33.013
1660673745.134656,8340360.000,25167,1,T1,1,100,33.041
1660673745.268037,8340490.000,25185,1,T1,1,100,32.982
1660673745.400391,8340619.000,25202,1,T1,1,100,32.992
1660673745.533772,8340749.000,25233,1,T1,1,100,32.961
1660673745.667153,8340879.000,25251,1,T1,1,100,32.983
1660673745.798481,8341007.000,25267,1,T1,1,100,32.922
1660673745.932888,8341138.000,25299,1,T1,1,100,32.931
1660673746.065243,8341267.000,25316,1,T1,1,100,32.899
1660673746.199649,8341398.000,25332,1,T1,1,100,32.921
1660673746.333030,8341528.000,25350,1,T1,1,100,32.930
1660673746.465384,8341657.000,25382,1,T1,1,100,32.970
1660673746.599791,8341788.000,25399,1,T1,1,100,32.951
1660673746.732146,8341917.000,25416,1,T1,1,100,32.979
1660673746.865526,8342047.000,25448,1,T1,1,100,32.991
1660673746.996855,8342175.000,25464,1,T1,1,100,32.925
1660673747.130235,8342305.000,25481,1,T1,1,100,32.968
1660673747.263616,8342435.000,25499,1,T1,1,100,32.986
1660673747.398023,8342566.000,25532,1,T1,1,100,32.958
