LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1658842240.028509,1833312,32507,1,SA,1,100,0.000002
1658842241.025009,1834284,32676,1,SA,1,100,0.000001
1658842241.759056,1835000,32798,1,SA,1,100,0.000003
1658842241.956921,1835193,32816,1,SA,1,100,0.000008
1658842242.156836,1835388,32852,1,SA,1,100,0.000004
1658842242.358802,1835585,32887,1,SA,1,100,0.000002
1658842242.624330,1835844,32938,1,SA,1,100,0.000018
1658842242.955472,1836167,33021,1,SA,1,100,0.000024
1658842243.420915,1836621,33058,1,SA,1,100,0.000013
1658842243.623906,1836819,33241,1,SA,1,100,0.000136
1658842244.754708,1837922,33276,1,SA,1,100,0.000027
1658842245.152488,1838310,33359,1,SA,1,100,0.000042
1658842245.751208,1838894,33461,1,SA,1,100,0.000021
1658842246.215626,1839347,33514,1,SA,1,100,0.000022
1658842246.482180,1839607,33583,1,SA,1,100,0.000047
1658842247.017338,1840129,33633,1,SA,1,100,0.000013
1658842247.215202,1840322,33673,1,SA,1,100,0.000061
1658842247.480731,1840581,33708,1,SA,1,100,0.000005
1658842247.678595,1840774,33760,1,SA,1,100,0.000009
1658842248.346004,1841425,33861,1,SA,1,100,0.000016
1658842248.676121,1841747,33912,1,SA,1,100,0.000010
1658842248.877061,1841943,33980,1,SA,1,100,0.000048
1658842249.277917,1842334,34015,1,SA,1,100,0.000029
1658842249.542420,1842592,34099,1,SA,1,100,0.000085
1658842250.676297,1843698,34233,1,SA,1,100,0.000001
1658842251.142766,1844153,34367,1,SA,1,100,0.000083
1658842251.675873,1844673,34385,1,SA,1,100,0.000030
1658842252.004964,1844994,34485,1,SA,1,100,0.000059
1658842252.406845,1845386,34527,1,SA,1,100,0.000038
1658842252.739012,1845710,34563,1,SA,1,100,0.000022
1658842253.204455,1846164,34647,1,SA,1,100,0.000014
1658842253.407446,1846362,34698,1,SA,1,100,0.000038
1658842254.068704,1847007,34799,1,SA,1,100,0.000029
1658842254.536198,1847463,34884,1,SA,1,100,0.000070
1658842255.069305,1847983,34952,1,SA,1,100,0.000012
1658842255.271271,1848180,34987,1,SA,1,100,0.000031
1658842255.534749,1848437,35037,1,SA,1,100,0.000010
1658842255.802327,1848698,35091,1,SA,1,100,0.000024
1658842256.135519,1849023,35125,1,SA,1,100,0.000015
1658842256.334409,1849217,35195,1,SA,1,100,0.000042
1658842256.934155,1849802,35310,1,SA,1,100,0.000060
1658842257.464186,1850319,35368,1,SA,1,100,0.000060
1658842257.998318,1850840,35435,1,SA,1,100,0.000061
1658842258.264872,1851100,35552,1,SA,1,100,0.000109
1658842259.793454,1852591,35703,1,SA,1,100,0.000006
1658842259.992344,1852785,35754,1,SA,1,100,0.000030
1658842260.261973,1853048,35787,1,SA,1,100,0.000008
1658842260.461888,1853243,35873,1,SA,1,100,0.000056
1658842261.259499,1854021,35975,1,SA,1,100,0.000037
1658842261.591665,1854345,36010,1,SA,1,100,0.000014
1658842262.056083,1854798,36127,1,SA,1,100,0.000075
1658842262.789106,1855513,36194,1,SA,1,100,0.000008
1658842262.985945,1855705,36235,1,SA,1,100,0.000042
1658842263.254549,1855967,36271,1,SA,1,100,0.000026
1658842263.523153,1856229,36306,1,SA,1,100,0.000012
1658842264.387402,1857072,36472,1,SA,1,100,0.000045
1658842264.721619,1857398,36540,1,SA,1,100,0.000037
1658842265.121449,1857788,36575,1,SA,1,100,0.000027
1658842265.921110,1858568,36695,1,SA,1,100,0.000010
1658842266.118975,1858761,36765,1,SA,1,100,0.000063
1658842266.651057,1859280,36815,1,SA,1,100,0.000001
1658842267.119576,1859737,36915,1,SA,1,100,0.000022
1658842267.582969,1860189,37001,1,SA,1,100,0.000055
1658842267.916161,1860514,37017,1,SA,1,100,0.000014
1658842268.118126,1860711,37059,1,SA,1,100,0.000042
1658842268.514881,1861098,37128,1,SA,1,100,0.000032
1658842268.982375,1861554,37195,1,SA,1,100,0.000027
1658842269.383230,1861945,37362,1,SA,1,100,0.000121
1658842270.513007,1863047,37430,1,SA,1,100,0.000005
1658842270.710872,1863240,37466,1,SA,1,100,0.000006
1658842270.911813,1863436,37516,1,SA,1,100,0.000046
1658842271.179391,1863697,37535,1,SA,1,100,0.000034
1658842271.578196,1864086,37620,1,SA,1,100,0.000040
1658842271.907287,1864407,37673,1,SA,1,100,0.000041
1658842272.376832,1864865,37758,1,SA,1,100,0.000047
1658842272.776662,1865255,37810,1,SA,1,100,0.000015
1658842273.043216,1865515,37860,1,SA,1,100,0.000033
1658842273.374357,1865838,37902,1,SA,1,100,0.000018
1658842273.908489,1866359,37987,1,SA,1,100,0.000019
1658842274.705075,1867136,38121,1,SA,1,100,0.000047
1658842275.239207,1867657,38206,1,SA,1,100,0.000041
1658842275.771289,1868176,38289,1,SA,1,100,0.000015
1658842276.037842,1868436,38325,1,SA,1,100,0.000009
1658842276.234682,1868628,38409,1,SA,1,100,0.000064
1658842276.767789,1869148,38443,1,SA,1,100,0.000052
1658842277.299871,1869667,38529,1,SA,1,100,0.000016
1658842277.633063,1869992,38596,1,SA,1,100,0.000010
1658842278.300472,1870643,38714,1,SA,1,100,0.000040
1658842278.761814,1871093,38835,1,SA,1,100,0.000120
1658842279.829054,1872134,38955,1,SA,1,100,0.000062
1658842280.162246,1872459,39039,1,SA,1,100,0.000047
1658842280.693302,1872977,39075,1,SA,1,100,0.000016
1658842281.025469,1873301,39142,1,SA,1,100,0.000052
1658842281.293048,1873562,39179,1,SA,1,100,0.000012
1658842281.491938,1873756,39246,1,SA,1,100,0.000071
1658842282.223935,1874470,39332,1,SA,1,100,0.000032
1658842282.623765,1874860,39430,1,SA,1,100,0.000093
1658842283.087158,1875312,39482,1,SA,1,100,0.000074
1658842283.421376,1875638,39534,1,SA,1,100,0.000053
1658842283.887844,1876093,39606,1,SA,1,100,0.000015
1658842284.351237,1876545,39677,1,SA,1,100,0.000014
1658842284.754143,1876938,39827,1,SA,1,100,0.000114
1658842285.817282,1877975,39911,1,SA,1,100,0.000021
