LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1658841680.716127,1287751.000,10083,1,T1,1,100,30.154
1658841680.849404,1287881.000,10115,1,T1,1,100,30.031
1658841680.981656,1288010.000,10130,1,T1,1,100,30.084
1658841681.115957,1288141.000,10148,1,T1,1,100,30.072
1658841681.249234,1288271.000,10164,1,T1,1,100,30.102
1658841681.383536,1288402.000,10196,1,T1,1,100,30.044
1658841681.513737,1288529.000,10214,1,T1,1,100,29.984
1658841681.648039,1288660.000,10230,1,T1,1,100,29.993
1658841681.780291,1288789.000,10263,1,T1,1,100,30.068
1658841681.912543,1288918.000,10279,1,T1,1,100,30.171
1658841682.046844,1289049.000,10296,1,T1,1,100,30.110
1658841682.179096,1289178.000,10313,1,T1,1,100,30.047
1658841682.314423,1289310.000,10345,1,T1,1,100,30.021
1658841682.446675,1289439.000,10362,1,T1,1,100,30.044
1658841682.579952,1289569.000,10379,1,T1,1,100,30.090
1658841682.713228,1289699.000,10395,1,T1,1,100,30.039
1658841682.844455,1289827.000,10427,1,T1,1,100,30.123
1658841682.977731,1289957.000,10444,1,T1,1,100,30.053
1658841683.111008,1290087.000,10461,1,T1,1,100,30.059
1658841683.245310,1290218.000,10492,1,T1,1,100,30.096
1658841683.378587,1290348.000,10510,1,T1,1,100,30.077
1658841683.512889,1290479.000,10527,1,T1,1,100,30.033
1658841683.644115,1290607.000,10544,1,T1,1,100,30.050
1658841683.777392,1290737.000,10576,1,T1,1,100,30.128
1658841683.910669,1290867.000,10592,1,T1,1,100,30.197
1658841684.041895,1290995.000,10610,1,T1,1,100,30.227
1658841684.177222,1291127.000,10626,1,T1,1,100,30.205
1658841684.309474,1291256.000,10657,1,T1,1,100,30.089
1658841684.444801,1291388.000,10676,1,T1,1,100,30.074
1658841684.577053,1291517.000,10692,1,T1,1,100,30.103
1658841684.710330,1291647.000,10724,1,T1,1,100,30.080
1658841684.842581,1291776.000,10741,1,T1,1,100,30.070
1658841684.975858,1291906.000,10757,1,T1,1,100,30.137
1658841685.109135,1292036.000,10775,1,T1,1,100,30.130
1658841685.242411,1292166.000,10806,1,T1,1,100,30.092
1658841685.376713,1292297.000,10823,1,T1,1,100,30.075
1658841685.508965,1292426.000,10846,1,T1,1,100,30.103
1658841685.643267,1292557.000,10862,1,T1,1,100,30.080
1658841685.775518,1292686.000,10894,1,T1,1,100,30.106
1658841685.907770,1292815.000,10911,1,T1,1,100,30.081
1658841686.043097,1292947.000,10928,1,T1,1,100,30.071
1658841686.174324,1293075.000,10945,1,T1,1,100,30.101
1658841686.308626,1293206.000,10976,1,T1,1,100,30.079
1658841686.440877,1293335.000,10994,1,T1,1,100,30.070
1658841686.574154,1293465.000,11011,1,T1,1,100,30.101
1658841686.707431,1293595.000,11043,1,T1,1,100,30.079
1658841686.840708,1293725.000,11059,1,T1,1,100,30.212
1658841686.973984,1293855.000,11076,1,T1,1,100,30.162
1658841687.105211,1293983.000,11093,1,T1,1,100,30.141
1658841687.239513,1294114.000,11124,1,T1,1,100,30.132
1658841687.370739,1294242.000,11142,1,T1,1,100,30.057
1658841687.505041,1294373.000,11159,1,T1,1,100,30.060
1658841687.637292,1294502.000,11192,1,T1,1,100,30.132
1658841687.771595,1294633.000,11208,1,T1,1,100,30.022
1658841687.904871,1294763.000,11224,1,T1,1,100,30.116
1658841688.038148,1294893.000,11241,1,T1,1,100,30.192
1658841688.172450,1295024.000,11273,1,T1,1,100,30.154
1658841688.304702,1295153.000,11289,1,T1,1,100,30.102
1658841688.436953,1295282.000,11307,1,T1,1,100,30.186
1658841688.569205,1295411.000,11340,1,T1,1,100,30.151
1658841688.702482,1295541.000,11356,1,T1,1,100,30.101
1658841688.835758,1295671.000,11373,1,T1,1,100,30.150
1658841688.970060,1295802.000,11389,1,T1,1,100,30.171
1658841689.104362,1295933.000,11421,1,T1,1,100,30.110
1658841689.235589,1296061.000,11438,1,T1,1,100,30.083
1658841689.370916,1296193.000,11455,1,T1,1,100,30.107
1658841689.502142,1296321.000,11488,1,T1,1,100,30.082
1658841689.635419,1296451.000,11504,1,T1,1,100,30.071
1658841689.767670,1296580.000,11521,1,T1,1,100,30.137
1658841689.900947,1296710.000,11538,1,T1,1,100,30.095
1658841690.035249,1296841.000,11570,1,T1,1,100,30.147
1658841690.168526,1296971.000,11586,1,T1,1,100,30.099
1658841690.302828,1297102.000,11603,1,T1,1,100,30.149
1658841690.433029,1297229.000,11637,1,T1,1,100,30.029
1658841690.566306,1297359.000,11652,1,T1,1,100,30.048
1658841690.698557,1297488.000,11675,1,T1,1,100,30.092
1658841690.831834,1297618.000,11691,1,T1,1,100,30.075
1658841690.966136,1297749.000,11708,1,T1,1,100,30.139
1658841691.099413,1297879.000,11725,1,T1,1,100,30.166
1658841691.233715,1298010.000,11756,1,T1,1,100,30.178
1658841691.364941,1298138.000,11774,1,T1,1,100,30.077
1658841691.499243,1298269.000,11791,1,T1,1,100,30.069
1658841691.631495,1298398.000,11823,1,T1,1,100,30.136
1658841691.763747,1298527.000,11840,1,T1,1,100,30.094
1658841691.897023,1298657.000,11856,1,T1,1,100,30.147
1658841692.030300,1298787.000,11873,1,T1,1,100,30.206
1658841692.164602,1298918.000,11905,1,T1,1,100,30.195
1658841692.297879,1299048.000,11921,1,T1,1,100,30.262
1658841692.431155,1299178.000,11939,1,T1,1,100,30.184
1658841692.562382,1299306.000,11971,1,T1,1,100,30.044
1658841692.696684,1299437.000,11988,1,T1,1,100,30.161
1658841692.828935,1299566.000,12005,1,T1,1,100,30.141
1658841692.961187,1299695.000,12021,1,T1,1,100,30.167
1658841693.095489,1299826.000,12053,1,T1,1,100,30.108
1658841693.227741,1299955.000,12070,1,T1,1,100,30.082
1658841693.362042,1300086.000,12087,1,T1,1,100,30.036
1658841693.494294,1300215.000,12119,1,T1,1,100,30.122
1658841693.628596,1300346.000,12136,1,T1,1,100,30.053
1658841693.760848,1300475.000,12153,1,T1,1,100,30.129
1658841693.894124,1300605.000,12170,1,T1,1,100,30.091
1658841694.027401,1300735.000,12202,1,T1,1,100,30.075
1658841694.160678,1300865.000,12218,1,T1,1,100,30.174
1658841694.294980,1300996.000,12235,1,T1,1,100,30.111
1658841694.427232,1301125.000,12269,1,T1,1,100,30.083
1658841694.561533,1301256.000,12284,1,T1,1,100,30.072
1658841694.693785,1301385.000,12302,1,T1,1,100,30.137
1658841694.828087,1301516.000,12318,1,T1,1,100,30.130
1658841694.962389,1301647.000,12350,1,T1,1,100,30.127
1658841695.093615,1301775.000,12367,1,T1,1,100,30.126
1658841695.226892,1301905.000,12383,1,T1,1,100,30.090
1658841695.359144,1302034.000,12416,1,T1,1,100,30.145
1658841695.492420,1302164.000,12433,1,T1,1,100,30.240
1658841695.624672,1302293.000,12449,1,T1,1,100,30.175
1658841695.758974,1302424.000,12467,1,T1,1,100,30.147
1658841695.891226,1302553.000,12498,1,T1,1,100,30.134
1658841696.025527,1302684.000,12520,1,T1,1,100,30.164
1658841696.158804,1302814.000,12537,1,T1,1,100,30.178
1658841696.290031,1302942.000,12553,1,T1,1,100,30.219
1658841696.423307,1303072.000,12586,1,T1,1,100,30.095
1658841696.555559,1303201.000,12603,1,T1,1,100,30.147
1658841696.689861,1303332.000,12620,1,T1,1,100,30.099
1658841696.823138,1303462.000,12651,1,T1,1,100,30.114
1658841696.956414,1303592.000,12668,1,T1,1,100,30.227
1658841697.089691,1303722.000,12685,1,T1,1,100,30.204
1658841697.221943,1303851.000,12702,1,T1,1,100,30.195
1658841697.355220,1303981.000,12734,1,T1,1,100,30.155
1658841697.487471,1304110.000,12751,1,T1,1,100,30.174
1658841697.621773,1304241.000,12768,1,T1,1,100,30.146
1658841697.755050,1304371.000,12801,1,T1,1,100,30.170
1658841697.889352,1304502.000,12816,1,T1,1,100,30.038
1658841698.022629,1304632.000,12834,1,T1,1,100,30.052
1658841698.154880,1304761.000,12850,1,T1,1,100,30.164
1658841698.289182,1304892.000,12882,1,T1,1,100,30.142
1658841698.420409,1305020.000,12900,1,T1,1,100,30.132
1658841698.553685,1305150.000,12916,1,T1,1,100,30.164
1658841698.685937,1305279.000,12949,1,T1,1,100,30.035
1658841698.820239,1305410.000,12965,1,T1,1,100,30.157
1658841698.953516,1305540.000,12981,1,T1,1,100,30.174
1658841699.086792,1305670.000,12999,1,T1,1,100,30.182
1658841699.220069,1305800.000,13030,1,T1,1,100,30.256
1658841699.352321,1305929.000,13047,1,T1,1,100,30.253
1658841699.484572,1306058.000,13065,1,T1,1,100,30.216
1658841699.616824,1306187.000,13081,1,T1,1,100,30.129
1658841699.751126,1306318.000,13113,1,T1,1,100,30.162
1658841699.884403,1306448.000,13130,1,T1,1,100,30.141
1658841700.017679,1306578.000,13147,1,T1,1,100,30.096
1658841700.151982,1306709.000,13178,1,T1,1,100,30.148
1658841700.283208,1306837.000,13195,1,T1,1,100,30.170
1658841700.417510,1306968.000,13212,1,T1,1,100,30.145
1658841700.549761,1307097.000,13230,1,T1,1,100,30.204
1658841700.683038,1307227.000,13262,1,T1,1,100,30.301
1658841700.816315,1307357.000,13278,1,T1,1,100,30.308
1658841700.949592,1307487.000,13295,1,T1,1,100,30.239
1658841701.082869,1307617.000,13312,1,T1,1,100,30.210
1658841701.216145,1307747.000,13348,1,T1,1,100,30.197
1658841701.349422,1307877.000,13366,1,T1,1,100,30.121
1658841701.479623,1308004.000,13383,1,T1,1,100,30.123
1658841701.614950,1308136.000,13400,1,T1,1,100,30.195
1658841701.747202,1308265.000,13432,1,T1,1,100,30.191
1658841701.880479,1308395.000,13448,1,T1,1,100,30.189
1658841702.013756,1308525.000,13466,1,T1,1,100,30.188
1658841702.146007,1308654.000,13482,1,T1,1,100,30.188
1658841702.279284,1308784.000,13513,1,T1,1,100,30.152
1658841702.411536,1308913.000,13532,1,T1,1,100,30.137
1658841702.545837,1309044.000,13548,1,T1,1,100,30.236
1658841702.679114,1309174.000,13580,1,T1,1,100,30.173
1658841702.812391,1309304.000,13597,1,T1,1,100,30.181
1658841702.945668,1309434.000,13613,1,T1,1,100,30.149
1658841703.078944,1309564.000,13631,1,T1,1,100,30.100
1658841703.212221,1309694.000,13663,1,T1,1,100,30.185
1658841703.344473,1309823.000,13679,1,T1,1,100,30.257
1658841703.479800,1309955.000,13697,1,T1,1,100,30.289
1658841703.611026,1310083.000,13713,1,T1,1,100,30.231
1658841703.745328,1310214.000,13745,1,T1,1,100,30.277
1658841703.878605,1310344.000,13762,1,T1,1,100,30.262
1658841704.010857,1310473.000,13779,1,T1,1,100,30.220
1658841704.145159,1310604.000,13811,1,T1,1,100,30.237
1658841704.277410,1310733.000,13827,1,T1,1,100,30.244
1658841704.411712,1310864.000,13844,1,T1,1,100,30.212
1658841704.544989,1310994.000,13862,1,T1,1,100,30.269
1658841704.679291,1311125.000,13894,1,T1,1,100,30.116
1658841704.810517,1311253.000,13910,1,T1,1,100,30.086
1658841704.944819,1311384.000,13927,1,T1,1,100,30.073
1658841705.077071,1311513.000,13959,1,T1,1,100,30.209
1658841705.209322,1311642.000,13975,1,T1,1,100,30.126
1658841705.342599,1311772.000,13993,1,T1,1,100,30.125
1658841705.474851,1311901.000,14010,1,T1,1,100,30.232
1658841705.610178,1312033.000,14042,1,T1,1,100,30.207
1658841705.742429,1312162.000,14059,1,T1,1,100,30.267
1658841705.875706,1312292.000,14075,1,T1,1,100,30.257
1658841706.010008,1312423.000,14108,1,T1,1,100,30.253
1658841706.141235,1312551.000,14124,1,T1,1,100,30.074
1658841706.274511,1312681.000,14140,1,T1,1,100,30.103
1658841706.406763,1312810.000,14158,1,T1,1,100,30.186
1658841706.541065,1312941.000,14180,1,T1,1,100,30.045
1658841706.674342,1313071.000,14212,1,T1,1,100,30.090
1658841706.808644,1313202.000,14229,1,T1,1,100,30.181
1658841706.939870,1313330.000,14245,1,T1,1,100,30.291
1658841707.072122,1313459.000,14278,1,T1,1,100,30.197
1658841707.205398,1313589.000,14294,1,T1,1,100,30.227
1658841707.336625,1313717.000,14311,1,T1,1,100,30.276
1658841707.471952,1313849.000,14329,1,T1,1,100,30.190
1658841707.604203,1313978.000,14361,1,T1,1,100,30.189
1658841707.739531,1314110.000,14377,1,T1,1,100,30.223
1658841707.871782,1314239.000,14394,1,T1,1,100,30.203
1658841708.004034,1314368.000,14427,1,T1,1,100,30.123
1658841708.136285,1314497.000,14442,1,T1,1,100,30.266
1658841708.268537,1314626.000,14459,1,T1,1,100,30.222
1658841708.401814,1314756.000,14476,1,T1,1,100,30.202
1658841708.535090,1314886.000,14508,1,T1,1,100,30.229
1658841708.669393,1315017.000,14526,1,T1,1,100,30.277
1658841708.802669,1315147.000,14542,1,T1,1,100,30.191
1658841708.936971,1315278.000,14575,1,T1,1,100,30.118
1658841709.069223,1315407.000,14591,1,T1,1,100,30.228
1658841709.201474,1315536.000,14607,1,T1,1,100,30.205
1658841709.336802,1315668.000,14624,1,T1,1,100,30.160
1658841709.468028,1315796.000,14657,1,T1,1,100,30.246
1658841709.602330,1315927.000,14673,1,T1,1,100,30.178
1658841709.734581,1316056.000,14691,1,T1,1,100,30.254
1658841709.868883,1316187.000,14707,1,T1,1,100,30.323
1658841710.002160,1316317.000,14739,1,T1,1,100,30.246
1658841710.135437,1316447.000,14756,1,T1,1,100,30.284
1658841710.268714,1316577.000,14772,1,T1,1,100,30.194
1658841710.399940,1316705.000,14806,1,T1,1,100,30.155
1658841710.534242,1316836.000,14822,1,T1,1,100,30.173
1658841710.666494,1316965.000,14839,1,T1,1,100,30.217
1658841710.800796,1317096.000,14856,1,T1,1,100,30.271
1658841710.933047,1317225.000,14888,1,T1,1,100,30.259
1658841711.066324,1317355.000,14904,1,T1,1,100,30.289
1658841711.199601,1317485.000,14921,1,T1,1,100,30.232
1658841711.332878,1317615.000,14954,1,T1,1,100,30.100
1658841711.467180,1317746.000,14970,1,T1,1,100,30.185
1658841711.599431,1317875.000,14987,1,T1,1,100,30.187
1658841711.732708,1318005.000,15009,1,T1,1,100,30.187
1658841711.864959,1318134.000,15026,1,T1,1,100,30.152
1658841711.998236,1318264.000,15059,1,T1,1,100,30.278
1658841712.131513,1318394.000,15074,1,T1,1,100,30.191
1658841712.264790,1318524.000,15091,1,T1,1,100,30.189
1658841712.399092,1318655.000,15108,1,T1,1,100,30.295
1658841712.530318,1318783.000,15141,1,T1,1,100,30.305
1658841712.665645,1318915.000,15158,1,T1,1,100,30.309
1658841712.797897,1319044.000,15174,1,T1,1,100,30.311
1658841712.930148,1319173.000,15191,1,T1,1,100,30.312
1658841713.062400,1319302.000,15223,1,T1,1,100,30.170
1658841713.195677,1319432.000,15239,1,T1,1,100,30.216
1658841713.329979,1319563.000,15257,1,T1,1,100,30.306
