RD,TS_received,TS_sent,AK,RoundTrip,
1292441,1292472,2022-07-26_09-21-25-525937,1292475,31,
1297549,1297573,2022-07-26_09-21-30-765150,1297578,24,
1302705,1302733,2022-07-26_09-21-36-050112,1302736,28,
1307814,1307838,2022-07-26_09-21-41-284242,1307841,24,
1312921,1312947,2022-07-26_09-21-46-518736,1312951,26,
1318030,1318054,2022-07-26_09-21-51-757142,1318057,24,
1323137,1323164,2022-07-26_09-21-56-994921,1323168,27,
1328245,1328291,2022-07-26_09-22-02-235113,1328294,46,
1333357,1333382,2022-07-26_09-22-07-471702,1333385,25,
1338464,1338490,2022-07-26_09-22-12-707800,1338494,26,
1343576,1343598,2022-07-26_09-22-17-944847,1343601,22,
1348689,1348716,2022-07-26_09-22-23-191930,1348720,27,
1353796,1353822,2022-07-26_09-22-28-427224,1353825,26,
1358913,1358971,2022-07-26_09-22-33-699815,1358974,58,
1364022,1364099,2022-07-26_09-22-38-958595,1364102,77,
1369143,1369169,2022-07-26_09-22-44-157793,1369172,26,
1374302,1374381,2022-07-26_09-22-49-504699,1374384,79,
1379444,1379480,2022-07-26_09-22-54-722598,1379483,36,
1384551,1384580,2022-07-26_09-22-59-951176,1384583,29,
1389659,1389736,2022-07-26_09-23-05-240528,1389741,77,
1394800,1394829,2022-07-26_09-23-10-462288,1394832,29,
1399905,1399933,2022-07-26_09-23-15-694072,1399937,28,
1405014,1405118,2022-07-26_09-23-21-011379,1405122,104,
1410121,1410220,2022-07-26_09-23-26-244268,1410224,99,
1415222,1415303,2022-07-26_09-23-31-454492,1415307,81,
1420348,1420373,2022-07-26_09-23-36-649821,1420376,25,
1425466,1425493,2022-07-26_09-23-41-900740,1425496,27,
1430568,1430590,2022-07-26_09-23-47-128432,1430594,22,
1435695,1435718,2022-07-26_09-23-52-383402,1435722,23,
1440826,1440875,2022-07-26_09-23-57-671036,1440878,49,
1445970,1446013,2022-07-26_09-24-02-937818,1446016,43,
1451127,1451170,2022-07-26_09-24-08-224177,1451174,43,
1456232,1456260,2022-07-26_09-24-13-441147,1456263,28,
1461336,1461359,2022-07-26_09-24-18-673818,1461362,23,
1466470,1466493,2022-07-26_09-24-23-938007,1466496,23,
1471629,1471654,2022-07-26_09-24-29-227784,1471657,25,
1476773,1476798,2022-07-26_09-24-34-501571,1476801,25,
1481904,1481929,2022-07-26_09-24-39-763005,1481932,25,
1487027,1487061,2022-07-26_09-24-45-014683,1487064,34,
1492149,1492175,2022-07-26_09-24-50-266915,1492178,26,
1497265,1497309,2022-07-26_09-24-55-524900,1497312,44,
1502374,1502399,2022-07-26_09-25-00-750276,1502403,25,
1507474,1507500,2022-07-26_09-25-05-980967,1507504,26,
1512615,1512637,2022-07-26_09-25-11-247890,1512641,22,
1517752,1517778,2022-07-26_09-25-16-517055,1517781,26,
1522886,1522966,2022-07-26_09-25-21-836145,1522970,80,
1527985,1528086,2022-07-26_09-25-27-086112,1528090,101,
1533119,1533159,2022-07-26_09-25-32-289396,1533162,40,
1538276,1538300,2022-07-26_09-25-37-559678,1538303,24,
