LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1658841936.778741,1537518,50419,1,HR,1,100,13
1658841942.451205,1543051,51302,1,HR,1,100,13
1658841967.142265,1567135,55145,1,HR,1,100,12
1658841968.191051,1568158,55327,1,HR,1,100,17
1658841969.795498,1569723,55567,1,HR,1,100,19
1658841973.016695,1572865,56082,1,HR,1,100,19
1658841973.827633,1573656,56198,1,HR,1,100,26
1658841975.201409,1574996,56422,1,HR,1,100,28
1658841981.155805,1580804,57351,1,HR,1,100,26
1658841988.253306,1587727,58465,1,HR,1,100,24
1658842007.870622,1606862,61522,1,HR,1,100,21
1658842040.736674,1638920,1119,1,HR,1,100,19
1658842043.389907,1641508,1554,1,HR,1,100,20
1658842051.203002,1649129,2784,1,HR,1,100,18
1658842053.698353,1651563,3185,1,HR,1,100,19
1658842056.195755,1653999,3583,1,HR,1,100,20
1658842069.858674,1667326,5730,1,HR,1,100,18
1658842089.946560,1686920,8896,1,HR,1,100,16
1658842092.203038,1689121,9260,1,HR,1,100,17
1658842096.164434,1692985,9878,1,HR,1,100,17
1658842110.339956,1706812,12116,1,HR,1,100,16
1658842111.261616,1707711,12271,1,HR,1,100,21
1658842112.670249,1709085,12505,1,HR,1,100,24
1658842117.344163,1713644,13235,1,HR,1,100,23
1658842122.293858,1718472,14016,1,HR,1,100,21
1658842125.973322,1722061,14595,1,HR,1,100,21
1658842141.322705,1737033,16977,1,HR,1,100,19
1658842142.809254,1738483,17200,1,HR,1,100,21
1658842145.100589,1740718,17534,1,HR,1,100,22
1658842145.998670,1741594,17669,1,HR,1,100,27
1658842150.588516,1746071,18400,1,HR,1,100,26
1658842153.601597,1749010,18869,1,HR,1,100,25
1658842155.264481,1750632,19134,1,HR,1,100,26
1658842157.583497,1752894,19516,1,HR,1,100,26
1658842164.481082,1759622,20581,1,HR,1,100,24
1658842167.459306,1762527,21062,1,HR,1,100,24
1658842169.830607,1764840,21434,1,HR,1,100,24
1658842171.403273,1766374,21667,1,HR,1,100,26
1658842178.260875,1773063,22729,1,HR,1,100,24
1658842181.369300,1776095,23153,1,HR,1,100,23
1658842187.526687,1782101,24133,1,HR,1,100,22
1658842190.580775,1785080,24635,1,HR,1,100,21
1658842193.766090,1788187,25132,1,HR,1,100,21
1658842200.773373,1795022,26250,1,HR,1,100,20
1658842203.884873,1798057,26729,1,HR,1,100,20
1658842212.418687,1806381,28093,1,HR,1,100,18
1658842214.522410,1808433,28427,1,HR,1,100,19
1658842218.298243,1812116,29026,1,HR,1,100,19
1658842231.920155,1825403,31184,1,HR,1,100,17
1658842232.687009,1826151,31303,1,HR,1,100,25
1658842233.460014,1826905,31435,1,HR,1,100,31
1658842234.214566,1827641,31552,1,HR,1,100,37
1658842234.949638,1828358,31671,1,HR,1,100,42
1658842235.839517,1829226,31821,1,HR,1,100,45
1658842236.643279,1830010,31938,1,HR,1,100,49
1658842239.612275,1832906,32423,1,HR,1,100,45
1658842241.099849,1834357,32657,1,HR,1,100,45
1658842246.380685,1839508,33513,1,HR,1,100,41
1658842255.844361,1848739,35057,1,HR,1,100,37
1658842265.602271,1858257,36628,1,HR,1,100,33
1658842272.535739,1865020,37742,1,HR,1,100,30
1658842279.693727,1872002,38888,1,HR,1,100,28
1658842286.630270,1878768,40014,1,HR,1,100,25
1658842289.609519,1881674,40495,1,HR,1,100,25
1658842292.702565,1884691,41003,1,HR,1,100,24
1658842297.221673,1889099,41724,1,HR,1,100,23
1658842299.400235,1891224,42080,1,HR,1,100,24
1658842300.198871,1892003,42209,1,HR,1,100,30
1658842303.336001,1895063,42733,1,HR,1,100,28
1658842307.173347,1898806,43351,1,HR,1,100,27
1658842310.306376,1901862,43860,1,HR,1,100,26
1658842313.458884,1904937,44356,1,HR,1,100,25
1658842314.229839,1905689,44476,1,HR,1,100,32
1658842314.987467,1906428,44613,1,HR,1,100,37
1658842316.594990,1907996,44871,1,HR,1,100,37
1658842320.592268,1911895,45518,1,HR,1,100,35
1658842324.326067,1915537,46120,1,HR,1,100,32
1658842325.784935,1916960,46360,1,HR,1,100,33
1658842327.435517,1918570,46619,1,HR,1,100,34
1658842328.237228,1919352,46740,1,HR,1,100,39
1658842331.372308,1922410,47267,1,HR,1,100,36
1658842334.280817,1925247,47720,1,HR,1,100,35
1658842337.983861,1928859,48318,1,HR,1,100,32
1658842341.607964,1932394,48898,1,HR,1,100,31
1658842343.946459,1934675,49276,1,HR,1,100,30
1658842347.000547,1937654,49784,1,HR,1,100,29
1658842347.900678,1938532,49909,1,HR,1,100,33
1658842351.001926,1941557,50412,1,HR,1,100,32
1658842352.452593,1942972,50660,1,HR,1,100,33
1658842354.022183,1944503,50897,1,HR,1,100,34
1658842354.779810,1945242,51036,1,HR,1,100,39
1658842355.546664,1945990,51154,1,HR,1,100,44
1658842358.007159,1948390,51553,1,HR,1,100,41
1658842360.899265,1951211,52034,1,HR,1,100,39
1658842363.886715,1954125,52513,1,HR,1,100,37
1658842365.377364,1955579,52753,1,HR,1,100,37
1658842367.796850,1957939,53143,1,HR,1,100,36
1658842371.458886,1961511,53743,1,HR,1,100,34
1658842373.804557,1963799,54121,1,HR,1,100,33
1658842376.816612,1966737,54601,1,HR,1,100,31
1658842379.674886,1969525,55067,1,HR,1,100,30
1658842383.553240,1973308,55712,1,HR,1,100,28
1658842387.256284,1976920,56295,1,HR,1,100,27
1658842389.559922,1979167,56659,1,HR,1,100,27
1658842392.488935,1982024,57154,1,HR,1,100,26
1658842398.651448,1988035,58145,1,HR,1,100,24
1658842400.799255,1990130,58490,1,HR,1,100,25
1658842401.555857,1990868,58612,1,HR,1,100,31
1658842402.287854,1991582,58734,1,HR,1,100,37
1658842404.584315,1993822,59110,1,HR,1,100,36
1658842405.340917,1994560,59235,1,HR,1,100,41
1658842406.073939,1995275,59355,1,HR,1,100,46
1658842408.453442,1997596,59744,1,HR,1,100,44
1658842412.149310,2001201,60338,1,HR,1,100,40
1658842412.955122,2001987,60479,1,HR,1,100,44
1658842416.097378,2005052,60978,1,HR,1,100,41
1658842416.947273,2005881,61114,1,HR,1,100,45
1658842417.761287,2006675,61247,1,HR,1,100,49
1658842420.255613,2009108,61654,1,HR,1,100,46
1658842421.053223,2009886,61779,1,HR,1,100,49
1658842423.309702,2012087,62152,1,HR,1,100,46
1658842424.080657,2012839,62275,1,HR,1,100,50
1658842424.796250,2013537,62396,1,HR,1,100,54
1658842426.411975,2015113,62655,1,HR,1,100,52
1658842427.133720,2015817,62775,1,HR,1,100,56
1658842427.901599,2016566,62896,1,HR,1,100,59
1658842429.547055,2018171,63169,1,HR,1,100,56
1658842430.320060,2018925,63292,1,HR,1,100,59
1658842432.565261,2021115,63671,1,HR,1,100,55
1658842433.297258,2021829,63775,1,HR,1,100,58
1658842433.986196,2022501,63894,1,HR,1,100,62
1658842435.511703,2023989,64151,1,HR,1,100,59
1658842437.048486,2025488,64378,1,HR,1,100,57
1658842439.426964,2027808,64764,1,HR,1,100,53
1658842441.638334,2029965,65121,1,HR,1,100,50
1658842448.531818,2036689,697,1,HR,1,100,45
1658842450.666297,2038771,1039,1,HR,1,100,43
1658842451.425975,2039512,1180,1,HR,1,100,47
1658842454.489290,2042500,1678,1,HR,1,100,44
1658842457.640773,2045574,2186,1,HR,1,100,41
1658842460.505199,2048368,2652,1,HR,1,100,39
1658842461.256675,2049101,2789,1,HR,1,100,44
1658842462.070688,2049895,2909,1,HR,1,100,47
1658842464.481972,2052247,3308,1,HR,1,100,45
1658842465.329818,2053074,3464,1,HR,1,100,48
1658842466.703594,2054414,3683,1,HR,1,100,47
1658842467.550414,2055240,3821,1,HR,1,100,50
1658842468.315217,2055986,3947,1,HR,1,100,54
1658842469.074895,2056727,4066,1,HR,1,100,57
1658842470.769561,2058380,4355,1,HR,1,100,54
1658842472.258160,2059832,4594,1,HR,1,100,53
1658842473.988707,2061520,4871,1,HR,1,100,50
1658842475.436298,2062932,5109,1,HR,1,100,49
1658842477.815801,2065253,5501,1,HR,1,100,47
1658842478.613411,2066031,5641,1,HR,1,100,50
1658842480.799150,2068163,5982,1,HR,1,100,47
1658842481.646996,2068990,6119,1,HR,1,100,50
1658842482.520471,2069842,6272,1,HR,1,100,52
1658842483.329359,2070631,6411,1,HR,1,100,55
1658842484.093137,2071376,6520,1,HR,1,100,58
1658842485.065032,2072324,6691,1,HR,1,100,58
1658842485.822659,2073063,6812,1,HR,1,100,61
1658842486.589514,2073811,6949,1,HR,1,100,63
1658842488.160129,2075343,7202,1,HR,1,100,60
1658842488.966966,2076130,7319,1,HR,1,100,62
1658842489.691787,2076837,7445,1,HR,1,100,64
1658842490.421733,2077549,7566,1,HR,1,100,67
1658842491.222419,2078330,7701,1,HR,1,100,68
1658842492.071290,2079158,7839,1,HR,1,100,68
1658842492.843270,2079911,7961,1,HR,1,100,69
1658842493.675737,2080723,8115,1,HR,1,100,70
1658842495.382705,2082388,8393,1,HR,1,100,66
1658842496.136231,2083123,8512,1,HR,1,100,67
1658842496.905136,2083873,8650,1,HR,1,100,69
1658842498.528037,2085456,8904,1,HR,1,100,65
1658842499.924367,2086818,9131,1,HR,1,100,62
1658842501.589302,2088442,9400,1,HR,1,100,59
1658842502.345904,2089180,9520,1,HR,1,100,62
1658842503.112758,2089928,9658,1,HR,1,100,64
1658842504.800247,2091574,9929,1,HR,1,100,60
1658842505.609134,2092363,10070,1,HR,1,100,62
1658842507.055700,2093774,10308,1,HR,1,100,60
1658842507.944553,2094641,10442,1,HR,1,100,61
1658842509.392144,2096053,10682,1,HR,1,100,58
1658842511.622992,2098229,11042,1,HR,1,100,55
1658842512.497493,2099082,11196,1,HR,1,100,56
1658842513.230515,2099797,11317,1,HR,1,100,60
1658842514.068109,2100614,11455,1,HR,1,100,61
1658842515.797631,2102301,11732,1,HR,1,100,58
1658842516.530653,2103016,11850,1,HR,1,100,61
1658842517.263675,2103731,11969,1,HR,1,100,64
1658842517.936211,2104387,12070,1,HR,1,100,66
1658842518.752275,2105183,12208,1,HR,1,100,67
1658842519.624725,2106034,12361,1,HR,1,100,68
1658842521.155357,2107527,12606,1,HR,1,100,64
1658842522.683939,2109018,12860,1,HR,1,100,61
1658842523.460020,2109775,12977,1,HR,1,100,63
1658842525.919489,2112174,13377,1,HR,1,100,59
1658842528.774688,2114959,13853,1,HR,1,100,54
1658842530.140262,2116291,14075,1,HR,1,100,53
1658842532.607933,2118698,14471,1,HR,1,100,50
1658842534.056549,2120111,14713,1,HR,1,100,49
1658842535.623064,2121639,14965,1,HR,1,100,48
1658842536.388892,2122386,15090,1,HR,1,100,51
1658842537.202906,2123180,15229,1,HR,1,100,54
1658842539.341486,2125266,15580,1,HR,1,100,51
1658842543.327486,2129154,16236,1,HR,1,100,47
1658842544.093315,2129901,16373,1,HR,1,100,51
1658842546.945438,2132683,16832,1,HR,1,100,47
1658842547.835317,2133551,16974,1,HR,1,100,50
1658842550.888380,2136529,17458,1,HR,1,100,46
1658842551.578344,2137202,17580,1,HR,1,100,51
1658842552.383130,2137987,17705,1,HR,1,100,54
1658842554.679592,2140227,18079,1,HR,1,100,51
1658842557.908990,2143377,18612,1,HR,1,100,47
1658842559.031591,2144472,18793,1,HR,1,100,48
1658842560.476106,2145881,19013,1,HR,1,100,47
1658842561.491060,2146871,19182,1,HR,1,100,48
1658842563.065776,2148407,19441,1,HR,1,100,47
1658842564.629215,2149932,19697,1,HR,1,100,46
1658842565.445279,2150728,19832,1,HR,1,100,50
1658842566.200856,2151465,19952,1,HR,1,100,53
1658842566.967710,2152213,20088,1,HR,1,100,56
1658842567.741741,2152968,20210,1,HR,1,100,59
1658842568.458359,2153667,20335,1,HR,1,100,62
1658842569.304154,2154492,20471,1,HR,1,100,63
1658842570.082286,2155251,20596,1,HR,1,100,65
1658842570.712787,2155866,20697,1,HR,1,100,68
1658842572.375671,2157488,20970,1,HR,1,100,64
1658842573.062559,2158158,21096,1,HR,1,100,67
1658842573.817111,2158894,21199,1,HR,1,100,69
1658842575.356970,2160396,21453,1,HR,1,100,65
1658842576.114598,2161135,21576,1,HR,1,100,67
1658842576.879401,2161881,21697,1,HR,1,100,68
1658842577.563214,2162548,21815,1,HR,1,100,71
1658842579.225072,2164169,22079,1,HR,1,100,67
1658842579.940666,2164867,22197,1,HR,1,100,69
1658842580.715722,2165623,22319,1,HR,1,100,70
1658842582.196119,2167067,22571,1,HR,1,100,66
1658842583.012183,2167863,22692,1,HR,1,100,67
1658842583.690870,2168525,22814,1,HR,1,100,70
1658842584.424917,2169241,22918,1,HR,1,100,71
1658842585.180494,2169978,23038,1,HR,1,100,72
1658842586.070373,2170846,23178,1,HR,1,100,72
